Id,Size,Prob,NormProb,Actual
24,27,0.9989858,0.036999475,false
58,27,0.9989858,0.036999475,false
212,27,0.9989858,0.036999475,false
99,30,0.9989858,0.033299528,false
10,31,0.99596775,0.03212799,false
18,32,0.9989858,0.031218307,false
145,36,0.9989858,0.027749605,false
211,37,0.9989858,0.026999617,false
14,40,0.9989858,0.024974644,false
107,43,0.9989858,0.023232227,false
23,46,0.99864864,0.021709753,true
213,48,0.9989858,0.020812204,false
113,49,0.99864864,0.020380585,false
8,51,0.99596775,0.01952878,false
29,52,0.9989858,0.019211266,true
38,55,0.9989858,0.018163377,false
81,55,0.9989858,0.018163377,false
262,57,0.9989858,0.017526066,false
72,58,0.9989858,0.017223893,true
26,60,0.9989858,0.016649764,false
27,62,0.9989858,0.016112674,true
164,63,0.9989858,0.015856918,false
40,65,0.9989858,0.015369012,false
19,66,0.9989858,0.015136149,false
123,67,0.9989858,0.014910236,false
125,74,0.9989858,0.0134998085,false
242,74,0.9989858,0.0134998085,false
109,77,0.9989858,0.012973841,true
260,80,0.9989858,0.012487322,false
48,84,0.9989858,0.011892688,false
253,85,0.9989858,0.011752774,true
247,86,0.9989858,0.011616114,false
28,88,0.9989858,0.011352112,true
59,88,0.9989858,0.011352112,true
95,88,0.9989858,0.011352112,false
53,90,0.9989858,0.011099842,false
71,90,0.9989858,0.011099842,true
31,91,0.9989858,0.010977866,true
186,92,0.9989858,0.010858541,true
119,92,0.99596775,0.010825736,true
227,94,0.9989858,0.010627508,false
120,100,0.9989858,0.009989858,false
101,101,0.99596775,0.009861067,false
161,103,0.9989858,0.009698891,false
256,108,0.9989858,0.009249869,false
111,113,0.9989858,0.008840582,false
55,113,0.99596775,0.008813874,true
152,114,0.9989858,0.008763033,false
285,124,0.9989858,0.008056337,false
98,127,0.9989858,0.00786603,false
51,127,0.99864864,0.007863375,false
156,129,0.9989858,0.007744076,false
66,132,0.9989858,0.0075680744,false
241,132,0.9989858,0.0075680744,false
108,134,0.9989858,0.007455118,true
288,139,0.9989858,0.0071869483,false
64,147,0.9989858,0.0067958217,false
143,148,0.9989858,0.0067499042,true
9,150,0.99596775,0.006639785,false
127,152,0.9989858,0.006572275,true
47,153,0.99864864,0.006527115,false
126,154,0.9989858,0.0064869206,false
272,154,0.99596775,0.006467323,false
22,158,0.9989858,0.006322695,true
