ID,Size,Predicted,Actual
372,38,0.99999446,NO
446,38,0.99999446,NO
79,69,0.99998736,NO
177,69,0.99998736,YES
298,77,0.9999537,NO
48,79,0.99998266,NO
84,79,0.99998266,NO
559,79,0.99998266,NO
478,83,0.9999913,NO
49,82,0.8888829,NO
434,68,0.6874967,NO
146,80,0.79999167,NO
458,105,0.99999535,NO
37,106,0.99999535,YES
60,106,0.99999535,NO
442,106,0.99999535,NO
443,106,0.99999535,NO
466,107,0.99999535,NO
70,92,0.7599971,NO
117,92,0.7599971,NO
395,92,0.7599971,NO
454,92,0.7599971,NO
45,90,0.6785697,NO
451,90,0.6785697,NO
463,90,0.6785697,NO
548,90,0.6785697,NO
160,100,0.7142772,YES
192,100,0.7142772,NO
435,100,0.7142772,NO
474,100,0.7142772,NO
485,101,0.7142772,NO
323,145,0.9999537,NO
72,93,0.61538213,NO
81,94,0.61538213,YES
377,94,0.61538213,NO
588,94,0.61538213,NO
473,159,0.9999937,NO
384,160,0.9999937,NO
523,162,0.9999937,NO
116,148,0.82051057,NO
518,200,0.999994,NO
481,202,0.999994,NO
156,208,0.999994,YES
151,230,0.99998736,YES
179,230,0.99998736,NO
63,236,0.99998736,NO
133,243,0.99998736,NO
187,243,0.99998736,NO
522,266,0.99999267,NO
138,286,0.99999464,YES
526,354,0.99999464,NO
141,355,0.99999726,NO
513,355,0.99999726,NO
404,358,0.99999726,NO
572,359,0.99999726,NO
114,359,0.99996525,YES
58,361,0.99996525,YES
561,365,0.99999726,NO
397,371,0.99999726,NO
392,377,0.99999726,NO
358,380,0.99999726,NO
145,380,0.99996525,NO
393,383,0.99999726,YES
175,389,0.99999726,YES
188,402,0.99999726,YES
157,408,0.99999726,YES
178,418,0.99999726,NO
51,422,0.99999726,YES
437,437,0.99999726,NO
158,462,0.99999726,NO
108,510,0.99999505,YES
477,525,0.99999464,NO
41,792,0.99999505,YES
455,956,0.99998456,YES
10,981,0.99996525,YES
214,2009,0.9999913,NO
62,85,1.3885032E-4,NO
380,85,1.3885032E-4,NO
229,25,3.471981E-5,NO
268,26,3.471981E-5,NO
335,27,3.471981E-5,NO
43,55,6.94348E-5,NO
201,55,6.94348E-5,NO
578,55,6.94348E-5,NO
284,28,3.471981E-5,NO
344,29,3.471981E-5,NO
529,58,6.94348E-5,NO
217,33,3.471981E-5,NO
281,33,3.471981E-5,NO
316,35,3.471981E-5,NO
286,36,3.471981E-5,NO
308,37,3.471981E-5,NO
270,38,3.471981E-5,NO
312,38,3.471981E-5,NO
236,39,3.471981E-5,NO
348,40,3.471981E-5,NO
527,88,6.94348E-5,NO
285,46,3.471981E-5,NO
352,46,3.471981E-5,NO
310,47,3.471981E-5,NO
305,50,3.471981E-5,NO
228,51,3.471981E-5,NO
514,53,3.471981E-5,NO
574,53,3.471981E-5,NO
471,213,1.3885032E-4,NO
83,214,1.3885032E-4,NO
465,214,1.3885032E-4,NO
579,214,1.3885032E-4,NO
0,215,1.3885032E-4,NO
334,54,3.471981E-5,NO
148,221,1.3885032E-4,NO
453,28,1.7360508E-5,NO
528,28,1.7360508E-5,NO
235,56,3.471981E-5,NO
311,56,3.471981E-5,NO
14,40,2.3147077E-5,NO
213,61,3.471981E-5,NO
254,61,3.471981E-5,NO
320,62,3.471981E-5,NO
306,63,3.471981E-5,NO
231,64,3.471981E-5,NO
241,64,3.471981E-5,NO
56,86,4.629201E-5,NO
508,86,4.629201E-5,NO
512,86,4.629201E-5,NO
571,86,4.629201E-5,NO
30,52,2.7776234E-5,NO
206,52,2.7776234E-5,NO
239,65,3.471981E-5,NO
29,87,4.629201E-5,NO
336,66,3.471981E-5,NO
122,88,4.629201E-5,NO
165,88,4.629201E-5,YES
67,89,4.629201E-5,NO
357,89,4.629201E-5,NO
407,89,4.629201E-5,NO
31,268,1.3885032E-4,YES
147,268,1.3885032E-4,NO
209,69,3.471981E-5,NO
106,47,2.3147077E-5,NO
444,94,4.629201E-5,NO
319,71,3.471981E-5,NO
331,71,3.471981E-5,NO
321,72,3.471981E-5,NO
136,97,4.629201E-5,NO
238,73,3.471981E-5,NO
252,73,3.471981E-5,NO
322,73,3.471981E-5,NO
244,74,3.471981E-5,NO
261,75,3.471981E-5,NO
445,101,4.629201E-5,NO
248,76,3.471981E-5,NO
256,76,3.471981E-5,NO
208,77,3.471981E-5,NO
260,77,3.471981E-5,NO
347,77,3.471981E-5,NO
304,78,3.471981E-5,NO
439,104,4.629201E-5,NO
307,79,3.471981E-5,NO
343,82,3.471981E-5,NO
487,22,9.259088E-6,NO
195,67,2.7776234E-5,NO
456,67,2.7776234E-5,NO
246,84,3.471981E-5,NO
253,84,3.471981E-5,NO
164,43,1.7360508E-5,NO
342,86,3.471981E-5,NO
269,87,3.471981E-5,NO
346,87,3.471981E-5,NO
552,116,4.629201E-5,NO
376,117,4.629201E-5,NO
535,117,4.629201E-5,NO
19,32,1.2625944E-5,NO
153,32,1.2625944E-5,NO
448,32,1.2625944E-5,NO
301,88,3.471981E-5,NO
194,118,4.629201E-5,NO
