ID,Size,Predicted,Actual
25,32,1.0,NO
190,32,1.0,YES
513,32,1.0,YES
335,38,1.0,YES
377,38,1.0,YES
437,38,1.0,YES
511,38,1.0,YES
421,48,1.0,YES
534,48,1.0,YES
575,48,1.0,YES
634,48,1.0,YES
36,50,1.0,NO
193,64,1.0,NO
237,67,1.0,YES
521,67,1.0,YES
96,69,1.0,NO
274,69,1.0,YES
201,71,1.0,YES
141,74,1.0,YES
309,74,1.0,YES
432,74,1.0,YES
497,74,1.0,YES
549,74,1.0,YES
572,74,1.0,YES
574,74,1.0,YES
576,74,1.0,YES
267,76,1.0,NO
259,77,1.0,NO
256,78,1.0,YES
101,79,1.0,NO
372,79,1.0,YES
624,79,1.0,YES
255,81,1.0,NO
43,83,1.0,NO
543,83,1.0,YES
103,84,1.0,NO
129,84,1.0,YES
174,84,1.0,NO
311,84,1.0,YES
318,84,1.0,YES
440,84,1.0,YES
625,84,1.0,YES
151,88,1.0,YES
366,88,1.0,YES
592,88,1.0,YES
59,90,1.0,YES
60,90,1.0,NO
516,90,1.0,YES
528,90,1.0,YES
613,90,1.0,YES
357,91,1.0,YES
87,92,1.0,YES
460,92,1.0,YES
519,92,1.0,YES
89,93,1.0,YES
57,94,1.0,NO
442,94,1.0,YES
509,94,1.0,YES
653,94,1.0,YES
98,97,1.0,NO
169,97,1.0,YES
253,99,1.0,NO
500,100,1.0,YES
539,100,1.0,YES
135,101,1.0,NO
297,101,1.0,YES
343,101,1.0,YES
510,101,1.0,YES
550,101,1.0,YES
523,105,1.0,YES
47,106,1.0,NO
281,106,1.0,YES
507,106,1.0,YES
508,106,1.0,YES
77,109,1.0,YES
93,109,1.0,YES
324,109,1.0,YES
75,126,1.0,YES
162,129,1.0,YES
358,129,1.0,YES
382,129,1.0,YES
467,129,1.0,YES
589,130,1.0,YES
251,131,1.0,NO
289,135,1.0,YES
139,136,1.0,YES
109,140,1.0,NO
44,147,1.0,NO
65,147,1.0,YES
204,148,1.0,NO
329,148,1.0,YES
425,148,1.0,YES
315,153,1.0,YES
498,153,1.0,YES
588,162,1.0,YES
35,175,1.0,NO
618,178,1.0,YES
566,182,1.0,YES
70,190,1.0,NO
392,192,1.0,YES
13,204,1.0,NO
69,205,1.0,YES
605,206,1.0,YES
92,252,1.0,YES
645,252,1.0,YES
587,266,1.0,YES
410,267,1.0,YES
379,273,1.0,YES
138,275,1.0,YES
470,277,1.0,YES
638,277,1.0,YES
245,294,1.0,YES
284,295,1.0,YES
243,319,1.0,YES
137,327,1.0,YES
305,329,1.0,YES
127,335,1.0,YES
637,359,1.0,YES
40,373,1.0,NO
458,382,1.0,YES
277,421,1.0,YES
452,422,1.0,YES
171,429,1.0,YES
27,547,1.0,YES
175,560,1.0,YES
95,565,1.0,YES
28,566,1.0,NO
74,573,1.0,NO
225,601,1.0,YES
24,637,1.0,NO
224,763,1.0,YES
580,804,1.0,YES
51,849,1.0,YES
133,860,1.0,YES
19,867,1.0,YES
520,979,1.0,YES
11,1008,1.0,YES
503,1038,1.0,YES
67,1059,1.0,YES
82,1118,1.0,YES
6,1248,1.0,YES
132,4088,1.0,YES
0,215,0.0,NO
1,274,0.0,YES
2,461,0.0,YES
3,138,0.0,NO
4,358,0.0,NO
5,163,0.0,NO
7,51,0.0,NO
8,45,0.0,NO
9,157,0.0,NO
10,31,0.0,NO
12,55,0.0,NO
14,55,0.0,NO
15,103,0.0,NO
16,83,0.0,NO
17,262,0.0,YES
18,83,0.0,NO
20,40,0.0,NO
21,387,0.0,YES
22,390,0.0,NO
23,51,0.0,NO
26,68,0.0,YES
29,314,0.0,YES
30,839,0.0,YES
31,211,0.0,NO
32,31,0.0,NO
33,50,0.0,NO
34,27,0.0,NO
37,62,0.0,NO
38,87,0.0,NO
39,52,0.0,NO
41,224,0.0,NO
42,118,0.0,YES
45,58,0.0,NO
46,44,0.0,NO
48,189,0.0,NO
49,151,0.0,NO
50,352,0.0,YES
52,877,0.0,YES
53,41,0.0,NO
54,319,0.0,YES
55,27,0.0,NO
56,55,0.0,NO
58,191,0.0,NO
61,271,0.0,YES
62,152,0.0,NO
63,90,0.0,YES
64,82,0.0,NO
66,422,0.0,YES
68,530,0.0,YES
71,86,0.0,NO
72,207,0.0,YES
73,397,0.0,YES
76,167,0.0,YES
78,85,0.0,NO
79,237,0.0,NO
80,424,0.0,YES
81,47,0.0,NO
83,27,0.0,NO
84,89,0.0,NO
85,474,0.0,YES
86,166,0.0,NO
88,476,0.0,YES
90,244,0.0,NO
91,204,0.0,YES
94,618,0.0,YES
97,77,0.0,NO
99,343,0.0,NO
100,214,0.0,NO
102,25,0.0,NO
104,34,0.0,NO
105,33,0.0,NO
106,104,0.0,NO
107,172,0.0,NO
108,70,0.0,NO
110,156,0.0,NO
111,142,0.0,NO
112,152,0.0,NO
113,31,0.0,NO
114,60,0.0,NO
115,60,0.0,NO
116,876,0.0,NO
117,61,0.0,NO
118,185,0.0,NO
119,264,0.0,NO
120,43,0.0,YES
121,248,0.0,NO
122,310,0.0,YES
123,199,0.0,YES
124,194,0.0,NO
125,346,0.0,NO
126,90,0.0,YES
128,372,0.0,YES
130,53,0.0,NO
131,148,0.0,YES
134,47,0.0,NO
136,517,0.0,NO
140,56,0.0,NO
142,362,0.0,YES
143,174,0.0,NO
144,148,0.0,NO
145,92,0.0,NO
146,45,0.0,NO
147,39,0.0,NO
148,182,0.0,NO
149,77,0.0,NO
150,666,0.0,NO
152,263,0.0,YES
153,54,0.0,NO
154,76,0.0,NO
155,132,0.0,NO
156,160,0.0,YES
157,152,0.0,NO
158,39,0.0,NO
159,677,0.0,NO
160,131,0.0,NO
161,47,0.0,NO
163,43,0.0,NO
164,73,0.0,NO
165,257,0.0,YES
166,356,0.0,NO
167,62,0.0,NO
168,45,0.0,NO
170,39,0.0,NO
172,575,0.0,YES
173,142,0.0,NO
176,359,0.0,YES
177,102,0.0,NO
178,226,0.0,YES
179,153,0.0,NO
180,458,0.0,YES
181,80,0.0,YES
182,352,0.0,YES
183,264,0.0,YES
184,241,0.0,NO
185,71,0.0,NO
186,991,0.0,NO
187,230,0.0,NO
188,36,0.0,NO
189,226,0.0,YES
191,420,0.0,NO
192,111,0.0,NO
194,211,0.0,YES
195,397,0.0,NO
196,462,0.0,YES
197,340,0.0,NO
198,279,0.0,NO
199,101,0.0,YES
200,343,0.0,YES
202,32,0.0,NO
203,272,0.0,YES
205,43,0.0,NO
206,89,0.0,YES
207,326,0.0,NO
208,65,0.0,NO
209,59,0.0,NO
210,131,0.0,NO
211,648,0.0,NO
212,43,0.0,NO
213,59,0.0,NO
214,289,0.0,NO
215,102,0.0,NO
216,288,0.0,YES
217,423,0.0,YES
218,337,0.0,NO
219,108,0.0,NO
220,418,0.0,NO
221,230,0.0,NO
222,59,0.0,NO
223,99,0.0,NO
226,258,0.0,NO
227,49,0.0,NO
228,531,0.0,YES
229,244,0.0,YES
230,401,0.0,NO
231,273,0.0,NO
232,1074,0.0,YES
233,108,0.0,YES
234,100,0.0,NO
235,186,0.0,YES
236,118,0.0,NO
238,99,0.0,NO
239,170,0.0,NO
240,120,0.0,NO
241,64,0.0,NO
242,56,0.0,NO
244,55,0.0,NO
246,618,0.0,YES
247,158,0.0,YES
248,80,0.0,NO
249,111,0.0,YES
250,52,0.0,NO
252,68,0.0,YES
254,53,0.0,NO
257,69,0.0,NO
258,69,0.0,NO
260,72,0.0,NO
261,72,0.0,NO
262,63,0.0,NO
