ID,Size,Predicted,Actual
167,43,0.9988331,NO
115,45,0.9988331,NO
428,55,0.9988331,NO
35,58,0.9988331,NO
345,64,0.9988331,NO
366,75,0.9988331,NO
117,77,0.9988331,NO
409,79,0.9988331,NO
86,84,0.9988331,NO
225,84,0.9988331,NO
62,85,0.9988331,NO
362,86,0.9988331,NO
29,87,0.9988331,NO
257,89,0.9988331,NO
45,90,0.9988331,NO
398,90,0.9988331,NO
245,92,0.9988331,NO
304,92,0.9988331,NO
81,94,0.9994159,NO
133,94,0.9988331,NO
177,99,0.9988331,NO
89,104,0.9988331,NO
308,105,0.9988331,NO
37,106,0.9988331,NO
60,106,0.9988331,NO
375,108,0.9988331,NO
61,109,0.9988331,NO
291,123,0.9988331,NO
371,123,0.9988331,NO
235,125,0.9988331,NO
165,131,0.9988331,NO
369,134,0.9988331,NO
209,138,0.9988331,NO
50,147,0.9988331,NO
124,152,0.9988331,NO
8,154,0.9988331,NO
224,156,0.9988331,NO
234,160,0.9988331,NO
373,162,0.9988331,NO
116,168,0.9988331,NO
214,171,0.9988331,NO
90,172,0.9988331,NO
351,177,0.9988331,NO
229,183,0.9988331,NO
231,183,0.9988331,NO
199,187,0.9988331,NO
21,188,0.9988331,NO
211,191,0.9988331,NO
390,197,0.9988331,NO
331,202,0.9988331,NO
83,214,0.9988331,NO
315,214,0.9988331,NO
0,215,0.9988331,NO
238,219,0.9988331,NO
75,250,0.9988331,NO
95,275,0.9988331,NO
246,284,0.9988331,NO
399,297,0.9988331,NO
380,306,0.9988331,NO
64,314,0.9988331,NO
381,340,0.9988331,NO
363,355,0.9988331,NO
111,357,0.9988331,NO
247,371,0.9988331,NO
171,389,0.9988331,NO
174,418,0.9988331,NO
237,421,0.9988331,NO
182,551,0.9988331,NO
179,558,0.9988331,NO
78,565,0.9988331,NO
200,617,0.9988331,NO
166,648,0.9988331,NO
389,688,0.9988331,NO
178,762,0.9988331,NO
365,798,0.9988331,NO
420,801,0.9988331,NO
326,841,0.9988331,NO
10,928,0.9988331,NO
26,928,0.9988331,NO
147,952,0.9988331,NO
288,1033,0.9988331,NO
396,1198,0.9988331,NO
281,16883,0.9988331,NO
275,26,0.0011668612,NO
9,31,0.0011668612,NO
312,31,0.0011668612,NO
19,32,0.0011668612,NO
298,32,0.0011668612,NO
277,41,0.0011668612,NO
271,43,0.0011668612,NO
132,45,0.0011668612,NO
437,47,0.0011668612,NO
256,49,0.0011668612,NO
30,52,0.0011668612,NO
279,54,0.0011668612,NO
348,54,0.0011668612,NO
303,28,5.8411213E-4,NO
378,28,5.8411213E-4,NO
196,56,0.0011668612,NO
215,56,0.0011668612,NO
434,60,0.0011668612,NO
28,62,0.0011668612,NO
131,62,0.0011668612,NO
433,62,0.0011668612,NO
152,64,0.0011668612,NO
195,64,0.0011668612,NO
163,65,0.0011668612,NO
20,66,0.0011668612,NO
259,66,0.0011668612,NO
191,67,0.0011668612,NO
306,67,0.0011668612,NO
79,69,0.0011668612,NO
300,35,5.8411213E-4,NO
383,35,5.8411213E-4,NO
91,70,0.0011668612,NO
232,70,0.0011668612,NO
149,36,5.8411213E-4,NO
405,36,5.8411213E-4,NO
406,36,5.8411213E-4,NO
407,36,5.8411213E-4,NO
204,72,0.0011668612,NO
244,72,0.0011668612,NO
263,72,0.0011668612,NO
309,72,0.0011668612,NO
110,74,0.0011668612,NO
192,74,0.0011668612,NO
361,74,0.0011668612,NO
222,38,5.8411213E-4,NO
296,38,5.8411213E-4,NO
84,79,0.0011668612,NO
143,80,0.0011668612,NO
377,80,0.0011668612,NO
336,27,3.895598E-4,NO
414,41,5.8411213E-4,NO
328,83,0.0011668612,NO
240,42,5.8411213E-4,NO
410,84,0.0011668612,NO
307,29,3.895598E-4,NO
67,89,0.0011668612,NO
346,45,5.8411213E-4,NO
301,90,0.0011668612,NO
313,90,0.0011668612,NO
70,92,0.0011668612,NO
72,93,0.0011668612,NO
227,94,0.0011668612,NO
150,32,3.895598E-4,NO
122,48,5.8411213E-4,NO
202,96,0.0011668612,NO
325,96,0.0011668612,NO
181,49,5.8411213E-4,NO
267,49,5.8411213E-4,NO
262,50,5.8411213E-4,NO
268,50,5.8411213E-4,NO
324,100,0.0011668612,NO
289,101,0.0011668612,NO
220,34,3.895598E-4,NO
139,102,0.0011668612,NO
394,35,3.895598E-4,NO
316,107,0.0011668612,NO
121,54,5.8411213E-4,NO
426,54,5.8411213E-4,NO
249,108,0.0011668612,NO
33,109,0.0011668612,NO
76,109,0.0011668612,NO
337,22,2.3380875E-4,NO
43,55,5.8411213E-4,NO
367,125,0.0011668612,NO
128,129,0.0011668612,NO
25,27,2.3380875E-4,NO
66,27,2.3380875E-4,NO
302,27,2.3380875E-4,NO
318,27,2.3380875E-4,NO
342,27,2.3380875E-4,NO
108,136,0.0011668612,NO
92,140,0.0011668612,NO
311,47,3.895598E-4,NO
146,71,5.8411213E-4,NO
228,71,5.8411213E-4,NO
210,142,0.0011668612,NO
201,147,0.0011668612,NO
24,50,3.895598E-4,NO
236,151,0.0011668612,NO
7,51,3.895598E-4,NO
276,51,3.895598E-4,NO
387,51,3.895598E-4,NO
283,153,0.0011668612,NO
93,154,0.0011668612,NO
32,163,0.0011668612,NO
213,165,0.0011668612,NO
261,24,1.6702856E-4,NO
205,42,2.9222676E-4,NO
272,42,2.9222676E-4,NO
109,56,3.895598E-4,NO
230,85,5.8411213E-4,NO
129,43,2.9222676E-4,NO
