ID,Size,Predicted,Actual
0,215,0.9995965,NO
1,271,0.9995965,NO
2,458,0.9995965,NO
3,137,0.9995965,NO
4,357,0.9995965,NO
5,163,4.0355124E-4,NO
6,1242,0.9995965,NO
7,51,0.9997981,NO
8,154,0.9995965,NO
9,31,0.9995965,NO
10,928,0.9995965,NO
11,180,0.9995965,NO
12,260,0.9995965,NO
13,551,0.9995965,NO
14,40,0.9999327,NO
15,361,0.9995965,NO
16,388,0.9995965,NO
17,51,4.0355124E-4,NO
18,577,0.9995965,NO
19,32,0.9995965,NO
20,66,0.9995965,NO
21,188,0.9995965,NO
22,582,0.9995965,NO
23,158,0.9995965,NO
24,50,0.9995965,NO
25,27,0.9997981,NO
26,928,0.9995965,NO
27,60,0.9995965,NO
28,62,0.9995965,NO
29,87,0.9995965,NO
30,52,0.9995965,NO
31,268,0.9995965,NO
32,163,0.9995965,NO
33,109,0.9995965,NO
34,147,0.9997981,NO
35,58,0.9995965,NO
36,44,0.9995965,NO
37,106,4.0355124E-4,NO
38,139,0.9995965,NO
39,326,0.9995965,NO
40,648,0.9995965,NO
41,778,0.9995965,NO
42,314,0.9995965,NO
43,55,0.9998654,NO
44,191,0.9995965,NO
45,90,0.9995965,NO
46,273,0.9995965,NO
47,137,4.0355124E-4,NO
48,79,4.0355124E-4,NO
49,82,0.9995965,NO
50,147,0.9995965,NO
51,422,0.9995965,NO
52,978,0.9995965,NO
53,467,0.9995965,NO
54,189,4.0355124E-4,NO
55,153,4.0355124E-4,NO
56,84,0.9997981,NO
57,182,0.9995965,NO
58,358,0.9995965,NO
59,126,4.0355124E-4,NO
60,106,0.9995965,NO
61,109,0.9995965,NO
62,85,0.9995965,NO
63,236,4.0355124E-4,NO
64,314,0.9995965,NO
65,694,0.9995965,NO
66,27,0.9997981,NO
67,89,0.9995965,NO
68,301,0.9995965,NO
69,153,0.9995965,NO
70,92,4.0355124E-4,NO
71,466,0.9995965,NO
72,93,4.0355124E-4,NO
73,244,0.9995965,NO
74,192,4.0355124E-4,NO
75,250,4.0355124E-4,NO
76,109,0.9995965,NO
77,601,0.9995965,NO
78,565,0.9995965,NO
79,69,0.9995965,NO
80,77,0.9995965,NO
81,94,0.9997981,NO
82,337,0.9995965,NO
83,214,0.9995965,NO
84,79,0.9995965,NO
85,25,0.9995965,NO
86,84,0.9995965,NO
87,34,0.9995965,NO
88,33,0.9995965,NO
89,104,0.9995965,NO
90,172,0.9995965,NO
91,70,0.9995965,NO
92,140,0.9995965,NO
93,154,0.9995965,NO
94,248,0.9995965,NO
95,275,0.9995965,NO
96,176,0.9995965,NO
97,624,0.9995965,NO
98,91,0.9995965,NO
99,58,0.99991924,NO
100,132,0.9995965,NO
101,4088,0.9995965,NO
102,558,4.0355124E-4,NO
103,727,0.9995965,NO
104,150,0.9995965,NO
105,503,0.9995965,NO
106,325,0.9995965,NO
107,273,0.9995965,NO
108,136,0.9995965,NO
109,56,0.9995965,NO
110,74,0.9995965,NO
111,357,0.9995965,NO
112,174,0.9995965,NO
113,148,0.9998654,NO
114,92,0.9997981,NO
115,45,0.9995965,NO
116,168,0.9995965,NO
117,77,0.9995965,NO
118,664,0.9995965,NO
119,88,0.9995965,NO
120,260,0.9995965,NO
121,54,0.9998654,NO
122,48,0.9995965,NO
123,140,0.9995965,NO
124,152,0.9995965,NO
125,39,0.9998654,NO
126,131,0.9995965,NO
127,47,0.9995965,NO
128,129,0.9995965,NO
129,43,0.9995965,NO
130,243,0.9995965,NO
131,62,0.9995965,NO
132,45,4.0355124E-4,NO
133,94,4.0355124E-4,NO
134,35,0.9995965,NO
135,283,0.9995965,NO
136,585,0.9995965,NO
137,295,0.9995965,NO
138,355,4.0355124E-4,NO
139,102,4.0355124E-4,NO
140,226,4.0355124E-4,NO
141,153,0.9995965,NO
142,378,0.9995965,NO
143,80,0.9995965,NO
144,268,4.0355124E-4,NO
145,221,0.9995965,NO
146,71,0.9997981,NO
147,952,4.0355124E-4,NO
148,230,0.9995965,NO
149,36,0.9995965,NO
150,32,0.9995965,NO
151,359,0.9995965,NO
152,64,4.0355124E-4,NO
153,208,4.0355124E-4,NO
154,408,0.9995965,NO
155,462,4.0355124E-4,NO
156,340,4.0355124E-4,NO
157,100,4.0355124E-4,NO
158,342,4.0355124E-4,NO
159,178,4.0355124E-4,NO
160,148,0.9995965,NO
161,88,4.0355124E-4,NO
162,325,0.9995965,NO
163,65,0.9995965,NO
164,59,0.9995965,NO
165,131,0.9995965,NO
166,648,4.0355124E-4,NO
167,43,4.0355124E-4,NO
168,114,0.9995965,NO
169,113,4.0355124E-4,NO
170,309,4.0355124E-4,NO
171,389,4.0355124E-4,NO
172,273,0.9995965,NO
173,69,0.9995965,NO
174,418,0.9995965,NO
175,230,4.0355124E-4,NO
176,59,4.0355124E-4,NO
177,99,0.9995965,NO
178,762,0.9995965,NO
179,558,0.9995965,NO
180,258,4.0355124E-4,NO
181,49,0.9995965,NO
182,551,0.9995965,NO
183,243,4.0355124E-4,NO
184,402,4.0355124E-4,NO
185,259,4.0355124E-4,NO
186,1038,0.9995965,NO
187,109,4.0355124E-4,NO
188,100,4.0355124E-4,NO
189,185,4.0355124E-4,NO
190,118,4.0355124E-4,NO
191,67,4.0355124E-4,NO
192,74,4.0355124E-4,NO
193,153,0.9995965,NO
194,120,0.9995965,NO
195,64,0.9995965,NO
196,56,0.9995965,NO
197,65,4.0355124E-4,NO
198,55,0.9995965,NO
199,187,0.9995965,NO
200,617,4.0355124E-4,NO
201,147,0.9995965,NO
202,96,4.0355124E-4,NO
203,52,0.9995965,NO
204,72,0.9995965,NO
205,42,0.9997981,NO
206,48,0.9998654,NO
207,89,0.9995965,NO
208,380,0.9995965,NO
209,138,0.9995965,NO
210,142,0.9995965,NO
211,191,0.9995965,NO
212,46,0.9997981,NO
213,165,0.9995965,NO
214,171,0.9995965,NO
215,56,0.9995965,NO
216,179,0.9995965,NO
217,74,0.9998654,NO
218,36,0.999899,NO
219,37,0.9998654,NO
220,34,0.9995965,NO
221,34,0.9995965,NO
222,38,0.9997981,NO
223,39,0.9998654,NO
224,156,4.0355124E-4,NO
225,84,0.9995965,NO
226,117,4.0355124E-4,NO
227,94,0.9995965,NO
228,71,0.9995965,NO
229,183,0.9995965,NO
230,85,0.9995965,NO
231,183,0.9995965,NO
232,70,0.9995965,NO
233,54,0.999899,NO
234,160,4.0355124E-4,NO
235,125,0.9995965,NO
236,151,0.9995965,NO
237,421,0.9995965,NO
238,219,4.0355124E-4,NO
239,50,0.999899,NO
240,42,0.9995965,NO
241,624,0.9995965,NO
242,377,0.9995965,NO
243,383,0.9995965,NO
244,72,0.9995965,NO
245,92,0.9995965,NO
246,284,4.0355124E-4,NO
247,371,0.9995965,NO
248,47,0.999899,NO
249,108,0.9995965,NO
250,111,0.9995965,NO
251,319,4.0355124E-4,NO
252,129,4.0355124E-4,NO
253,49,4.0355124E-4,NO
254,358,4.0355124E-4,NO
255,277,4.0355124E-4,NO
256,49,0.9995965,NO
257,89,0.9995965,NO
258,41,0.9998654,NO
259,66,0.9995965,NO
260,63,0.9997981,NO
261,24,0.9995965,NO
262,50,0.9995965,NO
263,72,0.9995965,NO
264,47,0.9995965,NO
265,47,0.99991924,NO
266,183,0.9995965,NO
267,49,0.9995965,NO
268,50,0.9995965,NO
269,98,0.9998654,NO
270,143,0.9997981,NO
271,43,0.9995965,NO
272,42,0.9997981,NO
273,56,0.9997981,NO
274,44,0.9995965,NO
275,26,0.9995965,NO
276,51,0.9997981,NO
277,41,4.0355124E-4,NO
278,104,4.0355124E-4,NO
279,54,4.0355124E-4,NO
280,254,0.9995965,NO
281,16883,0.9995965,NO
282,74,0.9995965,NO
283,153,0.9995965,NO
284,68,0.9995965,NO
285,100,0.9995965,NO
286,549,0.9995965,NO
287,437,0.9995965,NO
288,1033,0.9995965,NO
289,101,0.9995965,NO
290,331,0.9995965,NO
291,123,0.9995965,NO
292,106,0.9995965,NO
293,106,0.9995965,NO
294,93,0.9995965,NO
295,101,0.9995965,NO
296,38,0.9995965,NO
297,584,0.9995965,NO
298,32,0.9995965,NO
299,111,0.9995965,NO
300,35,0.9995965,NO
301,90,0.9995965,NO
302,27,0.9997981,NO
303,28,0.9997981,NO
304,92,0.9995965,NO
305,885,0.9995965,NO
306,67,0.9995965,NO
307,29,0.9995965,NO
308,105,0.9995965,NO
309,72,0.9995965,NO
310,37,0.9998654,NO
311,47,0.9995965,NO
312,31,0.9995965,NO
313,90,0.9995965,NO
314,223,0.9995965,NO
315,214,0.9995965,NO
316,107,0.9995965,NO
317,37,0.9998654,NO
318,27,0.9997981,NO
319,48,0.9998654,NO
320,166,0.9995965,NO
321,213,0.9995965,NO
322,866,0.9995965,NO
323,159,0.9995965,NO
324,100,0.9995965,NO
325,96,0.9995965,NO
326,841,4.0355124E-4,NO
327,525,0.9995965,NO
328,83,0.9995965,NO
329,63,0.9997981,NO
330,76,0.9997981,NO
331,202,0.9995965,NO
332,155,4.0355124E-4,NO
333,1262,0.9995965,NO
334,74,0.9998654,NO
335,101,4.0355124E-4,NO
336,27,0.9995965,NO
337,22,0.9995965,NO
338,489,4.0355124E-4,NO
339,62,0.9997981,NO
340,59,0.9995965,NO
341,99,0.9995965,NO
342,27,0.9997981,NO
343,77,0.9995965,NO
344,846,0.9995965,NO
345,64,0.9995965,NO
346,45,0.9995965,NO
347,63,0.9997981,NO
348,54,0.9995965,NO
349,64,0.9997981,NO
350,132,0.9995965,NO
351,177,0.9995965,NO
352,70,4.0355124E-4,NO
353,36,0.999899,NO
354,58,0.99991924,NO
355,62,0.9997981,NO
