ID,Size,Predicted,Actual
134,35,0.99776787,NO
277,41,0.99776787,NO
129,43,0.99776787,NO
167,43,0.99776787,NO
36,44,0.99776787,NO
115,45,0.99776787,NO
132,45,0.99776787,NO
127,47,0.99776787,NO
437,47,0.99776787,NO
253,49,0.99776787,NO
17,51,0.99776787,NO
279,54,0.99776787,NO
428,55,0.99776787,NO
196,56,0.99776787,NO
176,59,0.99776787,NO
340,59,0.99776787,NO
131,62,0.99776787,NO
195,64,0.99776787,NO
345,64,0.99776787,NO
191,67,0.99776787,NO
79,69,0.99776787,NO
263,72,0.99776787,NO
192,74,0.99776787,NO
282,74,0.99776787,NO
366,75,0.99776787,NO
222,38,0.5,NO
117,77,0.99776787,NO
48,79,0.99776787,NO
84,79,0.99776787,NO
409,79,0.99776787,NO
358,83,0.99776787,NO
86,84,0.99776787,NO
225,84,0.99776787,NO
207,89,0.99776787,NO
257,89,0.99776787,NO
45,90,0.99776787,NO
398,90,0.99776787,NO
70,92,0.99776787,NO
245,92,0.99776787,NO
304,92,0.99776787,NO
72,93,0.99776787,NO
294,93,0.99776787,NO
133,94,0.99776787,NO
227,94,0.99776787,NO
325,96,0.99776787,NO
177,99,0.99776787,NO
188,100,0.99776787,NO
295,101,0.99776787,NO
139,102,0.99776787,NO
395,103,0.99776787,NO
89,104,0.99776787,NO
278,104,0.99776787,NO
308,105,0.99776787,NO
37,106,0.99776787,NO
60,106,0.99776787,NO
292,106,0.99776787,NO
293,106,0.99776787,NO
316,107,0.99776787,NO
249,108,0.99776787,NO
375,108,0.99776787,NO
33,109,0.99776787,NO
61,109,0.99776787,NO
76,109,0.99776787,NO
187,109,0.99776787,NO
169,113,0.99776787,NO
168,114,0.99776787,NO
402,116,0.99776787,NO
226,117,0.99776787,NO
190,118,0.99776787,NO
291,123,0.99776787,NO
371,123,0.99776787,NO
235,125,0.99776787,NO
367,125,0.99776787,NO
59,126,0.99776787,NO
252,129,0.99776787,NO
165,131,0.99776787,NO
350,132,0.99776787,NO
369,134,0.99776787,NO
108,136,0.99776787,NO
47,137,0.99776787,NO
418,137,0.99776787,NO
209,138,0.99776787,NO
397,139,0.99776787,NO
123,140,0.99776787,NO
201,147,0.99776787,NO
236,151,0.99776787,NO
124,152,0.99776787,NO
8,154,0.99776787,NO
93,154,0.99776787,NO
224,156,0.99776787,NO
377,80,0.5,NO
234,160,0.99776787,NO
373,162,0.99776787,NO
32,163,0.99776787,NO
116,168,0.99776787,NO
214,171,0.99776787,NO
90,172,0.99776787,NO
351,177,0.99776787,NO
216,179,0.99776787,NO
57,182,0.99776787,NO
231,183,0.99776787,NO
114,92,0.5,NO
189,185,0.99776787,NO
81,94,0.5,NO
21,188,0.99776787,NO
54,189,0.99776787,NO
211,191,0.99776787,NO
74,192,0.99776787,NO
368,200,0.99776787,NO
331,202,0.99776787,NO
372,204,0.99776787,NO
321,213,0.99776787,NO
83,214,0.99776787,NO
315,214,0.99776787,NO
270,143,0.6664179,NO
0,215,0.99776787,NO
238,219,0.99776787,NO
34,147,0.6664179,NO
113,148,0.6664179,NO
314,223,0.99776787,NO
63,236,0.99776787,NO
130,243,0.99776787,NO
183,243,0.99776787,NO
94,248,0.99776787,NO
75,250,0.99776787,NO
185,259,0.99776787,NO
12,260,0.99776787,NO
120,260,0.99776787,NO
413,263,0.99776787,NO
31,268,0.99776787,NO
144,268,0.99776787,NO
46,273,0.99776787,NO
107,273,0.99776787,NO
172,273,0.99776787,NO
95,275,0.99776787,NO
255,277,0.99776787,NO
135,283,0.99776787,NO
246,284,0.99776787,NO
393,287,0.99776787,NO
399,297,0.99776787,NO
380,306,0.99776787,NO
425,308,0.99776787,NO
427,308,0.99776787,NO
42,314,0.99776787,NO
64,314,0.99776787,NO
106,325,0.99776787,NO
39,326,0.99776787,NO
381,340,0.99776787,NO
138,355,0.99776787,NO
363,355,0.99776787,NO
111,357,0.99776787,NO
58,358,0.99776787,NO
422,359,0.99776787,NO
411,365,0.99776787,NO
247,371,0.99776787,NO
16,388,0.99776787,NO
171,389,0.99776787,NO
184,402,0.99776787,NO
174,418,0.99776787,NO
237,421,0.99776787,NO
2,458,0.99776787,NO
71,466,0.99776787,NO
53,467,0.99776787,NO
338,489,0.99776787,NO
327,525,0.99776787,NO
286,549,0.99776787,NO
13,551,0.99776787,NO
182,551,0.99776787,NO
179,558,0.99776787,NO
78,565,0.99776787,NO
297,584,0.99776787,NO
136,585,0.99776787,NO
77,601,0.99776787,NO
200,617,0.99776787,NO
97,624,0.99776787,NO
40,648,0.99776787,NO
166,648,0.99776787,NO
118,664,0.99776787,NO
389,688,0.99776787,NO
65,694,0.99776787,NO
404,740,0.99776787,NO
178,762,0.99776787,NO
41,778,0.99776787,NO
365,798,0.99776787,NO
420,801,0.99776787,NO
326,841,0.99776787,NO
344,846,0.99776787,NO
322,866,0.99776787,NO
305,885,0.99776787,NO
10,928,0.99776787,NO
26,928,0.99776787,NO
147,952,0.99776787,NO
52,978,0.99776787,NO
288,1033,0.99776787,NO
186,1038,0.99776787,NO
396,1198,0.99776787,NO
6,1242,0.99776787,NO
333,1262,0.99776787,NO
101,4088,0.99776787,NO
261,24,0.002232143,NO
85,25,0.002232143,NO
275,26,0.002232143,NO
336,27,0.002232143,NO
303,28,0.002232143,NO
378,28,0.002232143,NO
307,29,0.002232143,NO
9,31,0.002232143,NO
312,31,0.002232143,NO
19,32,0.002232143,NO
150,32,0.002232143,NO
88,33,0.002232143,NO
87,34,0.002232143,NO
220,34,0.002232143,NO
221,34,0.002232143,NO
300,35,0.002232143,NO
383,35,0.002232143,NO
394,35,0.002232143,NO
149,36,0.002232143,NO
405,36,0.002232143,NO
406,36,0.002232143,NO
407,36,0.002232143,NO
281,16883,0.99776787,NO
296,38,0.002232143,NO
414,41,0.002232143,NO
240,42,0.002232143,NO
337,22,0.0011185682,NO
274,44,0.002232143,NO
264,47,0.002232143,NO
311,47,0.002232143,NO
122,48,0.002232143,NO
181,49,0.002232143,NO
256,49,0.002232143,NO
267,49,0.002232143,NO
24,50,0.002232143,NO
30,52,0.002232143,NO
203,52,0.002232143,NO
364,53,0.002232143,NO
424,53,0.002232143,NO
25,27,0.0011185682,NO
66,27,0.0011185682,NO
302,27,0.0011185682,NO
318,27,0.0011185682,NO
342,27,0.0011185682,NO
348,54,0.002232143,NO
109,56,0.002232143,NO
215,56,0.002232143,NO
35,58,0.002232143,NO
164,59,0.002232143,NO
27,60,0.002232143,NO
434,60,0.002232143,NO
28,62,0.002232143,NO
433,62,0.002232143,NO
260,63,0.002232143,NO
329,63,0.002232143,NO
347,63,0.002232143,NO
298,32,0.0011185682,NO
152,64,0.002232143,NO
349,64,0.002232143,NO
431,64,0.002232143,NO
163,65,0.002232143,NO
197,65,0.002232143,NO
20,66,0.002232143,NO
259,66,0.002232143,NO
306,67,0.002232143,NO
284,68,0.002232143,NO
173,69,0.002232143,NO
91,70,0.002232143,NO
232,70,0.002232143,NO
352,70,0.002232143,NO
146,71,0.002232143,NO
228,71,0.002232143,NO
218,36,0.0011185682,NO
204,72,0.002232143,NO
244,72,0.002232143,NO
309,72,0.002232143,NO
219,37,0.0011185682,NO
310,37,0.0011185682,NO
317,37,0.0011185682,NO
110,74,0.002232143,NO
361,74,0.002232143,NO
80,77,0.002232143,NO
343,77,0.002232143,NO
14,40,0.0011185682,NO
143,80,0.002232143,NO
258,41,0.0011185682,NO
49,82,0.002232143,NO
