ID,Size,Predicted,Actual
57,27,1.0,NO
211,27,1.0,NO
98,30,1.0,NO
9,31,1.0,NO
17,32,1.0,NO
144,36,1.0,NO
210,37,1.0,NO
13,40,1.0,NO
106,43,1.0,NO
22,46,1.0,YES
212,48,1.0,NO
112,49,1.0,NO
7,51,1.0,NO
28,52,1.0,YES
37,55,1.0,NO
80,55,1.0,NO
261,57,1.0,NO
71,58,1.0,YES
25,60,1.0,NO
163,63,1.0,NO
39,65,1.0,YES
18,66,1.0,NO
122,67,1.0,YES
124,74,1.0,NO
241,74,1.0,NO
108,77,1.0,YES
259,80,1.0,NO
47,84,1.0,NO
252,85,1.0,YES
246,86,1.0,NO
27,88,1.0,YES
58,88,1.0,YES
94,88,1.0,NO
52,90,1.0,YES
70,90,1.0,YES
30,91,1.0,YES
118,92,1.0,YES
185,92,1.0,YES
226,94,1.0,NO
119,100,1.0,NO
100,101,1.0,NO
160,103,1.0,NO
255,108,1.0,NO
54,113,1.0,YES
110,113,1.0,NO
151,114,1.0,NO
284,124,1.0,NO
50,127,1.0,NO
97,127,1.0,NO
155,129,1.0,NO
65,132,1.0,NO
240,132,1.0,NO
107,134,1.0,YES
287,139,1.0,YES
63,147,1.0,NO
75,148,1.0,YES
77,148,1.0,NO
142,148,1.0,YES
8,150,1.0,NO
126,152,1.0,YES
46,153,1.0,NO
179,153,1.0,NO
125,154,1.0,NO
140,162,1.0,NO
177,162,1.0,YES
29,163,1.0,NO
139,165,1.0,NO
123,166,1.0,NO
277,166,1.0,NO
101,167,1.0,YES
48,169,1.0,NO
281,170,1.0,NO
68,172,1.0,YES
76,174,1.0,NO
60,175,1.0,YES
10,180,1.0,NO
91,183,1.0,NO
165,183,1.0,NO
38,184,1.0,NO
120,185,1.0,NO
19,187,1.0,YES
49,189,1.0,YES
217,191,1.0,YES
258,201,1.0,NO
297,206,1.0,YES
295,208,1.0,NO
92,210,1.0,YES
0,215,1.0,NO
5,216,1.0,NO
36,216,1.0,YES
67,227,1.0,NO
257,227,1.0,NO
270,230,1.0,YES
66,236,1.0,YES
282,241,1.0,NO
283,241,1.0,YES
157,242,1.0,YES
294,246,1.0,YES
93,249,1.0,YES
81,256,1.0,YES
111,258,1.0,NO
116,259,1.0,NO
109,261,1.0,YES
279,265,1.0,YES
292,268,1.0,NO
1,271,1.0,NO
288,272,1.0,YES
55,276,1.0,YES
59,283,1.0,YES
192,299,1.0,YES
290,306,1.0,NO
44,312,1.0,YES
298,315,1.0,NO
134,318,1.0,NO
89,319,1.0,NO
90,321,1.0,NO
113,339,1.0,YES
186,355,1.0,YES
