ID,Size,Predicted,Actual
22,46,0.9962711,YES
112,49,0.9372394,NO
222,22,0.27010682,NO
197,27,0.24092573,NO
227,27,0.24092573,NO
26,62,0.5381277,YES
198,28,0.24092573,NO
260,28,0.24092573,NO
202,29,0.24092573,NO
253,31,0.24092573,NO
195,35,0.24092573,NO
145,37,0.22007939,NO
204,37,0.22007939,NO
233,37,0.22007939,NO
83,38,0.22007939,YES
146,38,0.22007939,NO
85,39,0.22007939,NO
147,39,0.22007939,NO
250,39,0.22007939,NO
46,153,0.853951,NO
123,166,0.91375947,NO
101,167,0.91706365,YES
91,183,0.99941564,NO
21,158,0.8529283,YES
161,41,0.22007939,NO
174,41,0.22007939,NO
181,41,0.22007939,NO
19,187,0.9989702,YES
129,163,0.8563743,YES
131,42,0.22007939,NO
171,42,0.22007939,NO
217,191,0.9950374,YES
50,127,0.6560324,NO
170,43,0.22007939,NO
11,196,0.99739176,NO
191,45,0.22007939,NO
105,46,0.22007939,NO
138,46,0.22007939,NO
92,210,0.99578387,YES
0,215,0.999679,NO
5,216,0.99996173,NO
102,47,0.20638432,NO
103,47,0.20638432,NO
104,47,0.20638432,NO
164,47,0.20638432,NO
299,47,0.20638432,NO
132,48,0.20638432,NO
244,48,0.20638432,NO
285,48,0.20638432,NO
66,236,0.9999926,YES
166,49,0.20638432,NO
283,241,0.9999971,YES
257,227,0.94066626,NO
297,206,0.85078627,YES
167,50,0.20638432,NO
270,230,0.94066626,YES
294,246,0.9999985,YES
173,51,0.20638432,NO
268,51,0.20638432,NO
93,249,0.9999982,YES
36,216,0.8614776,YES
282,241,0.95727736,NO
293,52,0.20638432,NO
157,242,0.95648485,YES
114,243,0.952968,NO
10,180,0.70305884,NO
14,255,0.99563515,YES
248,53,0.20638432,NO
289,53,0.20638432,NO
165,183,0.70305884,NO
111,258,0.9897167,NO
82,54,0.20638432,NO
176,54,0.20638432,NO
291,54,0.20638432,NO
81,256,0.97509265,YES
67,227,0.8619854,NO
109,261,0.9901793,YES
295,208,0.78612196,NO
272,251,0.94706875,NO
280,261,0.98453814,NO
279,265,0.9994561,YES
116,259,0.97233176,NO
292,268,0.9947274,NO
1,271,1.0,NO
288,272,1.0,YES
258,201,0.7303839,NO
281,170,0.61689186,NO
55,276,0.9932472,YES
76,174,0.61689186,NO
33,282,0.99655634,YES
59,283,0.9989126,YES
254,57,0.19899656,NO
269,57,0.19899656,NO
38,184,0.6325169,NO
141,58,0.19899656,NO
154,58,0.19899656,NO
225,58,0.19899656,NO
238,58,0.19899656,NO
267,58,0.19899656,NO
106,43,0.14715925,NO
192,299,0.99875313,YES
245,60,0.19899656,NO
177,162,0.5316537,YES
290,306,0.9997494,NO
120,185,0.5937854,NO
224,62,0.19899656,NO
239,62,0.19899656,NO
44,312,0.9999397,YES
277,166,0.5316537,NO
298,315,0.9998932,NO
133,63,0.19899656,NO
232,63,0.19899656,NO
134,318,0.99970454,NO
89,319,1.0,NO
90,321,1.0,NO
234,64,0.19899656,NO
296,64,0.19899656,NO
193,32,0.096760094,NO
256,32,0.096760094,NO
162,66,0.19899656,NO
