ID,Size,Predicted,Actual
22,46,0.99999434,YES
112,49,0.99917895,NO
46,153,0.9771525,NO
91,183,0.9999975,NO
19,187,0.9674251,YES
26,62,0.3038109,YES
5,216,0.9975328,NO
0,215,0.92345124,NO
66,236,0.9942457,YES
283,241,0.9985286,YES
294,246,0.9993955,YES
93,249,0.9997816,YES
1,271,0.9999918,NO
288,272,0.9999924,YES
92,210,0.7544543,YES
279,265,0.91071844,YES
59,283,0.97221595,YES
14,255,0.87553453,YES
222,22,0.074306756,NO
292,268,0.9017029,NO
290,306,0.9852133,NO
192,299,0.9583748,YES
44,312,0.9994316,YES
298,315,0.995065,NO
11,196,0.6170757,NO
89,319,1.0,NO
90,321,1.0,NO
111,258,0.79261583,NO
134,318,0.9754115,NO
50,127,0.38470003,NO
33,282,0.8487087,YES
113,339,1.0,YES
152,342,0.98909795,NO
186,355,1.0,YES
247,355,0.99999166,NO
115,358,0.99425554,YES
156,363,0.99969774,YES
159,366,0.99967504,NO
4,368,0.99999964,YES
15,379,1.0,YES
99,380,0.9999763,YES
182,400,1.0,YES
55,276,0.6755827,YES
183,425,1.0,YES
213,436,0.99999845,YES
262,446,0.9999996,NO
2,451,1.0,NO
217,191,0.41080382,YES
109,261,0.56068176,YES
12,473,1.0,YES
197,27,0.057027884,NO
227,27,0.057027884,NO
81,256,0.5330805,YES
223,481,1.0,NO
198,28,0.057027884,NO
260,28,0.057027884,NO
257,227,0.45549002,NO
270,230,0.45549002,YES
61,507,1.0,YES
69,507,1.0,YES
202,29,0.057027884,NO
16,509,1.0,YES
73,529,1.0,YES
253,31,0.057027884,NO
56,549,1.0,YES
116,259,0.4555367,NO
280,261,0.45822194,NO
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
249,612,1.0,YES
195,35,0.057027884,NO
145,37,0.057027884,NO
204,37,0.057027884,NO
233,37,0.057027884,NO
79,664,1.0,NO
83,38,0.057027884,YES
146,38,0.057027884,NO
297,206,0.3052816,YES
158,682,1.0,YES
85,39,0.057027884,NO
147,39,0.057027884,NO
250,39,0.057027884,NO
114,243,0.35185015,NO
74,694,1.0,YES
278,726,1.0,YES
96,734,1.0,YES
229,744,1.0,YES
157,242,0.32318473,YES
6,764,1.0,YES
24,788,1.0,YES
36,216,0.2719922,YES
35,800,1.0,YES
161,41,0.046913076,NO
174,41,0.046913076,NO
181,41,0.046913076,NO
131,42,0.046913076,NO
171,42,0.046913076,NO
43,905,1.0,YES
219,906,1.0,YES
282,241,0.26329264,NO
170,43,0.046913076,NO
191,45,0.046913076,NO
105,46,0.046913076,NO
138,46,0.046913076,NO
102,47,0.046913076,NO
103,47,0.046913076,NO
104,47,0.046913076,NO
164,47,0.046913076,NO
299,47,0.046913076,NO
132,48,0.046913076,NO
244,48,0.046913076,NO
285,48,0.046913076,NO
184,1041,1.0,YES
166,49,0.046913076,NO
167,50,0.046913076,NO
173,51,0.046913076,NO
268,51,0.046913076,NO
272,251,0.22847192,NO
293,52,0.046913076,NO
248,53,0.046913076,NO
289,53,0.046913076,NO
82,54,0.046913076,NO
176,54,0.046913076,NO
291,54,0.046913076,NO
117,1167,1.0,YES
281,170,0.13261367,NO
76,174,0.13261367,NO
21,158,0.11721344,YES
10,180,0.13261367,NO
254,57,0.041483868,NO
269,57,0.041483868,NO
165,183,0.13261367,NO
295,208,0.14962482,NO
141,58,0.041483868,NO
154,58,0.041483868,NO
225,58,0.041483868,NO
238,58,0.041483868,NO
267,58,0.041483868,NO
38,184,0.12801628,NO
245,60,0.041483868,NO
67,227,0.15477866,NO
224,62,0.041483868,NO
239,62,0.041483868,NO
133,63,0.041483868,NO
232,63,0.041483868,NO
234,64,0.041483868,NO
296,64,0.041483868,NO
162,66,0.041483868,NO
258,201,0.12595855,NO
86,69,0.041483868,YES
179,153,0.09194941,NO
101,167,0.09956408,YES
95,71,0.041483868,NO
150,71,0.041483868,NO
177,162,0.09194941,YES
277,166,0.09194941,NO
130,72,0.03948634,NO
143,74,0.03948634,NO
220,74,0.03948634,NO
243,74,0.03948634,NO
123,166,0.08712662,NO
216,76,0.03948634,NO
286,76,0.03948634,NO
129,163,0.083807744,YES
