ID,Size,Predicted,Actual
0,215,0.7090101460090996,NO
1,273,0.7409891485084267,YES
2,460,0.7472111425976284,YES
3,138,0.7328740258021594,NO
4,358,0.7447414709905121,NO
5,163,0.7028737676081754,NO
6,1248,0.7211252181170811,YES
7,51,0.695264411364116,NO
8,157,0.7328740258021594,NO
9,31,0.695264411364116,NO
10,981,0.7086970161794056,YES
11,180,0.7061228173305366,NO
12,262,0.7409891485084267,NO
13,553,0.7484221791172109,YES
14,40,0.695264411364116,NO
15,369,0.7447414709905121,NO
16,390,0.7447414709905121,NO
17,51,0.695264411364116,NO
18,577,0.7194997646361702,YES
19,32,0.695264411364116,NO
20,66,0.695264411364116,NO
21,188,0.7061228173305366,YES
22,582,0.7194997646361702,YES
23,160,0.7328740258021594,YES
24,50,0.695264411364116,NO
25,27,0.695264411364116,NO
26,923,0.7428102761191939,YES
27,60,0.695264411364116,NO
28,62,0.695264411364116,NO
29,87,0.6992566090046157,NO
30,52,0.695264411364116,NO
31,268,0.7115415577984873,YES
32,163,0.7028737676081754,NO
33,109,0.6992566090046157,NO
34,147,0.7028737676081754,NO
35,58,0.695264411364116,NO
36,44,0.695264411364116,NO
37,106,0.6992566090046157,YES
38,139,0.7028737676081754,NO
39,326,0.713722238708541,YES
40,648,0.7194614869894377,YES
41,792,0.7459911323112755,YES
42,319,0.7370230471472037,YES
43,55,0.695264411364116,NO
44,191,0.7061228173305366,NO
45,90,0.6992566090046157,NO
46,273,0.7115415577984873,YES
47,137,0.7028737676081754,NO
48,79,0.6992566090046157,NO
49,82,0.6992566090046157,NO
50,147,0.7028737676081754,NO
51,422,0.7170488960782408,YES
52,979,0.7383282037873499,YES
53,495,0.7472111425976284,YES
54,189,0.7061228173305366,YES
55,167,0.708429311985412,YES
56,86,0.7294815216299602,NO
57,182,0.7061228173305366,YES
58,361,0.7178187695406196,YES
59,126,0.7028737676081754,YES
60,106,0.6992566090046157,NO
61,109,0.6992566090046157,NO
62,85,0.6992566090046157,NO
63,236,0.7090101460090996,NO
64,315,0.7430276101824279,YES
65,695,0.7479014510444215,YES
66,27,0.695264411364116,NO
67,89,0.6992566090046157,NO
68,301,0.7349539444205687,YES
69,153,0.7028737676081754,YES
70,92,0.6992566090046157,NO
71,466,0.7182019240735743,YES
72,93,0.6992566090046157,NO
73,244,0.7090101460090996,NO
74,192,0.7061228173305366,YES
75,252,0.7325507651659815,NO
76,109,0.6992566090046157,NO
77,601,0.719647389365935,YES
78,565,0.7484221791172109,YES
79,69,0.695264411364116,NO
80,77,0.6992566090046157,NO
81,94,0.6992566090046157,YES
82,337,0.713722238708541,NO
83,214,0.7090101460090996,NO
84,79,0.6992566090046157,NO
85,25,0.695264411364116,NO
86,84,0.6992566090046157,NO
87,34,0.695264411364116,NO
88,33,0.695264411364116,NO
89,104,0.6992566090046157,NO
90,172,0.7061228173305366,NO
91,70,0.695264411364116,NO
92,140,0.7028737676081754,NO
93,156,0.7328740258021594,NO
94,248,0.7090101460090996,NO
95,277,0.7409891485084267,YES
96,189,0.7114123923374446,NO
97,194,0.7114123923374446,NO
98,346,0.7189294762380884,NO
99,304,0.7167727202615289,NO
100,356,0.7430276101824279,YES
101,84,0.7046180725381321,NO
102,53,0.695264411364116,NO
103,132,0.7028737676081754,NO
104,4088,0.0302313035588663,NO
105,691,0.7479014510444215,YES
106,47,0.7006665791051641,NO
107,101,0.6992566090046157,NO
108,510,0.7420438365556541,YES
109,328,0.713722238708541,YES
110,273,0.7115415577984873,YES
111,136,0.7028737676081754,NO
112,56,0.695264411364116,NO
113,74,0.6992566090046157,NO
114,359,0.7155567281983155,YES
115,174,0.7061228173305366,NO
116,148,0.7028737676081754,NO
117,92,0.6992566090046157,NO
118,45,0.695264411364116,NO
119,168,0.7061228173305366,NO
120,77,0.6992566090046157,NO
121,666,0.7483864680584577,NO
122,88,0.6992566090046157,NO
123,262,0.7409891485084267,NO
124,54,0.695264411364116,NO
125,48,0.695264411364116,YES
126,140,0.7028737676081754,YES
127,152,0.7028737676081754,NO
128,39,0.695264411364116,NO
129,131,0.7028737676081754,NO
130,47,0.695264411364116,NO
131,129,0.7028737676081754,NO
132,43,0.695264411364116,NO
133,243,0.7090101460090996,YES
134,62,0.695264411364116,NO
135,45,0.695264411364116,NO
136,97,0.7294815216299602,NO
137,35,0.695264411364116,NO
138,286,0.7167727202615289,YES
139,585,0.7194997646361702,NO
140,295,0.7115415577984873,YES
141,355,0.713722238708541,NO
142,102,0.6992566090046157,NO
143,226,0.7090101460090996,NO
144,153,0.7028737676081754,NO
145,380,0.7155567281983155,YES
146,80,0.6992566090046157,NO
147,268,0.7115415577984873,NO
148,221,0.7090101460090996,NO
149,71,0.695264411364116,NO
150,952,0.7112689933480527,YES
151,230,0.7090101460090996,YES
152,36,0.695264411364116,NO
153,32,0.695264411364116,NO
154,420,0.7193037258740947,NO
155,64,0.695264411364116,NO
156,208,0.7061228173305366,YES
157,408,0.7170488960782408,YES
158,462,0.7182019240735743,NO
159,340,0.713722238708541,NO
160,100,0.6992566090046157,YES
161,342,0.7370230471472037,YES
162,178,0.7061228173305366,YES
163,148,0.7267194689131581,NO
164,43,0.695264411364116,NO
165,88,0.6992566090046157,YES
166,326,0.7370230471472037,NO
167,65,0.695264411364116,NO
168,59,0.695264411364116,NO
169,131,0.7028737676081754,NO
170,648,0.7194614869894377,NO
171,43,0.695264411364116,NO
172,114,0.6992566090046157,YES
173,102,0.7015942195457184,NO
174,309,0.713722238708541,YES
175,389,0.7155567281983155,YES
176,321,0.713722238708541,NO
177,69,0.695264411364116,YES
178,418,0.7170488960782408,NO
179,230,0.7090101460090996,NO
180,59,0.695264411364116,NO
181,99,0.6992566090046157,NO
182,762,0.7180867583005407,NO
183,558,0.7194997646361702,YES
184,258,0.7090101460090996,NO
185,49,0.695264411364116,NO
186,551,0.7194997646361702,NO
187,243,0.7090101460090996,NO
188,402,0.7155567281983155,YES
189,259,0.7090101460090996,NO
190,1038,0.705768486688961,NO
191,108,0.7232783148759397,NO
192,100,0.6992566090046157,NO
193,185,0.7061228173305366,NO
194,118,0.6992566090046157,NO
195,67,0.695264411364116,NO
196,74,0.6992566090046157,YES
197,153,0.7028737676081754,NO
198,120,0.7028737676081754,NO
199,64,0.695264411364116,NO
200,56,0.695264411364116,NO
201,55,0.695264411364116,NO
202,223,0.7090101460090996,NO
203,617,0.719647389365935,NO
204,148,0.7267194689131581,YES
205,96,0.6992566090046157,NO
206,52,0.695264411364116,NO
207,476,0.8934246929518141,NO
208,77,0.8843628958358175,NO
209,69,0.8824146853513836,NO
210,104,0.8843628958358175,NO
211,115,0.8843628958358175,NO
212,421,0.8928816882803353,NO
213,61,0.8824146853513836,NO
214,2009,0.8077723359644688,NO
215,179,0.8876818034485214,NO
216,106,0.8843628958358175,NO
217,33,0.8824146853513836,NO
218,657,0.8940166313074517,NO
219,295,0.8902730309954447,NO
220,872,0.8920861016260879,NO
221,444,0.8928816882803353,NO
222,168,0.8876818034485214,NO
223,752,0.8933705057545912,NO
224,135,0.8861163000961462,NO
225,1126,0.884149376085126,NO
226,163,0.8861163000961462,NO
227,184,0.8876818034485214,NO
228,51,0.8824146853513836,NO
229,25,0.8824146853513836,NO
230,180,0.8876818034485214,NO
231,64,0.8824146853513836,NO
232,101,0.8843628958358175,NO
233,512,0.8938084963174586,NO
234,187,0.8876818034485214,NO
235,56,0.8824146853513836,NO
236,39,0.8824146853513836,NO
237,261,0.8890655667826539,NO
238,73,0.8843628958358175,NO
239,65,0.8824146853513836,NO
240,329,0.8913089392265952,NO
241,64,0.8824146853513836,NO
242,164,0.8861163000961462,NO
243,624,0.8941038879301751,NO
244,74,0.8843628958358175,NO
245,117,0.8843628958358175,NO
246,84,0.8843628958358175,NO
247,226,0.8890655667826539,NO
248,76,0.8843628958358175,NO
249,323,0.8913089392265952,NO
250,153,0.8861163000961462,NO
251,250,0.8890655667826539,NO
252,73,0.8843628958358175,NO
253,84,0.8843628958358175,NO
254,61,0.8824146853513836,NO
255,936,0.8901432756137752,NO
256,76,0.8843628958358175,NO
257,165,0.8861163000961462,NO
258,504,0.8938084963174586,NO
259,109,0.8843628958358175,NO
260,77,0.8843628958358175,NO
261,75,0.8843628958358175,NO
