ID,Size,Predicted,Actual
0,215,0.12530734857973747,NO
1,274,0.1583746940113696,YES
2,461,0.16193012176579918,YES
3,138,0.12211664600607464,NO
4,358,0.04198042721582514,NO
5,163,0.039497481124478796,NO
6,1248,0.9241936577012889,YES
7,51,0.037296805496664726,NO
8,45,0.049360535077473754,NO
9,157,0.039497481124478796,NO
10,31,0.037296805496664726,NO
11,1008,0.06957196963181317,YES
12,55,0.08619120615407576,NO
13,204,0.09070076950770498,NO
14,55,0.04917929091047002,NO
15,103,0.050116916229077234,NO
16,83,0.04694590601782396,NO
17,262,0.12658691868356348,NO
18,83,0.050909532058035965,NO
19,867,0.15259201245966925,YES
20,40,0.037296805496664726,NO
21,387,0.15254346158087007,YES
22,390,0.12947514333129406,NO
23,51,0.037296805496664726,NO
24,637,0.36832839598681044,NO
25,32,0.037296805496664726,NO
26,68,0.050909532058035965,YES
27,547,0.08768354610815005,YES
28,566,0.1725818788060687,NO
29,314,0.5106040024689132,YES
30,839,0.25473287834085906,NO
31,211,0.1608579627332299,NO
32,31,0.04986007025774357,NO
33,50,0.037296805496664726,NO
34,27,0.037296805496664726,NO
35,175,0.08422257563212973,NO
36,50,0.04986007025774357,NO
37,62,0.03809243542879548,NO
38,87,0.1181340601646396,NO
39,52,0.037296805496664726,NO
40,373,0.5149698191993227,NO
41,224,0.054251961427928756,NO
42,118,0.03882731651443323,YES
43,83,0.03809243542879548,NO
44,147,0.039497481124478796,NO
45,58,0.050909532058035965,NO
46,44,0.037296805496664726,NO
47,106,0.03882731651443323,NO
48,189,0.15901917178743374,NO
49,151,0.039497481124478796,NO
50,352,0.04198042721582514,YES
51,849,0.049651723205402426,YES
52,877,0.11411291291106909,YES
53,41,0.049360535077473754,NO
54,319,0.041762309658594864,YES
55,27,0.037296805496664726,NO
56,55,0.03809243542879548,NO
57,94,0.03882731651443323,NO
58,191,0.04009927555154392,NO
59,90,0.03809243542879548,NO
60,90,0.03809243542879548,NO
61,271,0.12658691868356348,YES
62,152,0.052234402234972575,NO
63,90,0.05040004031963631,YES
64,82,0.1181340601646396,NO
65,147,0.039497481124478796,NO
66,422,0.1296231381799104,YES
67,1059,0.06677391539938224,YES
68,530,0.04202570125695506,NO
69,205,0.08528417854397916,YES
70,190,0.049395225472567764,NO
71,86,0.1181340601646396,NO
72,207,0.14450306896032478,YES
73,397,0.15987820869454133,YES
74,573,0.04155276388254408,NO
75,126,0.03882731651443323,YES
76,167,0.05301954762554673,YES
77,109,0.03882731651443323,NO
78,85,0.03809243542879548,NO
79,237,0.04062939083781132,NO
80,424,0.05571788146994959,YES
81,47,0.037296805496664726,NO
82,1118,0.6271876706501598,YES
83,27,0.037296805496664726,NO
84,89,0.03809243542879548,NO
85,474,0.16193012176579918,YES
86,166,0.04009927555154392,NO
87,92,0.03882731651443323,NO
88,476,0.05567844308701759,YES
89,93,0.03882731651443323,NO
90,244,0.0410848907780413,NO
91,204,0.053710912389278935,YES
92,252,0.0410848907780413,NO
93,109,0.03882731651443323,YES
94,618,0.15874998313047922,YES
95,565,0.04182990069507175,YES
96,69,0.03809243542879548,NO
97,77,0.03809243542879548,NO
98,97,0.03882731651443323,NO
99,343,0.041762309658594864,NO
100,214,0.04062939083781132,NO
101,79,0.03809243542879548,NO
102,25,0.037296805496664726,NO
103,84,0.03809243542879548,NO
104,34,0.037296805496664726,NO
105,33,0.037296805496664726,NO
106,104,0.03882731651443323,NO
107,172,0.04009927555154392,NO
108,70,0.03809243542879548,NO
109,140,0.039497481124478796,NO
110,156,0.039497481124478796,NO
111,142,0.039497481124478796,NO
112,152,0.039497481124478796,NO
113,31,0.037296805496664726,NO
114,60,0.03809243542879548,NO
115,60,0.03809243542879548,NO
116,876,0.036682482307753526,NO
117,61,0.03809243542879548,NO
118,185,0.04009927555154392,NO
119,264,0.0410848907780413,NO
120,43,0.049360535077473754,NO
121,248,0.0410848907780413,NO
122,310,0.08535137464493382,YES
123,199,0.1428194139996604,NO
124,194,0.12381498012074188,NO
125,346,0.041762309658594864,NO
126,90,0.14632166116558437,NO
127,335,0.05518761600637448,YES
128,372,0.27004621444300536,NO
129,84,0.03809243542879548,NO
130,53,0.037296805496664726,NO
131,148,0.052234402234972575,YES
132,4088,1.5058717132326976E-6,NO
133,860,0.15130115486096463,YES
134,47,0.037296805496664726,NO
135,101,0.03882731651443323,NO
136,517,0.04202570125695506,YES
137,327,0.041762309658594864,YES
138,275,0.054797898428718746,YES
139,136,0.052234402234972575,YES
140,56,0.03809243542879548,NO
141,74,0.03809243542879548,YES
142,362,0.15942545566463584,YES
143,174,0.12381498012074188,NO
144,148,0.12211664600607464,NO
145,92,0.12022011666904471,NO
146,45,0.037296805496664726,NO
147,39,0.05498982418863637,NO
148,182,0.05355402644133717,NO
149,77,0.1181340601646396,NO
150,666,0.04076116358502603,NO
151,88,0.03809243542879548,YES
152,263,0.0410848907780413,YES
153,54,0.037296805496664726,NO
154,76,0.05614087804978933,NO
155,132,0.12211664600607464,NO
156,160,0.039497481124478796,YES
157,152,0.039497481124478796,NO
158,39,0.037296805496664726,NO
159,677,0.04025112795128831,NO
160,131,0.039497481124478796,NO
161,47,0.037296805496664726,NO
162,129,0.039497481124478796,NO
163,43,0.037296805496664726,NO
164,73,0.050909532058035965,NO
165,257,0.0410848907780413,NO
166,356,0.04198042721582514,NO
167,62,0.03809243542879548,NO
168,45,0.037296805496664726,NO
169,97,0.03882731651443323,NO
170,39,0.037296805496664726,NO
171,429,0.1836987868867956,YES
172,575,0.15246856895323144,YES
173,142,0.0486609933124507,NO
174,84,0.05040004031963631,NO
175,560,0.9513725395716818,YES
176,359,0.061752762393626356,YES
177,102,0.08776934253486601,NO
178,226,0.15122373996579244,YES
179,153,0.12211664600607464,NO
180,458,0.27836113577423977,YES
181,80,0.14280907709472895,YES
182,352,0.15210771886408847,YES
183,264,0.15094850325510725,YES
184,241,0.12658691868356348,NO
185,71,0.03809243542879548,NO
186,991,0.10601787472608713,NO
187,230,0.12530734857973747,NO
188,36,0.037296805496664726,NO
189,226,0.14610558304772148,YES
190,32,0.037296805496664726,NO
191,420,0.12947514333129406,NO
192,111,0.12022011666904471,NO
193,64,0.1181340601646396,NO
194,211,0.2633732414966867,YES
195,397,0.12947514333129406,NO
196,462,0.12953856421965382,NO
197,340,0.1284852215156923,NO
198,279,0.04146323682497655,NO
199,101,0.15068492828609517,YES
200,343,0.16066200167336683,YES
201,71,0.05040004031963631,YES
202,32,0.045974193476746264,YES
203,272,0.0410848907780413,YES
204,148,0.039497481124478796,NO
205,43,0.037296805496664726,NO
206,89,0.03809243542879548,YES
207,326,0.1284852215156923,NO
208,65,0.03809243542879548,NO
209,59,0.03809243542879548,NO
210,131,0.039497481124478796,NO
211,648,0.12567777895588106,NO
212,43,0.037296805496664726,NO
213,59,0.1181340601646396,NO
214,289,0.1276478297123986,NO
215,102,0.03882731651443323,NO
216,288,0.1276478297123986,YES
217,423,0.1296231381799104,YES
218,337,0.054652684085263165,YES
219,108,0.03882731651443323,NO
220,418,0.04211635901303678,YES
221,230,0.12530734857973747,NO
222,59,0.03809243542879548,NO
223,99,0.03882731651443323,NO
224,763,0.05747691529238327,NO
225,601,0.04155276388254408,NO
226,258,0.12658691868356348,NO
227,49,0.037296805496664726,NO
228,531,0.09323699329098883,YES
229,244,0.1624331416858793,YES
230,401,0.12947514333129406,NO
231,273,0.1624331416858793,NO
232,1074,0.12444060783674765,NO
233,108,0.03882731651443323,YES
234,100,0.12022011666904471,NO
235,186,0.15901917178743374,YES
236,118,0.12022011666904471,NO
237,67,0.03809243542879548,NO
238,99,0.03882731651443323,NO
239,170,0.15312272448527156,NO
240,120,0.12022011666904471,NO
241,64,0.03809243542879548,NO
242,56,0.03809243542879548,NO
243,319,0.05518761600637448,NO
244,55,0.03809243542879548,NO
245,294,0.08613667412256937,YES
246,618,0.162816187362509,YES
247,158,0.039497481124478796,YES
248,80,0.03809243542879548,NO
249,111,0.05187834533278119,YES
250,52,0.037296805496664726,NO
251,131,0.0789245452940041,NO
252,68,0.04783229853460505,YES
253,99,0.04874555942140182,NO
254,53,0.04887916283885396,NO
255,81,0.049909062871396806,NO
256,78,0.049909062871396806,YES
257,69,0.049909062871396806,NO
258,69,0.049909062871396806,NO
259,77,0.049909062871396806,NO
260,72,0.049909062871396806,NO
261,72,0.049909062871396806,NO
262,63,0.049909062871396806,NO
263,50,0.04887916283885396,NO
264,28,0.04887916283885396,NO
265,96,0.05085985738481869,NO
266,40,0.04887916283885396,NO
267,76,0.049909062871396806,NO
268,49,0.04887916283885396,NO
269,63,0.049909062871396806,NO
270,55,0.049909062871396806,NO
271,45,0.04887916283885396,NO
272,476,0.04213906025763692,YES
273,77,0.03809243542879548,YES
274,69,0.03809243542879548,YES
275,104,0.03882731651443323,YES
276,115,0.03882731651443323,YES
277,421,0.04216933662968418,YES
278,61,0.03809243542879548,YES
279,2009,0.006577987956354468,YES
280,179,0.04009927555154392,YES
281,106,0.03882731651443323,YES
282,33,0.037296805496664726,YES
283,657,0.04076116358502603,YES
284,295,0.04146323682497655,YES
285,872,0.036682482307753526,YES
286,444,0.04216933662968418,YES
287,168,0.04009927555154392,YES
288,752,0.03901671199644861,YES
289,135,0.039497481124478796,YES
290,1126,0.0296018915404305,YES
291,163,0.039497481124478796,YES
292,184,0.04009927555154392,YES
293,51,0.037296805496664726,YES
294,25,0.037296805496664726,YES
295,180,0.04009927555154392,YES
296,64,0.03809243542879548,YES
297,101,0.03882731651443323,YES
298,512,0.04202570125695506,YES
299,187,0.04009927555154392,YES
300,56,0.03809243542879548,YES
301,39,0.037296805496664726,YES
302,261,0.0410848907780413,YES
