ID,Size,Predicted,Actual
552,22,0.10273538,YES
476,24,0.10273538,YES
102,25,0.10273538,NO
294,25,0.10273538,YES
264,28,0.114253275,NO
333,26,0.09841878,YES
490,26,0.09841878,YES
32,31,0.114253275,NO
34,27,0.09841878,NO
55,27,0.09841878,NO
83,27,0.09841878,NO
400,27,0.09841878,YES
517,27,0.09841878,YES
533,27,0.09841878,YES
551,27,0.09841878,YES
557,27,0.09841878,YES
202,32,0.11382906,NO
349,28,0.09841878,YES
518,28,0.09841878,YES
593,28,0.09841878,YES
409,29,0.09841878,YES
522,29,0.09841878,YES
12,55,0.17702794,NO
10,31,0.09841878,NO
113,31,0.09841878,NO
527,31,0.09841878,YES
25,32,0.09841878,NO
190,32,0.09841878,YES
513,32,0.09841878,YES
147,39,0.11657379,NO
105,33,0.09841878,NO
282,33,0.09841878,YES
346,33,0.09841878,YES
104,34,0.09841878,NO
435,34,0.09841878,YES
436,34,0.09841878,YES
266,40,0.114253275,NO
381,35,0.09841878,YES
515,35,0.09841878,YES
598,35,0.09841878,YES
609,35,0.09841878,YES
53,41,0.114253275,NO
181,80,0.22004485,YES
188,36,0.09841878,NO
351,36,0.09841878,YES
433,36,0.09841878,YES
568,36,0.09841878,YES
620,36,0.09841878,YES
621,36,0.09841878,YES
622,36,0.09841878,YES
373,37,0.09841878,YES
434,37,0.09841878,YES
525,37,0.09841878,YES
532,37,0.09841878,YES
335,38,0.09841878,YES
377,38,0.09841878,YES
437,38,0.09841878,YES
511,38,0.09841878,YES
120,43,0.11019722,YES
213,59,0.15002729,NO
158,39,0.09841878,NO
170,39,0.09841878,NO
301,39,0.09841878,YES
438,39,0.09841878,YES
20,40,0.09841878,NO
413,40,0.09841878,YES
8,45,0.11019722,NO
271,45,0.11019722,NO
126,90,0.22004485,YES
29,314,0.76638323,YES
473,41,0.09841878,YES
492,41,0.09841878,YES
629,41,0.09841878,YES
420,42,0.09841878,YES
455,42,0.09841878,YES
487,42,0.09841878,YES
193,64,0.14577971,NO
268,49,0.11019722,NO
163,43,0.09486466,NO
205,43,0.09486466,NO
212,43,0.09486466,NO
486,43,0.09486466,YES
36,50,0.11019722,NO
263,50,0.11019722,NO
40,373,0.8199188,NO
46,44,0.09486466,NO
489,44,0.09486466,YES
199,101,0.21668474,YES
146,45,0.09486466,NO
168,45,0.09486466,NO
561,45,0.09486466,YES
254,53,0.11019722,NO
350,46,0.09486466,YES
417,46,0.09486466,YES
427,46,0.09486466,YES
81,47,0.09486466,NO
134,47,0.09486466,NO
161,47,0.09486466,NO
375,47,0.09486466,YES
463,47,0.09486466,YES
479,47,0.09486466,YES
480,47,0.09486466,YES
526,47,0.09486466,YES
652,47,0.09486466,YES
270,55,0.11019722,NO
14,55,0.10976499,NO
421,48,0.09486466,YES
534,48,0.09486466,YES
575,48,0.09486466,YES
634,48,0.09486466,YES
194,211,0.41114795,YES
227,49,0.09486466,NO
468,49,0.09486466,YES
471,49,0.09486466,YES
482,49,0.09486466,YES
45,58,0.11019722,NO
33,50,0.09486466,NO
370,50,0.09486466,YES
454,50,0.09486466,YES
477,50,0.09486466,YES
483,50,0.09486466,YES
7,51,0.09486466,NO
23,51,0.09486466,NO
293,51,0.09486466,YES
491,51,0.09486466,NO
602,51,0.09486466,YES
149,77,0.14248665,NO
39,52,0.09486466,NO
250,52,0.09486466,NO
130,53,0.09486466,NO
579,53,0.09486466,YES
639,53,0.09486466,YES
175,560,0.99869925,YES
153,54,0.09486466,NO
399,54,0.09486466,YES
448,54,0.09486466,YES
494,54,0.09486466,YES
563,54,0.09486466,YES
641,54,0.09486466,YES
64,82,0.14248665,NO
56,55,0.09486466,NO
244,55,0.09486466,NO
643,55,0.09486466,YES
262,63,0.10693545,NO
269,63,0.10693545,NO
140,56,0.09486466,NO
242,56,0.09486466,NO
300,56,0.09486466,YES
