ID,Size,Predicted,Actual
229,25,0.40873635,NO
268,26,0.40873635,NO
335,27,0.40873635,NO
284,28,0.40873635,NO
344,29,0.40873635,NO
217,33,0.39881486,NO
281,33,0.39881486,NO
316,35,0.39881486,NO
286,36,0.39881486,NO
308,37,0.39881486,NO
270,38,0.39881486,NO
312,38,0.39881486,NO
236,39,0.39881486,NO
348,40,0.39789635,NO
285,46,0.39789635,NO
352,46,0.39789635,NO
310,47,0.39789635,NO
305,50,0.39789635,NO
228,51,0.38982898,NO
334,54,0.38982898,NO
235,56,0.38982898,NO
311,56,0.38982898,NO
213,61,0.38982898,NO
254,61,0.38982898,NO
320,62,0.38982898,NO
306,63,0.38982898,NO
231,64,0.38982898,NO
241,64,0.38982898,NO
239,65,0.38982898,NO
336,66,0.39289787,NO
209,69,0.39289787,NO
319,71,0.3866254,NO
331,71,0.3866254,NO
321,72,0.3866254,NO
238,73,0.3866254,NO
252,73,0.3866254,NO
322,73,0.3866254,NO
244,74,0.3866254,NO
261,75,0.3866254,NO
248,76,0.3866254,NO
256,76,0.3866254,NO
208,77,0.3866254,NO
260,77,0.3866254,NO
347,77,0.3866254,NO
304,78,0.3866254,NO
307,79,0.3866254,NO
343,82,0.3866254,NO
246,84,0.3866254,NO
253,84,0.3866254,NO
342,86,0.3866254,NO
269,87,0.3866254,NO
346,87,0.3866254,NO
301,88,0.3866254,NO
292,91,0.38214096,NO
282,95,0.38915378,NO
349,95,0.38915378,NO
267,96,0.38915378,NO
296,98,0.38915378,NO
232,101,0.38915378,NO
278,101,0.38915378,NO
210,104,0.38915378,NO
216,106,0.38915378,NO
276,107,0.38915378,NO
337,107,0.38915378,NO
259,109,0.38915378,NO
298,77,0.26263517,NO
211,115,0.38641638,NO
330,119,0.39745405,NO
283,116,0.38641638,NO
315,116,0.38641638,NO
341,120,0.39745405,NO
245,117,0.38641638,NO
303,125,0.39745405,NO
263,127,0.39745405,NO
297,127,0.39745405,NO
293,129,0.39745405,NO
317,129,0.39745405,NO
224,135,0.3964703,NO
294,138,0.3964703,NO
302,139,0.3964703,NO
290,145,0.4116469,NO
264,148,0.4116469,NO
291,151,0.41244915,NO
250,153,0.41244915,NO
266,157,0.41244915,NO
338,157,0.41244915,NO
340,161,0.41244915,NO
487,22,0.05612987,NO
226,163,0.41244915,NO
299,171,0.43190065,NO
242,164,0.41244915,NO
288,164,0.41244915,NO
257,165,0.41244915,NO
277,174,0.43453583,NO
279,176,0.43453583,NO
222,168,0.41244915,NO
265,169,0.41244915,NO
215,179,0.43453583,NO
230,180,0.43453583,NO
309,181,0.43453583,NO
227,184,0.43453583,NO
411,24,0.05612987,NO
234,187,0.43453583,NO
327,192,0.43900153,NO
289,193,0.43900153,NO
262,204,0.46288097,NO
85,25,0.05612987,NO
295,222,0.49750152,NO
280,212,0.46924496,NO
300,212,0.46924496,NO
326,214,0.46924496,NO
274,234,0.50575,NO
425,26,0.05612987,NO
339,300,0.64710885,NO
251,250,0.5381505,NO
272,380,0.81636107,NO
329,256,0.5481788,NO
313,237,0.50575,NO
240,329,0.70037425,NO
350,337,0.714875,NO
271,281,0.59574485,NO
275,239,0.50575,NO
324,413,0.8714933,NO
273,339,0.714875,NO
332,340,0.714875,NO
237,261,0.5481788,NO
318,261,0.5481788,NO
333,241,0.50575,NO
351,376,0.7821782,NO
353,399,0.82980525,NO
25,27,0.05612987,NO
66,27,0.05612987,NO
452,27,0.05612987,NO
468,27,0.05612987,NO
486,27,0.05612987,NO
492,27,0.05612987,NO
212,421,0.8714933,NO
219,295,0.60897934,NO
325,322,0.6612867,NO
345,267,0.5481788,NO
314,273,0.5599975,NO
249,323,0.6612867,NO
221,444,0.90622115,NO
453,28,0.05612987,NO
528,28,0.05612987,NO
207,476,0.9409577,NO
323,145,0.28333905,NO
457,29,0.05612987,NO
258,504,0.9600155,NO
233,512,0.9699831,NO
9,31,0.053985905,NO
462,31,0.053985905,NO
19,32,0.053985905,NO
153,32,0.053985905,NO
448,32,0.053985905,NO
88,33,0.053985905,NO
243,624,0.9944742,NO
87,34,0.053985905,NO
370,34,0.053985905,NO
371,34,0.053985905,NO
247,226,0.35875052,NO
328,628,0.99687,NO
137,35,0.053985905,NO
450,35,0.053985905,NO
533,35,0.053985905,NO
544,35,0.053985905,NO
218,657,0.9985204,NO
152,36,0.053985905,NO
368,36,0.053985905,NO
503,36,0.053985905,NO
555,36,0.053985905,NO
556,36,0.053985905,NO
557,36,0.053985905,NO
369,37,0.053985905,NO
460,37,0.053985905,NO
467,37,0.053985905,NO
287,692,0.9994593,NO
372,38,0.053985905,NO
446,38,0.053985905,NO
128,39,0.053985905,NO
373,39,0.053985905,NO
14,40,0.053985905,NO
223,752,0.9998807,NO
408,41,0.053985905,NO
427,41,0.053985905,NO
564,41,0.053985905,NO
355,42,0.053985905,NO
390,42,0.053985905,NO
422,42,0.053985905,NO
132,43,0.053985905,NO
171,43,0.053985905,NO
421,43,0.053985905,NO
164,43,0.053268973,NO
36,44,0.053985905,NO
424,44,0.053985905,NO
106,47,0.057201635,NO
118,45,0.053985905,NO
135,45,0.053985905,NO
496,45,0.053985905,NO
362,46,0.053985905,NO
130,47,0.053985905,NO
398,47,0.053985905,NO
414,47,0.053985905,NO
415,47,0.053985905,NO
461,47,0.053985905,NO
587,47,0.053985905,NO
220,872,0.9999961,NO
125,48,0.053985905,YES
356,48,0.053985905,NO
469,48,0.053985905,NO
510,48,0.053985905,NO
569,48,0.053985905,NO
185,49,0.053985905,NO
403,49,0.053985905,NO
406,49,0.053985905,NO
417,49,0.053985905,NO
24,50,0.053985905,NO
389,50,0.053985905,NO
412,50,0.053985905,NO
418,50,0.053985905,NO
255,936,0.99999976,NO
476,842,0.8812217,NO
472,867,0.9061148,NO
26,923,0.95044905,NO
7,51,0.052285828,NO
17,51,0.052285828,NO
426,51,0.052285828,NO
537,51,0.052285828,NO
515,804,0.8176083,NO
30,52,0.052285828,NO
206,52,0.052285828,NO
52,979,0.98203486,YES
150,952,0.95084965,YES
455,956,0.95323926,YES
102,53,0.052796308,NO
10,981,0.9722415,YES
529,58,0.057302758,NO
514,53,0.052285828,NO
574,53,0.052285828,NO
554,778,0.7658556,NO
494,846,0.8282175,YES
124,54,0.052285828,NO
383,54,0.052285828,NO
429,54,0.052285828,NO
498,54,0.052285828,NO
576,54,0.052285828,NO
438,1038,0.9930939,NO
41,792,0.7556598,YES
190,1038,0.9894123,NO
43,55,0.052285828,NO
201,55,0.052285828,NO
578,55,0.052285828,NO
112,56,0.052285828,NO
200,56,0.052285828,NO
365,56,0.052285828,NO
423,56,0.052285828,NO
570,801,0.74444914,YES
520,57,0.052285828,NO
538,57,0.052285828,NO
35,58,0.052285828,NO
504,58,0.052285828,NO
536,58,0.052285828,NO
581,64,0.057302758,NO
225,1126,1.0,NO
56,86,0.07637182,NO
168,59,0.052285828,NO
180,59,0.052285828,NO
490,59,0.052285828,NO
27,60,0.052285828,NO
584,60,0.052285828,NO
182,762,0.64453053,NO
