ID,Size,Predicted,Actual
22,46,0.96407324,YES
112,49,0.7169795,NO
91,183,0.9739461,NO
66,236,0.8787171,YES
1,271,0.99936914,NO
46,153,0.5636755,NO
288,272,0.99916816,YES
283,241,0.8787171,YES
294,246,0.8787171,YES
279,265,0.92908514,YES
222,22,0.07365379,NO
5,216,0.7192302,NO
89,319,0.99999857,NO
90,321,0.99999815,NO
292,268,0.82503617,NO
134,318,0.9622809,NO
59,283,0.84417796,YES
113,339,0.99999994,YES
152,342,0.98051804,NO
93,249,0.7135384,YES
186,355,0.99999994,YES
247,355,0.9969634,NO
44,312,0.85757107,YES
197,27,0.07365379,NO
227,27,0.07365379,NO
4,368,0.99952245,YES
109,261,0.70888156,YES
156,363,0.9845649,YES
290,306,0.82503617,NO
159,366,0.9841333,NO
115,358,0.94905514,YES
15,379,1.0,YES
0,215,0.5663533,NO
99,380,0.9997656,YES
198,28,0.07365379,NO
260,28,0.07365379,NO
298,315,0.82503617,NO
280,261,0.6702871,NO
182,400,1.0,YES
33,282,0.702875,YES
183,425,1.0,YES
55,276,0.64392054,YES
192,299,0.68718547,YES
213,436,0.9999938,YES
262,446,0.999997,NO
2,451,1.0,NO
12,473,1.0,YES
223,481,0.99999195,NO
61,507,1.0,YES
69,507,1.0,YES
16,509,1.0,YES
73,529,1.0,YES
56,549,1.0,YES
19,187,0.33350754,YES
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
249,612,1.0,YES
57,27,0.041635517,NO
211,27,0.041635517,NO
79,664,1.0,NO
92,210,0.3108582,YES
158,682,1.0,YES
297,206,0.29892057,YES
74,694,1.0,YES
278,726,1.0,YES
96,734,1.0,YES
229,744,1.0,YES
257,227,0.29892057,NO
6,764,1.0,YES
270,230,0.29892057,YES
24,788,1.0,YES
35,800,1.0,YES
202,29,0.035732612,NO
26,62,0.0747084,YES
111,258,0.29892057,NO
253,31,0.035732612,NO
101,167,0.18792026,YES
43,905,1.0,YES
219,906,1.0,YES
195,35,0.035732612,NO
123,166,0.16478698,NO
145,37,0.035732612,NO
204,37,0.035732612,NO
233,37,0.035732612,NO
184,1041,1.0,YES
83,38,0.035732612,YES
146,38,0.035732612,NO
14,255,0.23771895,YES
295,208,0.19320937,NO
36,216,0.19983906,YES
85,39,0.035732612,NO
147,39,0.035732612,NO
250,39,0.035732612,NO
67,227,0.19983906,NO
161,41,0.035732612,NO
174,41,0.035732612,NO
181,41,0.035732612,NO
117,1167,1.0,YES
131,42,0.035732612,NO
171,42,0.035732612,NO
170,43,0.035732612,NO
11,196,0.16090545,NO
191,45,0.035732612,NO
62,209,0.163582,NO
157,242,0.18895029,YES
105,46,0.035732612,NO
138,46,0.035732612,NO
81,256,0.19532497,YES
217,191,0.14554389,YES
102,47,0.035732612,NO
103,47,0.035732612,NO
104,47,0.035732612,NO
164,47,0.035732612,NO
299,47,0.035732612,NO
132,48,0.035732612,NO
244,48,0.035732612,NO
285,48,0.035732612,NO
166,49,0.035732612,NO
167,50,0.035732612,NO
173,51,0.035732612,NO
268,51,0.035732612,NO
293,52,0.035732612,NO
248,53,0.035732612,NO
289,53,0.035732612,NO
114,243,0.16187917,NO
