ID,Size,Predicted,Actual
0,215,0.30821143251884414,NO
1,273,0.42041267845826064,YES
2,460,0.4262336919603824,YES
3,138,0.4103438322991943,NO
4,358,0.4240978113237464,NO
5,1248,0.32462108441197907,YES
6,51,0.2951569047414775,NO
7,157,0.412746635331941,NO
8,31,0.2924224913499386,NO
9,981,0.2965834389906967,YES
10,180,0.3045138297395304,NO
11,262,0.4187897314936683,NO
12,553,0.42574541366188073,YES
13,40,0.2924224913499386,NO
14,369,0.3941567827862888,NO
15,390,0.4249300122067751,NO
16,51,0.2951569047414775,NO
17,577,0.3154421326405476,YES
18,32,0.2924224913499386,NO
19,66,0.2951569047414775,NO
20,188,0.3087035315908469,YES
21,582,0.3154421326405476,YES
22,160,0.412746635331941,YES
23,50,0.2951569047414775,NO
24,27,0.2924224913499386,NO
25,923,0.36298785379181747,YES
26,60,0.2951569047414775,NO
27,62,0.2951569047414775,NO
28,87,0.29773580901122104,NO
29,52,0.2951569047414775,NO
30,268,0.31123503117430995,YES
31,163,0.3045138297395304,NO
32,109,0.3001565394522546,NO
33,147,0.30241663421816783,NO
34,58,0.2951569047414775,NO
35,44,0.2951569047414775,NO
36,106,0.3001565394522546,YES
37,139,0.30241663421816783,NO
38,326,0.31357319712480797,YES
39,648,0.31392559844293894,YES
40,792,0.3838830219605398,YES
41,319,0.3876606580996806,YES
42,55,0.2951569047414775,NO
43,191,0.3064460561099867,NO
44,90,0.29773580901122104,NO
45,273,0.31123503117430995,YES
46,137,0.30241663421816783,NO
47,79,0.29773580901122104,NO
48,82,0.29773580901122104,NO
49,147,0.30241663421816783,NO
50,422,0.3157770385990701,YES
51,979,0.39671742778330266,YES
52,495,0.3972197973475759,YES
53,189,0.3064460561099867,YES
54,167,0.3122735549714954,YES
55,86,0.4049622666678503,NO
56,182,0.3064460561099867,YES
57,361,0.3223784315829608,YES
58,126,0.30241663421816783,YES
59,106,0.3001565394522546,NO
60,109,0.3001565394522546,NO
61,85,0.29773580901122104,NO
62,236,0.30980826280160373,NO
63,315,0.42078097559398225,YES
64,695,0.3892308707342497,YES
65,27,0.2924224913499386,NO
66,89,0.29773580901122104,NO
67,301,0.4149680714736277,YES
68,153,0.3045138297395304,YES
69,92,0.29773580901122104,NO
70,466,0.320257006679938,YES
71,93,0.29773580901122104,NO
72,244,0.30980826280160373,NO
73,192,0.3064460561099867,YES
74,252,0.41193337344514735,NO
75,109,0.3001565394522546,NO
76,601,0.31477119539027903,YES
77,565,0.42574541366188073,YES
78,69,0.2951569047414775,NO
79,77,0.29773580901122104,NO
80,94,0.29773580901122104,YES
81,337,0.31357319712480797,NO
82,214,0.30821143251884414,NO
83,79,0.29773580901122104,NO
84,25,0.2924224913499386,NO
85,84,0.29773580901122104,NO
86,34,0.2924224913499386,NO
87,33,0.2924224913499386,NO
88,104,0.3001565394522546,NO
89,172,0.3045138297395304,NO
90,70,0.29773580901122104,NO
91,140,0.30241663421816783,NO
92,156,0.412746635331941,NO
93,248,0.30980826280160373,NO
94,277,0.42041267845826064,YES
95,189,0.32702058291241765,NO
96,194,0.32702058291241765,NO
97,346,0.3343955214614008,NO
98,304,0.33327573084086837,NO
99,356,0.3998409964750945,YES
100,84,0.3148929335597923,NO
101,53,0.30118630375390776,NO
102,132,0.30241663421816783,NO
103,4088,5.102887415403622E-4,NO
104,691,0.40159612680616635,YES
105,47,0.3153180799891987,NO
106,101,0.3062436953205837,NO
107,510,0.3907770047815876,YES
108,328,0.3158592646348428,YES
109,273,0.31123503117430995,YES
110,136,0.30241663421816783,NO
111,56,0.2951569047414775,NO
112,74,0.29773580901122104,NO
113,359,0.32072697004779155,YES
114,174,0.3045138297395304,NO
115,148,0.30241663421816783,NO
116,92,0.29773580901122104,NO
117,45,0.2951569047414775,NO
118,168,0.3045138297395304,NO
119,77,0.29773580901122104,NO
120,666,0.4223105350881474,NO
121,88,0.29773580901122104,NO
122,262,0.4187897314936683,NO
123,54,0.2951569047414775,NO
124,48,0.2951569047414775,YES
125,140,0.30241663421816783,YES
126,152,0.30241663421816783,NO
127,39,0.2924224913499386,NO
128,131,0.30241663421816783,NO
129,47,0.2951569047414775,NO
130,129,0.30241663421816783,NO
131,43,0.2951569047414775,NO
132,243,0.30980826280160373,YES
133,62,0.2951569047414775,NO
134,45,0.2951569047414775,NO
135,97,0.4049622666678503,NO
136,476,0.8750371172369983,NO
137,77,0.865139871518074,NO
138,69,0.8636906874330901,NO
139,104,0.8664818363361915,NO
140,115,0.8664818363361915,NO
141,421,0.8747371076679105,NO
142,61,0.8636906874330901,NO
143,2009,0.5527635319496564,NO
144,179,0.8688537320239913,NO
145,106,0.8664818363361915,NO
146,33,0.8621316373745643,NO
147,657,0.8732702723351022,NO
148,295,0.8730560507126578,NO
149,872,0.8669459274262679,NO
150,444,0.8749317554031332,NO
151,168,0.8688537320239913,NO
152,752,0.8711414259685798,NO
153,135,0.8677190352798726,NO
154,1126,0.848777190706389,NO
155,163,0.8688537320239913,NO
156,184,0.8698880039780323,NO
157,51,0.8636906874330901,NO
158,25,0.8621316373745643,NO
159,180,0.8688537320239913,NO
160,64,0.8636906874330901,NO
161,101,0.8664818363361915,NO
162,512,0.8750533862992554,NO
163,187,0.8698880039780323,NO
164,56,0.8636906874330901,NO
165,39,0.8621316373745643,NO
166,261,0.8716626713029383,NO
167,73,0.865139871518074,NO
168,65,0.8636906874330901,NO
169,329,0.873613058454609,NO
170,64,0.8636906874330901,NO
171,164,0.8688537320239913,NO
172,624,0.8015747038769864,NO
173,74,0.865139871518074,NO
174,117,0.8664818363361915,NO
175,84,0.865139871518074,NO
176,226,0.7981989815673823,NO
177,76,0.865139871518074,NO
178,323,0.873613058454609,NO
179,72,0.29773580901122104,NO
180,42,0.2951569047414775,NO
181,48,0.2951569047414775,NO
182,89,0.29773580901122104,NO
183,380,0.31521726672392864,NO
184,141,0.4035297459690234,NO
185,148,0.4035297459690234,NO
186,191,0.3064460561099867,NO
187,46,0.2951569047414775,NO
188,165,0.3045138297395304,NO
189,171,0.3045138297395304,NO
190,56,0.2951569047414775,NO
191,179,0.3045138297395304,NO
192,74,0.29773580901122104,NO
193,36,0.2924224913499386,NO
194,37,0.2924224913499386,NO
195,34,0.2924224913499386,NO
196,34,0.2924224913499386,NO
197,38,0.2924224913499386,NO
198,39,0.2924224913499386,NO
199,156,0.3045138297395304,NO
200,84,0.29773580901122104,NO
201,117,0.3001565394522546,NO
202,94,0.29773580901122104,NO
203,71,0.29773580901122104,NO
204,183,0.3064460561099867,NO
205,85,0.29773580901122104,NO
206,183,0.3064460561099867,NO
207,70,0.29773580901122104,NO
208,54,0.2951569047414775,NO
209,160,0.3045138297395304,NO
210,125,0.30241663421816783,NO
211,151,0.30241663421816783,NO
212,422,0.41867616498997423,NO
213,221,0.4169705379380772,NO
214,50,0.2951569047414775,NO
215,42,0.2951569047414775,NO
216,624,0.31392559844293894,NO
217,377,0.31521726672392864,NO
218,383,0.31521726672392864,YES
219,72,0.29773580901122104,NO
220,92,0.29773580901122104,NO
221,282,0.4135486555863274,NO
222,371,0.31448243038211965,NO
223,47,0.2951569047414775,NO
224,108,0.3001565394522546,NO
225,111,0.3001565394522546,NO
226,319,0.31357319712480797,NO
227,129,0.30241663421816783,NO
228,49,0.2951569047414775,NO
229,358,0.31448243038211965,NO
230,277,0.31123503117430995,NO
231,49,0.2951569047414775,NO
232,89,0.29773580901122104,NO
233,41,0.2924224913499386,NO
234,66,0.2951569047414775,NO
235,63,0.2951569047414775,NO
236,24,0.2924224913499386,NO
237,50,0.2951569047414775,NO
238,72,0.29773580901122104,NO
239,47,0.2951569047414775,NO
240,47,0.2951569047414775,NO
241,183,0.3064460561099867,NO
242,49,0.2951569047414775,NO
243,50,0.2951569047414775,NO
244,98,0.3001565394522546,NO
245,143,0.30241663421816783,NO
246,43,0.2951569047414775,NO
247,42,0.2951569047414775,NO
248,56,0.2951569047414775,NO
249,44,0.2951569047414775,NO
250,26,0.2924224913499386,NO
251,254,0.30980826280160373,NO
252,16883,0.2597060155434111,NO
253,74,0.29773580901122104,NO
254,153,0.3045138297395304,NO
255,68,0.2951569047414775,NO
256,100,0.3001565394522546,NO
257,550,0.42574541366188073,NO
258,437,0.3161612400589749,NO
259,1038,0.38856800436893807,NO
260,104,0.4009483185978765,NO
261,332,0.42306724506328913,NO
262,123,0.3001565394522546,NO
