ID,Size,Predicted,Actual
22,46,0.99991107,YES
112,49,0.9970185,NO
26,62,0.5123183,YES
46,153,0.98453856,NO
91,183,0.9999907,NO
19,187,0.9912829,YES
50,127,0.6257611,NO
217,191,0.900008,YES
11,196,0.9135498,YES
5,216,0.9982511,NO
92,210,0.96994823,YES
0,215,0.9882809,NO
66,236,0.99955255,YES
283,241,0.99955255,YES
294,246,0.99955255,YES
93,249,0.99993557,YES
21,158,0.6131721,YES
14,255,0.97897214,YES
1,271,0.999997,NO
279,265,0.9768365,YES
288,272,0.99999577,YES
59,283,0.98892045,YES
55,276,0.96411663,YES
81,256,0.88168585,YES
111,258,0.8872433,NO
116,259,0.8804163,NO
33,282,0.9410271,YES
101,167,0.55378914,YES
292,268,0.8872433,NO
192,299,0.98866093,YES
290,306,0.9900972,NO
67,227,0.7327524,NO
257,227,0.72843087,NO
44,312,0.9994346,YES
109,261,0.82689786,YES
270,230,0.72843087,YES
298,315,0.9900972,NO
134,318,0.997463,NO
89,319,1.0,NO
129,163,0.5080384,YES
90,321,1.0,NO
282,241,0.7410483,NO
280,261,0.7762407,NO
113,339,1.0,YES
272,251,0.7360658,NO
152,342,0.9985667,NO
186,355,1.0,YES
247,355,0.999998,NO
115,358,0.9987907,YES
156,363,0.99934435,YES
114,243,0.6655946,NO
159,366,0.9998628,NO
4,368,0.99999994,YES
157,242,0.65679586,YES
36,216,0.5840088,YES
15,379,1.0,YES
99,380,0.99997544,YES
123,166,0.43127704,NO
182,400,1.0,YES
297,206,0.5100805,YES
222,22,0.05430702,NO
183,425,1.0,YES
213,436,0.9999997,YES
38,184,0.4164848,NO
262,446,0.99999946,NO
2,451,1.0,NO
12,473,1.0,YES
223,481,0.99999994,NO
295,208,0.42621744,NO
197,27,0.05430702,NO
227,27,0.05430702,NO
61,507,1.0,YES
69,507,1.0,YES
16,509,1.0,YES
198,28,0.05430702,NO
260,28,0.05430702,NO
258,201,0.3872801,NO
73,529,1.0,YES
202,29,0.05430702,NO
56,549,1.0,YES
253,31,0.05430702,NO
10,180,0.3151438,NO
200,574,1.0,YES
20,576,1.0,YES
165,183,0.3151438,NO
34,582,1.0,YES
88,582,1.0,YES
62,209,0.34996,NO
249,612,1.0,YES
49,189,0.30352372,YES
195,35,0.05430702,NO
79,664,1.0,NO
158,682,1.0,YES
74,694,1.0,YES
278,726,1.0,YES
120,185,0.2545427,NO
96,734,1.0,YES
145,37,0.04976834,NO
204,37,0.04976834,NO
233,37,0.04976834,NO
229,744,1.0,YES
83,38,0.04976834,YES
146,38,0.04976834,NO
6,764,1.0,YES
85,39,0.04976834,NO
147,39,0.04976834,NO
250,39,0.04976834,NO
24,788,1.0,YES
35,800,1.0,YES
179,153,0.18802977,NO
68,172,0.20992169,YES
161,41,0.04976834,NO
174,41,0.04976834,NO
181,41,0.04976834,NO
131,42,0.04976834,NO
171,42,0.04976834,NO
177,162,0.18802977,YES
170,43,0.04976834,NO
277,166,0.18802977,NO
281,170,0.18802977,NO
191,45,0.04976834,NO
43,905,1.0,YES
219,906,1.0,YES
105,46,0.04976834,NO
138,46,0.04976834,NO
76,174,0.18802977,NO
102,47,0.04976834,NO
103,47,0.04976834,NO
104,47,0.04976834,NO
164,47,0.04976834,NO
299,47,0.04976834,NO
132,48,0.04976834,NO
244,48,0.04976834,NO
285,48,0.04976834,NO
23,27,0.027705327,NO
271,154,0.15739857,NO
65,132,0.13408242,NO
166,49,0.04976834,NO
167,50,0.04976834,NO
173,51,0.04976834,NO
268,51,0.04976834,NO
184,1041,1.0,YES
60,175,0.168016,YES
293,52,0.04976834,NO
248,53,0.04976834,NO
289,53,0.04976834,NO
82,54,0.04976834,NO
176,54,0.04976834,NO
291,54,0.04976834,NO
57,27,0.024405317,NO
211,27,0.024405317,NO
199,36,0.032042295,NO
72,132,0.11714612,NO
254,57,0.04976834,NO
269,57,0.04976834,NO
48,169,0.14663853,NO
245,60,0.051582836,NO
141,58,0.04976834,NO
154,58,0.04976834,NO
225,58,0.04976834,NO
238,58,0.04976834,NO
267,58,0.04976834,NO
117,1167,1.0,YES
3,137,0.11714612,NO
224,62,0.051582836,NO
239,62,0.051582836,NO
133,63,0.051582836,NO
232,63,0.051582836,NO
9,31,0.025358217,NO
98,30,0.024405317,NO
234,64,0.051582836,NO
296,64,0.051582836,NO
125,154,0.123256125,NO
31,147,0.11714612,NO
75,148,0.11714612,YES
77,148,0.11714612,NO
29,163,0.12767567,NO
162,66,0.051582836,NO
193,32,0.024692357,NO
256,32,0.024692357,NO
218,160,0.123256125,YES
17,32,0.024405317,NO
100,101,0.07685622,NO
137,190,0.14343669,YES
86,69,0.051582836,YES
242,83,0.060420614,YES
95,71,0.051582836,NO
150,71,0.051582836,NO
97,127,0.09175337,NO
45,171,0.123256125,NO
42,84,0.060420614,NO
153,84,0.060420614,NO
194,111,0.079671815,NO
106,43,0.030816197,NO
130,72,0.051582836,NO
53,85,0.060420614,NO
264,35,0.024692357,NO
143,74,0.051582836,NO
220,74,0.051582836,NO
243,74,0.051582836,NO
276,116,0.079671815,NO
149,88,0.060420614,NO
216,76,0.051582836,NO
286,76,0.051582836,NO
121,118,0.079671815,NO
206,31,0.020842366,NO
228,77,0.051582836,NO
127,120,0.079671815,NO
251,78,0.051582836,NO
189,92,0.060420614,YES
300,92,0.060420614,NO
37,55,0.036021426,NO
266,79,0.051582836,YES
87,94,0.060420614,YES
221,94,0.060420614,NO
235,124,0.079671815,NO
140,162,0.103975706,NO
41,81,0.051582836,NO
148,96,0.060420614,NO
237,36,0.022569638,NO
287,139,0.08648206,YES
208,168,0.103975706,YES
84,98,0.060420614,NO
168,98,0.060420614,NO
265,98,0.060420614,NO
27,88,0.053376526,YES
190,101,0.060420614,YES
63,147,0.08648206,NO
263,103,0.060420614,NO
175,104,0.060420614,NO
187,105,0.060420614,YES
