ID,Size,Predicted,Actual
229,25,0.9241253,NO
268,26,0.9241253,NO
335,27,0.9241253,NO
284,28,0.9241253,NO
344,29,0.9241253,NO
217,33,0.9241253,NO
281,33,0.9241253,NO
316,35,0.9241253,NO
286,36,0.9241253,NO
308,37,0.9241253,NO
270,38,0.9241253,NO
312,38,0.9241253,NO
236,39,0.9241253,NO
348,40,0.9241253,NO
487,22,0.49165654,NO
411,24,0.4961234,NO
285,46,0.9241253,NO
352,46,0.9241253,NO
85,25,0.4961234,NO
310,47,0.9241253,NO
425,26,0.4961234,NO
305,50,0.9241253,NO
25,27,0.4961234,NO
66,27,0.4961234,NO
452,27,0.4961234,NO
468,27,0.4961234,NO
486,27,0.4961234,NO
492,27,0.4961234,NO
228,51,0.9241253,NO
453,28,0.4961234,NO
528,28,0.4961234,NO
334,54,0.9241253,NO
457,29,0.4961234,NO
235,56,0.9241253,NO
311,56,0.9241253,NO
9,31,0.4961234,NO
462,31,0.4961234,NO
19,32,0.4961234,NO
153,32,0.4961234,NO
448,32,0.4961234,NO
213,61,0.92501,NO
254,61,0.92501,NO
88,33,0.4961234,NO
320,62,0.92501,NO
306,63,0.92501,NO
87,34,0.4961234,NO
370,34,0.4961234,NO
371,34,0.4961234,NO
231,64,0.92501,NO
241,64,0.92501,NO
239,65,0.92501,NO
137,35,0.4961234,NO
450,35,0.4961234,NO
533,35,0.4961234,NO
544,35,0.4961234,NO
336,66,0.92501,NO
152,36,0.4961234,NO
368,36,0.4961234,NO
503,36,0.4961234,NO
555,36,0.4961234,NO
556,36,0.4961234,NO
557,36,0.4961234,NO
369,37,0.4961234,NO
460,37,0.4961234,NO
467,37,0.4961234,NO
209,69,0.92501,NO
372,38,0.4961234,NO
446,38,0.4961234,NO
319,71,0.92501,NO
331,71,0.92501,NO
321,72,0.9262021,NO
128,39,0.4961234,NO
373,39,0.4961234,NO
238,73,0.9262021,NO
252,73,0.9262021,NO
322,73,0.9262021,NO
244,74,0.9262021,NO
14,40,0.4961234,NO
261,75,0.9262021,NO
248,76,0.9262021,NO
256,76,0.9262021,NO
408,41,0.4961234,NO
427,41,0.4961234,NO
564,41,0.4961234,NO
208,77,0.9262021,NO
260,77,0.9262021,NO
347,77,0.9262021,NO
304,78,0.9262021,NO
355,42,0.4961234,NO
390,42,0.4961234,NO
422,42,0.4961234,NO
307,79,0.9262021,NO
164,43,0.50166357,NO
132,43,0.4961234,NO
171,43,0.4961234,NO
421,43,0.4961234,NO
298,77,0.88191324,NO
343,82,0.9262021,NO
36,44,0.4961234,NO
424,44,0.4961234,NO
106,47,0.51886123,NO
246,84,0.9262021,NO
253,84,0.9262021,NO
118,45,0.4961234,NO
135,45,0.4961234,NO
496,45,0.4961234,NO
362,46,0.4961234,NO
342,86,0.9262021,NO
269,87,0.9262021,NO
346,87,0.9262021,NO
130,47,0.4961234,NO
398,47,0.4961234,NO
414,47,0.4961234,NO
415,47,0.4961234,NO
461,47,0.4961234,NO
587,47,0.4961234,NO
301,88,0.9262021,NO
125,48,0.4961234,YES
356,48,0.4961234,NO
469,48,0.4961234,NO
510,48,0.4961234,NO
569,48,0.4961234,NO
292,91,0.9262021,NO
185,49,0.4961234,NO
403,49,0.4961234,NO
406,49,0.4961234,NO
417,49,0.4961234,NO
24,50,0.4961234,NO
389,50,0.4961234,NO
412,50,0.4961234,NO
418,50,0.4961234,NO
282,95,0.9262021,NO
349,95,0.9262021,NO
7,51,0.4961234,NO
17,51,0.4961234,NO
426,51,0.4961234,NO
537,51,0.4961234,NO
267,96,0.9271238,NO
30,52,0.4961234,NO
206,52,0.4961234,NO
296,98,0.9271238,NO
102,53,0.4987115,NO
514,53,0.4961234,NO
574,53,0.4961234,NO
124,54,0.4961234,NO
383,54,0.4961234,NO
429,54,0.4961234,NO
498,54,0.4961234,NO
576,54,0.4961234,NO
232,101,0.9271238,NO
278,101,0.9271238,NO
43,55,0.4961234,NO
201,55,0.4961234,NO
578,55,0.4961234,NO
529,58,0.52154666,NO
210,104,0.9271238,NO
112,56,0.4961234,NO
200,56,0.4961234,NO
365,56,0.4961234,NO
423,56,0.4961234,NO
216,106,0.9271238,NO
520,57,0.4961234,NO
538,57,0.4961234,NO
276,107,0.9271238,NO
337,107,0.9271238,NO
35,58,0.4961234,NO
504,58,0.4961234,NO
536,58,0.4961234,NO
259,109,0.9271238,NO
168,59,0.4961234,NO
180,59,0.4961234,NO
490,59,0.4961234,NO
27,60,0.4961234,NO
584,60,0.4961234,NO
581,64,0.52154666,NO
211,115,0.9271238,NO
28,62,0.4961234,NO
134,62,0.4961234,NO
489,62,0.4961234,NO
505,62,0.4961234,NO
583,62,0.4961234,NO
283,116,0.9271238,NO
315,116,0.9271238,NO
245,117,0.9271238,NO
410,63,0.4961234,NO
479,63,0.4961234,NO
497,63,0.4961234,NO
330,119,0.9282478,NO
155,64,0.4961234,NO
199,64,0.4961234,NO
495,64,0.4961234,NO
499,64,0.4961234,NO
341,120,0.9282478,NO
167,65,0.4961234,NO
20,66,0.4961234,NO
409,66,0.4961234,NO
303,125,0.9282478,NO
195,67,0.4961234,NO
456,67,0.4961234,NO
263,127,0.9282478,NO
297,127,0.9282478,NO
434,68,0.4961234,NO
293,129,0.9282478,NO
317,129,0.9282478,NO
79,69,0.4961234,NO
177,69,0.4961234,YES
91,70,0.4961234,NO
382,70,0.4961234,NO
502,70,0.4961234,NO
56,86,0.60403895,NO
149,71,0.4961234,NO
378,71,0.4961234,NO
354,72,0.5004515,NO
394,72,0.5004515,NO
413,72,0.5004515,NO
459,72,0.5004515,NO
224,135,0.92920357,NO
508,86,0.591686,NO
113,74,0.5004515,NO
196,74,0.5004515,NO
367,74,0.5004515,NO
432,74,0.5004515,NO
484,74,0.5004515,NO
507,74,0.5004515,NO
509,74,0.5004515,NO
511,74,0.5004515,NO
294,138,0.92920357,NO
302,139,0.92920357,NO
516,75,0.5004515,NO
480,76,0.5004515,NO
80,77,0.5004515,NO
120,77,0.5004515,NO
493,77,0.5004515,NO
444,94,0.60403895,NO
290,145,0.92920357,NO
48,79,0.5004515,NO
84,79,0.5004515,NO
559,79,0.5004515,NO
264,148,0.92920357,NO
146,80,0.5004515,NO
136,97,0.60403895,NO
101,84,0.5174959,NO
291,151,0.92920357,NO
323,145,0.8864952,NO
49,82,0.5004515,NO
250,153,0.92920357,NO
478,83,0.5004515,NO
527,88,0.52586514,NO
86,84,0.5004515,NO
375,84,0.5004515,NO
560,84,0.5004515,NO
266,157,0.92920357,NO
338,157,0.92920357,NO
62,85,0.5004515,NO
380,85,0.5004515,NO
445,101,0.591686,NO
512,86,0.5004515,NO
571,86,0.5004515,NO
340,161,0.92920357,NO
29,87,0.5004515,NO
226,163,0.92920357,NO
439,104,0.591686,NO
122,88,0.5004515,NO
165,88,0.5004515,YES
242,164,0.92920357,NO
288,164,0.92920357,NO
257,165,0.92920357,NO
67,89,0.5004515,NO
357,89,0.5004515,NO
407,89,0.5004515,NO
45,90,0.5004515,NO
451,90,0.5004515,NO
463,90,0.5004515,NO
548,90,0.5004515,NO
222,168,0.93026173,NO
265,169,0.93026173,NO
299,171,0.93026173,NO
70,92,0.5004515,NO
117,92,0.5004515,NO
395,92,0.5004515,NO
454,92,0.5004515,NO
72,93,0.5004515,NO
277,174,0.93124884,NO
81,94,0.5004515,YES
377,94,0.5004515,NO
588,94,0.5004515,NO
279,176,0.93124884,NO
191,108,0.56910354,NO
205,96,0.5004515,NO
475,96,0.5004515,NO
215,179,0.93124884,NO
230,180,0.93124884,NO
309,181,0.93124884,NO
419,98,0.5004515,NO
534,98,0.5004515,NO
227,184,0.93124884,NO
535,117,0.591686,NO
181,99,0.5004515,NO
491,99,0.5004515,NO
173,102,0.5125017,NO
160,100,0.5004515,YES
192,100,0.5004515,NO
435,100,0.5004515,NO
474,100,0.5004515,NO
234,187,0.93124884,NO
485,101,0.5004515,NO
107,101,0.5003069,NO
142,102,0.5004515,NO
532,103,0.5004515,NO
545,103,0.5004515,NO
327,192,0.93124884,NO
289,193,0.93124884,NO
89,104,0.5004515,NO
428,104,0.5004515,NO
458,105,0.5004515,NO
37,106,0.5004515,YES
60,106,0.5004515,NO
442,106,0.5004515,NO
443,106,0.5004515,NO
466,107,0.5004515,NO
399,108,0.5004515,NO
525,108,0.5004515,NO
33,109,0.5004515,NO
61,109,0.5004515,NO
76,109,0.5004515,NO
262,204,0.93124884,NO
400,111,0.5004515,NO
449,111,0.5004515,NO
3,138,0.6080394,NO
280,212,0.93227834,NO
300,212,0.93227834,NO
172,114,0.5004515,YES
326,214,0.9332592,NO
552,116,0.5004515,NO
376,117,0.5004515,NO
194,118,0.5004515,NO
359,141,0.5957277,NO
198,120,0.5046403,NO
295,222,0.9332592,NO
441,123,0.5046403,NO
521,123,0.5046403,NO
385,125,0.5046403,NO
517,125,0.5046403,NO
163,148,0.5957277,NO
204,148,0.5957277,YES
360,148,0.5957277,NO
59,126,0.5046403,YES
274,234,0.9332592,NO
247,226,0.89271486,NO
313,237,0.9332592,NO
131,129,0.5046403,NO
402,129,0.5046403,NO
275,239,0.9332592,NO
93,156,0.6080394,NO
524,130,0.5046403,NO
8,157,0.6080394,NO
333,241,0.9332592,NO
129,131,0.5046403,NO
169,131,0.5046403,NO
482,155,0.5957277,NO
103,132,0.5046403,NO
500,132,0.5046403,NO
506,132,0.5046403,NO
23,160,0.6080394,YES
519,134,0.5046403,NO
251,250,0.93431455,NO
111,136,0.5046403,NO
47,137,0.5046403,NO
568,137,0.5046403,NO
470,167,0.611893,NO
329,256,0.93431455,NO
38,139,0.5046403,NO
547,139,0.5046403,NO
92,140,0.5046403,NO
126,140,0.5046403,YES
237,261,0.93431455,NO
