ID,Size,Predicted,Actual
229,25,0.4929225,NO
268,26,0.4929225,NO
335,27,0.4929225,NO
284,28,0.4929225,NO
344,29,0.4929225,NO
217,33,0.48297498,NO
281,33,0.48297498,NO
316,35,0.48297498,NO
286,36,0.48297498,NO
308,37,0.48297498,NO
270,38,0.48297498,NO
312,38,0.48297498,NO
236,39,0.48297498,NO
348,40,0.48297498,NO
285,46,0.48488176,NO
352,46,0.48488176,NO
310,47,0.48488176,NO
305,50,0.48488176,NO
228,51,0.48488176,NO
334,54,0.48488176,NO
235,56,0.47715783,NO
311,56,0.47715783,NO
213,61,0.47715783,NO
254,61,0.47715783,NO
320,62,0.47715783,NO
306,63,0.47715783,NO
231,64,0.47715783,NO
241,64,0.47715783,NO
239,65,0.47715783,NO
336,66,0.47715783,NO
209,69,0.47715783,NO
331,71,0.483592,NO
319,71,0.47715783,NO
321,72,0.47715783,NO
238,73,0.483592,NO
252,73,0.483592,NO
322,73,0.483592,NO
244,74,0.483592,NO
261,75,0.483592,NO
248,76,0.483592,NO
256,76,0.483592,NO
208,77,0.47808334,NO
260,77,0.47808334,NO
347,77,0.47808334,NO
304,78,0.47808334,NO
307,79,0.47808334,NO
343,82,0.47808334,NO
246,84,0.47808334,NO
253,84,0.47808334,NO
342,86,0.47808334,NO
269,87,0.47808334,NO
346,87,0.47808334,NO
301,88,0.47808334,NO
292,91,0.47808334,NO
282,95,0.47808334,NO
349,95,0.47808334,NO
267,96,0.47808334,NO
296,98,0.4747923,NO
232,101,0.4747923,NO
278,101,0.4747923,NO
210,104,0.48575437,NO
216,106,0.48575437,NO
276,107,0.48575437,NO
337,107,0.48575437,NO
298,77,0.3480193,NO
259,109,0.48575437,NO
211,115,0.48575437,NO
283,116,0.48575437,NO
315,116,0.48575437,NO
245,117,0.48575437,NO
330,119,0.48575437,NO
341,120,0.48467532,NO
303,125,0.48467532,NO
263,127,0.48467532,NO
297,127,0.48467532,NO
293,129,0.48467532,NO
317,129,0.48467532,NO
224,135,0.50018555,NO
294,138,0.50018555,NO
302,139,0.50018555,NO
487,22,0.07755221,NO
290,145,0.501324,NO
264,148,0.501324,NO
291,151,0.501324,NO
250,153,0.501324,NO
340,161,0.5213614,NO
411,24,0.07755221,NO
242,164,0.52471113,NO
288,164,0.52471113,NO
226,163,0.5213614,NO
266,157,0.501324,NO
338,157,0.501324,NO
257,165,0.52471113,NO
222,168,0.52471113,NO
265,169,0.52471113,NO
85,25,0.07755221,NO
299,171,0.52471113,NO
277,174,0.52471113,NO
425,26,0.07755221,NO
279,176,0.52471113,NO
215,179,0.52471113,NO
230,180,0.52471113,NO
309,181,0.52471113,NO
327,192,0.55467296,NO
289,193,0.55467296,NO
25,27,0.07755221,NO
66,27,0.07755221,NO
452,27,0.07755221,NO
468,27,0.07755221,NO
486,27,0.07755221,NO
492,27,0.07755221,NO
227,184,0.52471113,NO
234,187,0.5302695,NO
453,28,0.07755221,NO
528,28,0.07755221,NO
262,204,0.55467296,NO
457,29,0.07755221,NO
295,222,0.59078944,NO
280,212,0.5623597,NO
300,212,0.5623597,NO
326,214,0.5623597,NO
274,234,0.600435,NO
323,145,0.36941245,NO
313,237,0.600435,NO
251,250,0.6322555,NO
329,256,0.6435549,NO
275,239,0.600435,NO
9,31,0.07755221,NO
462,31,0.07755221,NO
333,241,0.600435,NO
237,261,0.6435549,NO
318,261,0.6435549,NO
271,281,0.6902721,NO
19,32,0.07755221,NO
153,32,0.07755221,NO
448,32,0.07755221,NO
345,267,0.6435549,NO
314,273,0.6567,NO
219,295,0.70434207,NO
273,339,0.80027014,NO
332,340,0.80027014,NO
339,300,0.70434207,NO
325,322,0.7529698,NO
350,337,0.7864347,NO
249,323,0.7529698,NO
240,329,0.7529698,NO
88,33,0.07475144,NO
351,376,0.84402263,NO
272,380,0.84402263,NO
353,399,0.8824635,NO
87,34,0.07475144,NO
370,34,0.07475144,NO
371,34,0.07475144,NO
212,421,0.91454875,NO
324,413,0.89350045,NO
137,35,0.07475144,NO
450,35,0.07475144,NO
533,35,0.07475144,NO
544,35,0.07475144,NO
221,444,0.9234658,NO
152,36,0.07475144,NO
368,36,0.07475144,NO
503,36,0.07475144,NO
555,36,0.07475144,NO
556,36,0.07475144,NO
557,36,0.07475144,NO
247,226,0.45690605,NO
369,37,0.07475144,NO
460,37,0.07475144,NO
467,37,0.07475144,NO
207,476,0.95340115,NO
372,38,0.07475144,NO
446,38,0.07475144,NO
258,504,0.9690743,NO
128,39,0.07475144,NO
373,39,0.07475144,NO
233,512,0.980122,NO
14,40,0.07475144,NO
408,41,0.07475144,NO
427,41,0.07475144,NO
564,41,0.07475144,NO
355,42,0.07475144,NO
390,42,0.07475144,NO
422,42,0.07475144,NO
132,43,0.07475144,NO
171,43,0.07475144,NO
421,43,0.07475144,NO
164,43,0.07473852,NO
106,47,0.08008432,NO
36,44,0.07475144,NO
424,44,0.07475144,NO
118,45,0.07475144,NO
135,45,0.07475144,NO
496,45,0.07475144,NO
362,46,0.07475144,NO
243,624,0.99646395,NO
130,47,0.07475144,NO
398,47,0.07475144,NO
414,47,0.07475144,NO
415,47,0.07475144,NO
461,47,0.07475144,NO
587,47,0.07475144,NO
328,628,0.9979364,NO
125,48,0.07475144,YES
356,48,0.07475144,NO
469,48,0.07475144,NO
510,48,0.07475144,NO
569,48,0.07475144,NO
185,49,0.07475144,NO
403,49,0.07475144,NO
406,49,0.07475144,NO
417,49,0.07475144,NO
218,657,0.99886334,NO
24,50,0.07475144,NO
389,50,0.07475144,NO
412,50,0.07475144,NO
418,50,0.07475144,NO
7,51,0.07475144,NO
17,51,0.07475144,NO
426,51,0.07475144,NO
537,51,0.07475144,NO
287,692,0.99951416,NO
30,52,0.07475144,NO
206,52,0.07475144,NO
102,53,0.07546834,NO
514,53,0.07475144,NO
574,53,0.07475144,NO
124,54,0.07475144,NO
383,54,0.07475144,NO
429,54,0.07475144,NO
498,54,0.07475144,NO
576,54,0.07475144,NO
529,58,0.0788699,NO
223,752,0.9999019,NO
43,55,0.072639406,NO
201,55,0.072639406,NO
578,55,0.072639406,NO
112,56,0.072639406,NO
200,56,0.072639406,NO
365,56,0.072639406,NO
423,56,0.072639406,NO
520,57,0.072639406,NO
538,57,0.072639406,NO
35,58,0.072639406,NO
504,58,0.072639406,NO
536,58,0.072639406,NO
581,64,0.0788699,NO
168,59,0.072639406,NO
180,59,0.072639406,NO
490,59,0.072639406,NO
27,60,0.072639406,NO
584,60,0.072639406,NO
56,86,0.10205947,NO
28,62,0.072639406,NO
134,62,0.072639406,NO
489,62,0.072639406,NO
505,62,0.072639406,NO
583,62,0.072639406,NO
410,63,0.072639406,NO
479,63,0.072639406,NO
497,63,0.072639406,NO
220,872,0.99999654,NO
155,64,0.072639406,NO
199,64,0.072639406,NO
495,64,0.072639406,NO
499,64,0.072639406,NO
508,86,0.09750601,NO
167,65,0.072639406,NO
476,842,0.9336094,NO
515,804,0.8884846,NO
20,66,0.072639406,NO
409,66,0.072639406,NO
472,867,0.94983107,NO
554,778,0.8511164,NO
444,94,0.10205947,NO
195,67,0.072639406,NO
456,67,0.072639406,NO
494,846,0.9045771,YES
255,936,0.9999995,NO
434,68,0.072639406,NO
41,792,0.8446563,YES
79,69,0.072639406,NO
177,69,0.072639406,YES
570,801,0.84303695,YES
136,97,0.10205947,NO
26,923,0.96813864,NO
91,70,0.072639406,NO
382,70,0.072639406,NO
502,70,0.072639406,NO
539,707,0.72796756,NO
150,952,0.9786435,YES
455,956,0.9797159,YES
149,71,0.072639406,NO
378,71,0.072639406,NO
52,979,0.9896557,YES
354,72,0.072639406,NO
394,72,0.072639406,NO
413,72,0.072639406,NO
459,72,0.072639406,NO
10,981,0.9848429,YES
182,762,0.7592088,NO
105,691,0.68291545,YES
113,74,0.072639406,NO
196,74,0.072639406,NO
367,74,0.072639406,NO
432,74,0.072639406,NO
484,74,0.072639406,NO
507,74,0.072639406,NO
509,74,0.072639406,NO
511,74,0.072639406,NO
516,75,0.072639406,NO
121,666,0.6419592,NO
65,695,0.6679598,YES
438,1038,0.99645764,NO
190,1038,0.9947542,NO
480,76,0.072639406,NO
445,101,0.09635115,NO
439,104,0.09635115,NO
80,77,0.07116684,NO
120,77,0.07116684,NO
493,77,0.07116684,NO
101,84,0.075681664,NO
48,79,0.07116684,NO
84,79,0.07116684,NO
559,79,0.07116684,NO
146,80,0.07116684,NO
225,1126,1.0,NO
527,88,0.07728155,NO
49,82,0.07116684,NO
478,83,0.07116684,NO
86,84,0.07116684,NO
375,84,0.07116684,NO
560,84,0.07116684,NO
62,85,0.07116684,NO
380,85,0.07116684,NO
546,1207,0.99985737,NO
512,86,0.07116684,NO
571,86,0.07116684,NO
191,108,0.08932397,NO
535,117,0.09635115,NO
29,87,0.07116684,NO
122,88,0.07116684,NO
165,88,0.07116684,YES
6,1248,0.9999032,YES
67,89,0.07116684,NO
357,89,0.07116684,NO
407,89,0.07116684,NO
100,356,0.28465828,YES
483,1263,0.99994516,NO
45,90,0.07116684,NO
451,90,0.07116684,NO
463,90,0.07116684,NO
548,90,0.07116684,NO
447,628,0.4957009,NO
70,92,0.07116684,NO
117,92,0.07116684,NO
395,92,0.07116684,NO
454,92,0.07116684,NO
72,93,0.07116684,NO
40,648,0.49300098,YES
170,648,0.49300098,NO
81,94,0.07116684,YES
377,94,0.07116684,NO
588,94,0.07116684,NO
107,101,0.076115355,NO
205,96,0.07116684,NO
475,96,0.07116684,NO
3,138,0.100465626,NO
173,102,0.07346274,NO
419,98,0.07029964,NO
534,98,0.07029964,NO
181,99,0.07029964,NO
491,99,0.07029964,NO
391,624,0.4411131,NO
78,565,0.39771542,NO
160,100,0.07029964,YES
192,100,0.07029964,NO
435,100,0.07029964,NO
474,100,0.07029964,NO
485,101,0.07029964,NO
142,102,0.07029964,NO
532,103,0.07029964,NO
545,103,0.07029964,NO
359,141,0.095975675,NO
89,104,0.07029964,NO
428,104,0.07029964,NO
458,105,0.07029964,NO
37,106,0.07029964,YES
60,106,0.07029964,NO
442,106,0.07029964,NO
443,106,0.07029964,NO
466,107,0.07029964,NO
77,601,0.39259437,YES
163,148,0.0963715,NO
204,148,0.0963715,YES
360,148,0.0963715,NO
399,108,0.07029964,NO
525,108,0.07029964,NO
436,550,0.35706025,NO
93,156,0.1008779,NO
13,553,0.35706025,YES
33,109,0.07029964,NO
61,109,0.07029964,NO
76,109,0.07029964,NO
8,157,0.1008779,NO
203,617,0.39259437,NO
400,111,0.07029964,NO
449,111,0.07029964,NO
23,160,0.1008779,YES
482,155,0.0963715,NO
172,114,0.07029964,YES
470,167,0.102102324,NO
552,116,0.07029964,NO
18,577,0.34811836,YES
376,117,0.07029964,NO
22,582,0.34811836,YES
194,118,0.07029964,NO
139,585,0.34811836,NO
99,304,0.18054643,NO
488,491,0.2874437,NO
198,120,0.07001782,NO
441,123,0.07001782,NO
521,123,0.07001782,NO
385,125,0.07001782,NO
517,125,0.07001782,NO
59,126,0.07001782,YES
183,558,0.3080296,YES
96,189,0.10329473,NO
131,129,0.07001782,NO
402,129,0.07001782,NO
524,130,0.07001782,NO
53,495,0.26566428,YES
129,131,0.07001782,NO
169,131,0.07001782,NO
97,194,0.10329473,NO
103,132,0.07001782,NO
500,132,0.07001782,NO
506,132,0.07001782,NO
519,134,0.07001782,NO
111,136,0.07001782,NO
47,137,0.07001782,NO
568,137,0.07001782,NO
108,510,0.25828257,YES
2,460,0.2328974,YES
38,139,0.07001782,NO
547,139,0.07001782,NO
92,140,0.07001782,NO
126,140,0.07001782,YES
214,2009,1.0,NO
186,551,0.2723959,NO
420,143,0.070314914,NO
477,525,0.2577403,NO
582,210,0.10235709,NO
388,221,0.1071102,NO
34,147,0.070314914,NO
50,147,0.070314914,NO
116,148,0.070314914,NO
386,151,0.070314914,NO
127,152,0.070314914,NO
541,438,0.20237643,NO
69,153,0.070314914,YES
144,153,0.070314914,NO
197,153,0.070314914,NO
433,153,0.070314914,NO
374,156,0.070314914,NO
16,390,0.17483276,NO
1,273,0.121977136,YES
12,262,0.11592129,NO
123,262,0.11592129,NO
473,159,0.070314914,NO
540,204,0.09017655,NO
55,167,0.07365126,NO
95,277,0.121977136,YES
75,252,0.11082571,NO
580,252,0.11082571,NO
384,160,0.070314914,NO
551,415,0.18213856,NO
387,422,0.18370892,NO
523,162,0.070314914,NO
363,165,0.071197756,NO
5,163,0.070314914,NO
32,163,0.070314914,NO
119,168,0.071197756,NO
573,276,0.11665048,YES
530,308,0.12929915,NO
565,170,0.071197756,NO
364,171,0.071197756,NO
440,332,0.13804458,NO
161,342,0.14210565,YES
4,358,0.14839941,NO
90,172,0.071197756,NO
396,282,0.11665048,NO
68,301,0.12369779,YES
64,315,0.12929915,YES
115,174,0.071197756,NO
166,326,0.13212185,NO
567,288,0.11665048,NO
501,177,0.071197756,NO
531,343,0.13795136,NO
550,243,0.09729582,YES
162,178,0.071197756,YES
553,178,0.071197756,NO
366,179,0.071197756,NO
15,369,0.14613764,NO
11,180,0.071197756,NO
193,185,0.072686665,NO
57,182,0.071197756,YES
98,346,0.13529684,NO
379,183,0.071197756,NO
381,183,0.071197756,NO
416,183,0.071197756,NO
21,188,0.072686665,YES
54,189,0.072686665,YES
42,319,0.12145651,YES
44,191,0.072686665,NO
361,191,0.072686665,NO
74,192,0.072686665,YES
558,303,0.11362344,YES
542,196,0.07267408,YES
158,462,0.16989431,NO
71,466,0.17135468,YES
518,200,0.072686665,NO
481,202,0.072686665,NO
156,208,0.07481614,YES
471,213,0.07481614,NO
83,214,0.07481614,NO
465,214,0.07481614,NO
579,214,0.07481614,NO
437,437,0.15249546,NO
0,215,0.07481614,NO
148,221,0.07481614,NO
151,230,0.07763586,YES
179,230,0.07763586,NO
157,408,0.1376351,YES
154,420,0.1416784,NO
464,223,0.07481614,NO
202,223,0.07480321,NO
143,226,0.07481614,NO
549,298,0.09863443,NO
522,266,0.08787778,NO
178,418,0.1376351,NO
63,236,0.07763586,NO
586,376,0.123238616,NO
58,361,0.11797486,YES
393,383,0.124978125,YES
51,422,0.1376351,YES
138,286,0.09286371,YES
526,354,0.11379689,NO
175,389,0.124978125,YES
114,359,0.11527523,YES
430,254,0.08121228,NO
133,243,0.07763586,NO
187,243,0.07763586,NO
572,359,0.1142269,NO
73,244,0.07763586,NO
585,357,0.11274161,NO
184,258,0.08121228,NO
566,258,0.08121228,NO
46,273,0.085630514,YES
110,273,0.085630514,YES
189,259,0.08121228,NO
94,248,0.07763586,NO
561,365,0.1142269,NO
188,402,0.124978125,YES
159,340,0.10512215,NO
405,277,0.085630514,NO
563,263,0.08121228,NO
140,295,0.09099685,YES
397,371,0.1142269,NO
176,321,0.09809856,NO
401,319,0.09744154,NO
145,380,0.11527523,NO
31,268,0.08121228,YES
147,268,0.08121228,NO
392,377,0.1142269,NO
358,380,0.1142269,NO
39,326,0.09744154,YES
543,287,0.085630514,NO
562,306,0.09099685,NO
109,328,0.09744154,YES
141,355,0.10512215,NO
513,355,0.10512215,NO
575,308,0.09099685,NO
577,308,0.09099685,NO
174,309,0.09099685,YES
404,358,0.10512215,NO
82,337,0.09744154,NO
104,4088,1.0,NO
431,16883,0.15743645,NO
