ID,Size,Predicted,Actual
552,22,0.60782284,YES
476,24,0.60782284,YES
102,25,0.60782284,NO
294,25,0.60782284,YES
333,26,0.60782284,YES
490,26,0.60782284,YES
264,28,0.64122325,NO
34,27,0.60782284,NO
55,27,0.60782284,NO
83,27,0.60782284,NO
400,27,0.60782284,YES
517,27,0.60782284,YES
533,27,0.60782284,YES
551,27,0.60782284,YES
557,27,0.60782284,YES
349,28,0.6097688,YES
518,28,0.6097688,YES
593,28,0.6097688,YES
409,29,0.6097688,YES
522,29,0.6097688,YES
32,31,0.6422913,NO
202,32,0.6400499,NO
10,31,0.6097688,NO
113,31,0.6097688,NO
527,31,0.6097688,YES
25,32,0.6097688,NO
190,32,0.6097688,YES
513,32,0.6097688,YES
105,33,0.6097688,NO
282,33,0.6097688,YES
346,33,0.6097688,YES
104,34,0.6097688,NO
435,34,0.6097688,YES
436,34,0.6097688,YES
381,35,0.6097688,YES
515,35,0.6097688,YES
598,35,0.6097688,YES
609,35,0.6097688,YES
188,36,0.61166435,NO
351,36,0.61166435,YES
433,36,0.61166435,YES
568,36,0.61166435,YES
620,36,0.61166435,YES
621,36,0.61166435,YES
622,36,0.61166435,YES
147,39,0.6484937,NO
373,37,0.61166435,YES
434,37,0.61166435,YES
525,37,0.61166435,YES
532,37,0.61166435,YES
335,38,0.61166435,YES
377,38,0.61166435,YES
437,38,0.61166435,YES
511,38,0.61166435,YES
266,40,0.64305544,NO
53,41,0.6432806,NO
158,39,0.61166435,NO
170,39,0.61166435,NO
301,39,0.61166435,YES
438,39,0.61166435,YES
20,40,0.61166435,NO
413,40,0.61166435,YES
120,43,0.6432806,YES
473,41,0.61166435,YES
492,41,0.61166435,YES
629,41,0.61166435,YES
420,42,0.61166435,YES
455,42,0.61166435,YES
487,42,0.61166435,YES
8,45,0.64506286,NO
271,45,0.6448382,NO
163,43,0.61166435,NO
205,43,0.61166435,NO
212,43,0.61166435,NO
486,43,0.61166435,YES
46,44,0.61350965,NO
489,44,0.61350965,YES
146,45,0.61350965,NO
168,45,0.61350965,NO
561,45,0.61350965,YES
12,55,0.7385438,NO
350,46,0.61350965,YES
417,46,0.61350965,YES
427,46,0.61350965,YES
268,49,0.6448382,NO
81,47,0.61350965,NO
134,47,0.61350965,NO
161,47,0.61350965,NO
375,47,0.61350965,YES
463,47,0.61350965,YES
479,47,0.61350965,YES
480,47,0.61350965,YES
526,47,0.61350965,YES
652,47,0.61350965,YES
36,50,0.6459015,NO
263,50,0.6448382,NO
421,48,0.61350965,YES
534,48,0.61350965,YES
575,48,0.61350965,YES
634,48,0.61350965,YES
227,49,0.61350965,NO
468,49,0.61350965,YES
471,49,0.61350965,YES
482,49,0.61350965,YES
33,50,0.61350965,NO
370,50,0.61350965,YES
454,50,0.61350965,YES
477,50,0.61350965,YES
483,50,0.61350965,YES
254,53,0.6465718,NO
7,51,0.61350965,NO
23,51,0.61350965,NO
293,51,0.61350965,YES
491,51,0.61350965,NO
602,51,0.61350965,YES
39,52,0.61530495,NO
250,52,0.61530495,NO
213,59,0.6961712,NO
270,55,0.6465718,NO
14,55,0.64636546,NO
130,53,0.61530495,NO
579,53,0.61530495,YES
639,53,0.61530495,YES
153,54,0.61530495,NO
399,54,0.61530495,YES
448,54,0.61530495,YES
494,54,0.61530495,YES
563,54,0.61530495,YES
641,54,0.61530495,YES
56,55,0.61530495,NO
244,55,0.61530495,NO
643,55,0.61530495,YES
45,58,0.6473517,NO
140,56,0.61530495,NO
242,56,0.61530495,NO
300,56,0.61530495,YES
376,56,0.61530495,YES
430,56,0.61530495,YES
488,56,0.61530495,YES
181,80,0.8742175,YES
193,64,0.69772995,NO
585,57,0.61530495,YES
603,57,0.61530495,YES
569,58,0.61530495,YES
594,58,0.61530495,YES
601,58,0.61530495,YES
209,59,0.61530495,NO
222,59,0.61530495,NO
555,59,0.61530495,YES
262,63,0.6482565,NO
269,63,0.6482565,NO
114,60,0.6170504,NO
115,60,0.6170504,NO
649,60,0.6170504,YES
117,61,0.6170504,NO
278,61,0.6170504,YES
319,61,0.6170504,YES
37,62,0.6170504,NO
167,62,0.6170504,NO
385,62,0.6170504,YES
554,62,0.6170504,YES
570,62,0.6170504,YES
648,62,0.6170504,YES
371,63,0.6170504,YES
475,63,0.6170504,YES
544,63,0.6170504,YES
562,63,0.6170504,YES
241,64,0.6170504,NO
296,64,0.6170504,YES
306,64,0.6170504,YES
560,64,0.6170504,YES
564,64,0.6170504,YES
646,64,0.6170504,YES
26,68,0.6509488,YES
252,68,0.6489048,YES
208,65,0.6170504,NO
304,65,0.6170504,YES
257,69,0.6498925,NO
258,69,0.6498925,NO
401,66,0.6170504,YES
474,66,0.6170504,YES
237,67,0.6170504,YES
521,67,0.6170504,YES
201,71,0.6503566,YES
149,77,0.7007095,NO
499,68,0.6187462,YES
260,72,0.6498925,NO
261,72,0.6498925,NO
96,69,0.6187462,NO
274,69,0.6187462,YES
164,73,0.6509488,NO
108,70,0.6187462,NO
447,70,0.6187462,YES
567,70,0.6187462,YES
185,71,0.6187462,NO
384,71,0.6187462,YES
396,71,0.6187462,YES
443,71,0.6187462,YES
126,90,0.7804176,YES
154,76,0.6568585,NO
386,72,0.6187462,YES
419,72,0.6187462,YES
459,72,0.6187462,YES
478,72,0.6187462,YES
524,72,0.6187462,YES
267,76,0.65148014,NO
64,82,0.7007095,NO
303,73,0.6187462,YES
317,73,0.6187462,YES
387,73,0.6187462,YES
259,77,0.65148014,NO
141,74,0.6187462,YES
309,74,0.6187462,YES
432,74,0.6187462,YES
497,74,0.6187462,YES
549,74,0.6187462,YES
572,74,0.6187462,YES
574,74,0.6187462,YES
576,74,0.6187462,YES
256,78,0.65148014,YES
326,75,0.6187462,YES
581,75,0.6187462,YES
71,86,0.70213103,NO
313,76,0.62039256,YES
321,76,0.62039256,YES
545,76,0.62039256,YES
38,87,0.70213103,NO
97,77,0.62039256,NO
273,77,0.62039256,YES
325,77,0.62039256,YES
363,77,0.62039256,YES
412,77,0.62039256,YES
558,77,0.62039256,YES
255,81,0.65148014,NO
369,78,0.62039256,YES
18,83,0.6525342,NO
101,79,0.62039256,NO
372,79,0.62039256,YES
624,79,0.62039256,YES
16,83,0.650322,NO
174,84,0.6532419,NO
248,80,0.62039256,NO
199,101,0.78263414,YES
145,92,0.70350736,NO
408,82,0.62039256,YES
43,83,0.62039256,NO
543,83,0.62039256,YES
103,84,0.62198967,NO
129,84,0.62198967,YES
311,84,0.62198967,YES
318,84,0.62198967,YES
440,84,0.62198967,YES
625,84,0.62198967,YES
177,102,0.7464429,NO
78,85,0.62198967,NO
445,85,0.62198967,YES
63,90,0.6532419,YES
407,86,0.62198967,YES
573,86,0.62198967,YES
577,86,0.62198967,YES
636,86,0.62198967,YES
334,87,0.62198967,YES
411,87,0.62198967,YES
151,88,0.62198967,YES
366,88,0.62198967,YES
592,88,0.62198967,YES
234,100,0.7048389,NO
84,89,0.62198967,NO
206,89,0.62198967,YES
422,89,0.62198967,YES
472,89,0.62198967,YES
59,90,0.62198967,YES
60,90,0.62198967,NO
516,90,0.62198967,YES
528,90,0.62198967,YES
613,90,0.62198967,YES
357,91,0.62198967,YES
265,96,0.6545112,NO
87,92,0.6235378,YES
460,92,0.6235378,YES
519,92,0.6235378,YES
89,93,0.6235378,YES
57,94,0.6235378,NO
442,94,0.6235378,YES
509,94,0.6235378,YES
653,94,0.6235378,YES
253,99,0.6535296,NO
347,95,0.6235378,YES
414,95,0.6235378,YES
332,96,0.6235378,YES
540,96,0.6235378,YES
98,97,0.6235378,NO
169,97,0.6235378,YES
15,103,0.6557514,NO
361,98,0.6235378,YES
484,98,0.6235378,YES
599,98,0.6235378,YES
192,111,0.7061259,NO
223,99,0.6235378,NO
238,99,0.6235378,NO
556,99,0.6235378,YES
500,100,0.6250371,YES
539,100,0.6250371,YES
135,101,0.6250371,NO
297,101,0.6250371,YES
343,101,0.6250371,YES
510,101,0.6250371,YES
550,101,0.6250371,YES
215,102,0.6250371,NO
597,103,0.6250371,YES
610,103,0.6250371,YES
106,104,0.6250371,NO
275,104,0.6250371,YES
493,104,0.6250371,YES
504,104,0.6250371,YES
236,118,0.7073688,NO
523,105,0.6250371,YES
249,111,0.65812045,YES
47,106,0.6250371,NO
281,106,0.6250371,YES
507,106,0.6250371,YES
508,106,0.6250371,YES
240,120,0.7073688,NO
341,107,0.6250371,YES
402,107,0.6250371,YES
531,107,0.6250371,YES
219,108,0.6264877,NO
233,108,0.6264877,YES
464,108,0.6264877,YES
590,108,0.6264877,YES
77,109,0.6264877,YES
93,109,0.6264877,YES
324,109,0.6264877,YES
251,131,0.74452233,NO
465,111,0.6264877,YES
514,111,0.6264877,YES
276,115,0.6264877,YES
348,116,0.6278898,YES
380,116,0.6278898,YES
617,116,0.6278898,YES
155,132,0.70972306,NO
310,117,0.6278898,YES
441,117,0.6278898,YES
600,117,0.6278898,YES
42,118,0.6278898,YES
395,119,0.6278898,YES
406,120,0.6278898,YES
3,138,0.70972306,NO
506,123,0.6278898,YES
586,123,0.6278898,YES
368,125,0.62924373,YES
582,125,0.62924373,YES
75,126,0.62924373,YES
328,127,0.62924373,YES
362,127,0.62924373,YES
450,128,0.62924373,YES
162,129,0.62924373,YES
358,129,0.62924373,YES
382,129,0.62924373,YES
467,129,0.62924373,YES
139,136,0.6617164,YES
589,130,0.62924373,YES
144,148,0.711904,NO
160,131,0.62924373,NO
210,131,0.62924373,NO
565,132,0.63054955,YES
571,132,0.63054955,YES
584,134,0.63054955,YES
289,135,0.63054955,YES
173,142,0.6613283,NO
179,153,0.711904,NO
239,170,0.79002964,NO
633,137,0.63054955,YES
359,138,0.63054955,YES
367,139,0.63054955,YES
612,139,0.63054955,YES
194,211,0.9524021,YES
109,140,0.6318075,NO
131,148,0.6640873,YES
424,141,0.6318075,YES
111,142,0.6318075,NO
123,199,0.8828636,YES
485,143,0.6318075,YES
62,152,0.66385096,NO
355,145,0.6318075,YES
388,145,0.6318075,YES
44,147,0.6318075,NO
65,147,0.6318075,YES
35,175,0.75198656,NO
204,148,0.6330178,NO
329,148,0.6330178,YES
425,148,0.6330178,YES
72,207,0.8832583,YES
235,186,0.7915234,YES
13,204,0.860842,NO
49,151,0.6330178,NO
356,151,0.6330178,YES
451,151,0.6330178,YES
48,189,0.79221857,NO
112,152,0.6330178,NO
157,152,0.6330178,NO
315,153,0.6330178,YES
498,153,0.6330178,YES
143,174,0.71485496,NO
547,155,0.6330178,YES
110,156,0.6341805,NO
439,156,0.6341805,YES
9,157,0.6341805,NO
331,157,0.6341805,YES
403,157,0.6341805,YES
247,158,0.6341805,YES
76,167,0.6662742,YES
538,159,0.6341805,YES
156,160,0.6341805,YES
449,160,0.6341805,YES
405,161,0.6341805,YES
588,162,0.6341805,YES
178,226,0.8839835,YES
189,226,0.8839835,YES
5,163,0.6341805,NO
291,163,0.6341805,YES
307,164,0.63529587,YES
353,164,0.63529587,YES
322,165,0.63529587,YES
428,165,0.63529587,YES
86,166,0.63529587,NO
535,167,0.63529587,YES
287,168,0.63529587,YES
31,211,0.7940999,NO
330,169,0.63529587,YES
630,170,0.63529587,YES
364,171,0.63529587,YES
429,171,0.63529587,YES
107,172,0.63636404,NO
124,194,0.7166115,NO
69,205,0.75456446,YES
148,182,0.6685833,NO
342,174,0.63636404,YES
344,176,0.63636404,YES
618,178,0.63636404,YES
280,179,0.63636404,YES
431,179,0.63636404,YES
295,180,0.6373852,YES
374,181,0.6373852,YES
70,190,0.66763127,NO
566,182,0.6373852,YES
444,183,0.6373852,YES
446,183,0.6373852,YES
481,183,0.6373852,YES
292,184,0.6373852,YES
118,185,0.6373852,NO
299,187,0.6373852,YES
183,264,0.885429,YES
0,215,0.71893454,NO
58,191,0.6383595,NO
426,191,0.6383595,YES
392,192,0.6383595,YES
354,193,0.6383595,YES
91,204,0.6709469,YES
229,244,0.79614,YES
607,196,0.63928705,YES
583,200,0.63928705,YES
546,202,0.63928705,YES
29,314,0.9862769,YES
327,204,0.6401681,YES
187,230,0.7202777,NO
221,230,0.7202777,NO
605,206,0.6401681,YES
647,210,0.6401681,YES
345,212,0.64100266,YES
365,212,0.64100266,YES
536,213,0.64100266,YES
41,224,0.67307556,NO
100,214,0.64100266,NO
391,214,0.64100266,YES
530,214,0.64100266,YES
644,214,0.64100266,YES
184,241,0.7208882,NO
231,273,0.797325,NO
1,274,0.797325,YES
453,221,0.641791,YES
360,222,0.641791,YES
529,223,0.641791,YES
312,226,0.641791,YES
226,258,0.7219877,NO
122,310,0.8620325,YES
17,262,0.722477,YES
339,234,0.6425331,YES
79,237,0.6432292,NO
378,237,0.6432292,YES
340,239,0.6432292,YES
398,241,0.6432292,YES
61,271,0.7229262,YES
40,373,0.98631626,NO
90,244,0.64387935,NO
121,248,0.64387935,NO
245,294,0.7597028,YES
316,250,0.64387935,YES
128,372,0.95378757,YES
631,266,0.68036044,YES
92,252,0.64448375,YES
645,252,0.64448375,YES
495,254,0.64448375,YES
182,352,0.88682,YES
394,256,0.64448375,YES
216,288,0.72370464,YES
165,257,0.64448375,YES
214,289,0.72370464,NO
302,261,0.64504236,YES
383,261,0.64504236,YES
138,275,0.67632216,YES
152,263,0.64504236,YES
628,263,0.64504236,YES
119,264,0.64504236,NO
638,277,0.67655396,YES
587,266,0.64504236,YES
410,267,0.64555544,YES
203,272,0.64555544,YES
379,273,0.64555544,YES
470,277,0.6460229,YES
200,343,0.79914147,YES
198,279,0.6460229,NO
336,281,0.6460229,YES
21,387,0.8866553,YES
461,282,0.6460229,YES
608,287,0.646445,YES
632,288,0.646445,YES
207,326,0.7249558,NO
142,362,0.7991948,YES
171,429,0.94364125,YES
284,295,0.6468216,YES
614,298,0.6468216,YES
404,300,0.64715296,YES
623,303,0.64715296,YES
197,340,0.7251796,NO
243,319,0.6779081,YES
627,306,0.64715296,YES
595,308,0.6474391,YES
640,308,0.6474391,YES
642,308,0.6474391,YES
180,458,0.953048,YES
54,319,0.64768,YES
466,319,0.64768,YES
127,335,0.67823946,YES
73,397,0.7987727,YES
218,337,0.67802536,NO
390,322,0.64768,YES
314,323,0.6478757,YES
137,327,0.6478757,YES
305,329,0.6478757,YES
505,332,0.64802635,YES
415,337,0.64802635,YES
338,339,0.64813185,YES
397,340,0.64813185,YES
176,359,0.6833653,YES
99,343,0.64813185,NO
596,343,0.64813185,YES
125,346,0.64813185,NO
22,390,0.7249055,NO
50,352,0.6481922,YES
591,354,0.6481922,YES
578,355,0.6482076,YES
195,397,0.7247218,NO
166,356,0.6482076,NO
650,357,0.6482076,YES
4,358,0.6482076,NO
469,358,0.6482076,YES
230,401,0.7247218,NO
637,359,0.6482076,YES
175,560,0.9999334,YES
626,365,0.64817786,YES
462,371,0.64810306,YES
615,373,0.64810306,YES
2,461,0.7964347,YES
416,376,0.64810306,YES
651,376,0.64810306,YES
191,420,0.72393334,NO
457,377,0.64810306,YES
66,422,0.72393334,YES
217,423,0.72393334,YES
337,380,0.6479832,YES
423,380,0.6479832,YES
458,382,0.6479832,YES
85,474,0.7955257,YES
28,566,0.93932015,NO
418,399,0.64760804,YES
80,424,0.67720795,YES
389,413,0.64705217,YES
196,462,0.7218231,YES
616,415,0.64705217,YES
220,418,0.64670634,NO
24,637,0.98081684,NO
277,421,0.64670634,YES
452,422,0.64670634,YES
172,575,0.8793019,YES
502,437,0.6458787,YES
606,438,0.6458787,YES
286,444,0.64539665,YES
228,531,0.75609565,YES
88,476,0.6736716,YES
27,547,0.7508421,YES
272,476,0.64301205,YES
553,491,0.6415444,YES
323,504,0.64074135,YES
94,618,0.7811892,YES
246,618,0.7811892,YES
298,512,0.639892,YES
136,517,0.6389961,NO
68,530,0.6370644,YES
542,535,0.6370644,YES
501,550,0.63494503,YES
95,565,0.6326367,YES
30,839,0.93523264,YES
74,573,0.63141125,NO
211,648,0.69876486,NO
133,860,0.91761285,YES
19,867,0.9167616,YES
225,601,0.6274476,YES
308,624,0.6230491,YES
456,624,0.6230491,YES
393,628,0.62148535,YES
512,628,0.62148535,YES
283,657,0.61473745,YES
150,666,0.6129262,NO
159,677,0.6110649,NO
82,1118,0.99111295,YES
352,692,0.60719115,YES
604,707,0.6031146,YES
224,763,0.6249547,YES
6,1248,0.99978334,YES
288,752,0.5920265,YES
11,1008,0.763357,YES
635,802,0.6072746,YES
619,778,0.58222234,YES
52,877,0.6343802,YES
580,804,0.5743186,YES
67,1059,0.7441361,YES
51,849,0.59016675,YES
541,842,0.5600891,YES
559,863,0.55402637,YES
537,867,0.5509155,YES
285,872,0.5477516,YES
116,876,0.5477516,NO
232,1074,0.640598,YES
186,991,0.58695334,NO
320,936,0.5205477,YES
520,979,0.5018669,YES
503,1038,0.47364673,YES
290,1126,0.42491826,YES
611,1207,0.3720026,YES
548,1263,0.3369902,YES
496,16883,0.44616917,YES
279,2009,0.025835084,YES
132,4088,6.574963E-10,YES
