ID,Size,Predicted,Actual
552,22,0.57155895,YES
476,24,0.57155895,YES
102,25,0.57205075,NO
294,25,0.57205075,YES
264,28,0.62035996,NO
333,26,0.57205075,YES
490,26,0.57205075,YES
34,27,0.5725401,NO
55,27,0.5725401,NO
83,27,0.5725401,NO
400,27,0.5725401,YES
517,27,0.5725401,YES
533,27,0.5725401,YES
551,27,0.5725401,YES
557,27,0.5725401,YES
349,28,0.5725401,YES
518,28,0.5725401,YES
593,28,0.5725401,YES
32,31,0.62254626,NO
409,29,0.5725401,YES
522,29,0.5725401,YES
202,32,0.6190702,NO
10,31,0.57302713,NO
113,31,0.57302713,NO
527,31,0.57302713,YES
25,32,0.5735118,NO
190,32,0.5735118,YES
513,32,0.5735118,YES
105,33,0.5735118,NO
282,33,0.5735118,YES
346,33,0.5735118,YES
104,34,0.5735118,NO
435,34,0.5735118,YES
436,34,0.5735118,YES
381,35,0.57399404,YES
515,35,0.57399404,YES
598,35,0.57399404,YES
609,35,0.57399404,YES
147,39,0.6307784,NO
188,36,0.57399404,NO
351,36,0.57399404,YES
433,36,0.57399404,YES
568,36,0.57399404,YES
620,36,0.57399404,YES
621,36,0.57399404,YES
622,36,0.57399404,YES
266,40,0.62267935,NO
373,37,0.574474,YES
434,37,0.574474,YES
525,37,0.574474,YES
532,37,0.574474,YES
53,41,0.62305975,NO
335,38,0.574474,YES
377,38,0.574474,YES
437,38,0.574474,YES
511,38,0.574474,YES
158,39,0.574474,NO
170,39,0.574474,NO
301,39,0.574474,YES
438,39,0.574474,YES
120,43,0.6235163,YES
20,40,0.57495147,NO
413,40,0.57495147,YES
473,41,0.57495147,YES
492,41,0.57495147,YES
629,41,0.57495147,YES
8,45,0.62397057,NO
271,45,0.6235906,NO
420,42,0.57495147,YES
455,42,0.57495147,YES
487,42,0.57495147,YES
163,43,0.57542664,NO
205,43,0.57542664,NO
212,43,0.57542664,NO
486,43,0.57542664,YES
12,55,0.7295807,NO
46,44,0.57542664,NO
489,44,0.57542664,YES
146,45,0.5758995,NO
168,45,0.5758995,NO
561,45,0.5758995,YES
268,49,0.62404263,NO
36,50,0.6262034,NO
350,46,0.5758995,YES
417,46,0.5758995,YES
427,46,0.5758995,YES
263,50,0.62449235,NO
81,47,0.5758995,NO
134,47,0.5758995,NO
161,47,0.5758995,NO
375,47,0.5758995,YES
463,47,0.5758995,YES
479,47,0.5758995,YES
480,47,0.5758995,YES
526,47,0.5758995,YES
652,47,0.5758995,YES
421,48,0.5763699,YES
534,48,0.5763699,YES
575,48,0.5763699,YES
634,48,0.5763699,YES
213,59,0.69719756,NO
254,53,0.62493974,NO
227,49,0.5763699,NO
468,49,0.5763699,YES
471,49,0.5763699,YES
482,49,0.5763699,YES
33,50,0.57683796,NO
370,50,0.57683796,YES
454,50,0.57683796,YES
477,50,0.57683796,YES
483,50,0.57683796,YES
270,55,0.62538475,NO
14,55,0.6250113,NO
7,51,0.57683796,NO
23,51,0.57683796,NO
293,51,0.57683796,YES
491,51,0.57683796,NO
602,51,0.57683796,YES
39,52,0.57683796,NO
250,52,0.57683796,NO
181,80,0.8797887,YES
193,64,0.69798917,NO
130,53,0.57730365,NO
579,53,0.57730365,YES
639,53,0.57730365,YES
45,58,0.6270596,NO
153,54,0.57730365,NO
399,54,0.57730365,YES
448,54,0.57730365,YES
494,54,0.57730365,YES
563,54,0.57730365,YES
641,54,0.57730365,YES
56,55,0.577767,NO
244,55,0.577767,NO
643,55,0.577767,YES
140,56,0.577767,NO
242,56,0.577767,NO
300,56,0.577767,YES
376,56,0.577767,YES
430,56,0.577767,YES
488,56,0.577767,YES
585,57,0.577767,YES
603,57,0.577767,YES
569,58,0.578228,YES
594,58,0.578228,YES
601,58,0.578228,YES
262,63,0.6267057,NO
269,63,0.6267057,NO
209,59,0.578228,NO
222,59,0.578228,NO
555,59,0.578228,YES
114,60,0.5786866,NO
115,60,0.5786866,NO
649,60,0.5786866,YES
117,61,0.5786866,NO
278,61,0.5786866,YES
319,61,0.5786866,YES
37,62,0.5786866,NO
167,62,0.5786866,NO
385,62,0.5786866,YES
554,62,0.5786866,YES
570,62,0.5786866,YES
648,62,0.5786866,YES
26,68,0.62928003,YES
252,68,0.62576056,YES
371,63,0.57914287,YES
475,63,0.57914287,YES
544,63,0.57914287,YES
562,63,0.57914287,YES
257,69,0.6275746,NO
258,69,0.6275746,NO
149,77,0.69992954,NO
241,64,0.57914287,NO
296,64,0.57914287,YES
306,64,0.57914287,YES
560,64,0.57914287,YES
564,64,0.57914287,YES
646,64,0.57914287,YES
208,65,0.5795968,NO
304,65,0.5795968,YES
201,71,0.6288077,YES
401,66,0.5795968,YES
474,66,0.5795968,YES
126,90,0.78573567,YES
260,72,0.62800556,NO
261,72,0.62800556,NO
237,67,0.5795968,YES
521,67,0.5795968,YES
164,73,0.630138,NO
64,82,0.7006903,NO
499,68,0.5800483,YES
96,69,0.5800483,NO
274,69,0.5800483,YES
154,76,0.6373559,NO
108,70,0.5800483,NO
447,70,0.5800483,YES
567,70,0.5800483,YES
267,76,0.62886053,NO
185,71,0.58049756,NO
384,71,0.58049756,YES
396,71,0.58049756,YES
443,71,0.58049756,YES
259,77,0.62886053,NO
71,86,0.7014423,NO
256,78,0.6292845,YES
38,87,0.7014423,NO
386,72,0.58049756,YES
419,72,0.58049756,YES
459,72,0.58049756,YES
478,72,0.58049756,YES
524,72,0.58049756,YES
303,73,0.5809444,YES
317,73,0.5809444,YES
387,73,0.5809444,YES
141,74,0.5809444,YES
309,74,0.5809444,YES
432,74,0.5809444,YES
497,74,0.5809444,YES
549,74,0.5809444,YES
572,74,0.5809444,YES
574,74,0.5809444,YES
576,74,0.5809444,YES
199,101,0.7872077,YES
255,81,0.62970614,NO
326,75,0.5809444,YES
581,75,0.5809444,YES
313,76,0.5813889,YES
321,76,0.5813889,YES
545,76,0.5813889,YES
145,92,0.70218563,NO
18,83,0.63182604,NO
16,83,0.62792164,NO
97,77,0.5813889,NO
273,77,0.5813889,YES
325,77,0.5813889,YES
363,77,0.5813889,YES
412,77,0.5813889,YES
