ID,Size,Predicted,Actual
222,22,0.9999841,NO
197,27,0.9999841,NO
227,27,0.9999841,NO
57,27,0.98552424,NO
211,27,0.98552424,NO
198,28,0.9999841,NO
260,28,0.9999841,NO
23,27,0.93668264,NO
202,29,0.9999841,NO
253,31,0.9999841,NO
98,30,0.9449052,NO
9,31,0.9449052,NO
17,32,0.9449052,NO
193,32,0.9316205,NO
256,32,0.9316205,NO
195,35,0.9999841,NO
206,31,0.86289215,NO
145,37,0.9999769,NO
204,37,0.9999769,NO
233,37,0.9999769,NO
144,36,0.9712963,NO
199,36,0.9606237,NO
264,35,0.9316205,NO
83,38,0.9999769,YES
146,38,0.9999769,NO
210,37,0.9712963,NO
85,39,0.9999769,NO
147,39,0.9999769,NO
250,39,0.9999769,NO
237,36,0.9038204,NO
161,41,0.9999769,NO
174,41,0.9999769,NO
181,41,0.9999769,NO
131,42,0.9999769,NO
171,42,0.9999769,NO
170,43,0.9999769,NO
13,40,0.92205423,NO
106,43,0.98518115,NO
191,45,0.9999769,NO
22,46,1.0,YES
105,46,0.9999769,NO
138,46,0.9999769,NO
102,47,0.9999769,NO
103,47,0.9999769,NO
104,47,0.9999769,NO
164,47,0.9999769,NO
299,47,0.9999769,NO
180,43,0.9038204,NO
132,48,0.9999769,NO
244,48,0.9999769,NO
285,48,0.9999769,NO
112,49,1.0,NO
166,49,0.9999769,NO
212,48,0.96104205,NO
167,50,0.9999769,NO
173,51,0.9999769,NO
268,51,0.9999769,NO
293,52,0.9999769,NO
248,53,0.9999769,NO
289,53,0.9999769,NO
82,54,0.9999769,NO
176,54,0.9999769,NO
291,54,0.9999769,NO
37,55,0.99131304,NO
7,51,0.89609045,NO
254,57,0.9999769,NO
269,57,0.9999769,NO
231,45,0.78117687,NO
261,57,0.98518115,NO
141,58,0.9999769,NO
154,58,0.9999769,NO
225,58,0.9999769,NO
238,58,0.9999769,NO
267,58,0.9999769,NO
28,52,0.89609045,YES
245,60,0.9999757,NO
80,55,0.89609045,NO
172,56,0.9038204,NO
26,62,1.0,YES
224,62,0.9999757,NO
239,62,0.9999757,NO
133,63,0.9999757,NO
232,63,0.9999757,NO
234,64,0.9999757,NO
296,64,0.9999757,NO
163,63,0.9742841,NO
71,58,0.89609045,YES
162,66,0.9999757,NO
39,65,0.9742841,NO
25,60,0.8911868,NO
122,67,0.98449236,NO
86,69,0.9999757,YES
201,67,0.95862484,NO
273,63,0.8992405,YES
95,71,0.9999757,NO
150,71,0.9999757,NO
128,64,0.8992405,YES
130,72,0.9999757,NO
18,66,0.89581287,NO
143,74,0.9999757,NO
220,74,0.9999757,NO
243,74,0.9999757,NO
203,72,0.95862484,NO
241,74,0.9844087,NO
216,76,0.9999757,NO
286,76,0.9999757,NO
228,77,0.9999757,NO
124,74,0.9609304,NO
251,78,0.9999757,NO
