ID,Size,Predicted,Actual
514,22,0.19212253,NO
438,24,0.19212253,NO
93,25,0.19212253,NO
256,25,0.19212253,NO
295,26,0.19212253,NO
452,26,0.19212253,NO
46,27,0.19344518,NO
26,27,0.19212253,NO
74,27,0.19212253,NO
362,27,0.19212253,NO
479,27,0.19212253,NO
495,27,0.19212253,NO
513,27,0.19212253,NO
519,27,0.19212253,NO
311,28,0.19212253,NO
480,28,0.19212253,NO
555,28,0.19212253,NO
371,29,0.19212253,NO
484,29,0.19212253,NO
104,31,0.18768364,NO
9,31,0.1827543,NO
489,31,0.1827543,NO
20,32,0.1827543,NO
176,32,0.1827543,NO
475,32,0.1827543,NO
96,33,0.1827543,NO
244,33,0.1827543,NO
308,33,0.1827543,NO
95,34,0.1827543,NO
397,34,0.1827543,NO
398,34,0.1827543,NO
343,35,0.1827543,NO
477,35,0.1827543,NO
560,35,0.1827543,NO
571,35,0.1827543,NO
174,36,0.1827543,NO
313,36,0.1827543,NO
395,36,0.1827543,NO
530,36,0.1827543,NO
582,36,0.1827543,NO
583,36,0.1827543,NO
584,36,0.1827543,NO
335,37,0.1827543,NO
396,37,0.1827543,NO
487,37,0.1827543,NO
494,37,0.1827543,NO
297,38,0.1827543,NO
339,38,0.1827543,NO
399,38,0.1827543,NO
473,38,0.1827543,NO
157,39,0.18402714,NO
146,39,0.1827543,NO
263,39,0.1827543,NO
400,39,0.1827543,NO
15,40,0.1827543,NO
375,40,0.1827543,NO
435,41,0.1827543,NO
454,41,0.1827543,NO
591,41,0.1827543,NO
382,42,0.1827543,NO
417,42,0.1827543,NO
449,42,0.1827543,NO
151,43,0.1827543,NO
189,43,0.1827543,NO
196,43,0.1827543,NO
448,43,0.1827543,NO
38,44,0.1827543,NO
451,44,0.1827543,NO
135,45,0.1827543,NO
155,45,0.1827543,NO
523,45,0.1827543,NO
72,47,0.18768364,NO
312,46,0.1827543,NO
379,46,0.1827543,NO
389,46,0.1827543,NO
123,47,0.1827543,NO
149,47,0.1827543,NO
337,47,0.1827543,NO
425,47,0.1827543,NO
441,47,0.1827543,NO
442,47,0.1827543,NO
488,47,0.1827543,NO
614,47,0.1827543,NO
383,48,0.1827543,NO
496,48,0.1827543,NO
537,48,0.1827543,NO
596,48,0.1827543,NO
211,49,0.1827543,NO
430,49,0.1827543,NO
433,49,0.1827543,NO
444,49,0.1827543,NO
25,50,0.1827543,NO
332,50,0.1827543,NO
416,50,0.1827543,NO
439,50,0.1827543,NO
445,50,0.1827543,NO
142,51,0.17555706,NO
7,51,0.17522568,NO
18,51,0.17522568,NO
255,51,0.17522568,NO
453,51,0.17522568,NO
564,51,0.17522568,NO
31,52,0.17522568,NO
233,52,0.17522568,NO
119,53,0.17522568,NO
541,53,0.17522568,NO
601,53,0.17522568,NO
141,54,0.17522568,NO
361,54,0.17522568,NO
410,54,0.17522568,NO
456,54,0.17522568,NO
525,54,0.17522568,NO
603,54,0.17522568,NO
47,55,0.17522568,NO
227,55,0.17522568,NO
605,55,0.17522568,NO
129,56,0.17522568,NO
226,56,0.17522568,NO
262,56,0.17522568,NO
338,56,0.17522568,NO
392,56,0.17522568,NO
450,56,0.17522568,NO
547,57,0.17522568,NO
565,57,0.17522568,NO
37,58,0.17522568,NO
531,58,0.17522568,NO
556,58,0.17522568,NO
563,58,0.17522568,NO
105,60,0.17999667,NO
106,60,0.17999667,NO
193,59,0.17522568,NO
197,59,0.17522568,NO
206,59,0.17522568,NO
517,59,0.17522568,NO
108,61,0.17999667,NO
28,60,0.17522568,NO
611,60,0.17522568,NO
240,61,0.17522568,NO
281,61,0.17522568,NO
29,62,0.17522568,NO
154,62,0.17522568,NO
347,62,0.17522568,NO
516,62,0.17522568,NO
532,62,0.17522568,NO
610,62,0.17522568,NO
333,63,0.17522568,NO
437,63,0.17522568,NO
506,63,0.17522568,NO
524,63,0.17522568,NO
179,64,0.17522568,NO
225,64,0.17522568,NO
258,64,0.17522568,NO
268,64,0.17522568,NO
522,64,0.17522568,NO
526,64,0.17522568,NO
608,64,0.17522568,NO
192,65,0.17522568,NO
266,65,0.17522568,NO
21,66,0.17522568,NO
363,66,0.17522568,NO
436,66,0.17522568,NO
221,67,0.17522568,NO
483,67,0.17522568,NO
461,68,0.17522568,NO
87,69,0.17522568,NO
236,69,0.17522568,NO
99,70,0.17522568,NO
409,70,0.17522568,NO
529,70,0.17522568,NO
160,71,0.1697078,YES
171,71,0.1693852,NO
346,71,0.1693852,NO
358,71,0.1693852,NO
405,71,0.1693852,NO
348,72,0.1693852,NO
381,72,0.1693852,NO
421,72,0.1693852,NO
440,72,0.1693852,NO
486,72,0.1693852,NO
265,73,0.1693852,NO
279,73,0.1693852,NO
349,73,0.1693852,NO
130,74,0.1693852,NO
271,74,0.1693852,NO
394,74,0.1693852,NO
459,74,0.1693852,NO
511,74,0.1693852,NO
534,74,0.1693852,NO
536,74,0.1693852,NO
538,74,0.1693852,NO
288,75,0.1693852,NO
543,75,0.1693852,NO
275,76,0.1693852,NO
283,76,0.1693852,NO
507,76,0.1693852,NO
88,77,0.1693852,NO
137,77,0.1693852,NO
235,77,0.1693852,NO
287,77,0.1693852,NO
325,77,0.1693852,NO
374,77,0.1693852,NO
520,77,0.1693852,NO
231,80,0.17403072,NO
331,78,0.1693852,NO
54,79,0.1693852,NO
92,79,0.1693852,NO
334,79,0.1693852,NO
586,79,0.1693852,NO
167,80,0.1693852,NO
55,82,0.1693852,NO
370,82,0.1693852,NO
12,83,0.17058435,NO
35,83,0.17058435,NO
505,83,0.1693852,NO
94,84,0.1693852,NO
118,84,0.1693852,NO
273,84,0.1693852,NO
280,84,0.1693852,NO
402,84,0.1693852,NO
587,84,0.1693852,NO
69,85,0.1693852,NO
407,85,0.1693852,NO
62,86,0.1693852,NO
369,86,0.1693852,NO
535,86,0.1693852,NO
539,86,0.1693852,NO
598,86,0.1693852,NO
30,87,0.1693852,NO
296,87,0.1693852,NO
373,87,0.1693852,NO
51,90,0.17403072,NO
139,88,0.1693852,NO
328,88,0.1693852,NO
554,88,0.1693852,NO
190,89,0.17058435,NO
75,89,0.1693852,NO
384,89,0.1693852,NO
434,89,0.1693852,NO
50,90,0.1693852,NO
478,90,0.1693852,NO
490,90,0.1693852,NO
575,90,0.1693852,NO
319,91,0.16511329,NO
48,94,0.16966559,NO
78,92,0.16511329,NO
134,92,0.16511329,NO
422,92,0.16511329,NO
481,92,0.16511329,NO
80,93,0.16511329,NO
404,94,0.16511329,NO
471,94,0.16511329,NO
615,94,0.16511329,NO
309,95,0.16511329,NO
376,95,0.16511329,NO
232,96,0.16542938,NO
294,96,0.16511329,NO
502,96,0.16511329,NO
89,97,0.16628826,NO
156,97,0.16511329,NO
323,98,0.16511329,NO
446,98,0.16511329,NO
561,98,0.16511329,NO
222,99,0.16542938,NO
207,99,0.16511329,NO
518,99,0.16511329,NO
185,100,0.16511329,YES
218,100,0.16511329,NO
462,100,0.16511329,NO
501,100,0.16511329,NO
124,101,0.16511329,NO
259,101,0.16511329,NO
305,101,0.16511329,NO
472,101,0.16511329,NO
512,101,0.16511329,NO
163,102,0.16511329,NO
199,102,0.16511329,NO
559,103,0.16511329,NO
572,103,0.16511329,NO
97,104,0.16511329,NO
237,104,0.16511329,NO
455,104,0.16511329,NO
466,104,0.16511329,NO
470,106,0.16769664,NO
485,105,0.16511329,NO
39,106,0.16628826,NO
67,106,0.16628826,NO
243,106,0.16511329,NO
469,106,0.16511329,NO
303,107,0.16511329,NO
364,107,0.16511329,NO
493,107,0.16511329,NO
203,108,0.16628826,NO
217,108,0.16511329,NO
426,108,0.16511329,NO
552,108,0.16511329,NO
68,109,0.16511329,NO
84,109,0.16511329,NO
286,109,0.16511329,NO
178,111,0.16232151,NO
427,111,0.16232151,NO
476,111,0.16232151,NO
238,115,0.16232151,NO
310,116,0.16232151,NO
342,116,0.16232151,NO
579,116,0.16232151,NO
272,117,0.16232151,NO
403,117,0.16232151,NO
562,117,0.16232151,NO
34,118,0.16348049,NO
220,118,0.16232151,NO
224,120,0.1648698,NO
357,119,0.16232151,NO
368,120,0.16232151,NO
468,123,0.16232151,NO
548,123,0.16232151,NO
147,677,0.8802976,NO
330,125,0.16232151,NO
544,125,0.16232151,NO
66,126,0.16232151,YES
412,128,0.1648698,NO
245,657,0.8448903,NO
122,721,0.9266923,YES
566,707,0.90401655,NO
290,127,0.16232151,NO
324,127,0.16232151,NO
14,638,0.80943507,YES
138,666,0.8448903,NO
314,692,0.8768126,NO
150,129,0.16232151,NO
320,129,0.16232151,NO
344,129,0.16232151,NO
429,129,0.16232151,NO
208,762,0.95842326,NO
43,752,0.94580674,YES
250,752,0.94410783,NO
551,130,0.16232151,NO
195,648,0.8081206,NO
581,778,0.96936154,NO
229,617,0.7669014,NO
73,781,0.96990985,YES
148,131,0.16232151,NO
194,131,0.16232151,NO
270,624,0.7669014,NO
418,624,0.7669014,NO
143,132,0.16126132,NO
355,628,0.7669014,NO
474,628,0.7669014,NO
597,801,0.97776467,YES
120,132,0.16095164,NO
527,132,0.16095164,NO
533,132,0.16095164,NO
542,804,0.97776467,NO
23,596,0.7236682,NO
209,601,0.7256882,NO
546,134,0.16095164,NO
53,138,0.16541195,NO
85,607,0.7256882,NO
251,135,0.16095164,NO
128,136,0.16095164,NO
595,137,0.16095164,NO
503,842,0.98871404,NO
19,579,0.6761967,YES
3,138,0.16095164,NO
321,138,0.16095164,NO
102,142,0.16541195,NO
329,139,0.16095164,NO
574,139,0.16095164,NO
159,585,0.674333,NO
521,863,0.9922442,NO
100,140,0.16095164,NO
499,867,0.9920995,NO
386,141,0.16095164,NO
247,872,0.9920995,NO
107,876,0.9923515,NO
44,877,0.99216586,YES
447,143,0.16095164,NO
86,565,0.62956977,NO
317,145,0.16095164,NO
350,145,0.16095164,NO
65,573,0.63283837,NO
36,147,0.16095164,NO
56,147,0.16095164,NO
103,152,0.16543587,NO
133,148,0.16095164,NO
188,148,0.16095164,NO
291,148,0.16095164,NO
387,148,0.16095164,NO
504,535,0.5804335,NO
27,926,0.9974857,NO
41,151,0.16126132,NO
318,151,0.16095164,NO
413,151,0.16095164,NO
282,936,0.9974643,NO
145,152,0.16097505,NO
165,153,0.16128476,NO
277,153,0.16097505,NO
460,153,0.16097505,NO
463,550,0.5758914,NO
509,155,0.16097505,NO
101,156,0.16097505,NO
401,156,0.16097505,NO
230,158,0.16212629,NO
8,157,0.16097505,NO
293,157,0.16097505,NO
365,157,0.16097505,NO
125,517,0.5296882,NO
144,160,0.16350634,YES
482,979,0.9992608,NO
500,159,0.16097505,NO
172,991,0.99926245,NO
411,160,0.16097505,NO
59,530,0.5322096,NO
212,532,0.5322096,NO
367,161,0.16097505,NO
550,162,0.16097505,NO
10,1009,0.99952406,NO
5,163,0.16097505,NO
33,163,0.16097505,NO
253,163,0.16097505,NO
269,164,0.16097505,NO
315,164,0.16097505,NO
79,497,0.4859445,NO
77,166,0.16212629,NO
284,165,0.16097505,NO
390,165,0.16097505,NO
58,1026,0.99970144,YES
61,167,0.16128476,YES
497,167,0.16097505,NO
465,1038,0.9996915,NO
223,169,0.16212629,NO
136,168,0.16097505,NO
249,168,0.16097505,NO
285,504,0.48129356,NO
292,169,0.16097505,NO
592,170,0.16097505,NO
98,172,0.16239221,NO
326,171,0.16097505,NO
391,171,0.16097505,NO
260,512,0.48129356,NO
216,1070,0.99987674,NO
132,174,0.16239221,NO
