ID,Size,Predicted,Actual
252,129,1.0,NO
235,125,0.75980234,NO
175,230,0.98195773,NO
400,231,0.98205125,YES
148,230,0.9031583,NO
31,268,0.9958503,NO
107,273,0.9958503,NO
172,273,0.9958503,NO
46,273,0.9958067,NO
255,277,1.0,NO
135,283,0.9977916,NO
246,284,0.9979194,NO
153,208,0.72140247,NO
399,297,0.9999242,NO
321,213,0.7143304,NO
83,214,0.7143304,NO
315,214,0.7125373,NO
380,306,0.99993026,NO
412,306,0.99932486,NO
238,219,0.7143304,NO
170,309,0.9999659,NO
390,197,0.6292928,NO
251,319,0.9999656,NO
435,321,0.9999668,NO
106,325,0.9999994,NO
229,183,0.562341,NO
156,340,0.9999959,NO
158,342,1.0,NO
376,353,0.9999958,NO
111,357,1.0,NO
254,358,0.999999,NO
58,358,0.9999986,NO
422,359,0.984777,NO
411,365,1.0,NO
247,371,1.0,NO
242,377,1.0,NO
243,383,1.0,NO
171,389,1.0,NO
142,378,0.956605,NO
401,399,1.0,NO
174,418,1.0,NO
237,421,0.9999985,NO
51,422,1.0,NO
151,359,0.84363955,NO
391,430,1.0,NO
16,388,0.8848236,NO
68,301,0.67805296,NO
381,340,0.756138,NO
15,361,0.79846054,NO
75,250,0.5499331,NO
287,437,0.958766,NO
155,462,1.0,NO
2,458,0.98782533,NO
184,402,0.8640078,NO
53,467,0.99998045,NO
71,466,0.9920266,NO
154,408,0.86405385,NO
338,489,0.9967652,NO
105,503,1.0,NO
327,525,0.9998702,NO
208,380,0.6993088,NO
286,549,0.99999994,NO
182,551,0.9999999,NO
13,551,0.99996656,NO
179,558,1.0,NO
102,558,0.99995327,NO
78,565,1.0,NO
18,577,0.99999404,NO
22,582,0.9999918,NO
297,584,1.0,NO
136,585,0.99999326,NO
199,187,0.31709343,NO
77,601,1.0,NO
200,617,1.0,NO
241,624,1.0,NO
97,624,0.99999917,NO
166,648,1.0,NO
40,648,0.9999998,NO
82,337,0.51015526,NO
363,355,0.5357751,NO
118,664,1.0,NO
389,688,1.0,NO
65,694,1.0,NO
4,357,0.51015526,NO
103,727,1.0,NO
404,740,1.0,NO
138,355,0.47521573,NO
178,762,1.0,NO
42,314,0.40505812,NO
41,778,1.0,NO
365,798,1.0,NO
420,801,1.0,NO
326,841,1.0,NO
344,846,1.0,NO
322,866,1.0,NO
290,331,0.3762668,NO
162,325,0.36775115,NO
305,885,1.0,NO
337,22,0.024343492,NO
231,183,0.1996723,NO
425,308,0.3345465,NO
10,928,1.0,NO
26,928,1.0,NO
147,952,1.0,NO
224,156,0.16302867,NO
93,154,0.15803523,NO
52,978,1.0,NO
234,160,0.16302867,NO
436,329,0.3336145,NO
130,243,0.24493465,NO
261,24,0.024003789,NO
323,159,0.15803523,NO
373,162,0.15908945,NO
288,1033,1.0,NO
186,1038,1.0,NO
320,166,0.15908945,NO
85,25,0.023819372,NO
275,26,0.024696384,NO
116,168,0.1568717,NO
90,172,0.15803523,NO
427,308,0.280619,NO
25,27,0.024343492,NO
66,27,0.024343492,NO
302,27,0.024343492,NO
318,27,0.024343492,NO
342,27,0.024343492,NO
303,28,0.024343492,NO
378,28,0.024343492,NO
64,314,0.27078986,NO
336,27,0.022900123,NO
39,326,0.27601674,NO
307,29,0.024343492,NO
396,1198,1.0,NO
6,1242,1.0,NO
137,295,0.23410806,NO
145,221,0.17519027,NO
333,1262,1.0,NO
9,31,0.024343492,NO
312,31,0.024343492,NO
19,32,0.024343492,NO
298,32,0.024343492,NO
300,35,0.024343492,NO
383,35,0.024343492,NO
149,36,0.024953244,NO
124,152,0.10384576,NO
218,36,0.024343492,NO
353,36,0.024343492,NO
50,147,0.096864425,NO
219,37,0.024343492,NO
310,37,0.024343492,NO
317,37,0.024343492,NO
296,38,0.024953244,NO
369,134,0.08683425,NO
222,38,0.024343492,NO
125,39,0.024343492,NO
223,39,0.024343492,NO
108,136,0.08477042,NO
88,33,0.020420376,NO
150,32,0.019629667,NO
87,34,0.020420376,NO
