ID,Size,Predicted,Actual
229,25,0.5505707,NO
268,26,0.5505707,NO
335,27,0.5505707,NO
284,28,0.5505707,NO
344,29,0.5505707,NO
217,33,0.5505707,NO
281,33,0.5505707,NO
316,35,0.5505707,NO
286,36,0.5505707,NO
308,37,0.5505707,NO
270,38,0.5505707,NO
312,38,0.5505707,NO
236,39,0.5505707,NO
348,40,0.5505707,NO
285,46,0.5505707,NO
352,46,0.5505707,NO
310,47,0.5505707,NO
305,50,0.5505707,NO
228,51,0.5505707,NO
334,54,0.5505707,NO
235,56,0.5505707,NO
311,56,0.5505707,NO
213,61,0.5537075,NO
254,61,0.5537075,NO
320,62,0.5537075,NO
306,63,0.5537075,NO
231,64,0.5537075,NO
241,64,0.5537075,NO
239,65,0.5537075,NO
336,66,0.5537075,NO
209,69,0.5537075,NO
319,71,0.5537075,NO
331,71,0.5537075,NO
321,72,0.55798167,NO
238,73,0.55798167,NO
252,73,0.55798167,NO
322,73,0.55798167,NO
244,74,0.55798167,NO
261,75,0.55798167,NO
248,76,0.55798167,NO
256,76,0.55798167,NO
208,77,0.55798167,NO
260,77,0.55798167,NO
347,77,0.55798167,NO
304,78,0.55798167,NO
307,79,0.55798167,NO
343,82,0.55798167,NO
246,84,0.55798167,NO
253,84,0.55798167,NO
342,86,0.55798167,NO
269,87,0.55798167,NO
346,87,0.55798167,NO
301,88,0.55798167,NO
292,91,0.55798167,NO
282,95,0.55798167,NO
349,95,0.55798167,NO
267,96,0.5613239,NO
296,98,0.5613239,NO
298,77,0.4289555,NO
232,101,0.5613239,NO
278,101,0.5613239,NO
210,104,0.5613239,NO
216,106,0.5613239,NO
276,107,0.5613239,NO
337,107,0.5613239,NO
259,109,0.5613239,NO
211,115,0.5613239,NO
283,116,0.5613239,NO
315,116,0.5613239,NO
245,117,0.5613239,NO
330,119,0.5654454,NO
341,120,0.5654454,NO
303,125,0.5654454,NO
263,127,0.5654454,NO
297,127,0.5654454,NO
293,129,0.5654454,NO
317,129,0.5654454,NO
224,135,0.5689899,NO
294,138,0.5689899,NO
302,139,0.5689899,NO
487,22,0.088655345,NO
290,145,0.5689899,NO
264,148,0.5689899,NO
291,151,0.5689899,NO
411,24,0.09010983,NO
250,153,0.5689899,NO
266,157,0.5689899,NO
338,157,0.5689899,NO
85,25,0.09010983,NO
340,161,0.5689899,NO
226,163,0.5689899,NO
242,164,0.5689899,NO
288,164,0.5689899,NO
425,26,0.09010983,NO
257,165,0.5689899,NO
222,168,0.57295775,NO
265,169,0.57295775,NO
299,171,0.57295775,NO
25,27,0.09010983,NO
66,27,0.09010983,NO
452,27,0.09010983,NO
468,27,0.09010983,NO
486,27,0.09010983,NO
492,27,0.09010983,NO
277,174,0.5767009,NO
279,176,0.5767009,NO
215,179,0.5767009,NO
453,28,0.09010983,NO
528,28,0.09010983,NO
230,180,0.5767009,NO
309,181,0.5767009,NO
227,184,0.5767009,NO
457,29,0.09010983,NO
234,187,0.5767009,NO
323,145,0.43995178,NO
327,192,0.5767009,NO
289,193,0.5767009,NO
9,31,0.09010983,NO
462,31,0.09010983,NO
262,204,0.5767009,NO
19,32,0.09010983,NO
153,32,0.09010983,NO
448,32,0.09010983,NO
280,212,0.58064884,NO
300,212,0.58064884,NO
326,214,0.5844524,NO
88,33,0.09010983,NO
87,34,0.09010983,NO
370,34,0.09010983,NO
371,34,0.09010983,NO
295,222,0.5844524,NO
137,35,0.09010983,NO
450,35,0.09010983,NO
533,35,0.09010983,NO
544,35,0.09010983,NO
152,36,0.09010983,NO
368,36,0.09010983,NO
503,36,0.09010983,NO
555,36,0.09010983,NO
556,36,0.09010983,NO
557,36,0.09010983,NO
274,234,0.5844524,NO
313,237,0.5844524,NO
275,239,0.5844524,NO
369,37,0.09010983,NO
460,37,0.09010983,NO
467,37,0.09010983,NO
333,241,0.5844524,NO
372,38,0.09010983,NO
446,38,0.09010983,NO
251,250,0.58859193,NO
128,39,0.09010983,NO
373,39,0.09010983,NO
329,256,0.58859193,NO
237,261,0.58859193,NO
318,261,0.58859193,NO
14,40,0.09010983,NO
345,267,0.5922394,NO
408,41,0.09010983,NO
427,41,0.09010983,NO
564,41,0.09010983,NO
314,273,0.5922394,NO
355,42,0.09010983,NO
390,42,0.09010983,NO
422,42,0.09010983,NO
164,43,0.09194339,NO
271,281,0.5922394,NO
132,43,0.09010983,NO
171,43,0.09010983,NO
421,43,0.09010983,NO
106,47,0.097853355,NO
36,44,0.09010983,NO
424,44,0.09010983,NO
219,295,0.596566,NO
247,226,0.45561445,NO
118,45,0.09010983,NO
135,45,0.09010983,NO
496,45,0.09010983,NO
339,300,0.596566,NO
362,46,0.09010983,NO
130,47,0.09010983,NO
398,47,0.09010983,NO
414,47,0.09010983,NO
415,47,0.09010983,NO
461,47,0.09010983,NO
587,47,0.09010983,NO
125,48,0.09010983,YES
356,48,0.09010983,NO
469,48,0.09010983,NO
510,48,0.09010983,NO
569,48,0.09010983,NO
325,322,0.60005707,NO
249,323,0.60005707,NO
185,49,0.09010983,NO
403,49,0.09010983,NO
406,49,0.09010983,NO
417,49,0.09010983,NO
240,329,0.6045658,NO
24,50,0.09010983,NO
389,50,0.09010983,NO
412,50,0.09010983,NO
418,50,0.09010983,NO
350,337,0.6045658,NO
273,339,0.6045658,NO
332,340,0.6045658,NO
7,51,0.09010983,NO
17,51,0.09010983,NO
426,51,0.09010983,NO
537,51,0.09010983,NO
30,52,0.09010983,NO
206,52,0.09010983,NO
102,53,0.09096226,NO
529,58,0.09880728,NO
514,53,0.09010983,NO
574,53,0.09010983,NO
124,54,0.09010983,NO
383,54,0.09010983,NO
429,54,0.09010983,NO
498,54,0.09010983,NO
576,54,0.09010983,NO
43,55,0.09010983,NO
201,55,0.09010983,NO
578,55,0.09010983,NO
351,376,0.61258584,NO
272,380,0.61258584,NO
112,56,0.09010983,NO
200,56,0.09010983,NO
365,56,0.09010983,NO
423,56,0.09010983,NO
520,57,0.09010983,NO
538,57,0.09010983,NO
35,58,0.09010983,NO
504,58,0.09010983,NO
536,58,0.09010983,NO
56,86,0.13302591,NO
581,64,0.09880728,NO
353,399,0.61258584,NO
168,59,0.09010983,NO
180,59,0.09010983,NO
490,59,0.09010983,NO
324,413,0.62062055,NO
27,60,0.09010983,NO
584,60,0.09010983,NO
508,86,0.12721083,NO
212,421,0.62062055,NO
28,62,0.09010983,NO
134,62,0.09010983,NO
489,62,0.09010983,NO
505,62,0.09010983,NO
583,62,0.09010983,NO
410,63,0.09010983,NO
479,63,0.09010983,NO
497,63,0.09010983,NO
444,94,0.13302591,NO
221,444,0.62565863,NO
155,64,0.09010983,NO
199,64,0.09010983,NO
495,64,0.09010983,NO
499,64,0.09010983,NO
167,65,0.09010983,NO
136,97,0.13302591,NO
20,66,0.09010983,NO
409,66,0.09010983,NO
