ID,Size,Predicted,Actual
552,22,0.16530035,NO
476,24,0.16530035,NO
102,25,0.16530035,NO
294,25,0.16530035,NO
333,26,0.16530035,NO
490,26,0.16530035,NO
34,27,0.16530035,NO
55,27,0.16530035,NO
83,27,0.16530035,NO
400,27,0.16530035,NO
517,27,0.16530035,NO
533,27,0.16530035,NO
551,27,0.16530035,NO
557,27,0.16530035,NO
349,28,0.16530035,NO
518,28,0.16530035,NO
593,28,0.16530035,NO
264,28,0.16404088,NO
409,29,0.16530035,NO
522,29,0.16530035,NO
10,31,0.16530035,NO
113,31,0.16530035,NO
527,31,0.16530035,NO
32,31,0.16517673,NO
213,59,0.27786583,NO
193,64,0.27786583,NO
25,32,0.13798623,NO
190,32,0.13798623,NO
202,32,0.13798623,NO
513,32,0.13798623,NO
105,33,0.13798623,NO
282,33,0.13798623,NO
346,33,0.13798623,NO
104,34,0.13798623,NO
435,34,0.13798623,NO
436,34,0.13798623,NO
381,35,0.13798623,NO
515,35,0.13798623,NO
598,35,0.13798623,NO
609,35,0.13798623,NO
188,36,0.13798623,NO
351,36,0.13798623,NO
433,36,0.13798623,NO
568,36,0.13798623,NO
620,36,0.13798623,NO
621,36,0.13798623,NO
622,36,0.13798623,NO
373,37,0.13798623,NO
434,37,0.13798623,NO
525,37,0.13798623,NO
532,37,0.13798623,NO
147,39,0.14491884,NO
335,38,0.13798623,NO
377,38,0.13798623,NO
437,38,0.13798623,NO
511,38,0.13798623,NO
149,77,0.27786583,NO
158,39,0.13798623,NO
170,39,0.13798623,NO
301,39,0.13798623,NO
438,39,0.13798623,NO
20,40,0.13798623,NO
413,40,0.13798623,NO
266,40,0.13690075,NO
64,82,0.27786583,NO
473,41,0.13798623,NO
492,41,0.13798623,NO
629,41,0.13798623,NO
53,41,0.13690075,NO
420,42,0.13798623,NO
455,42,0.13798623,NO
487,42,0.13798623,NO
71,86,0.27786583,NO
163,43,0.13798623,NO
205,43,0.13798623,NO
212,43,0.13798623,NO
486,43,0.13798623,NO
38,87,0.27786583,NO
120,43,0.13690075,NO
46,44,0.13798623,NO
489,44,0.13798623,NO
146,45,0.13798623,NO
168,45,0.13798623,NO
561,45,0.13798623,NO
8,45,0.13690075,NO
271,45,0.13690075,NO
145,92,0.27786583,NO
350,46,0.13798623,NO
417,46,0.13798623,NO
427,46,0.13798623,NO
81,47,0.13798623,NO
134,47,0.13798623,NO
161,47,0.13798623,NO
375,47,0.13798623,NO
463,47,0.13798623,NO
479,47,0.13798623,NO
480,47,0.13798623,NO
526,47,0.13798623,NO
652,47,0.13798623,NO
421,48,0.13798623,NO
534,48,0.13798623,NO
575,48,0.13798623,NO
634,48,0.13798623,NO
227,49,0.13798623,NO
468,49,0.13798623,NO
471,49,0.13798623,NO
482,49,0.13798623,NO
268,49,0.13690075,NO
33,50,0.13798623,NO
370,50,0.13798623,NO
454,50,0.13798623,NO
477,50,0.13798623,NO
483,50,0.13798623,NO
36,50,0.13787967,NO
263,50,0.13690075,NO
7,51,0.13798623,NO
23,51,0.13798623,NO
293,51,0.13798623,NO
491,51,0.13798623,NO
602,51,0.13798623,NO
39,52,0.13798623,NO
250,52,0.13798623,NO
181,80,0.20862299,NO
130,53,0.13798623,NO
579,53,0.13798623,NO
639,53,0.13798623,NO
254,53,0.13690075,NO
12,55,0.14114843,NO
153,54,0.13798623,NO
399,54,0.13798623,NO
448,54,0.13798623,NO
494,54,0.13798623,NO
563,54,0.13798623,NO
641,54,0.13798623,NO
234,100,0.253324,NO
56,55,0.13798623,NO
244,55,0.13798623,NO
643,55,0.13798623,NO
14,55,0.13690075,NO
270,55,0.13690075,NO
140,56,0.13798623,NO
242,56,0.13798623,NO
300,56,0.13798623,NO
376,56,0.13798623,NO
430,56,0.13798623,NO
488,56,0.13798623,NO
585,57,0.13798623,NO
603,57,0.13798623,NO
126,90,0.2146608,NO
569,58,0.13798623,NO
594,58,0.13798623,NO
601,58,0.13798623,NO
45,58,0.13787967,NO
209,59,0.13798623,NO
222,59,0.13798623,NO
555,59,0.13798623,NO
114,60,0.13798623,NO
115,60,0.13798623,NO
649,60,0.13798623,NO
192,111,0.253324,NO
117,61,0.13798623,NO
278,61,0.13798623,NO
319,61,0.13798623,NO
37,62,0.13798623,NO
167,62,0.13798623,NO
385,62,0.13798623,NO
554,62,0.13798623,NO
570,62,0.13798623,NO
648,62,0.13798623,NO
371,63,0.13798623,NO
475,63,0.13798623,NO
544,63,0.13798623,NO
562,63,0.13798623,NO
262,63,0.13690075,NO
269,63,0.13690075,NO
241,64,0.13798623,NO
296,64,0.13798623,NO
306,64,0.13798623,NO
560,64,0.13798623,NO
564,64,0.13798623,NO
646,64,0.13798623,NO
236,118,0.253324,NO
208,65,0.13798623,NO
304,65,0.13798623,NO
240,120,0.253324,NO
401,66,0.13798623,NO
474,66,0.13798623,NO
237,67,0.13798623,NO
521,67,0.13798623,NO
499,68,0.13798623,NO
26,68,0.13787967,NO
252,68,0.13734192,NO
96,69,0.13798623,NO
274,69,0.13798623,NO
257,69,0.13690075,NO
258,69,0.13690075,NO
108,70,0.13798623,NO
447,70,0.13798623,NO
567,70,0.13798623,NO
185,71,0.13798623,NO
384,71,0.13798623,NO
396,71,0.13798623,NO
443,71,0.13798623,NO
201,71,0.13690075,NO
199,101,0.19420014,YES
155,132,0.253324,NO
386,72,0.13798623,NO
419,72,0.13798623,NO
459,72,0.13798623,NO
478,72,0.13798623,NO
524,72,0.13798623,NO
154,76,0.14491884,NO
260,72,0.13690075,NO
261,72,0.13690075,NO
303,73,0.13798623,NO
317,73,0.13798623,NO
387,73,0.13798623,NO
164,73,0.13787967,NO
141,74,0.13798623,NO
309,74,0.13798623,NO
432,74,0.13798623,NO
497,74,0.13798623,NO
549,74,0.13798623,NO
572,74,0.13798623,NO
574,74,0.13798623,NO
576,74,0.13798623,NO
326,75,0.13798623,NO
581,75,0.13798623,NO
3,138,0.253324,NO
313,76,0.13798623,NO
321,76,0.13798623,NO
545,76,0.13798623,NO
267,76,0.13690075,NO
97,77,0.13798623,NO
273,77,0.13798623,NO
325,77,0.13798623,NO
363,77,0.13798623,NO
412,77,0.13798623,NO
558,77,0.13798623,NO
259,77,0.13690075,NO
369,78,0.13798623,NO
256,78,0.13690075,NO
101,79,0.13798623,NO
372,79,0.13798623,NO
624,79,0.13798623,NO
248,80,0.13798623,NO
144,148,0.253324,NO
255,81,0.13690075,NO
408,82,0.13798623,NO
16,83,0.13798623,NO
43,83,0.13798623,NO
543,83,0.13798623,NO
18,83,0.13787967,NO
179,153,0.253324,NO
103,84,0.13798623,NO
129,84,0.13798623,NO
311,84,0.13798623,NO
318,84,0.13798623,NO
440,84,0.13798623,NO
625,84,0.13798623,NO
174,84,0.13690075,NO
78,85,0.13798623,NO
445,85,0.13798623,NO
407,86,0.13798623,NO
573,86,0.13798623,NO
577,86,0.13798623,NO
636,86,0.13798623,NO
334,87,0.13798623,NO
411,87,0.13798623,NO
151,88,0.13798623,NO
366,88,0.13798623,NO
592,88,0.13798623,NO
84,89,0.13798623,NO
206,89,0.13798623,NO
422,89,0.13798623,NO
472,89,0.13798623,NO
59,90,0.13798623,NO
60,90,0.13798623,NO
516,90,0.13798623,NO
528,90,0.13798623,NO
613,90,0.13798623,NO
63,90,0.13690075,NO
357,91,0.13798623,NO
87,92,0.13798623,NO
460,92,0.13798623,NO
519,92,0.13798623,NO
89,93,0.13798623,NO
143,174,0.24602377,NO
57,94,0.12368292,NO
442,94,0.12368292,NO
509,94,0.12368292,NO
653,94,0.12368292,NO
347,95,0.12368292,NO
414,95,0.12368292,NO
332,96,0.12368292,NO
540,96,0.12368292,NO
265,96,0.12269394,NO
98,97,0.12368292,NO
169,97,0.12368292,NO
124,194,0.24602377,NO
361,98,0.12368292,NO
484,98,0.12368292,NO
599,98,0.12368292,NO
223,99,0.12368292,NO
238,99,0.12368292,NO
556,99,0.12368292,NO
253,99,0.12309586,NO
177,102,0.12656546,NO
500,100,0.12368292,NO
539,100,0.12368292,NO
135,101,0.12368292,NO
297,101,0.12368292,NO
343,101,0.12368292,NO
510,101,0.12368292,NO
550,101,0.12368292,NO
215,102,0.12368292,NO
597,103,0.12368292,NO
610,103,0.12368292,NO
15,103,0.12269394,NO
106,104,0.12368292,NO
275,104,0.12368292,NO
493,104,0.12368292,NO
504,104,0.12368292,NO
523,105,0.12368292,NO
47,106,0.12368292,NO
281,106,0.12368292,NO
507,106,0.12368292,NO
508,106,0.12368292,NO
341,107,0.12368292,NO
402,107,0.12368292,NO
531,107,0.12368292,NO
219,108,0.12368292,NO
233,108,0.12368292,NO
464,108,0.12368292,NO
590,108,0.12368292,NO
0,215,0.24602377,NO
635,802,0.9156709,YES
211,648,0.7390518,NO
580,804,0.9163752,NO
51,849,0.9645037,YES
77,109,0.12368292,NO
93,109,0.12368292,NO
324,109,0.12368292,NO
30,839,0.94471675,NO
52,877,0.985056,YES
133,860,0.96448594,YES
559,863,0.96481586,NO
465,111,0.12368292,NO
514,111,0.12368292,NO
249,111,0.12358582,NO
537,867,0.96481586,NO
19,867,0.9647854,NO
187,230,0.25502577,NO
221,230,0.25502577,NO
239,170,0.18817435,NO
285,872,0.96481586,NO
116,876,0.96481586,NO
288,752,0.82689536,NO
246,618,0.6772575,NO
224,763,0.834916,NO
541,842,0.9163752,NO
94,618,0.66797984,YES
276,115,0.12368292,NO
348,116,0.12368292,NO
380,116,0.12368292,NO
617,116,0.12368292,NO
619,778,0.82689536,NO
