ID,Size,Predicted,Actual
514,22,0.11925147,NO
438,24,0.11925147,NO
93,25,0.11925147,NO
256,25,0.11925147,NO
295,26,0.11925147,NO
452,26,0.11925147,NO
46,27,0.10687916,NO
26,27,0.10447724,NO
74,27,0.10447724,NO
362,27,0.10447724,NO
479,27,0.10447724,NO
495,27,0.10447724,NO
513,27,0.10447724,NO
519,27,0.10447724,NO
311,28,0.10447724,NO
480,28,0.10447724,NO
555,28,0.10447724,NO
371,29,0.10447724,NO
484,29,0.10447724,NO
104,31,0.10885808,NO
9,31,0.10447724,NO
489,31,0.10447724,NO
20,32,0.10447724,NO
176,32,0.10447724,NO
475,32,0.10447724,NO
96,33,0.10447724,NO
244,33,0.10447724,NO
308,33,0.10447724,NO
95,34,0.10447724,NO
397,34,0.10447724,NO
398,34,0.10447724,NO
343,35,0.10447724,NO
477,35,0.10447724,NO
560,35,0.10447724,NO
571,35,0.10447724,NO
174,36,0.10447724,NO
313,36,0.10447724,NO
395,36,0.10447724,NO
530,36,0.10447724,NO
582,36,0.10447724,NO
583,36,0.10447724,NO
584,36,0.10447724,NO
335,37,0.10447724,NO
396,37,0.10447724,NO
487,37,0.10447724,NO
494,37,0.10447724,NO
297,38,0.10447724,NO
339,38,0.10447724,NO
399,38,0.10447724,NO
473,38,0.10447724,NO
157,39,0.10687916,NO
146,39,0.10447724,NO
263,39,0.10447724,NO
400,39,0.10447724,NO
15,40,0.10447724,NO
375,40,0.10447724,NO
435,41,0.10447724,NO
454,41,0.10447724,NO
591,41,0.10447724,NO
382,42,0.10447724,NO
417,42,0.10447724,NO
449,42,0.10447724,NO
151,43,0.10447724,NO
189,43,0.10447724,NO
196,43,0.10447724,NO
448,43,0.10447724,NO
38,44,0.10447724,NO
451,44,0.10447724,NO
135,45,0.10447724,NO
155,45,0.10447724,NO
523,45,0.10447724,NO
72,47,0.10885808,NO
312,46,0.10447724,NO
379,46,0.10447724,NO
389,46,0.10447724,NO
123,47,0.10447724,NO
149,47,0.10447724,NO
337,47,0.10447724,NO
425,47,0.10447724,NO
441,47,0.10447724,NO
442,47,0.10447724,NO
488,47,0.10447724,NO
614,47,0.10447724,NO
383,48,0.10447724,NO
496,48,0.10447724,NO
537,48,0.10447724,NO
596,48,0.10447724,NO
211,49,0.10447724,NO
430,49,0.10447724,NO
433,49,0.10447724,NO
444,49,0.10447724,NO
25,50,0.10447724,NO
332,50,0.10447724,NO
416,50,0.10447724,NO
439,50,0.10447724,NO
445,50,0.10447724,NO
7,51,0.10447724,NO
18,51,0.10447724,NO
142,51,0.10447724,NO
255,51,0.10447724,NO
453,51,0.10447724,NO
564,51,0.10447724,NO
31,52,0.10447724,NO
233,52,0.10447724,NO
119,53,0.10447724,NO
541,53,0.10447724,NO
601,53,0.10447724,NO
141,54,0.10447724,NO
361,54,0.10447724,NO
410,54,0.10447724,NO
456,54,0.10447724,NO
525,54,0.10447724,NO
603,54,0.10447724,NO
47,55,0.10447724,NO
227,55,0.10447724,NO
605,55,0.10447724,NO
129,56,0.10447724,NO
226,56,0.10447724,NO
262,56,0.10447724,NO
338,56,0.10447724,NO
392,56,0.10447724,NO
450,56,0.10447724,NO
547,57,0.10447724,NO
565,57,0.10447724,NO
105,60,0.10885808,NO
106,60,0.10885808,NO
37,58,0.10447724,NO
531,58,0.10447724,NO
556,58,0.10447724,NO
563,58,0.10447724,NO
108,61,0.10885808,NO
193,59,0.10447724,NO
197,59,0.10447724,NO
206,59,0.10447724,NO
517,59,0.10447724,NO
28,60,0.10447724,NO
611,60,0.10447724,NO
240,61,0.10447724,NO
281,61,0.10447724,NO
29,62,0.10447724,NO
154,62,0.10447724,NO
347,62,0.10447724,NO
516,62,0.10447724,NO
532,62,0.10447724,NO
610,62,0.10447724,NO
333,63,0.10447724,NO
437,63,0.10447724,NO
506,63,0.10447724,NO
524,63,0.10447724,NO
179,64,0.10447724,NO
225,64,0.10447724,NO
258,64,0.10447724,NO
268,64,0.10447724,NO
522,64,0.10447724,NO
526,64,0.10447724,NO
608,64,0.10447724,NO
192,65,0.10447724,NO
266,65,0.10447724,NO
21,66,0.10447724,NO
363,66,0.10447724,NO
436,66,0.10447724,NO
221,67,0.10447724,NO
483,67,0.10447724,NO
461,68,0.10447724,NO
87,69,0.10447724,NO
236,69,0.10447724,NO
99,70,0.10447724,NO
409,70,0.10447724,NO
529,70,0.10447724,NO
160,71,0.10542494,YES
171,71,0.10447724,NO
346,71,0.10447724,NO
358,71,0.10447724,NO
405,71,0.10447724,NO
348,72,0.10447724,NO
381,72,0.10447724,NO
421,72,0.10447724,NO
440,72,0.10447724,NO
486,72,0.10447724,NO
265,73,0.10447724,NO
279,73,0.10447724,NO
349,73,0.10447724,NO
130,74,0.10447724,NO
271,74,0.10447724,NO
394,74,0.10447724,NO
459,74,0.10447724,NO
511,74,0.10447724,NO
534,74,0.10447724,NO
536,74,0.10447724,NO
538,74,0.10447724,NO
288,75,0.10447724,NO
543,75,0.10447724,NO
275,76,0.10447724,NO
283,76,0.10447724,NO
507,76,0.10447724,NO
88,77,0.10447724,NO
137,77,0.10447724,NO
235,77,0.10447724,NO
287,77,0.10447724,NO
325,77,0.10447724,NO
374,77,0.10447724,NO
520,77,0.10447724,NO
331,78,0.10447724,NO
54,79,0.10447724,NO
92,79,0.10447724,NO
334,79,0.10447724,NO
586,79,0.10447724,NO
231,80,0.101438224,NO
122,721,0.9099195,YES
138,666,0.82140785,NO
581,778,0.957653,NO
73,781,0.95867175,YES
147,677,0.82805353,NO
167,80,0.09732338,NO
43,752,0.91159093,YES
250,752,0.9078145,NO
12,83,0.09957912,NO
35,83,0.09957912,NO
597,801,0.957653,YES
208,762,0.90865535,NO
542,804,0.957653,NO
314,692,0.82140785,NO
55,82,0.09732338,NO
370,82,0.09732338,NO
505,83,0.09732338,NO
503,842,0.9823631,NO
566,707,0.82288307,NO
94,84,0.09732338,NO
118,84,0.09732338,NO
273,84,0.09732338,NO
280,84,0.09732338,NO
402,84,0.09732338,NO
587,84,0.09732338,NO
69,85,0.09732338,NO
407,85,0.09732338,NO
247,872,0.9932496,NO
521,863,0.9827981,NO
107,876,0.993551,NO
499,867,0.9823631,NO
44,877,0.9934179,YES
62,86,0.09732338,NO
369,86,0.09732338,NO
535,86,0.09732338,NO
539,86,0.09732338,NO
598,86,0.09732338,NO
229,617,0.6973306,NO
51,90,0.101438224,NO
30,87,0.09732338,NO
296,87,0.09732338,NO
373,87,0.09732338,NO
270,624,0.6973306,NO
418,624,0.6973306,NO
355,628,0.6973306,NO
474,628,0.6973306,NO
139,88,0.09732338,NO
328,88,0.09732338,NO
554,88,0.09732338,NO
190,89,0.0982133,NO
14,638,0.7026677,YES
75,89,0.09732338,NO
384,89,0.09732338,NO
434,89,0.09732338,NO
50,90,0.09732338,NO
478,90,0.09732338,NO
490,90,0.09732338,NO
575,90,0.09732338,NO
48,94,0.101438224,NO
27,926,0.99766695,NO
195,648,0.6973306,NO
319,91,0.09732338,NO
282,936,0.99760705,NO
245,657,0.6973306,NO
78,92,0.09732338,NO
134,92,0.09732338,NO
422,92,0.09732338,NO
481,92,0.09732338,NO
80,93,0.09732338,NO
404,94,0.09732338,NO
471,94,0.09732338,NO
615,94,0.09732338,NO
309,95,0.09732338,NO
376,95,0.09732338,NO
232,96,0.0982133,NO
482,979,0.9992113,NO
294,96,0.09732338,NO
502,96,0.09732338,NO
89,97,0.0982133,NO
172,991,0.9992113,NO
156,97,0.09732338,NO
323,98,0.09732338,NO
446,98,0.09732338,NO
561,98,0.09732338,NO
222,99,0.0982133,NO
10,1009,0.99923104,NO
86,565,0.5594081,NO
65,573,0.56447023,NO
207,99,0.09732338,NO
518,99,0.09732338,NO
58,1026,0.9992467,YES
185,100,0.09732338,YES
218,100,0.09732338,NO
462,100,0.09732338,NO
501,100,0.09732338,NO
19,579,0.5594081,YES
124,101,0.09732338,NO
259,101,0.09732338,NO
305,101,0.09732338,NO
472,101,0.09732338,NO
512,101,0.09732338,NO
465,1038,0.9997579,NO
163,102,0.09732338,NO
199,102,0.09732338,NO
159,585,0.55313486,NO
559,103,0.09732338,NO
572,103,0.09732338,NO
67,106,0.09957912,NO
470,106,0.09957912,NO
23,596,0.5594081,NO
97,104,0.09732338,NO
237,104,0.09732338,NO
455,104,0.09732338,NO
466,104,0.09732338,NO
216,1070,0.9997603,NO
209,601,0.5594081,NO
485,105,0.09732338,NO
39,106,0.0982133,NO
203,108,0.09957912,NO
85,607,0.5594081,NO
243,106,0.09732338,NO
469,106,0.09732338,NO
303,107,0.09732338,NO
364,107,0.09732338,NO
493,107,0.09732338,NO
217,108,0.09732338,NO
426,108,0.09732338,NO
552,108,0.09732338,NO
68,109,0.09732338,NO
84,109,0.09732338,NO
286,109,0.09732338,NO
252,1126,0.99993074,NO
178,111,0.09732338,NO
427,111,0.09732338,NO
476,111,0.09732338,NO
6,1154,0.999982,YES
238,115,0.09732338,NO
34,118,0.09957912,NO
310,116,0.09732338,NO
342,116,0.09732338,NO
579,116,0.09732338,NO
272,117,0.09732338,NO
403,117,0.09732338,NO
562,117,0.09732338,NO
224,120,0.09957912,NO
573,1207,0.9999954,NO
285,504,0.4163179,NO
220,118,0.09732338,NO
357,119,0.09732338,NO
125,517,0.4225066,NO
260,512,0.4163179,NO
368,120,0.09732338,NO
59,530,0.4225066,NO
212,532,0.4225066,NO
510,1263,0.9999989,NO
468,123,0.09732338,NO
