ID,Size,Predicted,Actual
22,46,0.99999577,YES
112,49,0.9996429,NO
26,62,0.76232535,YES
50,127,0.8793409,NO
46,153,0.99579877,NO
21,158,0.90083,YES
91,183,0.99999964,NO
129,163,0.8796176,YES
123,166,0.89020836,NO
19,187,0.9987641,YES
101,167,0.8810329,YES
217,191,0.97837585,YES
11,196,0.99060804,NO
92,210,0.99234957,YES
0,215,0.9987797,NO
5,216,0.99987763,NO
222,22,0.10063111,NO
66,236,0.99985766,YES
283,241,0.99991727,YES
294,246,0.99995786,YES
93,249,0.9999906,YES
282,241,0.9583531,NO
257,227,0.9014738,NO
270,230,0.9103577,YES
67,227,0.895064,NO
36,216,0.8487834,YES
14,255,0.9969899,YES
297,206,0.79081786,YES
111,258,0.97502846,NO
81,256,0.96692795,YES
116,259,0.97633487,NO
279,265,0.9982564,YES
197,27,0.10015064,NO
227,27,0.10015064,NO
114,243,0.8988275,NO
1,271,0.9999988,NO
288,272,0.9999987,YES
292,268,0.98452073,NO
157,242,0.8787949,YES
109,261,0.9475694,YES
55,276,0.9907978,YES
198,28,0.10015064,NO
260,28,0.10015064,NO
272,251,0.89457047,NO
59,283,0.998418,YES
280,261,0.9196639,NO
33,282,0.9797524,YES
49,189,0.65308934,YES
202,29,0.10015064,NO
165,183,0.6138771,NO
192,299,0.9950429,YES
10,180,0.59477067,NO
38,184,0.6047995,NO
295,208,0.681653,NO
290,306,0.99841243,NO
253,31,0.10021059,NO
44,312,0.9999527,YES
298,315,0.99911964,NO
134,318,0.999292,NO
89,319,1.0,NO
90,321,1.0,NO
65,132,0.41002768,NO
76,174,0.53775024,NO
281,170,0.51905316,NO
113,339,1.0,YES
152,342,0.9993149,NO
277,166,0.4824643,NO
195,35,0.10066125,NO
68,172,0.49345112,YES
97,127,0.35794628,NO
186,355,1.0,YES
247,355,0.99999976,NO
115,358,0.99988353,YES
177,162,0.44726792,YES
258,201,0.5546751,NO
156,363,0.9999286,YES
100,101,0.27792263,NO
159,366,0.9999356,NO
145,37,0.10105327,NO
204,37,0.10105327,NO
233,37,0.10105327,NO
4,368,0.99999994,YES
83,38,0.10105327,YES
146,38,0.10105327,NO
15,379,1.0,YES
62,209,0.55039936,NO
99,380,0.9999974,YES
85,39,0.101557836,NO
147,39,0.101557836,NO
250,39,0.101557836,NO
182,400,1.0,YES
179,153,0.3822113,NO
161,41,0.102176435,NO
174,41,0.102176435,NO
181,41,0.102176435,NO
120,185,0.45115888,NO
131,42,0.102176435,NO
171,42,0.102176435,NO
31,147,0.35272422,NO
75,148,0.35272422,YES
77,148,0.35272422,NO
170,43,0.102176435,NO
183,425,1.0,YES
213,436,0.9999999,YES
191,45,0.102910876,NO
105,46,0.10376332,NO
138,46,0.10376332,NO
262,446,0.9999999,NO
2,451,1.0,NO
102,47,0.10376332,NO
103,47,0.10376332,NO
104,47,0.10376332,NO
164,47,0.10376332,NO
299,47,0.10376332,NO
3,137,0.30021358,NO
132,48,0.104736276,NO
244,48,0.104736276,NO
285,48,0.104736276,NO
60,175,0.3754887,YES
166,49,0.104736276,NO
12,473,1.0,YES
167,50,0.104736276,NO
271,154,0.3202543,NO
223,481,1.0,NO
173,51,0.10583259,NO
268,51,0.10583259,NO
293,52,0.10583259,NO
248,53,0.10705552,NO
289,53,0.10705552,NO
72,132,0.26641753,NO
82,54,0.10705552,NO
176,54,0.10705552,NO
291,54,0.10705552,NO
61,507,1.0,YES
69,507,1.0,YES
16,509,1.0,YES
23,27,0.052350838,NO
27,88,0.16854224,YES
235,124,0.2371269,NO
254,57,0.10840866,NO
269,57,0.10840866,NO
141,58,0.109896004,NO
154,58,0.109896004,NO
225,58,0.109896004,NO
238,58,0.109896004,NO
267,58,0.109896004,NO
73,529,1.0,YES
245,60,0.11152196,NO
127,120,0.21991748,NO
276,116,0.21196121,NO
56,549,1.0,YES
224,62,0.11152196,NO
239,62,0.11152196,NO
133,63,0.11329133,NO
232,63,0.11329133,NO
121,118,0.21196121,NO
234,64,0.11329133,NO
296,64,0.11329133,NO
162,66,0.11520938,NO
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
194,111,0.19049169,NO
45,171,0.2907186,NO
86,69,0.117281765,YES
187,105,0.17801732,YES
188,105,0.17801732,YES
130,72,0.12191463,NO
95,71,0.119514644,NO
150,71,0.119514644,NO
143,74,0.12448884,NO
220,74,0.12448884,NO
243,74,0.12448884,NO
263,103,0.17228489,NO
137,190,0.31500944,YES
175,104,0.17228489,NO
228,77,0.12724486,NO
190,101,0.16686904,YES
84,98,0.16175546,NO
168,98,0.16175546,NO
265,98,0.16175546,NO
48,169,0.27868837,NO
266,79,0.13019085,YES
41,81,0.13333547,NO
216,76,0.12448884,NO
286,76,0.12448884,NO
149,88,0.14405607,NO
148,96,0.15693034,NO
249,612,1.0,YES
251,78,0.12724486,NO
42,84,0.13668793,NO
153,84,0.13668793,NO
87,94,0.15238042,YES
221,94,0.15238042,NO
189,92,0.14809303,YES
300,92,0.14809303,NO
53,85,0.13668793,NO
242,83,0.13333547,YES
57,27,0.04241302,NO
211,27,0.04241302,NO
139,165,0.25013503,NO
79,664,1.0,NO
236,172,0.2523399,NO
158,682,1.0,YES
208,168,0.24381587,YES
29,163,0.23539557,NO
74,694,1.0,YES
125,154,0.21559943,NO
218,160,0.22104637,YES
278,726,1.0,YES
96,734,1.0,YES
63,147,0.19788341,NO
140,162,0.21790645,NO
229,744,1.0,YES
98,30,0.039618984,NO
9,31,0.040686138,NO
6,764,1.0,YES
24,788,1.0,YES
126,152,0.19051279,YES
35,800,1.0,YES
17,32,0.03962576,NO
144,36,0.044203814,NO
287,139,0.16858958,NO
40,150,0.1777098,YES
142,148,0.17071418,YES
210,37,0.041995622,NO
58,88,0.099724434,YES
106,43,0.047750607,NO
43,905,1.0,YES
185,92,0.09791254,YES
107,134,0.14006007,YES
94,88,0.09092287,NO
30,91,0.09286609,YES
206,31,0.03160439,NO
155,129,0.13136275,NO
240,132,0.13425377,NO
219,906,0.920377,YES
199,36,0.036489207,NO
8,150,0.15144996,NO
13,40,0.03995589,NO
110,113,0.11010789,NO
37,55,0.05228296,NO
70,90,0.085485294,YES
32,139,0.12920034,NO
212,48,0.044406947,NO
193,32,0.028605653,NO
256,32,0.028605653,NO
124,74,0.06548494,NO
108,77,0.06790006,YES
7,51,0.044816807,NO
18,66,0.057949774,NO
28,52,0.045170814,YES
151,114,0.09663064,NO
160,103,0.084729314,NO
54,113,0.09275517,YES
264,35,0.028692022,NO
122,67,0.05465412,NO
241,74,0.059878938,NO
261,57,0.045896415,NO
237,36,0.028277861,NO
284,124,0.096678354,NO
163,63,0.048933294,NO
80,55,0.04220451,NO
255,108,0.081943914,NO
169,143,0.10651069,NO
39,65,0.04738799,NO
47,84,0.060940724,NO
231,45,0.032623332,NO
25,60,0.04325248,NO
71,58,0.0417522,YES
136,141,0.10100766,YES
214,77,0.05448903,YES
118,92,0.06499575,YES
259,80,0.055905808,NO
135,136,0.09370707,YES
226,94,0.06474657,NO
201,67,0.046028256,NO
180,43,0.029159026,NO
274,130,0.087463945,NO
119,100,0.066458575,NO
51,79,0.05249279,YES
52,90,0.059376247,NO
215,63,0.04018484,NO
230,64,0.040671267,NO
203,72,0.045296453,NO
205,51,0.03193821,NO
275,74,0.045394316,NO
209,81,0.049398057,YES
207,77,0.046933975,YES
128,64,0.03868618,YES
252,85,0.051158726,YES
246,86,0.051681027,NO
64,98,0.05729776,YES
78,92,0.05118013,NO
172,56,0.030644096,NO
273,63,0.03261957,YES
196,85,0.037657335,NO
184,1041,0.4573618,YES
117,1167,0.44470575,YES
178,6523,0.5816493,YES
