ID,Size,Predicted,Actual
222,22,0.98674953,NO
197,27,0.9855412,NO
227,27,0.9855412,NO
57,27,0.98370016,NO
211,27,0.98370016,NO
23,27,0.9677978,NO
198,28,0.9855412,NO
260,28,0.9855412,NO
202,29,0.9855412,NO
98,30,0.98370016,NO
253,31,0.9855412,NO
9,31,0.9682191,NO
206,31,0.9682191,NO
17,32,0.98370016,NO
193,32,0.9048373,NO
256,32,0.9048373,NO
195,35,0.9855412,NO
144,36,0.9831769,NO
145,37,0.9855412,NO
204,37,0.9855412,NO
233,37,0.9855412,NO
210,37,0.9831769,NO
199,36,0.9432836,NO
83,38,0.9855412,YES
146,38,0.9855412,NO
264,35,0.9048373,NO
85,39,0.9855412,NO
147,39,0.9855412,NO
250,39,0.9855412,NO
237,36,0.9048373,NO
13,40,0.9831769,NO
161,41,0.9855412,NO
174,41,0.9855412,NO
181,41,0.9855412,NO
131,42,0.9855412,NO
171,42,0.9855412,NO
170,43,0.9855412,NO
106,43,0.9717585,NO
191,45,0.9848479,NO
231,45,0.965674,NO
105,46,0.9848479,NO
138,46,0.9848479,NO
22,46,0.9719784,YES
180,43,0.9048373,NO
102,47,0.9848479,NO
103,47,0.9848479,NO
104,47,0.9848479,NO
164,47,0.9848479,NO
299,47,0.9848479,NO
132,48,0.9848479,NO
244,48,0.9848479,NO
285,48,0.9848479,NO
212,48,0.9823723,NO
166,49,0.9848479,NO
112,49,0.9719784,NO
167,50,0.9848479,NO
173,51,0.9848479,NO
268,51,0.9848479,NO
293,52,0.9848479,NO
7,51,0.9652412,NO
248,53,0.9848479,NO
289,53,0.9848479,NO
28,52,0.9652412,YES
205,51,0.9350736,NO
82,54,0.9848479,NO
176,54,0.9848479,NO
291,54,0.9848479,NO
37,55,0.9837601,NO
80,55,0.9652412,NO
254,57,0.9848479,NO
269,57,0.9848479,NO
261,57,0.9704242,NO
141,58,0.9848479,NO
154,58,0.9848479,NO
225,58,0.9848479,NO
238,58,0.9848479,NO
267,58,0.9848479,NO
71,58,0.9652412,YES
245,60,0.9848479,NO
25,60,0.9652412,NO
172,56,0.9006643,NO
224,62,0.9847494,NO
239,62,0.9847494,NO
133,63,0.9847494,NO
232,63,0.9847494,NO
26,62,0.96522754,YES
234,64,0.9847494,NO
296,64,0.9847494,NO
163,63,0.9681316,NO
215,63,0.96522754,NO
230,64,0.96522754,NO
162,66,0.9847494,NO
39,65,0.9681316,NO
128,64,0.94415015,YES
122,67,0.9836546,NO
18,66,0.96522754,NO
201,67,0.97023463,NO
273,63,0.90007377,YES
86,69,0.9847494,YES
95,71,0.9847494,NO
150,71,0.9847494,NO
130,72,0.9847494,NO
203,72,0.9681316,NO
143,74,0.9847494,NO
220,74,0.9847494,NO
243,74,0.9847494,NO
124,74,0.982139,NO
241,74,0.97023463,NO
216,76,0.9847494,NO
286,76,0.9847494,NO
228,77,0.9847494,NO
108,77,0.9825779,YES
275,74,0.94031763,NO
251,78,0.9847494,NO
207,77,0.9681316,YES
214,77,0.96606773,YES
266,79,0.9852571,YES
51,79,0.9712114,YES
41,81,0.9852571,NO
259,80,0.9712114,NO
209,81,0.9691752,YES
242,83,0.9852571,YES
42,84,0.9852571,NO
153,84,0.9852571,NO
47,84,0.98338044,NO
53,85,0.9852571,NO
252,85,0.9676057,YES
246,86,0.9691752,NO
149,88,0.9852571,NO
58,88,0.9831567,YES
94,88,0.9831567,NO
27,88,0.9704409,YES
52,90,0.9676057,NO
70,90,0.9671766,YES
189,92,0.9852571,YES
300,92,0.9852571,NO
185,92,0.98387766,YES
30,91,0.9685598,YES
196,85,0.903123,NO
118,92,0.9712114,YES
87,94,0.9852571,YES
221,94,0.9852571,NO
226,94,0.9712114,NO
78,92,0.94593525,NO
148,96,0.9863122,NO
84,98,0.9863122,NO
168,98,0.9863122,NO
265,98,0.9863122,NO
190,101,0.9863122,YES
119,100,0.96988547,NO
64,98,0.9496608,YES
100,101,0.9725268,NO
160,103,0.9863122,NO
263,103,0.9863122,NO
175,104,0.9863122,NO
187,105,0.9863122,YES
188,105,0.9863122,YES
255,108,0.9732444,NO
194,111,0.9863122,NO
110,113,0.9863122,NO
54,113,0.9713478,YES
151,114,0.97441274,NO
276,116,0.9877965,NO
121,118,0.9877965,NO
127,120,0.9877965,NO
235,124,0.9877965,NO
284,124,0.97441274,NO
97,127,0.9884487,NO
50,127,0.9718963,NO
155,129,0.98691756,NO
65,132,0.9901128,NO
72,132,0.9895536,NO
240,132,0.9795161,NO
107,134,0.9795161,YES
3,137,0.9895536,NO
287,139,0.98879975,NO
274,130,0.91864145,NO
32,139,0.978054,NO
135,136,0.9296464,YES
31,147,0.9895536,NO
63,147,0.9895536,NO
75,148,0.9895536,YES
77,148,0.9895536,NO
142,148,0.978054,YES
136,141,0.9296464,YES
40,150,0.9809955,YES
169,143,0.9296464,NO
179,153,0.9914156,NO
126,152,0.9803871,YES
8,150,0.9626151,NO
46,153,0.9809955,NO
125,154,0.9831368,NO
271,154,0.9809955,NO
21,158,0.9888432,YES
218,160,0.9831368,YES
177,162,0.9914156,YES
129,163,0.9888432,YES
140,162,0.9819284,NO
139,165,0.9898729,NO
277,166,0.9932292,NO
123,166,0.99119544,NO
101,167,0.9955359,YES
29,163,0.96572965,NO
208,168,0.9857174,YES
281,170,0.9932292,NO
48,169,0.98667586,NO
45,171,0.98667586,NO
68,172,0.9857174,YES
76,174,0.9932292,NO
60,175,0.99273866,YES
236,172,0.9714316,NO
10,180,0.9932292,NO
165,183,0.9932292,NO
91,183,0.9930438,NO
38,184,0.9891688,NO
120,185,0.9898981,NO
19,187,0.9960866,YES
49,189,0.9891688,YES
217,191,0.99085295,YES
11,196,0.9960866,NO
137,190,0.9618851,YES
258,201,0.99265194,NO
297,206,0.9962771,YES
295,208,0.9962771,NO
92,210,0.9985634,YES
62,209,0.9859276,NO
0,215,0.9988432,NO
5,216,0.9988432,NO
36,216,0.9960065,YES
257,227,0.99740493,NO
67,227,0.9969352,NO
270,230,0.99740493,YES
66,236,0.99915755,YES
283,241,0.99915755,YES
282,241,0.9980994,NO
157,242,0.9981377,YES
114,243,0.9963176,NO
294,246,0.99934715,YES
93,249,0.99950373,YES
272,251,0.9922134,NO
14,255,0.99894595,YES
81,256,0.9974294,YES
111,258,0.99888575,NO
116,259,0.9986837,NO
109,261,0.99779516,YES
280,261,0.9920668,NO
279,265,0.9992668,YES
292,268,0.99888575,NO
1,271,0.99992615,NO
288,272,0.9998538,YES
55,276,0.9991891,YES
33,282,0.9985422,YES
59,283,0.9984155,YES
192,299,0.9995646,YES
290,306,0.99976975,NO
44,312,0.9994645,YES
298,315,0.99976975,NO
134,318,0.9994779,NO
89,319,0.9999875,NO
90,321,0.9999819,NO
113,339,0.9999954,YES
152,342,0.9994522,NO
186,355,0.9999969,YES
247,355,0.9999754,NO
115,358,0.99992347,YES
156,363,0.9999671,YES
159,366,0.99993485,NO
4,368,0.99999815,YES
15,379,0.9999999,YES
99,380,0.9999634,YES
182,400,0.99999994,YES
183,425,1.0,YES
213,436,0.9999939,YES
262,446,0.9999977,NO
2,451,1.0,NO
12,473,1.0,YES
223,481,0.99999964,NO
61,507,0.99999994,YES
69,507,0.99999994,YES
16,509,1.0,YES
73,529,1.0,YES
56,549,1.0,YES
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
249,612,1.0,YES
79,664,1.0,NO
158,682,1.0,YES
74,694,1.0,YES
278,726,1.0,YES
96,734,1.0,YES
229,744,1.0,YES
6,764,1.0,YES
24,788,1.0,YES
35,800,1.0,YES
43,905,1.0,YES
219,906,1.0,YES
184,1041,1.0,YES
117,1167,1.0,YES
178,6523,0.99338853,YES
