ID,Size,Predicted,Actual
22,46,0.9964479,YES
112,49,0.70437175,NO
46,153,0.9268945,NO
91,183,0.99786323,NO
19,187,0.87677675,YES
5,216,0.9714342,NO
283,241,0.99222875,YES
294,246,0.99270993,YES
66,236,0.9481617,YES
93,249,0.9885391,YES
1,271,0.99997044,NO
288,272,0.9989856,YES
44,312,0.9956637,YES
290,306,0.9707214,NO
89,319,0.9999999,NO
90,321,0.99999976,NO
298,315,0.9707214,NO
0,215,0.66112226,NO
279,265,0.79491436,YES
59,283,0.8405689,YES
113,339,1.0,YES
152,342,0.9859873,NO
292,268,0.7602599,NO
186,355,1.0,YES
247,355,0.9998682,NO
134,318,0.8880932,NO
115,358,0.9828705,YES
156,363,0.9958133,YES
159,366,0.99523616,NO
4,368,0.99998426,YES
15,379,1.0,YES
99,380,0.997865,YES
182,400,1.0,YES
14,255,0.6009107,YES
183,425,1.0,YES
11,196,0.45461953,NO
213,436,0.9999895,YES
262,446,0.9999933,NO
2,451,1.0,NO
12,473,1.0,YES
223,481,0.99999964,NO
92,210,0.4196267,YES
61,507,1.0,YES
69,507,1.0,YES
16,509,1.0,YES
192,299,0.57443553,YES
33,282,0.537167,YES
73,529,1.0,YES
56,549,1.0,YES
26,62,0.10896595,YES
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
249,612,1.0,YES
55,276,0.4475306,YES
79,664,1.0,NO
158,682,1.0,YES
74,694,1.0,YES
50,127,0.17978814,NO
257,227,0.3187094,NO
270,230,0.3187094,YES
278,726,1.0,YES
96,734,1.0,YES
229,744,1.0,YES
6,764,1.0,YES
24,788,1.0,YES
35,800,1.0,YES
111,258,0.3187094,NO
43,905,1.0,YES
219,906,1.0,YES
184,1041,1.0,YES
222,22,0.020612657,NO
117,1167,1.0,YES
197,27,0.020612657,NO
227,27,0.020612657,NO
198,28,0.020612657,NO
260,28,0.020612657,NO
157,242,0.17211029,YES
202,29,0.020612657,NO
253,31,0.020612657,NO
114,243,0.15724665,NO
109,261,0.15440395,YES
195,35,0.020612657,NO
81,256,0.15042813,YES
145,37,0.020612657,NO
204,37,0.020612657,NO
233,37,0.020612657,NO
83,38,0.020612657,YES
146,38,0.020612657,NO
85,39,0.020612657,NO
147,39,0.020612657,NO
250,39,0.020612657,NO
165,183,0.096099414,NO
161,41,0.020612657,NO
174,41,0.020612657,NO
181,41,0.020612657,NO
131,42,0.020612657,NO
171,42,0.020612657,NO
170,43,0.020612657,NO
297,206,0.096099414,YES
21,158,0.07290326,YES
191,45,0.020612657,NO
105,46,0.020612657,NO
138,46,0.020612657,NO
67,227,0.10069886,NO
282,241,0.106741354,NO
102,47,0.020612657,NO
103,47,0.020612657,NO
104,47,0.020612657,NO
164,47,0.020612657,NO
299,47,0.020612657,NO
132,48,0.020612657,NO
244,48,0.020612657,NO
285,48,0.020612657,NO
166,49,0.020612657,NO
167,50,0.020612657,NO
217,191,0.078044,YES
173,51,0.020612657,NO
268,51,0.020612657,NO
280,261,0.10481453,NO
49,189,0.075557925,YES
293,52,0.020612657,NO
248,53,0.020612657,NO
289,53,0.020612657,NO
116,259,0.10069886,NO
82,54,0.020612657,NO
176,54,0.020612657,NO
291,54,0.020612657,NO
254,57,0.020612657,NO
269,57,0.020612657,NO
141,58,0.020612657,NO
154,58,0.020612657,NO
225,58,0.020612657,NO
238,58,0.020612657,NO
267,58,0.020612657,NO
36,216,0.075557925,YES
245,60,0.020612657,NO
38,184,0.06312121,NO
224,62,0.016282214,NO
239,62,0.016282214,NO
133,63,0.016282214,NO
232,63,0.016282214,NO
234,64,0.016282214,NO
296,64,0.016282214,NO
162,66,0.016282214,NO
101,167,0.04085468,YES
31,147,0.035856795,NO
75,148,0.035856795,YES
77,148,0.035856795,NO
123,166,0.03919887,NO
86,69,0.016282214,YES
179,153,0.035856795,NO
295,208,0.04801442,NO
95,71,0.016282214,NO
150,71,0.016282214,NO
130,72,0.016282214,NO
177,162,0.035856795,YES
143,74,0.016282214,NO
220,74,0.016282214,NO
243,74,0.016282214,NO
120,185,0.04068009,NO
277,166,0.035856795,NO
216,76,0.016282214,NO
286,76,0.016282214,NO
228,77,0.016282214,NO
281,170,0.035856795,NO
251,78,0.016282214,NO
266,79,0.016282214,YES
76,174,0.035856795,NO
57,27,0.0055136327,NO
211,27,0.0055136327,NO
41,81,0.016282214,NO
10,180,0.035856795,NO
258,201,0.03984505,NO
242,83,0.016282214,YES
190,101,0.0196172,YES
42,84,0.016282214,NO
153,84,0.016282214,NO
53,85,0.016282214,NO
