ID,Size,Predicted,Actual
229,25,0.23554592,NO
268,26,0.23554592,NO
335,27,0.23554592,NO
284,28,0.23554592,NO
344,29,0.23554592,NO
217,33,0.23554592,NO
281,33,0.23554592,NO
316,35,0.23554592,NO
286,36,0.23554592,NO
308,37,0.23554592,NO
270,38,0.23554592,NO
312,38,0.23554592,NO
236,39,0.23554592,NO
348,40,0.23554592,NO
285,46,0.23554592,NO
352,46,0.23554592,NO
310,47,0.23554592,NO
305,50,0.23554592,NO
228,51,0.23554592,NO
334,54,0.23554592,NO
235,56,0.23554592,NO
311,56,0.23554592,NO
213,61,0.23849411,NO
254,61,0.23849411,NO
320,62,0.23849411,NO
487,22,0.08447359,NO
298,77,0.29250288,NO
306,63,0.23849411,NO
231,64,0.23849411,NO
241,64,0.23849411,NO
239,65,0.23849411,NO
336,66,0.23849411,NO
411,24,0.08620961,NO
209,69,0.23849411,NO
85,25,0.08620961,NO
321,72,0.2424474,NO
319,71,0.23849411,NO
331,71,0.23849411,NO
238,73,0.2424474,NO
252,73,0.2424474,NO
322,73,0.2424474,NO
425,26,0.08620961,NO
244,74,0.2424474,NO
261,75,0.2424474,NO
25,27,0.08620961,NO
66,27,0.08620961,NO
452,27,0.08620961,NO
468,27,0.08620961,NO
486,27,0.08620961,NO
492,27,0.08620961,NO
248,76,0.2424474,NO
256,76,0.2424474,NO
208,77,0.2424474,NO
260,77,0.2424474,NO
347,77,0.2424474,NO
304,78,0.2424474,NO
453,28,0.08620961,NO
528,28,0.08620961,NO
307,79,0.2424474,NO
457,29,0.08620961,NO
343,82,0.2424474,NO
246,84,0.2424474,NO
253,84,0.2424474,NO
342,86,0.2424474,NO
269,87,0.2424474,NO
346,87,0.2424474,NO
9,31,0.08620961,NO
462,31,0.08620961,NO
301,88,0.2424474,NO
19,32,0.08620961,NO
153,32,0.08620961,YES
448,32,0.08620961,NO
292,91,0.2424474,NO
88,33,0.08620961,NO
106,47,0.12062891,NO
267,96,0.24591182,NO
282,95,0.2424474,NO
349,95,0.2424474,NO
87,34,0.08620961,NO
370,34,0.08620961,NO
371,34,0.08620961,NO
296,98,0.24591182,NO
137,35,0.08620961,NO
450,35,0.08620961,NO
533,35,0.08620961,NO
544,35,0.08620961,NO
232,101,0.24591182,NO
278,101,0.24591182,NO
152,36,0.08620961,NO
368,36,0.08620961,NO
503,36,0.08620961,NO
555,36,0.08620961,NO
556,36,0.08620961,NO
557,36,0.08620961,NO
210,104,0.24591182,NO
369,37,0.08620961,NO
460,37,0.08620961,NO
467,37,0.08620961,NO
216,106,0.24591182,NO
276,107,0.24591182,NO
337,107,0.24591182,NO
372,38,0.08620961,NO
446,38,0.08620961,NO
259,109,0.24591182,NO
128,39,0.08620961,NO
373,39,0.08620961,NO
164,43,0.09321291,NO
14,40,0.08620961,NO
211,115,0.24591182,NO
283,116,0.24591182,NO
315,116,0.24591182,NO
323,145,0.30529752,NO
408,41,0.08620961,NO
427,41,0.08620961,NO
564,41,0.08620961,NO
245,117,0.24591182,NO
330,119,0.24983606,NO
341,120,0.24983606,NO
355,42,0.08620961,NO
390,42,0.08620961,NO
422,42,0.08620961,NO
132,43,0.08620961,NO
171,43,0.08620961,NO
421,43,0.08620961,NO
303,125,0.24983606,NO
263,127,0.24983606,NO
297,127,0.24983606,NO
36,44,0.08620961,NO
424,44,0.08620961,NO
293,129,0.24983606,NO
317,129,0.24983606,NO
118,45,0.08620961,NO
135,45,0.08620961,NO
496,45,0.08620961,NO
224,135,0.2538381,NO
362,46,0.08620961,NO
294,138,0.2538381,NO
130,47,0.08620961,NO
398,47,0.08620961,NO
414,47,0.08620961,NO
415,47,0.08620961,NO
461,47,0.08620961,NO
587,47,0.08620961,NO
302,139,0.2538381,NO
125,48,0.08620961,YES
356,48,0.08620961,NO
469,48,0.08620961,NO
510,48,0.08620961,NO
569,48,0.08620961,NO
185,49,0.08620961,NO
403,49,0.08620961,NO
406,49,0.08620961,NO
417,49,0.08620961,NO
290,145,0.2538381,NO
102,53,0.09205017,NO
24,50,0.08620961,NO
389,50,0.08620961,NO
412,50,0.08620961,NO
418,50,0.08620961,NO
264,148,0.2538381,NO
7,51,0.08620961,NO
17,51,0.08620961,NO
426,51,0.08620961,NO
537,51,0.08620961,NO
291,151,0.2538381,NO
250,153,0.2538381,NO
30,52,0.08620961,NO
206,52,0.08620961,NO
529,58,0.09480134,NO
514,53,0.08620961,NO
574,53,0.08620961,NO
266,157,0.2538381,NO
338,157,0.2538381,NO
124,54,0.08620961,NO
383,54,0.08620961,NO
429,54,0.08620961,NO
498,54,0.08620961,NO
576,54,0.08620961,NO
340,161,0.2538381,NO
43,55,0.08620961,NO
201,55,0.08620961,NO
578,55,0.08620961,NO
226,163,0.2538381,NO
242,164,0.2538381,NO
288,164,0.2538381,NO
112,56,0.08620961,NO
200,56,0.08620961,NO
365,56,0.08620961,NO
423,56,0.08620961,NO
257,165,0.2538381,NO
222,168,0.25773162,NO
265,169,0.25773162,NO
520,57,0.08620961,NO
538,57,0.08620961,NO
277,174,0.26229343,NO
299,171,0.25773162,NO
279,176,0.26229343,NO
35,58,0.08620961,NO
504,58,0.08620961,NO
536,58,0.08620961,NO
581,64,0.09480134,NO
215,179,0.26229343,NO
168,59,0.08620961,NO
180,59,0.08620961,NO
490,59,0.08620961,NO
230,180,0.26229343,NO
309,181,0.26229343,NO
101,84,0.12145997,YES
247,226,0.32475686,NO
27,60,0.08620961,NO
584,60,0.08620961,NO
227,184,0.26229343,NO
234,187,0.26229343,NO
28,62,0.08620961,NO
134,62,0.08620961,NO
489,62,0.08620961,NO
505,62,0.08620961,NO
583,62,0.08620961,NO
410,63,0.08620961,NO
479,63,0.08620961,NO
497,63,0.08620961,NO
327,192,0.26229343,NO
289,193,0.26229343,NO
155,64,0.08620961,NO
199,64,0.08620961,NO
495,64,0.08620961,NO
499,64,0.08620961,NO
167,65,0.08620961,NO
20,66,0.08620961,NO
409,66,0.08620961,NO
195,67,0.08620961,YES
456,67,0.08620961,NO
262,204,0.26229343,NO
434,68,0.08620961,NO
326,214,0.27129835,NO
280,212,0.26739034,NO
300,212,0.26739034,NO
56,86,0.108458325,NO
79,69,0.08620961,NO
177,69,0.08620961,YES
91,70,0.08620961,NO
382,70,0.08620961,NO
502,70,0.08620961,NO
508,86,0.10549779,NO
191,108,0.13221343,NO
295,222,0.27129835,NO
354,72,0.0879301,NO
394,72,0.0879301,NO
413,72,0.0879301,NO
459,72,0.0879301,NO
149,71,0.08620961,NO
378,71,0.08620961,NO
113,74,0.0879301,YES
196,74,0.0879301,NO
367,74,0.0879301,NO
432,74,0.0879301,NO
484,74,0.0879301,NO
507,74,0.0879301,NO
509,74,0.0879301,NO
511,74,0.0879301,NO
516,75,0.0879301,NO
274,234,0.27129835,NO
480,76,0.0879301,NO
444,94,0.108458325,NO
313,237,0.27129835,NO
80,77,0.0879301,NO
120,77,0.0879301,NO
493,77,0.0879301,NO
275,239,0.27129835,NO
333,241,0.27129835,NO
136,97,0.108458325,YES
48,79,0.0879301,NO
84,79,0.0879301,NO
559,79,0.0879301,NO
251,250,0.27699888,NO
146,80,0.0879301,NO
527,88,0.09667515,NO
329,256,0.27699888,NO
49,82,0.0879301,NO
237,261,0.27699888,NO
318,261,0.27699888,NO
478,83,0.0879301,NO
345,267,0.28087315,NO
86,84,0.0879301,NO
375,84,0.0879301,NO
560,84,0.0879301,NO
445,101,0.10549779,NO
62,85,0.0879301,NO
380,85,0.0879301,NO
314,273,0.28087315,NO
512,86,0.0879301,NO
571,86,0.0879301,NO
439,104,0.10549779,NO
29,87,0.0879301,NO
271,281,0.28087315,NO
122,88,0.0879301,NO
165,88,0.0879301,YES
67,89,0.0879301,NO
357,89,0.0879301,NO
407,89,0.0879301,NO
45,90,0.0879301,YES
451,90,0.0879301,NO
463,90,0.0879301,NO
548,90,0.0879301,NO
219,295,0.28720084,NO
339,300,0.28720084,NO
70,92,0.0879301,YES
117,92,0.0879301,NO
395,92,0.0879301,NO
454,92,0.0879301,NO
72,93,0.0879301,YES
81,94,0.0879301,YES
377,94,0.0879301,NO
588,94,0.0879301,NO
173,102,0.09515049,NO
107,101,0.09291298,NO
205,96,0.0879301,NO
475,96,0.0879301,NO
240,329,0.29801568,NO
325,322,0.29103744,NO
535,117,0.10549779,NO
249,323,0.29103744,NO
419,98,0.0879301,NO
534,98,0.0879301,NO
181,99,0.0879301,NO
491,99,0.0879301,NO
350,337,0.29801568,NO
160,100,0.0879301,YES
192,100,0.0879301,NO
435,100,0.0879301,NO
474,100,0.0879301,NO
273,339,0.29801568,NO
332,340,0.29801568,NO
485,101,0.0879301,NO
142,102,0.0879301,NO
532,103,0.0879301,NO
545,103,0.0879301,NO
89,104,0.0879301,NO
428,104,0.0879301,NO
458,105,0.0879301,NO
