ID,Size,Predicted,Actual
552,22,1.0,YES
476,24,1.0,YES
102,25,1.0,NO
294,25,1.0,YES
333,26,1.0,YES
490,26,1.0,YES
34,27,1.0,NO
55,27,1.0,NO
83,27,1.0,NO
400,27,1.0,YES
517,27,1.0,YES
533,27,1.0,YES
551,27,1.0,YES
557,27,1.0,YES
264,28,1.0,NO
349,28,1.0,YES
518,28,1.0,YES
593,28,1.0,YES
409,29,1.0,YES
522,29,1.0,YES
10,31,1.0,NO
32,31,1.0,NO
113,31,1.0,NO
527,31,1.0,YES
25,32,1.0,NO
190,32,1.0,NO
202,32,1.0,NO
513,32,1.0,YES
105,33,1.0,NO
282,33,1.0,YES
346,33,1.0,YES
104,34,1.0,NO
435,34,1.0,YES
436,34,1.0,YES
381,35,1.0,YES
515,35,1.0,YES
598,35,1.0,YES
609,35,1.0,YES
188,36,1.0,NO
351,36,1.0,YES
433,36,1.0,YES
568,36,1.0,YES
620,36,1.0,YES
621,36,1.0,YES
622,36,1.0,YES
373,37,1.0,YES
434,37,1.0,YES
525,37,1.0,YES
532,37,1.0,YES
335,38,1.0,YES
377,38,1.0,YES
437,38,1.0,YES
511,38,1.0,YES
147,39,1.0,NO
158,39,1.0,NO
170,39,1.0,NO
301,39,1.0,YES
438,39,1.0,YES
20,40,1.0,NO
266,40,1.0,NO
413,40,1.0,YES
53,41,1.0,NO
473,41,1.0,YES
492,41,1.0,YES
629,41,1.0,YES
420,42,1.0,YES
455,42,1.0,YES
487,42,1.0,YES
120,43,1.0,NO
163,43,1.0,NO
205,43,1.0,NO
212,43,1.0,NO
486,43,1.0,YES
46,44,1.0,NO
489,44,1.0,YES
8,45,1.0,NO
146,45,1.0,NO
168,45,1.0,NO
271,45,1.0,NO
561,45,1.0,YES
350,46,1.0,YES
417,46,1.0,YES
427,46,1.0,YES
81,47,1.0,NO
134,47,1.0,NO
161,47,1.0,NO
375,47,1.0,YES
463,47,1.0,YES
479,47,1.0,YES
480,47,1.0,YES
526,47,1.0,YES
652,47,1.0,YES
421,48,1.0,YES
534,48,1.0,YES
575,48,1.0,YES
634,48,1.0,YES
227,49,1.0,NO
268,49,1.0,NO
468,49,1.0,YES
471,49,1.0,YES
482,49,1.0,YES
33,50,1.0,NO
36,50,1.0,NO
263,50,1.0,NO
370,50,1.0,YES
454,50,1.0,YES
477,50,1.0,YES
483,50,1.0,YES
7,51,1.0,NO
23,51,1.0,NO
293,51,1.0,YES
491,51,1.0,NO
602,51,1.0,YES
39,52,1.0,NO
250,52,1.0,NO
130,53,1.0,NO
254,53,1.0,NO
579,53,1.0,YES
639,53,1.0,YES
153,54,1.0,NO
399,54,1.0,YES
448,54,1.0,YES
494,54,1.0,YES
563,54,1.0,YES
641,54,1.0,YES
12,55,1.0,NO
14,55,1.0,NO
56,55,1.0,NO
244,55,1.0,NO
270,55,1.0,NO
643,55,1.0,YES
140,56,1.0,NO
242,56,1.0,NO
300,56,1.0,YES
376,56,1.0,YES
430,56,1.0,YES
488,56,1.0,YES
585,57,1.0,YES
603,57,1.0,YES
45,58,1.0,NO
569,58,1.0,YES
594,58,1.0,YES
601,58,1.0,YES
209,59,1.0,NO
213,59,1.0,NO
222,59,1.0,NO
555,59,1.0,YES
114,60,1.0,NO
115,60,1.0,NO
649,60,1.0,YES
117,61,1.0,NO
278,61,1.0,YES
319,61,1.0,YES
37,62,1.0,NO
167,62,1.0,NO
385,62,1.0,YES
554,62,1.0,YES
570,62,1.0,YES
648,62,1.0,YES
262,63,1.0,NO
269,63,1.0,NO
371,63,1.0,YES
475,63,1.0,YES
544,63,1.0,YES
562,63,1.0,YES
193,64,1.0,NO
241,64,1.0,NO
296,64,1.0,YES
306,64,1.0,YES
560,64,1.0,YES
564,64,1.0,YES
646,64,1.0,YES
208,65,1.0,NO
304,65,1.0,YES
401,66,1.0,YES
474,66,1.0,YES
237,67,1.0,NO
521,67,1.0,YES
26,68,1.0,YES
252,68,1.0,YES
499,68,1.0,YES
96,69,1.0,NO
257,69,1.0,NO
258,69,1.0,NO
274,69,1.0,YES
108,70,1.0,NO
447,70,1.0,YES
567,70,1.0,YES
185,71,1.0,NO
201,71,1.0,YES
384,71,1.0,YES
396,71,1.0,YES
443,71,1.0,YES
260,72,1.0,NO
261,72,1.0,NO
386,72,1.0,YES
419,72,1.0,YES
459,72,1.0,YES
478,72,1.0,YES
524,72,1.0,YES
164,73,1.0,NO
303,73,1.0,YES
317,73,1.0,YES
387,73,1.0,YES
141,74,1.0,NO
309,74,1.0,YES
432,74,1.0,YES
497,74,1.0,YES
549,74,1.0,YES
572,74,1.0,YES
574,74,1.0,YES
576,74,1.0,YES
326,75,1.0,YES
581,75,1.0,YES
154,76,1.0,NO
267,76,1.0,NO
313,76,1.0,YES
321,76,1.0,YES
545,76,1.0,YES
97,77,1.0,NO
149,77,1.0,NO
259,77,1.0,NO
273,77,1.0,YES
325,77,1.0,YES
363,77,1.0,YES
412,77,1.0,YES
558,77,1.0,YES
256,78,1.0,YES
369,78,1.0,YES
101,79,1.0,NO
372,79,1.0,YES
624,79,1.0,YES
181,80,1.0,YES
248,80,1.0,NO
255,81,1.0,NO
64,82,1.0,NO
408,82,1.0,YES
16,83,1.0,NO
18,83,1.0,NO
43,83,1.0,NO
543,83,1.0,YES
103,84,1.0,NO
129,84,1.0,NO
174,84,1.0,NO
311,84,1.0,YES
318,84,1.0,YES
440,84,1.0,YES
625,84,1.0,YES
78,85,1.0,NO
445,85,1.0,YES
71,86,1.0,NO
407,86,1.0,YES
573,86,1.0,YES
577,86,1.0,YES
636,86,1.0,YES
38,87,1.0,NO
334,87,1.0,YES
411,87,1.0,YES
151,88,1.0,YES
366,88,1.0,YES
592,88,1.0,YES
84,89,1.0,NO
206,89,1.0,YES
422,89,1.0,YES
472,89,1.0,YES
59,90,1.0,NO
60,90,1.0,NO
63,90,1.0,YES
126,90,1.0,NO
516,90,1.0,YES
528,90,1.0,YES
613,90,1.0,YES
357,91,1.0,YES
87,92,1.0,NO
145,92,1.0,NO
460,92,1.0,YES
519,92,1.0,YES
89,93,1.0,NO
57,94,1.0,NO
442,94,1.0,YES
509,94,1.0,YES
653,94,1.0,YES
347,95,1.0,YES
414,95,1.0,YES
265,96,1.0,NO
332,96,1.0,YES
540,96,1.0,YES
98,97,1.0,NO
169,97,1.0,NO
361,98,1.0,YES
484,98,1.0,YES
599,98,1.0,YES
223,99,1.0,NO
238,99,1.0,NO
253,99,1.0,NO
556,99,1.0,YES
234,100,1.0,NO
500,100,1.0,YES
539,100,1.0,YES
135,101,1.0,NO
199,101,1.0,YES
297,101,1.0,YES
343,101,1.0,YES
510,101,1.0,YES
550,101,1.0,YES
177,102,1.0,NO
215,102,1.0,NO
15,103,1.0,NO
597,103,1.0,YES
610,103,1.0,YES
106,104,1.0,NO
275,104,1.0,YES
493,104,1.0,YES
504,104,1.0,YES
523,105,1.0,YES
47,106,1.0,NO
281,106,1.0,YES
507,106,1.0,YES
508,106,1.0,YES
341,107,1.0,YES
402,107,1.0,YES
531,107,1.0,YES
219,108,1.0,NO
233,108,1.0,YES
464,108,1.0,YES
590,108,1.0,YES
77,109,1.0,NO
93,109,1.0,NO
324,109,1.0,YES
192,111,1.0,NO
249,111,1.0,YES
465,111,1.0,YES
514,111,1.0,YES
276,115,1.0,YES
348,116,1.0,YES
380,116,1.0,YES
617,116,1.0,YES
310,117,1.0,YES
441,117,1.0,YES
600,117,1.0,YES
42,118,1.0,YES
236,118,1.0,NO
395,119,1.0,YES
240,120,1.0,NO
406,120,1.0,YES
506,123,1.0,YES
586,123,1.0,YES
368,125,1.0,YES
582,125,1.0,YES
75,126,1.0,YES
328,127,1.0,YES
362,127,1.0,YES
450,128,1.0,YES
162,129,1.0,NO
358,129,1.0,YES
382,129,1.0,YES
467,129,1.0,YES
589,130,1.0,YES
160,131,1.0,NO
210,131,1.0,NO
251,131,1.0,NO
155,132,1.0,NO
565,132,1.0,YES
571,132,1.0,YES
584,134,1.0,YES
289,135,1.0,YES
139,136,1.0,YES
633,137,1.0,YES
3,138,1.0,NO
359,138,1.0,YES
367,139,1.0,YES
612,139,1.0,YES
109,140,1.0,NO
424,141,1.0,YES
111,142,1.0,NO
173,142,1.0,NO
485,143,1.0,YES
355,145,1.0,YES
388,145,1.0,YES
44,147,1.0,NO
65,147,1.0,NO
131,148,1.0,YES
144,148,1.0,NO
204,148,1.0,NO
329,148,1.0,YES
425,148,1.0,YES
49,151,1.0,NO
356,151,1.0,YES
451,151,1.0,YES
62,152,1.0,NO
112,152,1.0,NO
157,152,1.0,NO
179,153,1.0,NO
