ID,Size,Predicted,Actual
229,25,0.17204076,NO
268,26,0.17204076,NO
335,27,0.17204076,NO
284,28,0.17204076,NO
344,29,0.17204076,NO
217,33,0.16471305,NO
281,33,0.16471305,NO
316,35,0.16471305,NO
286,36,0.16471305,NO
308,37,0.16471305,NO
270,38,0.16271715,NO
312,38,0.16271715,NO
236,39,0.16271715,NO
348,40,0.16271715,NO
285,46,0.16271715,NO
352,46,0.16271715,NO
310,47,0.16271715,NO
305,50,0.1569221,NO
487,22,0.06868233,NO
228,51,0.1569221,NO
334,54,0.1569221,NO
411,24,0.06868233,NO
235,56,0.1569221,NO
311,56,0.1569221,NO
85,25,0.06868233,NO
425,26,0.06868233,NO
213,61,0.1569221,NO
254,61,0.1569221,NO
25,27,0.06868233,NO
66,27,0.06868233,NO
452,27,0.06868233,NO
468,27,0.06868233,NO
486,27,0.06868233,NO
492,27,0.06868233,NO
320,62,0.1569221,NO
306,63,0.15871283,NO
231,64,0.15871283,NO
241,64,0.15871283,NO
453,28,0.06868233,NO
528,28,0.06868233,NO
239,65,0.15871283,NO
336,66,0.15871283,NO
457,29,0.06868233,NO
209,69,0.15422757,NO
324,413,0.90538204,NO
212,421,0.91603893,NO
319,71,0.15422757,NO
331,71,0.15422757,NO
353,399,0.8643985,NO
321,72,0.15422757,NO
221,444,0.95093626,NO
238,73,0.15422757,NO
252,73,0.15422757,NO
322,73,0.15422757,NO
9,31,0.06540917,NO
462,31,0.06540917,NO
272,380,0.7944809,NO
244,74,0.15422757,NO
351,376,0.77544343,NO
261,75,0.15422757,NO
207,476,0.97668123,NO
19,32,0.06540917,NO
153,32,0.06540917,NO
448,32,0.06540917,NO
248,76,0.15422757,NO
256,76,0.15422757,NO
332,340,0.6868749,NO
208,77,0.15422757,NO
260,77,0.15422757,NO
298,77,0.15422757,NO
347,77,0.15422757,NO
88,33,0.06540917,NO
304,78,0.15422757,NO
273,339,0.66620284,NO
258,504,0.98778933,NO
307,79,0.15422757,NO
233,512,0.98778933,NO
87,34,0.06540917,NO
370,34,0.06540917,NO
371,34,0.06540917,NO
343,82,0.15422757,NO
137,35,0.06540917,NO
450,35,0.06540917,NO
533,35,0.06540917,NO
544,35,0.06540917,NO
325,322,0.5912222,NO
246,84,0.15422757,NO
253,84,0.15422757,NO
249,323,0.5912222,NO
152,36,0.06540917,NO
368,36,0.06540917,NO
503,36,0.06540917,NO
555,36,0.06540917,NO
556,36,0.06540917,NO
557,36,0.06540917,NO
240,329,0.5912222,NO
342,86,0.15422757,NO
301,88,0.15642074,NO
269,87,0.15422757,NO
346,87,0.15422757,NO
369,37,0.06540917,NO
460,37,0.06540917,NO
467,37,0.06540917,NO
350,337,0.5912222,NO
372,38,0.06540917,NO
446,38,0.06540917,NO
292,91,0.15642074,NO
128,39,0.06540917,NO
373,39,0.06540917,NO
282,95,0.15642074,NO
349,95,0.15642074,NO
14,40,0.06540917,NO
267,96,0.15642074,NO
219,295,0.4784094,NO
243,624,0.99978954,NO
296,98,0.15642074,NO
408,41,0.06540917,NO
427,41,0.06540917,NO
564,41,0.06540917,NO
339,300,0.4784094,NO
328,628,0.99978954,NO
100,356,0.56077677,YES
355,42,0.06540917,NO
390,42,0.06540917,NO
422,42,0.06540917,NO
232,101,0.15642074,NO
278,101,0.15642074,NO
218,657,0.9999321,NO
132,43,0.06540917,NO
171,43,0.06540917,NO
421,43,0.06540917,NO
210,104,0.15642074,NO
36,44,0.06540917,NO
424,44,0.06540917,NO
345,267,0.39668146,NO
216,106,0.15642074,NO
118,45,0.06540917,NO
135,45,0.06540917,NO
496,45,0.06540917,NO
314,273,0.39668146,NO
287,692,0.99999,NO
276,107,0.15436922,NO
337,107,0.15436922,NO
164,43,0.061997756,NO
211,115,0.16367157,NO
362,46,0.06540917,NO
259,109,0.15436922,NO
271,281,0.39668146,NO
283,116,0.16367157,NO
315,116,0.16367157,NO
245,117,0.16367157,NO
130,47,0.06540917,NO
398,47,0.06540917,NO
414,47,0.06540917,NO
415,47,0.06540917,NO
461,47,0.06540917,NO
587,47,0.06540917,NO
330,119,0.16367157,NO
341,120,0.16367157,NO
106,47,0.064094424,NO
125,48,0.06540917,YES
356,48,0.06540917,NO
469,48,0.06540917,NO
510,48,0.06540917,NO
569,48,0.06540917,NO
275,239,0.3178685,NO
223,752,0.99999905,NO
333,241,0.3178685,NO
251,250,0.3284996,NO
303,125,0.16367157,NO
329,256,0.3284996,NO
185,49,0.06281966,NO
403,49,0.06281966,NO
406,49,0.06281966,NO
417,49,0.06281966,NO
263,127,0.16278997,NO
297,127,0.16278997,NO
294,138,0.17653722,NO
302,139,0.17653722,NO
293,129,0.16278997,NO
317,129,0.16278997,NO
237,261,0.3284996,NO
318,261,0.3284996,NO
24,50,0.06281966,NO
389,50,0.06281966,NO
412,50,0.06281966,NO
418,50,0.06281966,NO
326,214,0.26642308,NO
7,51,0.06281966,NO
17,51,0.06281966,NO
426,51,0.06281966,NO
537,51,0.06281966,NO
290,145,0.17653722,NO
323,145,0.17653722,NO
247,226,0.27419975,NO
30,52,0.06281966,NO
206,52,0.06281966,NO
224,135,0.16278997,NO
226,163,0.19598408,NO
295,222,0.26642308,NO
257,165,0.19786581,NO
264,148,0.17693329,NO
242,164,0.19598408,NO
288,164,0.19598408,NO
102,53,0.06281966,NO
514,53,0.06281966,NO
574,53,0.06281966,NO
327,192,0.22707863,NO
222,168,0.19786581,NO
289,193,0.22707863,NO
41,792,0.9300445,YES
