ID,Size,Predicted,Actual
552,22,0.49981365,YES
476,24,0.49981365,YES
102,25,0.501804,NO
294,25,0.501804,YES
333,26,0.501804,YES
490,26,0.501804,YES
34,27,0.501804,NO
55,27,0.501804,NO
83,27,0.501804,NO
400,27,0.501804,YES
517,27,0.501804,YES
533,27,0.501804,YES
551,27,0.501804,YES
557,27,0.501804,YES
264,28,0.51670337,NO
349,28,0.501804,YES
518,28,0.501804,YES
593,28,0.501804,YES
409,29,0.501804,YES
522,29,0.501804,YES
32,31,0.5262498,NO
10,31,0.5037652,NO
113,31,0.5037652,NO
527,31,0.5037652,YES
202,32,0.50533366,NO
25,32,0.5037652,NO
190,32,0.5037652,NO
513,32,0.5037652,YES
105,33,0.5037652,NO
282,33,0.5037652,YES
346,33,0.5037652,YES
104,34,0.5037652,NO
435,34,0.5037652,YES
436,34,0.5037652,YES
381,35,0.5037652,YES
515,35,0.5037652,YES
598,35,0.5037652,YES
609,35,0.5037652,YES
147,39,0.55137885,NO
188,36,0.5056972,NO
351,36,0.5056972,YES
433,36,0.5056972,YES
568,36,0.5056972,YES
620,36,0.5056972,YES
621,36,0.5056972,YES
622,36,0.5056972,YES
373,37,0.5056972,YES
434,37,0.5056972,YES
525,37,0.5056972,YES
532,37,0.5056972,YES
335,38,0.5056972,YES
377,38,0.5056972,YES
437,38,0.5056972,YES
511,38,0.5056972,YES
266,40,0.5205914,NO
158,39,0.5056972,NO
170,39,0.5056972,NO
301,39,0.5056972,YES
438,39,0.5056972,YES
53,41,0.5224515,NO
20,40,0.5056972,NO
413,40,0.5056972,YES
473,41,0.5056972,YES
492,41,0.5056972,YES
629,41,0.5056972,YES
120,43,0.5243504,NO
420,42,0.5075999,YES
455,42,0.5075999,YES
487,42,0.5075999,YES
213,59,0.69777775,NO
163,43,0.5075999,NO
205,43,0.5075999,NO
212,43,0.5075999,NO
486,43,0.5075999,YES
8,45,0.5243504,NO
271,45,0.52249086,NO
46,44,0.5075999,NO
489,44,0.5075999,YES
146,45,0.5075999,NO
168,45,0.5075999,NO
561,45,0.5075999,YES
350,46,0.5075999,YES
417,46,0.5075999,YES
427,46,0.5075999,YES
193,64,0.6992827,NO
81,47,0.50947326,NO
134,47,0.50947326,NO
161,47,0.50947326,NO
375,47,0.50947326,YES
463,47,0.50947326,YES
479,47,0.50947326,YES
480,47,0.50947326,YES
526,47,0.50947326,YES
652,47,0.50947326,YES
268,49,0.5243607,NO
36,50,0.53193957,NO
421,48,0.50947326,YES
534,48,0.50947326,YES
575,48,0.50947326,YES
634,48,0.50947326,YES
263,50,0.5243607,NO
227,49,0.50947326,NO
468,49,0.50947326,YES
471,49,0.50947326,YES
482,49,0.50947326,YES
33,50,0.50947326,NO
370,50,0.50947326,YES
454,50,0.50947326,YES
477,50,0.50947326,YES
483,50,0.50947326,YES
7,51,0.50947326,NO
23,51,0.50947326,NO
293,51,0.50947326,YES
491,51,0.50947326,NO
602,51,0.50947326,YES
12,55,0.54869807,NO
