ID,Size,Predicted,Actual
222,22,0.21958525,NO
197,27,0.21958525,NO
227,27,0.21958525,NO
198,28,0.21958525,NO
260,28,0.21958525,NO
202,29,0.21958525,NO
253,31,0.21958525,NO
195,35,0.21958525,NO
145,37,0.21958525,NO
204,37,0.21958525,NO
233,37,0.21958525,NO
83,38,0.21958525,YES
146,38,0.21958525,NO
85,39,0.21958525,NO
147,39,0.21958525,NO
250,39,0.21958525,NO
57,27,0.13658777,NO
211,27,0.13334624,NO
199,36,0.16338812,NO
23,27,0.120957084,NO
98,30,0.13016276,NO
193,32,0.13771887,NO
256,32,0.13771887,NO
161,41,0.17184858,NO
174,41,0.17184858,NO
181,41,0.17184858,NO
131,42,0.17184858,NO
171,42,0.17184858,NO
17,32,0.13016276,NO
294,246,0.9852937,YES
9,31,0.123968534,NO
170,43,0.17184858,NO
93,249,0.9856952,YES
92,210,0.8305399,YES
264,35,0.13771887,NO
66,236,0.914231,YES
0,215,0.8305399,NO
5,216,0.8305399,NO
237,36,0.13771887,NO
191,45,0.17184858,NO
144,36,0.13658777,NO
283,241,0.91199756,YES
105,46,0.17184858,NO
138,46,0.17184858,NO
1,271,0.99553925,NO
288,272,0.9954136,YES
102,47,0.17184858,NO
103,47,0.17184858,NO
104,47,0.17184858,NO
164,47,0.17184858,NO
299,47,0.17184858,NO
19,187,0.68212163,YES
206,31,0.11226051,NO
210,37,0.13334624,NO
132,48,0.17184858,NO
244,48,0.17184858,NO
285,48,0.17184858,NO
111,258,0.906525,NO
166,49,0.17184858,NO
106,43,0.1493439,NO
279,265,0.9113619,YES
167,50,0.17184858,NO
109,261,0.8913641,YES
11,196,0.6635768,NO
292,268,0.906525,NO
173,51,0.17184858,NO
268,51,0.17184858,NO
293,52,0.17184858,NO
217,191,0.6245727,YES
13,40,0.13016276,NO
192,299,0.970183,YES
248,53,0.17184858,NO
289,53,0.17184858,NO
280,261,0.8462703,NO
116,259,0.83760154,NO
82,54,0.17184858,NO
176,54,0.17184858,NO
291,54,0.17184858,NO
290,306,0.9717464,NO
44,312,0.9864964,YES
298,315,0.99316263,NO
33,282,0.88579696,YES
89,319,0.99997085,NO
90,321,0.9999716,NO
134,318,0.9871113,NO
157,242,0.7497533,YES
55,276,0.8413516,YES
114,243,0.7391284,NO
254,57,0.17184858,NO
269,57,0.17184858,NO
37,55,0.16409783,NO
141,58,0.17184858,NO
154,58,0.17184858,NO
225,58,0.17184858,NO
238,58,0.17184858,NO
267,58,0.17184858,NO
113,339,0.9999945,YES
59,283,0.82986003,YES
152,342,0.99584556,NO
245,60,0.17184858,NO
186,355,0.9999997,YES
247,355,0.9999296,NO
115,358,0.9969637,YES
224,62,0.17184858,NO
239,62,0.17184858,NO
156,363,0.99851453,YES
297,206,0.56557775,YES
159,366,0.99842936,NO
133,63,0.17184858,NO
232,63,0.17184858,NO
4,368,0.99999917,YES
295,208,0.5587597,NO
234,64,0.17184858,NO
296,64,0.17184858,NO
282,241,0.6448286,NO
15,379,0.99999994,YES
99,380,0.999533,YES
162,66,0.17184858,NO
261,57,0.14581059,NO
14,255,0.6448286,YES
36,216,0.5450114,YES
182,400,1.0,YES
257,227,0.56557775,NO
163,63,0.15659644,NO
270,230,0.56557775,YES
180,43,0.10537641,NO
122,67,0.16409783,NO
81,256,0.60758984,YES
183,425,1.0,YES
39,65,0.1493439,NO
213,436,0.9999909,YES
272,251,0.5734114,NO
262,446,0.9999946,NO
