ID,Size,Predicted,Actual
22,46,1.0,YES
112,49,0.6210815,NO
101,167,0.9745412,YES
66,236,1.0,YES
283,241,1.0,YES
294,246,1.0,YES
5,216,0.858033,NO
279,265,0.9995216,YES
1,271,0.99999994,NO
288,272,1.0,YES
11,196,0.66838753,NO
89,319,1.0,NO
90,321,1.0,NO
113,339,1.0,YES
186,355,1.0,YES
247,355,0.996525,NO
4,368,0.9999996,YES
15,379,1.0,YES
182,400,1.0,YES
99,380,0.9404786,YES
183,425,1.0,YES
2,451,1.0,NO
262,446,0.98871213,NO
213,436,0.9376053,YES
12,473,1.0,YES
223,481,0.9932865,NO
93,249,0.50307196,YES
69,507,1.0,YES
61,507,0.9999992,YES
16,509,1.0,YES
73,529,0.9999971,YES
56,549,1.0,YES
200,574,1.0,YES
20,576,1.0,YES
34,582,1.0,YES
88,582,1.0,YES
249,612,1.0,YES
79,664,1.0,NO
158,682,1.0,YES
74,694,1.0,YES
91,183,0.2623905,NO
156,363,0.5127846,YES
278,726,1.0,YES
96,734,1.0,YES
229,744,1.0,YES
159,366,0.4844584,NO
6,764,1.0,YES
24,788,1.0,YES
35,800,1.0,YES
44,312,0.35334134,YES
43,905,1.0,YES
219,906,1.0,YES
184,1041,1.0,YES
46,153,0.13245489,NO
117,1167,1.0,YES
19,187,0.07391476,YES
192,299,0.114317246,YES
290,306,0.106287666,NO
298,315,0.106287666,NO
26,62,0.015307915,YES
152,342,0.073709816,NO
0,215,0.045885254,NO
178,6523,1.0,YES
115,358,0.05434234,YES
59,283,0.04269107,YES
217,191,0.027634406,YES
123,166,0.017772062,NO
97,127,0.0134680355,NO
65,132,0.012735813,NO
92,210,0.015869165,YES
111,258,0.019155955,NO
292,268,0.019155955,NO
109,261,0.017653244,YES
134,318,0.013226476,NO
116,259,0.009599386,NO
33,282,0.00901946,YES
280,261,0.006426941,NO
222,22,5.0980726E-4,NO
55,276,0.006059536,YES
14,255,0.0050611547,YES
257,227,0.0044999598,NO
270,230,0.0044999598,YES
157,242,0.0046368814,YES
197,27,5.0980726E-4,NO
227,27,5.0980726E-4,NO
198,28,5.0980726E-4,NO
260,28,5.0980726E-4,NO
202,29,5.0980726E-4,NO
253,31,5.0980726E-4,NO
21,158,0.0024705213,YES
195,35,5.0980726E-4,NO
120,185,0.0026753563,NO
145,37,5.0980726E-4,NO
204,37,5.0980726E-4,NO
233,37,5.0980726E-4,NO
83,38,5.0980726E-4,YES
146,38,5.0980726E-4,NO
85,39,5.0980726E-4,NO
147,39,5.0980726E-4,NO
250,39,5.0980726E-4,NO
161,41,5.0980726E-4,NO
174,41,5.0980726E-4,NO
181,41,5.0980726E-4,NO
131,42,5.0980726E-4,NO
171,42,5.0980726E-4,NO
49,189,0.0022732224,YES
170,43,5.0980726E-4,NO
191,45,5.0980726E-4,NO
50,127,0.0014193062,NO
105,46,5.0980726E-4,NO
138,46,5.0980726E-4,NO
36,216,0.0023893132,YES
106,43,4.6911524E-4,NO
102,47,5.0980726E-4,NO
103,47,5.0980726E-4,NO
104,47,5.0980726E-4,NO
164,47,5.0980726E-4,NO
299,47,5.0980726E-4,NO
132,48,5.0980726E-4,NO
244,48,5.0980726E-4,NO
285,48,5.0980726E-4,NO
38,184,0.0019180839,NO
166,49,5.0980726E-4,NO
114,243,0.002478773,NO
167,50,5.0980726E-4,NO
173,51,5.0980726E-4,NO
268,51,5.0980726E-4,NO
293,52,5.0980726E-4,NO
