ID,Size,Predicted,Actual
143,132,0.99303824,NO
102,142,0.99949014,NO
103,152,0.9998038,NO
178,111,0.6357969,NO
109,185,1.0,NO
40,192,0.9999297,NO
175,197,0.9988085,YES
110,264,1.0,NO
184,279,1.0,NO
168,340,1.0,NO
153,356,1.0,NO
577,373,0.9998353,NO
198,289,0.5244134,NO
65,573,1.0,NO
14,638,0.9756605,YES
147,677,1.0,NO
122,721,0.9658875,YES
43,752,0.99660873,YES
23,596,0.78570175,NO
73,781,0.99745804,YES
208,762,0.95988923,NO
581,778,0.96852607,NO
597,801,0.9849649,YES
542,804,0.9849649,NO
250,752,0.9119468,NO
503,842,0.99532133,NO
566,707,0.8233135,NO
521,863,0.99923044,NO
499,867,0.9979233,NO
247,872,0.9986295,NO
107,876,1.0,NO
44,877,0.9997616,YES
27,926,0.9999142,NO
282,936,0.9998434,NO
482,979,0.99998534,NO
48,94,0.09528245,NO
172,991,0.9999938,NO
10,1009,0.9999978,NO
58,1026,0.9999992,YES
465,1038,0.99999785,NO
314,692,0.6550154,NO
216,1070,1.0,NO
252,1126,0.99999994,NO
6,1154,1.0,YES
573,1207,1.0,NO
51,90,0.072710335,NO
510,1263,1.0,NO
138,666,0.5010084,NO
85,607,0.40349135,NO
245,657,0.42417845,NO
166,456,0.26658255,NO
209,601,0.33842602,NO
195,648,0.35219684,NO
241,2009,1.0,NO
355,628,0.2875678,NO
474,628,0.2875678,NO
19,579,0.23706108,YES
229,617,0.23162973,NO
270,624,0.23162973,NO
418,624,0.23162973,NO
86,565,0.1929201,NO
12,83,0.025491897,NO
35,83,0.025491897,NO
231,80,0.021197416,NO
159,585,0.115137495,NO
59,530,0.098521635,NO
212,532,0.08882347,NO
79,497,0.082200155,NO
158,403,0.0616358,NO
463,550,0.055926565,NO
125,517,0.052560844,NO
504,535,0.05059031,NO
22,260,0.022410218,YES
285,504,0.02204503,NO
105,60,0.0025984691,NO
106,60,0.0025984691,NO
260,512,0.02204503,NO
108,61,0.0025984691,NO
197,59,0.002498944,NO
182,462,0.016647346,NO
515,491,0.017651593,NO
117,363,0.012491918,NO
201,423,0.01359375,NO
187,272,0.007813899,NO
160,71,0.0017661777,YES
234,476,0.011488708,NO
177,420,0.009554764,NO
181,397,0.008312615,NO
2,460,0.0093423845,YES
204,418,0.007726315,NO
72,47,8.47034E-4,NO
248,444,0.0076387315,NO
104,31,5.327382E-4,NO
46,27,4.6202025E-4,NO
131,361,0.0058274646,NO
214,401,0.00640088,NO
16,374,0.005776157,NO
464,437,0.006280658,NO
568,438,0.006280658,NO
239,421,0.005193292,NO
57,422,0.005193292,YES
414,422,0.005193292,NO
514,22,2.7043629E-4,NO
157,39,4.776065E-4,NO
64,374,0.004461702,YES
438,24,2.7043629E-4,NO
200,288,0.0031272406,NO
420,382,0.004135695,NO
93,25,2.7043629E-4,NO
256,25,2.7043629E-4,NO
351,413,0.0043187663,NO
578,415,0.0043187663,NO
295,26,2.7043629E-4,NO
452,26,2.7043629E-4,NO
26,27,2.7043629E-4,NO
74,27,2.7043629E-4,NO
362,27,2.7043629E-4,NO
479,27,2.7043629E-4,NO
495,27,2.7043629E-4,NO
513,27,2.7043629E-4,NO
519,27,2.7043629E-4,NO
311,28,2.7043629E-4,NO
480,28,2.7043629E-4,NO
555,28,2.7043629E-4,NO
45,319,0.0030539527,YES
71,345,0.0032258446,YES
142,51,4.7109253E-4,NO
371,29,2.661096E-4,NO
484,29,2.661096E-4,NO
380,399,0.0036122329,NO
42,352,0.0031767231,YES
127,274,0.0023769785,NO
9,31,2.661096E-4,NO
489,31,2.661096E-4,NO
20,32,2.661096E-4,NO
176,32,2.661096E-4,NO
475,32,2.661096E-4,NO
32,297,0.0024115953,NO
96,33,2.661096E-4,NO
244,33,2.661096E-4,NO
308,33,2.661096E-4,NO
112,286,0.0022689707,YES
95,34,2.661096E-4,NO
397,34,2.661096E-4,NO
