Id,Size,Prob,NormProb,Actual
182,80,0.6261252,0.007826566,false
200,101,0.49695003,0.0049202973,true
214,59,0.27511016,0.004662884,false
194,64,0.28228205,0.004410657,false
195,211,0.88344276,0.0041869325,true
150,77,0.28953043,0.0037601355,false
124,199,0.73342055,0.0036855305,false
65,82,0.29685163,0.003620142,false
252,131,0.45447347,0.0034692632,false
72,86,0.29685163,0.0034517632,false
73,207,0.71307826,0.0034448225,true
39,87,0.29685163,0.0034120877,false
190,226,0.76748127,0.0033959348,true
146,92,0.30424184,0.0033069765,false
179,226,0.7425287,0.0032855251,false
49,189,0.6016422,0.003183292,false
236,186,0.59172434,0.0031813139,false
235,100,0.31169713,0.0031169713,false
32,211,0.6534123,0.0030967407,false
14,204,0.61706,0.0030248042,false
30,314,0.9129573,0.0029075074,false
13,55,0.1591878,0.0028943233,false
193,111,0.31921348,0.002875797,false
184,264,0.75698996,0.0028673862,false
237,118,0.3267867,0.002769379,false
241,120,0.3267867,0.0027232226,false
230,244,0.64750993,0.0026537292,false
41,373,0.9613524,0.0025773523,false
178,102,0.26194644,0.0025681022,false
265,28,0.07132198,0.0025472136,false
232,273,0.6928745,0.0025380016,false
156,132,0.33441263,0.002533429,false
129,372,0.9304386,0.002501179,false
4,138,0.3420869,0.0024788906,false
33,31,0.07569314,0.002441714,false
2,274,0.6500826,0.0023725643,true
145,148,0.34980515,0.0023635484,false
180,153,0.3575629,0.0023370124,false
22,387,0.87508196,0.0022611937,false
240,170,0.36590526,0.002152384,false
144,174,0.37317893,0.0021447064,false
148,39,0.08245841,0.002114318,false
203,32,0.06742658,0.0021070805,false
201,343,0.6976778,0.002034046,true
181,458,0.92560804,0.0020209781,false
125,194,0.3888985,0.0020046316,false
172,429,0.8533839,0.0019892398,false
74,397,0.7816282,0.0019688369,true
143,362,0.71026236,0.0019620506,false
1,215,0.40468487,0.0018822552,false
183,352,0.6509428,0.0018492694,false
188,230,0.42050132,0.0018282667,false
222,230,0.42050132,0.0018282667,false
176,560,0.9999835,0.0017856848,true
185,241,0.42840946,0.0017776326,false
29,566,1.0,0.0017667845,false
70,205,0.35773402,0.001745044,true
18,262,0.45207983,0.0017254956,false
227,258,0.4442031,0.0017217174,false
267,40,0.06842033,0.0017105083,false
62,271,0.45993742,0.001697186,true
3,461,0.77142715,0.0016733777,true
54,41,0.06842033,0.0016687886,false
121,43,0.07075262,0.0016454097,false
86,474,0.77522254,0.0016354906,true
217,288,0.46777168,0.0016242071,false
215,289,0.46777168,0.0016185871,false
9,45,0.07075262,0.0015722804,false
272,45,0.07075262,0.0015722804,false
173,575,0.90243876,0.0015694587,false
208,326,0.50645185,0.0015535334,false
198,340,0.51406306,0.0015119502,false
25,637,0.95958036,0.0015064056,false
23,390,0.5513059,0.0014136048,false
231,401,0.5657674,0.0014108913,false
196,397,0.5585705,0.0014069786,false
247,618,0.8656801,0.0014007769,false
255,53,0.07335381,0.0013840342,false
192,420,0.5799483,0.0013808294,false
67,422,0.5799483,0.0013742852,true
269,49,0.06728801,0.0013732248,false
218,423,0.5799483,0.0013710363,false
264,50,0.06728801,0.0013457602,false
197,462,0.60739857,0.0013147155,false
123,310,0.40557697,0.0013083129,true
155,76,0.098272815,0.0012930634,false
127,90,0.11489242,0.0012765825,false
31,839,0.99982023,0.0011916809,false
20,867,0.999463,0.0011527832,false
27,68,0.07834548,0.0011521394,false
46,58,0.066723414,0.0011504036,false
95,618,0.70934385,0.0011478056,true
37,50,0.05731512,0.0011463023,false
134,860,0.96773493,0.0011252732,true
212,648,0.7287555,0.0011246226,false
229,531,0.58984804,0.0011108249,false
246,294,0.32271335,0.0010976645,false
15,55,0.0599329,0.0010896891,false
271,55,0.0599329,0.0010896891,false
53,877,0.82423735,9.3983737E-4,true
64,90,0.08409123,9.3434704E-4,false
250,111,0.09999778,9.008809E-4,false
83,1118,0.9999082,8.9437224E-4,false
12,1008,0.8909687,8.8389753E-4,false
263,63,0.05561372,8.827575E-4,false
270,63,0.05561372,8.827575E-4,false
233,1074,0.9380303,8.733988E-4,false
68,1059,0.921001,8.6968933E-4,true
253,68,0.05897805,8.673243E-4,false
187,991,0.85496175,8.627263E-4,false
7,1248,0.99993056,8.012264E-4,false
17,83,0.06560882,7.904678E-4,false
63,152,0.11007071,7.2414946E-4,false
149,182,0.13161288,7.231477E-4,false
258,69,0.047654964,6.9065165E-4,false
259,69,0.047654964,6.9065165E-4,false
132,148,0.10213527,6.901032E-4,true
632,266,0.17489883,6.5751444E-4,false
177,359,0.22982885,6.401918E-4,false
92,204,0.12753431,6.251682E-4,true
140,136,0.08413036,6.186056E-4,true
19,83,0.050312046,6.061692E-4,false
71,190,0.114188194,6.009905E-4,false
256,81,0.047331553,5.8434013E-4,false
225,763,0.43476444,5.698092E-4,false
165,73,0.04150829,5.686067E-4,false
202,71,0.0390279,5.496887E-4,false
261,72,0.0390279,5.420541E-4,false
262,72,0.0390279,5.420541E-4,false
219,337,0.17475143,5.185502E-4,false
268,76,0.0390279,5.13525E-4,false
636,802,0.40705127,5.075452E-4,true
260,77,0.0390279,5.0685584E-4,false
257,78,0.0390279,5.0035765E-4,false
553,22,0.010747688,4.8853125E-4,false
139,275,0.13077849,4.7555813E-4,false
639,277,0.13077849,4.721245E-4,true
477,24,0.011141388,4.642245E-4,false
103,25,0.011141388,4.456555E-4,false
295,25,0.011141388,4.456555E-4,false
334,26,0.011141388,4.285149E-4,false
491,26,0.011141388,4.285149E-4,false
89,476,0.20303904,4.265526E-4,true
35,27,0.011141388,4.1264397E-4,false
56,27,0.011141388,4.1264397E-4,false
84,27,0.011141388,4.1264397E-4,false
401,27,0.011141388,4.1264397E-4,false
518,27,0.011141388,4.1264397E-4,false
534,27,0.011141388,4.1264397E-4,false
552,27,0.011141388,4.1264397E-4,false
558,27,0.011141388,4.1264397E-4,false
77,167,0.06740084,4.0359786E-4,true
350,28,0.011141388,3.979067E-4,false
519,28,0.011141388,3.979067E-4,false
594,28,0.011141388,3.979067E-4,false
410,29,0.011141388,3.8418578E-4,false
523,29,0.011141388,3.8418578E-4,false
11,31,0.011141388,3.593996E-4,false
114,31,0.011141388,3.593996E-4,false
528,31,0.011141388,3.593996E-4,false
106,33,0.011547355,3.4991984E-4,false
283,33,0.011547355,3.4991984E-4,false
347,33,0.011547355,3.4991984E-4,false
26,32,0.011141388,3.4816837E-4,false
191,32,0.011141388,3.4816837E-4,false
514,32,0.011141388,3.4816837E-4,false
105,34,0.011547355,3.3962808E-4,false
436,34,0.011547355,3.3962808E-4,false
437,34,0.011547355,3.3962808E-4,false
382,35,0.011547355,3.2992443E-4,false
516,35,0.011547355,3.2992443E-4,false
599,35,0.011547355,3.2992443E-4,false
610,35,0.011547355,3.2992443E-4,false
174,142,0.046514414,3.2756632E-4,false
189,36,0.011547355,3.2075986E-4,false
352,36,0.011547355,3.2075986E-4,false
434,36,0.011547355,3.2075986E-4,false
569,36,0.011547355,3.2075986E-4,false
621,36,0.011547355,3.2075986E-4,false
622,36,0.011547355,3.2075986E-4,false
623,36,0.011547355,3.2075986E-4,false
374,37,0.011547355,3.1209068E-4,false
435,37,0.011547355,3.1209068E-4,false
526,37,0.011547355,3.1209068E-4,false
533,37,0.011547355,3.1209068E-4,false
266,96,0.029748093,3.0987596E-4,false
336,38,0.011547355,3.0387775E-4,false
378,38,0.011547355,3.0387775E-4,false
438,38,0.011547355,3.0387775E-4,false
512,38,0.011547355,3.0387775E-4,false
159,39,0.011547355,2.9608601E-4,false
171,39,0.011547355,2.9608601E-4,false
302,39,0.011547355,2.9608601E-4,false
439,39,0.011547355,2.9608601E-4,false
81,424,0.12501238,2.9484055E-4,true
21,40,0.011547355,2.8868386E-4,false
414,40,0.011547355,2.8868386E-4,false
175,84,0.023940282,2.8500336E-4,false
421,42,0.011965878,2.8490185E-4,false
456,42,0.011965878,2.8490185E-4,false
488,42,0.011965878,2.8490185E-4,false
474,41,0.011547355,2.816428E-4,false
493,41,0.011547355,2.816428E-4,false
630,41,0.011547355,2.816428E-4,false
164,43,0.011965878,2.7827625E-4,false
206,43,0.011965878,2.7827625E-4,false
213,43,0.011965878,2.7827625E-4,false
487,43,0.011965878,2.7827625E-4,false
47,44,0.011965878,2.7195178E-4,false
490,44,0.011965878,2.7195178E-4,false
147,45,0.011965878,2.659084E-4,false
169,45,0.011965878,2.659084E-4,false
562,45,0.011965878,2.659084E-4,false
351,46,0.011965878,2.601278E-4,false
418,46,0.011965878,2.601278E-4,false
428,46,0.011965878,2.601278E-4,false
42,224,0.057974443,2.5881449E-4,false
82,47,0.011965878,2.5459315E-4,false
135,47,0.011965878,2.5459315E-4,false
162,47,0.011965878,2.5459315E-4,false
376,47,0.011965878,2.5459315E-4,false
464,47,0.011965878,2.5459315E-4,false
480,47,0.011965878,2.5459315E-4,false
481,47,0.011965878,2.5459315E-4,false
527,47,0.011965878,2.5459315E-4,false
653,47,0.011965878,2.5459315E-4,false
422,48,0.011965878,2.4928912E-4,false
535,48,0.011965878,2.4928912E-4,false
576,48,0.011965878,2.4928912E-4,false
635,48,0.011965878,2.4928912E-4,false
228,49,0.011965878,2.442016E-4,false
469,49,0.011965878,2.442016E-4,false
472,49,0.011965878,2.442016E-4,false
483,49,0.011965878,2.442016E-4,false
8,51,0.012397249,2.4308333E-4,false
24,51,0.012397249,2.4308333E-4,false
294,51,0.012397249,2.4308333E-4,false
492,51,0.012397249,2.4308333E-4,false
603,51,0.012397249,2.4308333E-4,false
34,50,0.011965878,2.3931757E-4,false
371,50,0.011965878,2.3931757E-4,false
455,50,0.011965878,2.3931757E-4,false
478,50,0.011965878,2.3931757E-4,false
484,50,0.011965878,2.3931757E-4,false
40,52,0.012397249,2.3840865E-4,false
251,52,0.012397249,2.3840865E-4,false
131,53,0.012397249,2.3391037E-4,false
580,53,0.012397249,2.3391037E-4,false
640,53,0.012397249,2.3391037E-4,false
154,54,0.012397249,2.295787E-4,false
400,54,0.012397249,2.295787E-4,false
449,54,0.012397249,2.295787E-4,false
495,54,0.012397249,2.295787E-4,false
564,54,0.012397249,2.295787E-4,false
