ID,Size,Predicted,Actual
22,46,0.99997556,YES
112,49,0.99997556,NO
91,183,0.9996301,NO
66,236,0.9999941,YES
283,241,0.9999941,YES
294,246,0.9999941,YES
46,153,0.588227,NO
5,216,0.82987475,NO
1,271,0.9969406,NO
288,272,0.9999958,YES
90,321,0.9956417,NO
113,339,0.9980979,YES
186,355,0.9956417,YES
15,379,0.99980044,YES
182,400,0.99999756,YES
183,425,0.9999944,YES
2,451,0.9999951,NO
93,249,0.54202235,YES
12,473,1.0,YES
69,507,1.0,YES
16,509,1.0,YES
20,576,1.0,YES
88,582,1.0,YES
34,582,0.99999976,YES
56,549,0.9309377,YES
200,574,0.9474776,YES
249,612,0.9922788,YES
79,664,1.0,NO
158,682,0.99457455,YES
74,694,1.0,YES
96,734,0.99999934,YES
278,726,0.9618495,YES
6,764,0.9999998,YES
229,744,0.9618495,YES
24,788,1.0,YES
89,319,0.40151545,NO
35,800,0.9966238,YES
43,905,1.0,YES
219,906,0.9618495,YES
184,1041,1.0,YES
117,1167,1.0,YES
279,265,0.13877963,YES
44,312,0.08687477,YES
178,6523,1.0,YES
11,196,0.022940587,NO
19,187,0.021621149,YES
97,127,0.012831457,NO
65,132,0.012831457,NO
101,167,0.012831457,YES
50,127,0.0040782583,NO
92,210,0.0061670747,YES
26,62,0.0017795893,YES
4,368,0.0061461832,YES
0,215,0.0026942506,NO
59,283,0.0033295352,YES
99,380,0.0033295352,YES
217,191,0.0013486677,YES
247,355,0.0018838878,NO
61,507,0.0025362668,YES
14,255,0.0011057607,YES
67,227,4.985855E-4,NO
116,259,4.985855E-4,NO
49,189,3.49584E-4,YES
55,276,4.985855E-4,YES
297,206,3.2026423E-4,YES
73,529,7.754466E-4,YES
257,227,3.2026423E-4,NO
270,230,3.2026423E-4,YES
81,256,3.49584E-4,YES
111,258,3.2026423E-4,NO
292,268,3.2026423E-4,NO
222,22,2.5841016E-5,NO
134,318,3.49584E-4,NO
290,306,3.2026423E-4,NO
298,315,3.2026423E-4,NO
36,216,2.1712297E-4,YES
295,208,2.0598185E-4,NO
115,358,3.49584E-4,YES
197,27,2.5841016E-5,NO
227,27,2.5841016E-5,NO
198,28,2.5841016E-5,NO
260,28,2.5841016E-5,NO
9,31,2.8207487E-5,NO
282,241,2.1712297E-4,NO
202,29,2.5841016E-5,NO
157,242,2.0598185E-4,YES
253,31,2.5841016E-5,NO
195,35,2.5841016E-5,NO
192,299,2.1712297E-4,YES
258,201,1.4441185E-4,NO
145,37,2.5841016E-5,NO
204,37,2.5841016E-5,NO
233,37,2.5841016E-5,NO
83,38,2.5841016E-5,YES
146,38,2.5841016E-5,NO
85,39,2.5841016E-5,NO
147,39,2.5841016E-5,NO
250,39,2.5841016E-5,NO
161,41,2.5841016E-5,NO
174,41,2.5841016E-5,NO
181,41,2.5841016E-5,NO
114,243,1.5222329E-4,NO
57,27,1.6618218E-5,NO
211,27,1.6618218E-5,NO
131,42,2.5841016E-5,NO
171,42,2.5841016E-5,NO
272,251,1.5222329E-4,NO
170,43,2.5841016E-5,NO
191,45,2.5841016E-5,NO
156,363,2.0598185E-4,YES
105,46,2.5841016E-5,NO
138,46,2.5841016E-5,NO
98,30,1.6618218E-5,NO
109,261,1.4441185E-4,YES
7,51,2.8207487E-5,NO
102,47,2.5841016E-5,NO
103,47,2.5841016E-5,NO
104,47,2.5841016E-5,NO
164,47,2.5841016E-5,NO
299,47,2.5841016E-5,NO
137,190,1.03332706E-4,YES
132,48,2.5841016E-5,NO
244,48,2.5841016E-5,NO
285,48,2.5841016E-5,NO
166,49,2.5841016E-5,NO
17,32,1.6618218E-5,NO
167,50,2.5841016E-5,NO
33,282,1.4441185E-4,YES
173,51,2.5841016E-5,NO
268,51,2.5841016E-5,NO
293,52,2.5841016E-5,NO
62,209,1.03332706E-4,NO
248,53,2.5841016E-5,NO
289,53,2.5841016E-5,NO
82,54,2.5841016E-5,NO
176,54,2.5841016E-5,NO
291,54,2.5841016E-5,NO
144,36,1.6618218E-5,NO
23,27,1.2280475E-5,NO
254,57,2.5841016E-5,NO
269,57,2.5841016E-5,NO
210,37,1.6618218E-5,NO
141,58,2.5841016E-5,NO
154,58,2.5841016E-5,NO
225,58,2.5841016E-5,NO
238,58,2.5841016E-5,NO
267,58,2.5841016E-5,NO
245,60,2.5841016E-5,NO
224,62,2.5841016E-5,NO
239,62,2.5841016E-5,NO
13,40,1.6618218E-5,NO
133,63,2.5841016E-5,NO
232,63,2.5841016E-5,NO
234,64,2.5841016E-5,NO
296,64,2.5841016E-5,NO
280,261,1.03332706E-4,NO
159,366,1.4441185E-4,NO
162,66,2.5841016E-5,NO
206,31,1.1650211E-5,NO
86,69,2.5841016E-5,YES
95,71,2.5841016E-5,NO
150,71,2.5841016E-5,NO
130,72,2.5841016E-5,NO
143,74,2.5841016E-5,NO
220,74,2.5841016E-5,NO
243,74,2.5841016E-5,NO
213,436,1.5222329E-4,YES
212,48,1.6618218E-5,NO
262,446,1.5222329E-4,NO
199,36,1.2280475E-5,NO
216,76,2.5841016E-5,NO
286,76,2.5841016E-5,NO
228,77,2.5841016E-5,NO
251,78,2.5841016E-5,NO
266,79,2.5841016E-5,YES
41,81,2.5841016E-5,NO
242,83,2.5841016E-5,YES
42,84,2.5841016E-5,NO
153,84,2.5841016E-5,NO
118,92,2.8207487E-5,YES
53,85,2.5841016E-5,NO
37,55,1.6618218E-5,NO
80,55,1.6618218E-5,NO
152,342,1.03332706E-4,NO
149,88,2.5841016E-5,NO
189,92,2.5841016E-5,YES
300,92,2.5841016E-5,NO
100,101,2.8207487E-5,NO
87,94,2.5841016E-5,YES
221,94,2.5841016E-5,NO
106,43,1.1650211E-5,NO
148,96,2.5841016E-5,NO
163,63,1.6618218E-5,NO
84,98,2.5841016E-5,NO
168,98,2.5841016E-5,NO
265,98,2.5841016E-5,NO
193,32,8.335896E-6,NO
256,32,8.335896E-6,NO
231,45,1.1650211E-5,NO
190,101,2.5841016E-5,YES
263,103,2.5841016E-5,NO
54,113,2.8207487E-5,YES
175,104,2.5841016E-5,NO
122,67,1.6618218E-5,NO
187,105,2.5841016E-5,YES
188,105,2.5841016E-5,YES
264,35,8.335896E-6,NO
28,52,1.2280475E-5,YES
194,111,2.5841016E-5,NO
237,36,8.335896E-6,NO
60,175,4.0235744E-5,YES
223,481,1.0892235E-4,NO
124,74,1.6618218E-5,NO
276,116,2.5841016E-5,NO
121,118,2.5841016E-5,NO
120,185,4.0235744E-5,NO
108,77,1.6618218E-5,YES
