ID,Size,Predicted,Actual
235,125,0.9999479,NO
252,129,1.0,NO
224,156,0.97526306,NO
234,160,0.98015255,NO
373,162,0.97889656,NO
90,172,0.99555564,NO
21,188,0.98830634,NO
229,183,0.93574524,NO
83,214,1.0,NO
314,223,0.9979788,NO
153,208,0.92276394,YES
175,230,0.99915546,NO
148,230,0.997986,NO
400,231,0.99983954,YES
390,197,0.77359295,NO
93,154,0.5755329,NO
31,268,0.9998979,NO
172,273,0.99999994,NO
107,273,0.9999999,YES
46,273,0.99999535,YES
255,277,1.0,YES
135,283,0.99999344,YES
246,284,0.99999946,NO
238,219,0.7478953,NO
399,297,0.9999999,NO
68,301,0.99875253,NO
380,306,1.0,NO
412,306,0.99999994,NO
170,309,1.0,YES
251,319,1.0,NO
435,321,1.0,NO
106,325,1.0,YES
156,340,0.9999997,NO
158,342,1.0,NO
376,353,1.0,NO
111,357,1.0,YES
58,358,1.0,NO
254,358,1.0,NO
422,359,0.9999441,YES
411,365,1.0,NO
247,371,1.0,NO
242,377,1.0,NO
142,378,0.9992537,NO
243,383,1.0,NO
321,213,0.5527354,NO
171,389,1.0,YES
401,399,1.0,NO
174,418,1.0,NO
237,421,1.0,NO
51,422,1.0,NO
391,430,1.0,NO
155,462,1.0,YES
71,466,0.99831116,NO
53,467,1.0,YES
105,503,1.0,NO
338,489,0.9629187,NO
315,214,0.4095155,NO
381,340,0.650494,NO
327,525,1.0,NO
286,549,1.0,NO
182,551,1.0,NO
13,551,0.9999994,NO
179,558,1.0,YES
102,558,0.9981225,NO
78,565,1.0,YES
18,577,1.0,NO
22,582,0.99999994,YES
297,584,1.0,NO
136,585,0.9999532,NO
77,601,1.0,NO
184,402,0.6605769,NO
200,617,1.0,NO
97,624,1.0,YES
241,624,1.0,NO
40,648,1.0,YES
166,648,1.0,NO
118,664,0.9999958,NO
389,688,1.0,NO
65,694,1.0,YES
75,250,0.34972376,YES
103,727,1.0,NO
404,740,1.0,NO
178,762,1.0,YES
92,140,0.18002203,NO
41,778,1.0,YES
365,798,1.0,YES
420,801,1.0,NO
326,841,1.0,NO
344,846,1.0,NO
368,200,0.23335074,NO
322,866,1.0,NO
305,885,1.0,NO
159,178,0.19632153,NO
165,131,0.14280577,NO
10,928,1.0,YES
26,928,1.0,NO
147,952,1.0,NO
52,978,1.0,NO
288,1033,1.0,NO
186,1038,1.0,YES
151,359,0.30582264,NO
396,1198,1.0,NO
280,254,0.21146521,NO
6,1242,1.0,YES
333,1262,1.0,NO
2,458,0.35265204,NO
236,151,0.11073538,NO
403,178,0.12087555,NO
199,187,0.10132573,NO
154,408,0.20074491,NO
101,4088,1.0,YES
287,437,0.106769726,NO
231,183,0.026320757,NO
73,244,0.033484146,NO
208,380,0.04943602,NO
138,355,0.04311374,NO
63,236,0.027452726,NO
16,388,0.043698456,NO
50,147,0.016387925,YES
427,308,0.033139896,NO
291,123,0.012633997,NO
130,243,0.022320852,YES
116,168,0.014856597,NO
413,263,0.016747331,NO
425,308,0.019165283,NO
281,16883,1.0,NO
57,182,0.010243254,NO
69,153,0.008540038,NO
162,325,0.017592201,NO
416,258,0.007814287,NO
15,361,0.010270469,NO
42,314,0.008712548,NO
408,300,0.0076172757,YES
201,147,0.0036860502,YES
423,269,0.006558379,NO
39,326,0.007883545,NO
393,287,0.006629355,NO
367,125,0.002246628,NO
108,136,0.0021778757,YES
436,329,0.0051596425,NO
120,260,0.003978416,NO
363,355,0.005389021,NO
145,221,0.0032007806,NO
323,159,0.002209988,NO
4,357,0.0044312943,NO
64,314,0.003832411,YES
414,41,4.9872644E-4,NO
144,268,0.0030734504,NO
320,166,0.001793344,NO
398,90,8.8030694E-4,NO
304,92,8.1610965E-4,NO
290,331,0.0025898563,NO
37,106,7.9030916E-4,NO
308,105,7.60161E-4,NO
375,108,7.773557E-4,NO
417,280,0.0020087599,NO
