ID,Size,Predicted,Actual
46,27,0.10418702,NO
104,31,0.109669395,NO
110,264,0.9322166,NO
168,340,0.99763936,NO
157,39,0.11268953,NO
153,356,0.9990817,NO
40,192,0.5369824,NO
109,185,0.49843836,NO
184,279,0.7073828,NO
72,47,0.11252177,NO
198,289,0.6388255,NO
142,51,0.10921706,NO
175,197,0.41199246,YES
103,152,0.31087705,NO
105,60,0.118093535,NO
106,60,0.118093535,NO
117,363,0.7107832,NO
108,61,0.1183585,NO
514,22,0.042415433,NO
160,71,0.1348722,YES
102,142,0.2670862,NO
197,59,0.10747881,NO
438,24,0.04253869,NO
65,573,0.99997485,NO
93,25,0.04253869,NO
256,25,0.04253869,NO
231,80,0.13324553,NO
143,132,0.21715766,NO
295,26,0.04266134,NO
452,26,0.04266134,NO
223,169,0.2715648,NO
51,90,0.14444709,NO
48,94,0.14971945,NO
26,27,0.04266134,NO
74,27,0.04266134,NO
362,27,0.04266134,NO
479,27,0.04266134,NO
495,27,0.04266134,NO
513,27,0.04266134,NO
519,27,0.04266134,NO
12,83,0.13011183,NO
35,83,0.13011183,NO
113,185,0.28192586,NO
311,28,0.04266134,NO
480,28,0.04266134,NO
555,28,0.04266134,NO
178,111,0.16480935,NO
147,677,1.0,NO
371,29,0.042783365,NO
484,29,0.042783365,NO
9,31,0.042783365,NO
489,31,0.042783365,NO
20,32,0.042904764,NO
176,32,0.042904764,NO
475,32,0.042904764,NO
24,198,0.2634434,NO
190,89,0.11742044,NO
96,33,0.042904764,NO
244,33,0.042904764,NO
308,33,0.042904764,NO
95,34,0.042904764,NO
397,34,0.042904764,NO
398,34,0.042904764,NO
343,35,0.043025527,NO
477,35,0.043025527,NO
560,35,0.043025527,NO
571,35,0.043025527,NO
232,96,0.11668746,NO
174,36,0.043025527,NO
313,36,0.043025527,NO
395,36,0.043025527,NO
530,36,0.043025527,NO
582,36,0.043025527,NO
583,36,0.043025527,NO
584,36,0.043025527,NO
89,97,0.1158977,NO
335,37,0.043025527,NO
396,37,0.043025527,NO
487,37,0.043025527,NO
494,37,0.043025527,NO
32,297,0.34297225,NO
470,106,0.122099385,NO
107,876,1.0,NO
297,38,0.043145645,NO
339,38,0.043145645,NO
399,38,0.043145645,NO
473,38,0.043145645,NO
67,106,0.119937494,NO
22,260,0.29328644,YES
77,166,0.18623833,NO
146,39,0.043145645,NO
263,39,0.043145645,NO
400,39,0.043145645,NO
222,99,0.108402245,NO
15,40,0.043145645,NO
375,40,0.043145645,NO
79,497,0.5352242,NO
39,106,0.1138201,NO
127,274,0.2924827,NO
435,41,0.04326512,NO
454,41,0.04326512,NO
591,41,0.04326512,NO
382,42,0.04326512,NO
417,42,0.04326512,NO
449,42,0.04326512,NO
224,120,0.12335269,NO
200,288,0.2958477,NO
203,108,0.11075872,NO
112,286,0.2904333,YES
151,43,0.04326512,NO
189,43,0.04326512,NO
196,43,0.04326512,NO
448,43,0.04326512,NO
131,361,0.358692,NO
38,44,0.043383937,NO
451,44,0.043383937,NO
34,118,0.1159875,NO
135,45,0.043383937,NO
155,45,0.043383937,NO
523,45,0.043383937,NO
412,128,0.12173368,NO
312,46,0.043383937,NO
379,46,0.043383937,NO
389,46,0.043383937,NO
53,138,0.12946622,NO
123,47,0.04350209,NO
149,47,0.04350209,NO
337,47,0.04350209,NO
425,47,0.04350209,NO
441,47,0.04350209,NO
442,47,0.04350209,NO
488,47,0.04350209,NO
614,47,0.04350209,NO
383,48,0.04350209,NO
496,48,0.04350209,NO
537,48,0.04350209,NO
596,48,0.04350209,NO
23,596,0.5339704,NO
211,49,0.04350209,NO
430,49,0.04350209,NO
433,49,0.04350209,NO
444,49,0.04350209,NO
25,50,0.043619573,NO
332,50,0.043619573,NO
416,50,0.043619573,NO
439,50,0.043619573,NO
445,50,0.043619573,NO
158,403,0.3451499,NO
7,51,0.043619573,NO
18,51,0.043619573,NO
255,51,0.043619573,NO
453,51,0.043619573,NO
564,51,0.043619573,NO
31,52,0.043619573,NO
233,52,0.043619573,NO
201,423,0.35290346,NO
119,53,0.04373638,NO
541,53,0.04373638,NO
601,53,0.04373638,NO
141,54,0.04373638,NO
361,54,0.04373638,NO
410,54,0.04373638,NO
456,54,0.04373638,NO
525,54,0.04373638,NO
603,54,0.04373638,NO
47,55,0.04373638,NO
227,55,0.04373638,NO
605,55,0.04373638,NO
43,752,0.5895973,YES
129,56,0.043852504,NO
226,56,0.043852504,NO
262,56,0.043852504,NO
338,56,0.043852504,NO
392,56,0.043852504,NO
450,56,0.043852504,NO
165,153,0.119721964,NO
547,57,0.043852504,NO
565,57,0.043852504,NO
63,195,0.14981136,YES
230,158,0.119873665,NO
37,58,0.043852504,NO
531,58,0.043852504,NO
556,58,0.043852504,NO
563,58,0.043852504,NO
41,151,0.11384897,NO
193,59,0.04396794,NO
206,59,0.04396794,NO
517,59,0.04396794,NO
61,167,0.12268395,YES
28,60,0.04396794,NO
611,60,0.04396794,NO
144,160,0.11710791,YES
577,373,0.27118713,NO
6,1154,0.837613,YES
240,61,0.04396794,NO
281,61,0.04396794,NO
29,62,0.04408268,NO
154,62,0.04408268,NO
347,62,0.04408268,NO
516,62,0.04408268,NO
532,62,0.04408268,NO
610,62,0.04408268,NO
333,63,0.04408268,NO
437,63,0.04408268,NO
506,63,0.04408268,NO
524,63,0.04408268,NO
179,64,0.04408268,NO
225,64,0.04408268,NO
258,64,0.04408268,NO
268,64,0.04408268,NO
522,64,0.04408268,NO
526,64,0.04408268,NO
608,64,0.04408268,NO
528,182,0.12413241,NO
192,65,0.044196714,NO
266,65,0.044196714,NO
82,183,0.12277163,NO
21,66,0.044196714,NO
363,66,0.044196714,NO
436,66,0.044196714,NO
221,67,0.044196714,NO
483,67,0.044196714,NO
461,68,0.044310037,NO
59,530,0.34187332,NO
87,69,0.044310037,NO
236,69,0.044310037,NO
