ID,Size,Predicted,Actual
126,90,0.99987173,NO
251,131,0.96741843,NO
35,175,1.0,NO
15,103,0.50499713,NO
253,99,0.3185227,NO
243,319,1.0,NO
127,335,1.0,NO
85,474,0.99999976,YES
27,547,1.0,YES
175,560,1.0,YES
28,566,1.0,NO
265,96,0.13190798,NO
30,839,1.0,NO
133,860,0.9993079,YES
19,867,1.0,YES
51,849,0.8725576,YES
82,1118,1.0,NO
6,1248,0.9999984,YES
40,373,0.28388852,NO
24,637,0.4754479,NO
279,2009,1.0,YES
18,83,0.036907822,NO
174,84,0.036126044,NO
41,224,0.08677027,NO
255,81,0.013822771,NO
232,1074,0.12915453,NO
267,76,0.007893017,NO
259,77,0.007893017,NO
256,78,0.007893017,YES
80,424,0.03647959,YES
67,1059,0.08323335,YES
164,73,0.0050531346,NO
194,211,0.012476193,YES
11,1008,0.055875786,YES
128,372,0.020237984,NO
260,72,0.0033224963,NO
261,72,0.0033224963,NO
548,1263,0.04382393,YES
201,71,0.0024091129,YES
186,991,0.030854939,NO
262,63,0.0017673196,NO
269,63,0.0017673196,NO
252,68,0.0018170895,YES
257,69,0.0018118905,NO
258,69,0.0018118905,NO
13,204,0.0052955574,NO
181,80,0.0018008266,YES
611,1207,0.026568428,YES
173,142,0.0027851334,NO
29,314,0.005571657,YES
180,458,0.007931562,YES
76,167,0.0028752473,YES
52,877,0.013888789,YES
21,387,0.00560141,YES
172,575,0.007989957,YES
199,101,0.001306643,YES
290,1126,0.0128797935,YES
246,618,0.0069155945,YES
178,226,0.002482992,YES
14,55,5.29438E-4,NO
270,55,5.29438E-4,NO
235,186,0.0017443813,YES
48,189,0.0017443813,NO
183,264,0.0023245178,YES
213,59,5.054803E-4,NO
72,207,0.0017585699,YES
123,199,0.0016403878,NO
2,461,0.0037504076,YES
193,64,5.054803E-4,NO
254,53,3.9773778E-4,NO
142,362,0.0026849124,YES
1,274,0.0020145907,YES
189,226,0.0016050711,YES
200,343,0.0024270439,YES
229,244,0.00168741,YES
171,429,0.0029031637,YES
149,77,5.182448E-4,NO
12,55,3.659932E-4,NO
231,273,0.0017824614,NO
64,82,5.320308E-4,NO
245,294,0.0018726407,YES
268,49,3.0836964E-4,NO
177,102,6.3990924E-4,NO
503,1038,0.006497761,YES
71,86,5.320308E-4,NO
147,39,2.4117655E-4,NO
263,50,3.0836964E-4,NO
38,87,5.320308E-4,NO
211,648,0.0038155643,NO
145,92,5.320308E-4,NO
31,211,0.0012105757,NO
8,45,2.575911E-4,NO
271,45,2.575911E-4,NO
266,40,2.1971659E-4,NO
234,100,5.469023E-4,NO
73,397,0.0021279624,YES
53,41,2.1971659E-4,NO
120,43,2.1971659E-4,NO
192,111,5.6292926E-4,NO
236,118,5.6292926E-4,NO
240,120,5.6292926E-4,NO
228,531,0.0024742507,YES
155,132,5.801883E-4,NO
520,979,0.004219179,YES
94,618,0.002612113,YES
3,138,5.801883E-4,NO
202,32,1.3024927E-4,NO
144,148,5.9876323E-4,NO
264,28,1.1100669E-4,NO
179,153,5.9876323E-4,NO
143,174,6.4023637E-4,NO
32,31,1.1350069E-4,NO
239,170,6.1481335E-4,NO
36,50,1.796951E-4,NO
635,802,0.0028216378,YES
124,194,6.633448E-4,NO
196,462,0.0015719894,NO
224,763,0.0025939678,NO
182,352,0.0011933492,YES
0,215,7.149073E-4,NO
66,422,0.0013986244,YES
217,423,0.0013986244,NO
320,936,0.0030925933,YES
187,230,7.4363715E-4,NO
221,230,7.4363715E-4,NO
552,22,7.0019305E-5,YES
195,397,0.001250915,NO
191,420,0.0013218431,NO
230,401,0.001250915,NO
184,241,7.4363715E-4,NO
17,262,8.077847E-4,NO
216,288,8.820884E-4,YES
214,289,8.820884E-4,NO
22,390,0.0011853455,NO
226,258,7.7453855E-4,NO
197,340,0.0010165151,NO
69,205,6.1165093E-4,YES
61,271,8.077847E-4,YES
476,24,7.150536E-5,YES
207,326,9.682997E-4,NO
102,25,7.150536E-5,NO
294,25,7.150536E-5,YES
45,58,1.6204655E-4,NO
333,26,7.150536E-5,YES
490,26,7.150536E-5,YES
88,476,0.0012811773,YES
34,27,7.150536E-5,NO
55,27,7.150536E-5,NO
83,27,7.150536E-5,NO
400,27,7.150536E-5,YES
517,27,7.150536E-5,YES
533,27,7.150536E-5,YES
551,27,7.150536E-5,YES
557,27,7.150536E-5,YES
349,28,7.150536E-5,YES
518,28,7.150536E-5,YES
593,28,7.150536E-5,YES
409,29,7.150536E-5,YES
522,29,7.150536E-5,YES
559,863,0.002080834,YES
537,867,0.002080834,YES
285,872,0.002080834,YES
116,876,0.002080834,NO
10,31,7.150536E-5,NO
113,31,7.150536E-5,NO
527,31,7.150536E-5,YES
25,32,7.150536E-5,NO
190,32,7.150536E-5,NO
513,32,7.150536E-5,YES
105,33,7.150536E-5,NO
282,33,7.150536E-5,YES
346,33,7.150536E-5,YES
104,34,7.150536E-5,NO
435,34,7.150536E-5,YES
436,34,7.150536E-5,YES
16,83,1.7071728E-4,NO
381,35,7.150536E-5,YES
515,35,7.150536E-5,YES
598,35,7.150536E-5,YES
609,35,7.150536E-5,YES
541,842,0.0017201289,YES
26,68,1.3648195E-4,YES
188,36,7.150536E-5,NO
351,36,7.150536E-5,YES
433,36,7.150536E-5,YES
568,36,7.150536E-5,YES
620,36,7.150536E-5,YES
621,36,7.150536E-5,YES
622,36,7.150536E-5,YES
373,37,7.3119125E-5,YES
434,37,7.3119125E-5,YES
525,37,7.3119125E-5,YES
532,37,7.3119125E-5,YES
335,38,7.3119125E-5,YES
377,38,7.3119125E-5,YES
437,38,7.3119125E-5,YES
511,38,7.3119125E-5,YES
158,39,7.3119125E-5,NO
170,39,7.3119125E-5,NO
301,39,7.3119125E-5,YES
438,39,7.3119125E-5,YES
20,40,7.3119125E-5,NO
413,40,7.3119125E-5,YES
473,41,7.3119125E-5,YES
492,41,7.3119125E-5,YES
629,41,7.3119125E-5,YES
580,804,0.0014293564,YES
420,42,7.3119125E-5,YES
455,42,7.3119125E-5,YES
487,42,7.3119125E-5,YES
154,76,1.3080251E-4,NO
163,43,7.3119125E-5,NO
205,43,7.3119125E-5,NO
212,43,7.3119125E-5,NO
486,43,7.3119125E-5,YES
46,44,7.3119125E-5,NO
489,44,7.3119125E-5,YES
146,45,7.3119125E-5,NO
168,45,7.3119125E-5,NO
561,45,7.3119125E-5,YES
350,46,7.3119125E-5,YES
417,46,7.3119125E-5,YES
427,46,7.3119125E-5,YES
81,47,7.3119125E-5,NO
134,47,7.3119125E-5,NO
161,47,7.3119125E-5,NO
375,47,7.3119125E-5,YES
463,47,7.3119125E-5,YES
479,47,7.3119125E-5,YES
480,47,7.3119125E-5,YES
526,47,7.3119125E-5,YES
652,47,7.3119125E-5,YES
619,778,0.0011939395,YES
421,48,7.3119125E-5,YES
534,48,7.3119125E-5,YES
575,48,7.3119125E-5,YES
634,48,7.3119125E-5,YES
122,310,4.6299063E-4,YES
227,49,7.3119125E-5,NO
468,49,7.3119125E-5,YES
471,49,7.3119125E-5,YES
482,49,7.3119125E-5,YES
63,90,1.3250626E-4,YES
33,50,7.3119125E-5,NO
370,50,7.3119125E-5,YES
454,50,7.3119125E-5,YES
477,50,7.3119125E-5,YES
483,50,7.3119125E-5,YES
39,52,7.486776E-5,NO
250,52,7.486776E-5,NO
7,51,7.3119125E-5,NO
23,51,7.3119125E-5,NO
293,51,7.3119125E-5,YES
491,51,7.3119125E-5,NO
602,51,7.3119125E-5,YES
130,53,7.486776E-5,NO
579,53,7.486776E-5,YES
639,53,7.486776E-5,YES
153,54,7.486776E-5,NO
399,54,7.486776E-5,YES
448,54,7.486776E-5,YES
494,54,7.486776E-5,YES
563,54,7.486776E-5,YES
641,54,7.486776E-5,YES
139,136,1.8600584E-4,YES
56,55,7.486776E-5,NO
244,55,7.486776E-5,NO
643,55,7.486776E-5,YES
140,56,7.486776E-5,NO
242,56,7.486776E-5,NO
300,56,7.486776E-5,YES
376,56,7.486776E-5,YES
430,56,7.486776E-5,YES
488,56,7.486776E-5,YES
288,752,0.001002516,YES
585,57,7.486776E-5,YES
603,57,7.486776E-5,YES
569,58,7.486776E-5,YES
594,58,7.486776E-5,YES
601,58,7.486776E-5,YES
209,59,7.486776E-5,NO
222,59,7.486776E-5,NO
555,59,7.486776E-5,YES
114,60,7.486776E-5,NO
115,60,7.486776E-5,NO
649,60,7.486776E-5,YES
117,61,7.486776E-5,NO
278,61,7.486776E-5,YES
319,61,7.486776E-5,YES
70,190,2.3219983E-4,NO
37,62,7.486776E-5,NO
167,62,7.486776E-5,NO
385,62,7.486776E-5,YES
554,62,7.486776E-5,YES
570,62,7.486776E-5,YES
648,62,7.486776E-5,YES
371,63,7.486776E-5,YES
475,63,7.486776E-5,YES
544,63,7.486776E-5,YES
562,63,7.486776E-5,YES
241,64,7.486776E-5,NO
296,64,7.486776E-5,YES
306,64,7.486776E-5,YES
560,64,7.486776E-5,YES
564,64,7.486776E-5,YES
646,64,7.486776E-5,YES
208,65,7.486776E-5,NO
304,65,7.486776E-5,YES
237,67,7.675918E-5,NO
521,67,7.675918E-5,YES
401,66,7.486776E-5,YES
474,66,7.486776E-5,YES
499,68,7.675918E-5,YES
249,111,1.2466751E-4,YES
96,69,7.675918E-5,NO
274,69,7.675918E-5,YES
604,707,7.789583E-4,YES
108,70,7.675918E-5,NO
447,70,7.675918E-5,YES
567,70,7.675918E-5,YES
185,71,7.675918E-5,NO
384,71,7.675918E-5,YES
396,71,7.675918E-5,YES
443,71,7.675918E-5,YES
386,72,7.675918E-5,YES
419,72,7.675918E-5,YES
459,72,7.675918E-5,YES
478,72,7.675918E-5,YES
524,72,7.675918E-5,YES
303,73,7.675918E-5,YES
317,73,7.675918E-5,YES
387,73,7.675918E-5,YES
352,692,7.180022E-4,YES
141,74,7.675918E-5,NO
309,74,7.675918E-5,YES
432,74,7.675918E-5,YES
497,74,7.675918E-5,YES
549,74,7.675918E-5,YES
572,74,7.675918E-5,YES
574,74,7.675918E-5,YES
576,74,7.675918E-5,YES
326,75,7.675918E-5,YES
581,75,7.675918E-5,YES
148,182,1.8393727E-4,NO
313,76,7.675918E-5,YES
321,76,7.675918E-5,YES
545,76,7.675918E-5,YES
631,266,2.6664653E-4,YES
97,77,7.675918E-5,NO
273,77,7.675918E-5,YES
325,77,7.675918E-5,YES
363,77,7.675918E-5,YES
412,77,7.675918E-5,YES
558,77,7.675918E-5,YES
369,78,7.675918E-5,YES
138,275,2.7049173E-4,YES
159,677,6.6268403E-4,NO
638,277,2.7049173E-4,YES
101,79,7.675918E-5,NO
372,79,7.675918E-5,YES
624,79,7.675918E-5,YES
408,82,7.8802004E-5,YES
248,80,7.675918E-5,NO
43,83,7.8802004E-5,NO
543,83,7.8802004E-5,YES
103,84,7.8802004E-5,NO
129,84,7.8802004E-5,NO
311,84,7.8802004E-5,YES
318,84,7.8802004E-5,YES
440,84,7.8802004E-5,YES
625,84,7.8802004E-5,YES
283,657,6.124303E-4,YES
78,85,7.8802004E-5,NO
445,85,7.8802004E-5,YES
150,666,6.124303E-4,NO
407,86,7.8802004E-5,YES
573,86,7.8802004E-5,YES
577,86,7.8802004E-5,YES
636,86,7.8802004E-5,YES
334,87,7.8802004E-5,YES
411,87,7.8802004E-5,YES
151,88,7.8802004E-5,YES
366,88,7.8802004E-5,YES
592,88,7.8802004E-5,YES
84,89,7.8802004E-5,NO
206,89,7.8802004E-5,YES
422,89,7.8802004E-5,YES
472,89,7.8802004E-5,YES
59,90,7.8802004E-5,NO
60,90,7.8802004E-5,NO
516,90,7.8802004E-5,YES
528,90,7.8802004E-5,YES
613,90,7.8802004E-5,YES
62,152,1.3260708E-4,NO
176,359,3.1225322E-4,YES
131,148,1.2834638E-4,YES
357,91,7.8802004E-5,YES
87,92,7.8802004E-5,NO
460,92,7.8802004E-5,YES
519,92,7.8802004E-5,YES
89,93,7.8802004E-5,NO
332,96,8.100573E-5,YES
540,96,8.100573E-5,YES
57,94,7.8802004E-5,NO
442,94,7.8802004E-5,YES
509,94,7.8802004E-5,YES
653,94,7.8802004E-5,YES
393,628,5.251289E-4,YES
512,628,5.251289E-4,YES
98,97,8.100573E-5,NO
