ID,Size,Predicted,Actual
0,215,0.9964173884623524,NO
1,271,0.9964260303027339,NO
2,458,0.8865549815749977,NO
3,137,0.9968635938317966,NO
4,357,0.9234885205732161,NO
5,163,0.07032450325972005,NO
6,1242,0.23929252560405076,YES
7,51,0.9976023952286158,NO
8,154,0.84433472084285,NO
9,31,0.9976023952286158,NO
10,928,1.268653260117792E-75,NO
11,180,0.9965906536937568,NO
12,260,0.22938507513976264,NO
13,551,0.288942638809838,NO
14,40,0.9976023952286158,NO
15,361,0.6595111247526226,NO
16,388,0.645006337850572,NO
17,51,0.7072120494187872,NO
18,577,0.08434367614084434,NO
19,32,0.9976023952286158,NO
20,66,0.9972108480939833,NO
21,188,0.06851718672811008,NO
22,582,0.19375418690382057,NO
23,158,0.8838147528429154,NO
24,50,0.920048621029039,NO
25,27,0.9976023952286158,NO
26,928,0.6954423192491332,NO
27,60,0.9976023952286158,NO
28,62,0.9029522662382455,NO
29,87,0.9029522662382455,NO
30,52,0.9154541773865972,NO
31,268,0.0015618850389645794,NO
32,163,0.9965906536937568,NO
33,109,0.9040757085174629,NO
34,147,0.9965906536937568,NO
35,58,0.852636218056857,NO
36,44,0.8453380904896477,NO
37,106,0.24405016246425085,NO
38,139,0.9968635938317966,NO
39,326,0.4343988444269619,YES
40,648,0.09623042458834338,YES
41,778,0.14403234491980627,NO
42,314,0.1812469287466402,NO
43,55,0.9976023952286158,NO
44,191,0.890616922472152,NO
45,90,0.8450070828411047,NO
46,273,0.0026611567956545974,NO
47,137,0.1656695290434117,NO
48,79,0.2661165933121034,NO
49,82,0.9371928366778506,NO
50,147,0.10382907734410345,NO
51,422,1.0201847649300163E-4,NO
52,978,0.6808758747710818,NO
53,467,0.014302623395984503,NO
54,189,0.18623507986333168,NO
55,153,0.33194050645943357,YES
56,84,0.9972108480939833,NO
57,182,0.21337716512256139,NO
58,358,0.0053978876147252036,NO
59,126,0.26381089433973687,NO
60,106,0.8870010977803584,NO
61,109,0.8285997753886534,NO
62,85,0.9972108480939833,NO
63,236,0.08259161662040264,NO
64,314,0.6058839419101518,NO
65,694,0.3951527042348664,NO
66,27,0.9976023952286158,NO
67,89,0.9406463901491515,NO
68,301,0.015914443177323743,NO
69,153,0.07187142807736378,YES
70,92,0.10699380588559937,NO
71,466,0.08119193817851808,YES
72,93,0.10699380588559937,NO
73,244,0.06994725871109136,NO
74,192,0.12318772932715909,NO
75,250,0.02501786409437348,NO
76,109,0.6473078857105212,NO
77,601,3.645617370603512E-16,NO
78,565,1.6720565008409292E-8,NO
79,69,0.4982824770029421,NO
80,77,0.9972108480939833,NO
81,94,0.9972108480939833,NO
82,337,0.9966070845827715,NO
83,214,2.734882223104125E-4,NO
84,79,0.5538076801313381,NO
85,25,0.8594253792714793,NO
86,84,0.5157486223542659,NO
87,34,0.8117074046956465,NO
88,33,0.8171017247679548,NO
89,104,0.37202177672750303,NO
90,172,0.015056663775053958,NO
91,70,0.6378592791377014,NO
92,140,0.13396231881230494,NO
93,154,0.020066663523001713,NO
94,248,0.8876970494068519,NO
95,275,0.8638189147708495,NO
96,176,0.8513783152951866,NO
97,624,0.06684035793634951,NO
98,91,0.9029522662382455,NO
99,58,0.9976023952286158,NO
100,132,0.9337248026363565,NO
101,4088,1.0,NO
102,558,0.5135816885087662,NO
103,727,0.32251529032805853,NO
104,150,0.8838147528429154,NO
105,503,7.220941010654508E-5,YES
106,325,2.9519447522426953E-4,NO
107,273,5.080949713384256E-4,NO
108,136,0.09648142569145317,NO
109,56,0.8355714574754793,NO
110,74,0.4906329624387628,NO
111,357,6.103688993359059E-4,NO
112,174,0.9965906536937568,NO
113,148,0.9965906536937568,NO
114,92,0.9972108480939833,NO
115,45,0.8629524671137184,NO
116,168,0.03920435250391874,NO
117,77,0.6506697344037821,NO
118,664,0.999340256650021,NO
119,88,0.7842422939734772,NO
120,260,0.1711137099468304,NO
121,54,0.9976023952286158,NO
122,48,0.9229993364705301,NO
123,140,0.6385999316419648,NO
124,152,0.11314127037145202,NO
125,39,0.9976023952286158,NO
126,131,0.9968635938317966,NO
127,47,0.8453380904896477,NO
128,129,0.35076620926527036,NO
129,43,0.8522946866912193,NO
130,243,0.05948834574696774,NO
131,62,0.5538314401097952,NO
132,45,0.5125202262436748,NO
133,94,0.6360887568757643,NO
134,35,0.8588332645029001,NO
135,283,0.0012882770782877526,NO
136,585,0.23885486178843413,NO
137,295,0.1114169100840542,NO
138,355,0.04821684509518489,NO
139,102,0.13117491316083035,NO
140,226,0.0920193712750205,NO
141,153,0.9283522322565597,NO
142,378,0.021616994079786987,NO
143,80,0.05446810550874382,NO
144,268,0.05466280775806991,NO
145,221,0.01882275486423816,NO
146,71,0.9972108480939833,NO
147,952,0.11119176891366138,NO
148,230,3.798258137344131E-4,NO
149,36,0.9280993734599634,NO
150,32,0.8761178316113973,NO
151,359,0.011846430458977101,NO
152,64,0.07607603457324259,NO
153,208,9.659993066803557E-4,NO
154,408,0.0742258980343335,NO
155,462,5.2514911352809226E-8,NO
156,340,1.84891904164448E-4,NO
157,100,0.13951809495031048,NO
158,342,8.363364035084389E-5,NO
159,178,0.02371888267826541,NO
160,148,0.06867211329448296,NO
161,88,0.28619220710044246,NO
162,325,0.03004085040353083,NO
163,65,0.060061238724823,NO
164,59,0.7624762107257244,NO
165,131,0.10926053120905053,NO
166,648,1.44704914130377E-15,NO
167,43,0.3209323811432795,NO
168,114,0.7550695215448578,NO
169,113,0.29035384591480784,NO
170,309,5.8092521200403405E-5,NO
171,389,1.191222412442671E-6,NO
172,273,3.2977064208570536E-4,NO
173,69,0.8148325449596182,NO
174,418,1.0637080413111141E-67,NO
175,230,4.8027971461027077E-4,NO
176,59,0.827448982097605,NO
177,99,0.5607161265754892,NO
178,762,5.0040504940556E-11,NO
179,558,1.0119124301330912E-8,NO
180,258,0.09227370063621015,NO
181,49,0.9976023952286158,NO
182,551,0.005945665251370865,NO
183,243,0.2605904203762286,NO
184,402,0.0340951531722335,NO
185,259,0.2605904203762286,NO
186,1038,0.9323608151847155,NO
187,109,0.07198685960766271,NO
188,100,0.3151874070724151,NO
189,185,0.26364123235188824,NO
190,118,0.29035384591480784,NO
191,67,0.3151874070724151,NO
192,74,0.3151874070724151,YES
193,153,0.08094659958718005,NO
194,120,0.9968635938317966,NO
195,64,0.5469305023912975,NO
196,56,0.6672793714671108,NO
197,65,0.12980811274172893,NO
198,55,0.6560435076989346,NO
199,187,0.0323246902875688,NO
200,617,6.2863871739669324E-12,NO
201,147,0.23713948530768786,NO
202,96,0.041779511387128286,NO
203,52,0.8953102688397409,NO
204,72,0.9972108480939833,NO
205,42,0.9976023952286158,NO
206,48,0.9976023952286158,NO
207,89,0.7903180880536272,NO
208,380,0.406044078613395,NO
209,138,0.8473125431985856,NO
210,142,0.6602636372034046,NO
211,191,0.8292348870452455,NO
212,46,0.9976023952286158,NO
213,165,0.9965906536937568,NO
214,171,0.814908274174583,NO
215,56,0.7646342205827213,NO
216,179,0.3593527781350347,NO
217,74,0.9972108480939833,NO
218,36,0.9976023952286158,NO
219,37,0.9976023952286158,NO
220,34,0.8721918486001982,NO
221,34,0.8117074046956465,NO
222,38,0.9976023952286158,NO
223,39,0.9976023952286158,NO
224,156,0.008596177978355414,NO
225,84,0.5157486223542659,NO
226,117,0.17332484128327164,NO
227,94,0.695858550655714,NO
228,71,0.42071197804536065,NO
229,183,0.011027810840319612,NO
230,85,0.3773655237946458,NO
231,183,0.0668597270377805,NO
232,70,0.5822690162548414,NO
233,54,0.6010187718901786,NO
234,160,0.016287181826548185,NO
235,125,0.0030575341978301292,NO
236,151,0.041418491429923446,NO
237,421,0.002733126835329984,NO
238,219,0.004202425875770481,NO
239,50,0.6010187718901786,NO
240,42,0.5237556144001073,NO
241,624,1.7338538392352594E-16,NO
242,377,1.6986386497509974E-5,NO
243,383,1.2328690496147483E-6,NO
244,72,0.9972108480939833,NO
245,92,0.24251844824009625,NO
246,284,4.722084946608512E-4,NO
247,371,5.946048224090402E-12,NO
248,47,0.6211954206294568,NO
249,108,0.8616627410728032,NO
250,111,0.9968635938317966,NO
251,319,3.5670443116872036E-4,NO
252,129,1.6228502729229214E-6,NO
253,49,0.7082859544599249,NO
254,358,8.457280098432477E-5,NO
255,277,5.651959733779316E-6,NO
256,49,0.7412881345115145,NO
257,89,0.2691600653213621,NO
258,41,0.9976023952286158,NO
259,66,0.9972108480939833,NO
260,63,0.9972108480939833,NO
261,24,0.8762519344155355,NO
262,50,0.9976023952286158,NO
263,72,0.6456707044804233,NO
264,47,0.7857328590268714,NO
265,47,0.9976023952286158,NO
266,183,0.9964173884623524,NO
267,49,0.9976023952286158,NO
268,50,0.9976023952286158,NO
269,98,0.9972108480939833,NO
270,143,0.9965906536937568,NO
271,43,0.9976023952286158,NO
272,42,0.9976023952286158,NO
273,56,0.9976023952286158,NO
274,44,0.7857328590268714,NO
275,26,0.7222400676073139,NO
276,51,0.9976023952286158,NO
277,41,0.3488000511524909,NO
278,104,0.29035384591480784,NO
279,54,0.3488000511524909,NO
280,254,0.11265392343066004,NO
281,16883,1.0,NO
282,74,0.8004805582231912,NO
283,153,0.9965906536937568,NO
284,68,0.37006922197313186,NO
285,100,0.7339279280206689,NO
286,549,0.06294460074209642,NO
287,437,0.9279083116556327,NO
288,1033,0.9755679767576275,NO
289,101,0.9112757456397457,NO
290,331,0.8087884735874762,NO
291,123,0.22176070296840694,NO
292,106,0.8473125431985856,NO
293,106,0.8473125431985856,NO
294,93,0.8619242432706888,NO
295,101,0.9968635938317966,NO
296,38,0.9182059364079841,NO
297,584,0.003701539898108197,YES
298,32,0.9976023952286158,NO
299,111,0.9968635938317966,NO
300,35,0.9976023952286158,NO
301,90,0.9406824896010976,NO
302,27,0.9976023952286158,NO
303,28,0.9976023952286158,NO
304,92,0.5751578715615984,NO
305,885,0.046653558478445906,NO
306,67,0.9972108480939833,NO
307,29,0.9976023952286158,NO
308,105,0.37202177672750303,NO
309,72,0.9972108480939833,NO
310,37,0.9976023952286158,NO
311,47,0.9182059364079841,NO
312,31,0.9976023952286158,NO
313,90,0.821327618015311,NO
314,223,0.07433491888911924,NO
315,214,0.015150794749887371,NO
316,107,0.5318939676819556,NO
317,37,0.9976023952286158,NO
318,27,0.9976023952286158,NO
319,48,0.9976023952286158,NO
320,166,0.13620619284594482,NO
321,213,0.04509885916996148,NO
322,866,0.6370721332515219,NO
323,159,0.2167270079664781,NO
324,100,0.6157819202042999,NO
325,96,0.5487235154210547,NO
326,841,3.369927697469442E-14,NO
327,525,0.07838527042062224,NO
328,83,0.9406824896010976,NO
329,63,0.9972108480939833,NO
330,76,0.9972108480939833,NO
331,202,0.8431562602660329,NO
