Id,Size,Prob,NormProb,Actual
88,34,0.66083336,0.019436274,false
221,34,0.66083336,0.019436274,false
222,34,0.66083336,0.019436274,false
135,35,0.6483333,0.01852381,false
395,35,0.6483333,0.01852381,false
297,38,0.62833333,0.016535088,false
89,33,0.4905,0.014863636,false
151,32,0.4305,0.013453125,false
346,64,0.8275,0.012929687,false
198,65,0.8,0.012307692,false
110,56,0.65833336,0.011755953,false
118,77,0.86,0.011168831,false
223,38,0.41469046,0.010912907,false
130,43,0.45133334,0.010496124,false
246,92,0.94,0.010217391,false
134,94,0.94,0.01,false
258,89,0.89,0.01,false
132,62,0.6075,0.009798387,false
434,62,0.6075,0.009798387,false
264,72,0.659,0.0091527775,false
229,71,0.63,0.008873239,false
30,87,0.77,0.0088505745,false
71,92,0.81,0.008804347,false
162,88,0.77,0.00875,false
199,55,0.4712143,0.0085675325,false
80,69,0.59,0.008550725,false
204,52,0.43004763,0.008270146,false
411,84,0.66,0.007857143,false
359,83,0.64,0.0077108433,false
178,99,0.75,0.007575758,false
367,75,0.56666666,0.0075555556,false
370,134,1.0,0.0074626864,false
144,80,0.59,0.007375,false
50,82,0.6,0.007317073,false
158,100,0.73,0.0073,false
73,93,0.67,0.007204301,false
87,84,0.6,0.007142857,false
226,84,0.6,0.007142857,false
109,136,0.97,0.007132353,false
164,65,0.46285716,0.007120879,false
208,89,0.63,0.007078652,false
46,90,0.61,0.006777778,false
314,90,0.61,0.006777778,false
29,62,0.42,0.0067741936,false
168,43,0.291,0.006767442,false
233,70,0.465,0.006642857,false
49,79,0.52,0.0065822783,false
93,140,0.92,0.0065714284,false
90,104,0.6816667,0.006554487,false
197,56,0.365,0.0065178573,false
309,105,0.68333334,0.0065079364,false
324,159,0.99,0.0062264153,false
285,68,0.42157143,0.0061995797,false
61,106,0.65,0.0061320756,false
336,101,0.61333334,0.0060726074,false
77,109,0.6433333,0.005902141,false
253,129,0.76,0.005891473,false
188,109,0.6333333,0.0058103977,false
422,86,0.49,0.0056976746,false
396,103,0.58,0.005631068,false
189,100,0.549,0.00549,false
85,79,0.43,0.005443038,false
317,107,0.58,0.005420561,false
82,94,0.49661112,0.005283097,false
341,59,0.31,0.0052542374,false
296,101,0.53,0.005247525,false
62,109,0.57,0.0052293576,false
192,67,0.35,0.0052238805,false
115,92,0.47766668,0.005192029,false
293,106,0.5466667,0.0051572328,false
294,106,0.5466667,0.0051572328,false
6,163,0.84,0.0051533743,false
235,160,0.82,0.005125,false
48,137,0.7,0.005109489,false
38,106,0.53833336,0.0050786166,false
160,178,0.9,0.0050561796,false
120,88,0.44,0.005,false
374,162,0.81,0.005,false
404,178,0.88,0.00494382,false
305,92,0.45,0.0048913043,false
290,101,0.48,0.0047524753,false
217,179,0.85,0.0047486033,false
419,137,0.65,0.0047445255,false
333,155,0.73,0.0047096773,false
68,89,0.41,0.0046067415,false
55,189,0.865,0.0045767194,false
174,69,0.31,0.0044927537,false
225,156,0.7,0.0044871797,false
279,104,0.46233332,0.004445513,false
202,147,0.65,0.0044217687,false
406,36,0.15833333,0.004398148,false
407,36,0.15833333,0.004398148,false
408,36,0.15833333,0.004398148,false
124,140,0.61,0.004357143,false
94,154,0.67,0.004350649,false
114,148,0.6418333,0.0043367115,false
410,79,0.33,0.004177215,false
200,187,0.7808333,0.004175579,false
70,153,0.63,0.004117647,false
401,231,0.945,0.004090909,true
239,219,0.895,0.004086758,false
176,230,0.9216667,0.0040072463,false
399,90,0.36,0.004,false
295,93,0.3615,0.003887097,false
51,147,0.57,0.003877551,false
369,200,0.76,0.0038,false
74,244,0.91,0.0037295083,false
33,163,0.605,0.0037116564,false
228,94,0.3475,0.0036968086,false
22,188,0.69,0.0036702128,false
398,139,0.51,0.0036690647,false
99,91,0.32833335,0.0036080587,false
76,250,0.895,0.00358,false
146,221,0.7816667,0.0035369534,false
315,223,0.785,0.0035201793,false
131,243,0.855,0.0035185185,false
332,202,0.71,0.0035148514,false
161,148,0.52,0.0035135136,false
281,254,0.89,0.003503937,false
153,64,0.2227161,0.003479939,false
196,64,0.2227161,0.003479939,false
391,197,0.68,0.0034517767,false
24,158,0.545,0.0034493671,false
108,273,0.94,0.0034432234,false
145,268,0.91,0.0033955225,false
232,183,0.62083334,0.0033925318,false
149,230,0.78,0.0033913043,false
64,236,0.7966667,0.0033757063,false
429,55,0.185,0.0033636363,false
111,74,0.2482381,0.003354569,false
