Id,Size,Prob,NormProb,Actual
230,25,0.83,0.0332,false
269,26,0.83,0.031923078,false
336,27,0.83,0.030740742,false
285,28,0.83,0.029642858,false
345,29,0.83,0.02862069,false
317,35,0.9,0.025714286,false
218,33,0.84,0.025454545,false
282,33,0.84,0.025454545,false
287,36,0.9,0.025,false
309,37,0.9,0.024324324,false
271,38,0.78,0.020526316,false
313,38,0.78,0.020526316,false
237,39,0.78,0.02,false
349,40,0.78,0.0195,false
435,68,1.0,0.014705882,false
80,69,1.0,0.014492754,false
178,69,1.0,0.014492754,true
92,70,0.91,0.013,false
383,70,0.91,0.013,false
503,70,0.91,0.013,false
305,78,0.98,0.012564102,false
308,79,0.98,0.012405063,false
344,82,0.95,0.011585366,false
247,84,0.95,0.011309524,false
254,84,0.95,0.011309524,false
343,86,0.91,0.010581396,false
270,87,0.91,0.01045977,false
347,87,0.91,0.01045977,false
107,47,0.48,0.010212766,false
302,88,0.86,0.009772727,false
293,91,0.83,0.009120879,false
530,58,0.5,0.00862069,false
283,95,0.8,0.008421052,false
350,95,0.8,0.008421052,false
268,96,0.8,0.008333334,false
297,98,0.81,0.008265306,false
102,84,0.6,0.007142857,false
324,145,1.0,0.0068965517,false
299,77,0.51,0.0066233766,false
233,101,0.62,0.006138614,false
279,101,0.62,0.006138614,false
150,71,0.43,0.006056338,false
379,71,0.43,0.006056338,false
211,104,0.58,0.005576923,false
225,135,0.73,0.0054074074,false
295,138,0.73,0.005289855,false
303,139,0.73,0.005251799,false
209,77,0.4,0.005194805,false
261,77,0.4,0.005194805,false
348,77,0.4,0.005194805,false
174,102,0.5,0.004901961,false
582,64,0.31,0.00484375,false
291,145,0.7,0.004827586,false
509,86,0.39,0.004534884,false
217,106,0.47,0.004433962,false
277,107,0.47,0.0043925233,false
338,107,0.47,0.0043925233,false
137,97,0.42,0.004329897,false
260,109,0.47,0.0043119267,false
246,117,0.5,0.0042735045,false
248,226,0.96,0.0042477874,false
57,86,0.36,0.0041860463,false
331,119,0.49,0.004117647,false
212,115,0.47,0.0040869564,false
342,120,0.49,0.0040833335,false
265,148,0.6,0.004054054,false
284,116,0.47,0.004051724,false
316,116,0.47,0.004051724,false
304,125,0.49,0.00392,false
292,151,0.59,0.0039072847,false
264,127,0.49,0.0038582678,false
298,127,0.49,0.0038582678,false
294,129,0.49,0.0037984496,false
318,129,0.49,0.0037984496,false
251,153,0.58,0.0037908496,false
192,108,0.39,0.003611111,false
267,157,0.54,0.0034394905,false
339,157,0.54,0.0034394905,false
341,161,0.54,0.0033540372,false
227,163,0.54,0.0033128834,false
445,94,0.31,0.0032978724,false
243,164,0.54,0.0032926828,false
289,164,0.54,0.0032926828,false
258,165,0.54,0.0032727274,false
223,168,0.54,0.0032142857,false
266,169,0.54,0.0031952662,false
300,171,0.54,0.0031578948,false
440,104,0.31,0.0029807691,false
446,101,0.29,0.002871287,false
528,88,0.25,0.0028409092,false
360,141,0.4,0.0028368793,false
286,46,0.13,0.002826087,false
353,46,0.13,0.002826087,false
165,43,0.12,0.0027906976,false
355,72,0.19,0.0026388888,false
395,72,0.19,0.0026388888,false
414,72,0.19,0.0026388888,false
460,72,0.19,0.0026388888,false
278,174,0.45,0.002586207,false
280,176,0.45,0.002556818,false
216,179,0.45,0.0025139665,false
231,180,0.45,0.0025,false
310,181,0.45,0.0024861877,false
228,184,0.45,0.0024456521,false
235,187,0.44,0.002352941,false
210,69,0.16,0.0023188405,false
536,117,0.27,0.0023076923,false
328,192,0.44,0.0022916666,false
290,193,0.44,0.0022797927,false
352,376,0.83,0.0022074468,false
273,380,0.83,0.0021842106,false
263,204,0.44,0.0021568628,false
262,75,0.16,0.0021333334,false
320,71,0.15,0.0021126762,false
332,71,0.15,0.0021126762,false
249,76,0.16,0.002105263,false
257,76,0.16,0.002105263,false
321,62,0.13,0.0020967743,false
322,72,0.15,0.0020833334,false
354,399,0.83,0.0020802005,false
307,63,0.13,0.002063492,false
239,73,0.15,0.0020547945,false
253,73,0.15,0.0020547945,false
323,73,0.15,0.0020547945,false
232,64,0.13,0.00203125,false
242,64,0.13,0.00203125,false
245,74,0.15,0.002027027,false
325,413,0.83,0.0020096852,false
240,65,0.13,0.002,false
213,421,0.83,0.0019714965,false
337,66,0.13,0.001969697,false
275,234,0.44,0.0018803419,false
222,444,0.83,0.0018693694,false
314,237,0.44,0.0018565401,false
276,239,0.44,0.0018410042,false
334,241,0.44,0.0018257261,false
97,189,0.34,0.0017989418,false
208,476,0.84,0.0017647059,false
98,194,0.34,0.0017525774,false
17,390,0.68,0.0017435898,false
54,495,0.86,0.0017373738,true
552,415,0.72,0.0017349398,false
259,504,0.84,0.0016666667,false
234,512,0.84,0.001640625,false
388,422,0.69,0.0016350711,false
244,624,1.0,0.0016025641,false
542,438,0.7,0.0015981735,false
109,510,0.8,0.0015686274,true
16,369,0.57,0.0015447155,false
4,138,0.21,0.0015217392,false
281,212,0.32,0.001509434,false
301,212,0.32,0.001509434,false
329,628,0.94,0.0014968152,false
327,214,0.32,0.0014953271,false
114,74,0.11,0.0014864865,false
197,74,0.11,0.0014864865,false
296,222,0.33,0.0014864865,false
368,74,0.11,0.0014864865,false
433,74,0.11,0.0014864865,false
485,74,0.11,0.0014864865,false
508,74,0.11,0.0014864865,false
510,74,0.11,0.0014864865,false
512,74,0.11,0.0014864865,false
3,460,0.68,0.0014782608,true
517,75,0.11,0.0014666667,false
481,76,0.11,0.0014473684,false
479,83,0.12,0.0014457832,false
219,657,0.94,0.0014307458,false
81,77,0.11,0.0014285714,false
121,77,0.11,0.0014285714,false
494,77,0.11,0.0014285714,false
351,337,0.48,0.0014243324,false
274,339,0.48,0.0014159292,false
333,340,0.48,0.0014117646,false
587,376,0.53,0.0014095744,false
101,356,0.5,0.0014044944,true
252,250,0.35,0.0014,false
489,491,0.68,0.0013849287,false
30,87,0.12,0.0013793104,false
330,256,0.35,0.0013671875,false
123,88,0.12,0.0013636363,false
166,88,0.12,0.0013636363,true
288,692,0.94,0.0013583815,false
361,148,0.2,0.0013513514,false
68,89,0.12,0.0013483146,false
346,267,0.36,0.0013483146,false
358,89,0.12,0.0013483146,false
408,89,0.12,0.0013483146,false
238,261,0.35,0.0013409961,false
319,261,0.35,0.0013409961,false
448,628,0.84,0.0013375796,false
164,148,0.19,0.0012837838,false
