ID,Size,Predicted,Actual
297,38,0.99,NO
339,38,0.99,NO
399,38,0.99,NO
473,38,0.99,NO
146,39,0.99,NO
263,39,0.99,NO
400,39,0.99,NO
335,37,0.86,NO
396,37,0.86,NO
487,37,0.86,NO
494,37,0.86,NO
157,39,0.58,NO
46,27,0.3,NO
559,103,1.0,NO
572,103,1.0,NO
97,104,1.0,NO
237,104,1.0,NO
455,104,1.0,NO
466,104,1.0,NO
485,105,1.0,NO
323,98,0.93,NO
446,98,0.93,NO
561,98,0.93,NO
243,106,1.0,NO
469,106,1.0,NO
207,99,0.93,NO
518,99,0.93,NO
303,107,1.0,NO
364,107,1.0,NO
493,107,1.0,NO
217,108,1.0,NO
426,108,1.0,NO
552,108,1.0,NO
232,96,0.85,NO
185,100,0.83,YES
218,100,0.83,NO
462,100,0.83,NO
501,100,0.83,NO
124,101,0.83,NO
259,101,0.83,NO
305,101,0.83,NO
472,101,0.83,NO
512,101,0.83,NO
163,102,0.83,NO
199,102,0.83,NO
190,89,0.66,NO
404,94,0.66,NO
471,94,0.66,NO
615,94,0.66,NO
309,95,0.66,NO
376,95,0.66,NO
294,96,0.66,NO
502,96,0.66,NO
156,97,0.66,NO
319,91,0.53,NO
78,92,0.53,NO
134,92,0.53,NO
422,92,0.53,NO
481,92,0.53,NO
222,99,0.57,NO
80,93,0.53,NO
197,59,0.33,NO
108,61,0.34,NO
15,40,0.22,NO
375,40,0.22,NO
89,97,0.53,NO
230,158,0.8465,NO
144,160,0.8515,YES
223,169,0.85333335,NO
105,60,0.3,NO
106,60,0.3,NO
133,148,0.71831745,NO
188,148,0.71831745,NO
291,148,0.71831745,NO
387,148,0.71831745,NO
48,94,0.44,NO
63,195,0.87,YES
175,197,0.87,YES
24,198,0.87,NO
0,215,0.92,NO
203,108,0.44,NO
51,90,0.36,NO
77,166,0.6616667,NO
39,106,0.42,NO
67,106,0.42,NO
528,182,0.7,NO
113,185,0.7,NO
11,193,0.73,NO
