ID,Size,Predicted,Actual
264,28,0.79,NO
32,31,0.83,NO
53,41,0.84,NO
266,40,0.815,NO
120,43,0.84,NO
8,45,0.84,NO
271,45,0.8,NO
36,50,0.85,NO
12,55,0.93,NO
268,49,0.81,NO
270,55,0.9,NO
45,58,0.94,NO
263,50,0.81,NO
254,53,0.85,NO
147,39,0.595,NO
262,63,0.85,NO
269,63,0.85,NO
26,68,0.89,NO
350,46,0.6,NO
417,46,0.6,NO
427,46,0.6,NO
81,47,0.6,NO
134,47,0.6,NO
161,47,0.6,NO
375,47,0.6,NO
463,47,0.6,NO
479,47,0.6,NO
480,47,0.6,NO
526,47,0.6,NO
652,47,0.6,NO
421,48,0.61,NO
534,48,0.61,NO
575,48,0.61,NO
634,48,0.61,NO
201,71,0.89,NO
257,69,0.85,NO
258,69,0.85,NO
14,55,0.67,NO
164,73,0.88,NO
260,72,0.85,NO
261,72,0.85,NO
267,76,0.78,NO
259,77,0.78,NO
256,78,0.78,NO
18,83,0.77,NO
255,81,0.75,NO
174,84,0.77,NO
63,90,0.8,NO
523,105,0.93,NO
47,106,0.92,NO
281,106,0.92,NO
507,106,0.92,NO
508,106,0.92,NO
341,107,0.92,NO
402,107,0.92,NO
531,107,0.92,NO
265,96,0.72,NO
154,76,0.56,NO
334,87,0.63,NO
411,87,0.63,NO
151,88,0.63,NO
366,88,0.63,NO
592,88,0.63,NO
335,38,0.27002382,NO
377,38,0.27002382,NO
437,38,0.27002382,NO
511,38,0.27002382,NO
188,36,0.2500238,NO
351,36,0.2500238,NO
433,36,0.2500238,NO
568,36,0.2500238,NO
620,36,0.2500238,NO
621,36,0.2500238,NO
622,36,0.2500238,NO
158,39,0.27002382,NO
170,39,0.27002382,NO
301,39,0.27002382,NO
438,39,0.27002382,NO
373,37,0.2500238,NO
434,37,0.2500238,NO
525,37,0.2500238,NO
532,37,0.2500238,NO
20,40,0.27002382,NO
413,40,0.27002382,NO
177,102,0.66,NO
139,136,0.87,YES
131,148,0.92,YES
500,100,0.61,NO
539,100,0.61,NO
223,99,0.6,NO
238,99,0.6,NO
556,99,0.6,NO
62,152,0.92,NO
219,108,0.65,NO
233,108,0.65,NO
464,108,0.65,NO
590,108,0.65,NO
249,111,0.66,NO
135,101,0.58,NO
297,101,0.58,NO
343,101,0.58,NO
510,101,0.58,NO
550,101,0.58,NO
76,167,0.94,YES
538,159,0.89,NO
322,165,0.92,NO
428,165,0.92,NO
156,160,0.89,YES
449,160,0.89,NO
547,155,0.86,NO
405,161,0.89,NO
110,156,0.86,NO
439,156,0.86,NO
588,162,0.89,NO
9,157,0.86,NO
331,157,0.86,NO
403,157,0.86,NO
5,163,0.89,NO
291,163,0.89,NO
247,158,0.86,NO
307,164,0.89,NO
353,164,0.89,NO
35,175,0.94,NO
506,123,0.65,NO
586,123,0.65,NO
368,125,0.65,NO
582,125,0.65,NO
75,126,0.65,YES
328,127,0.65,NO
362,127,0.65,NO
148,182,0.91,NO
112,152,0.75,NO
157,152,0.75,NO
315,153,0.75,NO
498,153,0.75,NO
155,132,0.64,NO
239,170,0.82,NO
3,138,0.66,NO
144,148,0.7,NO
13,204,0.96,NO
91,204,0.94,YES
69,205,0.94,YES
179,153,0.7,NO
44,147,0.65,NO
65,147,0.65,NO
41,224,0.99,NO
86,166,0.73,NO
204,148,0.65,NO
329,148,0.65,NO
425,148,0.65,NO
535,167,0.73,NO
287,168,0.73,NO
330,169,0.73,NO
49,151,0.65,NO
356,151,0.65,NO
451,151,0.65,NO
235,186,0.8,NO
630,170,0.73,NO
364,171,0.73,NO
429,171,0.73,NO
240,120,0.51,NO
107,172,0.73,NO
