ID,Size,Predicted,Actual
297,38,0.63,NO
339,38,0.63,NO
399,38,0.63,NO
473,38,0.63,NO
461,68,0.78,NO
87,69,0.78,NO
236,69,0.78,NO
232,96,0.8561905,NO
485,105,0.9033333,NO
108,61,0.52,NO
190,89,0.74,NO
89,97,0.765,NO
54,79,0.61,NO
92,79,0.61,NO
334,79,0.61,NO
586,79,0.61,NO
505,83,0.64,NO
139,88,0.6685,NO
328,88,0.6685,NO
554,88,0.6685,NO
80,93,0.6492738,NO
404,94,0.6492738,NO
471,94,0.6492738,NO
615,94,0.6492738,NO
294,96,0.6617738,NO
502,96,0.6617738,NO
309,95,0.6492738,NO
376,95,0.6492738,NO
383,48,0.31414285,NO
496,48,0.31414285,NO
537,48,0.31414285,NO
596,48,0.31414285,NO
105,60,0.39,NO
106,60,0.39,NO
124,101,0.6483333,NO
259,101,0.6483333,NO
305,101,0.6483333,NO
472,101,0.6483333,NO
512,101,0.6483333,NO
144,160,1.0,YES
72,47,0.28,NO
104,31,0.18,NO
230,158,0.87,NO
238,115,0.63,NO
103,152,0.82,NO
48,94,0.4975,NO
222,99,0.51858336,NO
50,90,0.46928573,NO
478,90,0.46928573,NO
490,90,0.46928573,NO
575,90,0.46928573,NO
66,126,0.6,YES
569,196,0.93,NO
567,206,0.96,NO
60,189,0.88,YES
11,193,0.88,NO
114,194,0.87,NO
330,125,0.56,NO
544,125,0.56,NO
133,148,0.65775,NO
188,148,0.65775,NO
291,148,0.65775,NO
387,148,0.65775,NO
30,87,0.386,NO
296,87,0.386,NO
373,87,0.386,NO
354,192,0.85,NO
156,97,0.4290238,NO
316,193,0.85,NO
323,98,0.4310238,NO
446,98,0.4310238,NO
561,98,0.4310238,NO
580,178,0.78,NO
180,208,0.9,YES
175,197,0.85,YES
173,230,0.99,NO
24,198,0.85,NO
243,106,0.439,NO
469,106,0.439,NO
411,160,0.66,NO
261,187,0.77,NO
367,161,0.66,NO
500,159,0.65,NO
49,191,0.78,NO
388,191,0.78,NO
550,162,0.66,NO
41,151,0.6119935,NO
545,200,0.81,NO
319,91,0.3645238,NO
508,202,0.8,NO
160,71,0.28,YES
306,176,0.69,NO
61,167,0.65,YES
78,92,0.35785714,NO
134,92,0.35785714,NO
422,92,0.35785714,NO
481,92,0.35785714,NO
205,230,0.89,NO
97,104,0.395,NO
237,104,0.395,NO
455,104,0.395,NO
466,104,0.395,NO
223,169,0.64,NO
301,234,0.88,NO
289,204,0.76,NO
303,107,0.389,NO
364,107,0.389,NO
493,107,0.389,NO
113,185,0.67,NO
