ID,Size,Predicted,Actual
0,215,0.11,NO
1,273,0.73,YES
2,460,0.75,YES
3,138,0.82,NO
4,358,0.68,NO
5,1248,0.34,YES
6,51,0.01,NO
7,157,0.75,NO
8,31,0.0,NO
9,981,0.48,YES
10,180,0.13,NO
11,262,0.71,NO
12,553,0.73,YES
13,40,0.0,NO
14,369,0.33,NO
15,390,0.74,NO
16,51,0.01,NO
17,577,0.75,YES
18,32,0.0,NO
19,66,0.245,NO
20,188,0.15,YES
21,582,0.75,YES
22,160,0.75,YES
23,50,0.0,NO
24,27,0.0,NO
25,923,0.18,YES
26,60,0.028833333333333336,NO
27,62,0.22045238095238098,NO
28,87,0.14166666666666666,NO
29,52,0.04,NO
30,268,0.15,YES
31,163,0.739090909090909,NO
32,109,0.42,NO
33,147,0.31832034632034634,NO
34,58,0.01,NO
35,44,0.8278095238095239,NO
36,106,0.9,YES
37,139,0.03571428571428572,NO
38,326,0.65,YES
39,648,0.7,YES
40,792,0.27,YES
41,319,0.29,YES
42,55,0.0,NO
43,191,0.15,NO
44,90,0.8124642857142856,NO
45,273,0.15,YES
46,137,0.03571428571428572,NO
47,79,0.99,NO
48,82,0.8985,NO
49,147,0.31832034632034634,NO
50,422,0.9,YES
51,979,0.73,YES
52,495,0.2,YES
53,189,0.15,YES
54,167,0.41,YES
55,86,0.8,NO
56,182,0.13,YES
57,361,0.52,YES
58,126,0.06,YES
59,106,0.9,NO
60,109,0.42,NO
61,85,0.1716666666666667,NO
62,236,0.17,NO
63,315,0.71,YES
64,695,0.24,YES
65,27,0.0,NO
66,89,0.6033928571428572,NO
67,301,0.72,YES
68,153,0.49209776334776334,YES
69,92,0.9187142857142857,NO
70,466,0.51,YES
71,93,0.7994047619047621,NO
72,244,0.15,NO
73,192,0.15,YES
74,252,0.7,NO
75,109,0.42,NO
76,601,0.74,YES
77,565,0.73,YES
78,69,0.93,NO
79,77,0.39,NO
80,94,0.801404761904762,YES
81,337,0.62,NO
82,214,0.11,NO
83,79,0.99,NO
84,25,0.0,NO
85,84,0.19166666666666668,NO
86,34,0.006666666666666666,NO
87,33,0.0,NO
88,104,1.0,NO
89,172,0.15,NO
90,70,0.61,NO
91,140,0.10007034632034634,NO
92,156,0.75,NO
93,248,0.14,NO
94,277,0.73,YES
95,189,0.64,NO
96,194,0.64,NO
97,346,0.71,NO
98,304,0.81,NO
99,356,0.26,YES
100,84,0.73,NO
101,53,0.01,NO
102,132,0.02571428571428571,NO
103,4088,0.71,NO
104,691,0.31,YES
105,47,0.62,NO
106,101,0.3066666666666667,NO
107,510,0.22,YES
108,328,0.41,YES
109,273,0.15,YES
