ID,Size,Predicted,Actual
45,58,0.4050238,YES
96,69,0.42329547,YES
274,69,0.42329547,NO
523,105,0.48526984,NO
139,136,0.59,NO
259,77,0.32,YES
566,182,0.65,NO
154,76,0.25,YES
335,38,0.12163615,NO
377,38,0.12163615,NO
437,38,0.12163615,NO
511,38,0.12163615,NO
256,78,0.24,NO
605,206,0.6,NO
43,83,0.23192604,YES
543,83,0.23192604,NO
255,81,0.21,YES
57,94,0.24039519,YES
442,94,0.24039519,NO
509,94,0.24039519,NO
653,94,0.24039519,NO
638,277,0.64,NO
41,224,0.51,YES
131,148,0.33166668,NO
138,275,0.59,NO
392,192,0.3979762,NO
35,175,0.35,YES
267,76,0.15,YES
588,162,0.31530952,NO
203,272,0.5287579,NO
379,273,0.5287579,NO
618,178,0.33708334,NO
151,88,0.15314117,NO
366,88,0.15314117,NO
592,88,0.15314117,NO
174,84,0.14,YES
14,55,0.09,YES
204,148,0.24081987,YES
329,148,0.24081987,NO
425,148,0.24081987,NO
101,79,0.120580986,YES
372,79,0.120580986,NO
624,79,0.120580986,NO
47,106,0.15681061,YES
281,106,0.15681061,NO
507,106,0.15681061,NO
508,106,0.15681061,NO
135,101,0.13530098,YES
297,101,0.13530098,NO
343,101,0.13530098,NO
510,101,0.13530098,NO
550,101,0.13530098,NO
147,39,0.05,YES
327,204,0.25,NO
95,565,0.69,YES
374,181,0.22,NO
421,48,0.058071744,NO
534,48,0.058071744,NO
575,48,0.058071744,NO
634,48,0.058071744,NO
251,131,0.15,YES
254,53,0.06,YES
91,204,0.23,NO
458,382,0.43,NO
225,601,0.64,YES
63,90,0.09,NO
499,68,0.0655772,NO
418,399,0.37,NO
76,167,0.15,NO
405,161,0.14352381,NO
87,92,0.07671652,YES
460,92,0.07671652,NO
519,92,0.07671652,NO
315,153,0.119384035,NO
498,153,0.119384035,NO
171,429,0.32,NO
270,55,0.04,YES
520,979,0.65,NO
62,152,0.09,YES
228,531,0.29,NO
12,55,0.03,YES
16,83,0.044833332,YES
69,205,0.11,NO
257,69,0.036119048,YES
258,69,0.036119048,YES
265,96,0.05,YES
462,371,0.17,NO
183,264,0.12,NO
13,204,0.09,YES
164,73,0.03,YES
19,867,0.34,NO
74,573,0.22,YES
541,842,0.32,NO
133,860,0.32,NO
410,267,0.09915476,NO
178,226,0.08,NO
67,1059,0.37,NO
28,566,0.19,YES
24,637,0.21,YES
11,1008,0.33,NO
320,936,0.3,NO
89,93,0.029675325,YES
193,64,0.02,YES
357,91,0.028202161,NO
189,226,0.07,NO
26,68,0.02,NO
177,102,0.03,YES
122,310,0.09,NO
243,319,0.09,YES
249,111,0.03,NO
127,335,0.09,YES
82,1118,0.29,YES
354,193,0.048333332,NO
501,550,0.13,NO
172,575,0.13,NO
