ID,Size,Predicted,Actual
217,33,0.87,NO
281,33,0.87,NO
316,35,0.82,NO
286,36,0.58,NO
270,38,0.6,NO
312,38,0.6,NO
235,56,0.77,NO
311,56,0.77,NO
72,93,1.0,YES
45,90,0.94,YES
451,90,0.94,NO
463,90,0.94,NO
548,90,0.94,NO
248,76,0.75,NO
256,76,0.75,NO
208,77,0.75,NO
260,77,0.75,NO
347,77,0.75,NO
142,102,0.98,NO
458,105,0.99,NO
372,38,0.35661906,NO
446,38,0.35661906,NO
37,106,0.99,YES
60,106,0.99,NO
442,106,0.99,NO
443,106,0.99,NO
466,107,0.99,NO
48,79,0.72,NO
84,79,0.72,NO
559,79,0.72,NO
282,95,0.84,NO
349,95,0.84,NO
434,68,0.6,NO
79,69,0.6,NO
177,69,0.6,YES
267,96,0.82,NO
343,82,0.67,NO
296,98,0.78,NO
136,97,0.74,YES
581,64,0.48,NO
344,29,0.19630952,NO
307,79,0.53,NO
236,39,0.26,NO
292,91,0.59,NO
478,83,0.5314762,NO
224,135,0.86,NO
49,82,0.51980954,NO
101,84,0.53,YES
304,78,0.49,NO
386,151,0.903,NO
485,101,0.5941667,NO
160,100,0.58416665,YES
192,100,0.58416665,NO
435,100,0.58416665,NO
474,100,0.58416665,NO
294,138,0.8,NO
527,88,0.51,NO
348,40,0.23,NO
302,139,0.79,NO
473,159,0.88,NO
116,148,0.7548676,NO
290,145,0.73,NO
359,141,0.67,NO
261,75,0.35,NO
239,65,0.3,NO
384,160,0.72,NO
323,145,0.65,NO
127,152,0.673,NO
205,96,0.42,NO
475,96,0.42,NO
374,156,0.68,NO
209,69,0.3,NO
264,148,0.64,NO
342,86,0.37,NO
269,87,0.37,NO
346,87,0.37,NO
56,86,0.36,NO
70,92,0.3772024,YES
117,92,0.3772024,NO
395,92,0.3772024,NO
454,92,0.3772024,NO
336,66,0.27,NO
523,162,0.66,NO
301,88,0.35,NO
238,73,0.29,NO
252,73,0.29,NO
322,73,0.29,NO
508,86,0.34,NO
246,84,0.33,NO
253,84,0.33,NO
231,64,0.24516666,NO
241,64,0.24516666,NO
331,71,0.27,NO
3,138,0.52,NO
89,104,0.39,NO
428,104,0.39,NO
319,71,0.26,NO
327,192,0.7,NO
289,193,0.7,NO
234,187,0.66,NO
67,89,0.31333333,NO
357,89,0.31333333,NO
407,89,0.31333333,NO
518,200,0.7,NO
481,202,0.7,NO
156,208,0.71,YES
227,184,0.61,NO
529,58,0.19,NO
321,72,0.23,NO
444,94,0.3,NO
549,298,0.92,NO
275,239,0.73,NO
333,241,0.73,NO
138,286,0.86,YES
81,94,0.28258333,YES
377,94,0.28258333,NO
588,94,0.28258333,NO
146,80,0.24,NO
313,237,0.71,NO
308,37,0.11,NO
522,266,0.79,NO
164,43,0.1275,NO
244,74,0.21916667,NO
251,250,0.74,NO
274,234,0.69,NO
291,151,0.44,NO
329,256,0.74,NO
97,194,0.56,NO
173,102,0.29,NO
237,261,0.74,NO
318,261,0.74,NO
151,230,0.65,YES
179,230,0.65,NO
106,47,0.13,NO
63,236,0.64,NO
271,281,0.76,NO
107,101,0.2725,NO
345,267,0.7,NO
250,153,0.4,NO
314,273,0.71,NO
219,295,0.76,NO
133,243,0.61,YES
187,243,0.61,NO
339,300,0.75,NO
298,77,0.19,NO
55,167,0.41,NO
247,226,0.54,NO
96,189,0.45,YES
204,148,0.35,YES
360,148,0.35,NO
23,160,0.37,YES
8,157,0.34,NO
163,148,0.30510044,NO
93,156,0.31,NO
295,222,0.43,NO
306,63,0.12,NO
470,167,0.31,NO
191,108,0.2,NO
202,223,0.4,NO
445,101,0.18,NO
263,127,0.22,NO
297,127,0.22,NO
293,129,0.22,NO
317,129,0.22,NO
526,354,0.59,NO
213,61,0.1,NO
254,61,0.1,NO
542,196,0.31,YES
257,165,0.26,NO
222,168,0.26,NO
326,214,0.33,NO
585,357,0.54,NO
280,212,0.32,NO
300,212,0.32,NO
309,181,0.27,NO
5,163,0.24,NO
32,163,0.24,NO
325,322,0.47,NO
567,288,0.42,NO
249,323,0.47,NO
230,180,0.26,NO
397,371,0.53,NO
392,377,0.53,NO
176,321,0.45,NO
561,365,0.51,NO
358,380,0.53,NO
393,383,0.53,YES
262,204,0.28,NO
240,329,0.45,NO
175,389,0.53,YES
273,339,0.46,NO
226,163,0.22,NO
299,171,0.23,NO
573,276,0.37,YES
350,337,0.45,NO
141,355,0.47,NO
513,355,0.47,NO
188,402,0.53,YES
404,358,0.47,NO
572,359,0.47,YES
340,161,0.21,NO
98,346,0.45,NO
157,408,0.53,YES
482,155,0.2,NO
242,164,0.21,NO
288,164,0.21,NO
266,157,0.2,NO
338,157,0.2,NO
178,418,0.53,NO
332,340,0.43,NO
277,174,0.22,NO
51,422,0.53,YES
279,176,0.22,NO
284,28,0.035,NO
265,169,0.21,NO
215,179,0.22,NO
471,213,0.26,NO
83,214,0.26,NO
465,214,0.26,NO
579,214,0.26,NO
437,437,0.53,NO
0,215,0.26,NO
396,282,0.34,NO
447,628,0.75,NO
1,273,0.32,YES
586,376,0.44,NO
65,695,0.81,YES
95,277,0.32,YES
158,462,0.53,YES
122,88,0.1,NO
165,88,0.1,YES
109,328,0.37,YES
221,444,0.5,NO
207,476,0.53,NO
258,504,0.55,NO
351,376,0.41,NO
272,380,0.41,NO
233,512,0.55,NO
243,624,0.66,NO
464,223,0.23,NO
353,399,0.41,NO
58,361,0.37,YES
143,226,0.23,NO
530,308,0.31,NO
114,359,0.36,YES
324,413,0.41,NO
212,421,0.41,NO
105,691,0.67,YES
439,104,0.1,NO
73,244,0.23,NO
94,248,0.23,NO
455,956,0.85,YES
532,103,0.09,NO
545,103,0.09,NO
328,628,0.53,NO
69,153,0.12833333,YES
144,153,0.12833333,NO
197,153,0.12833333,NO
433,153,0.12833333,NO
68,301,0.25,YES
218,657,0.53,NO
229,25,0.02,NO
232,101,0.08,NO
278,101,0.08,NO
268,26,0.02,NO
580,252,0.19,NO
335,27,0.02,NO
26,923,0.68,NO
540,204,0.15,NO
12,262,0.18,YES
123,262,0.18,NO
145,380,0.26,NO
477,525,0.35,NO
210,104,0.0675,NO
320,62,0.04,NO
287,692,0.44,NO
223,752,0.44,NO
551,415,0.24,NO
154,420,0.24,NO
216,106,0.0575,NO
15,369,0.2,NO
71,466,0.25,YES
582,210,0.11,NO
535,117,0.06,NO
220,872,0.44,NO
75,252,0.12,YES
255,936,0.44,NO
195,67,0.03,YES
456,67,0.03,NO
41,792,0.34,YES
388,221,0.09,NO
303,125,0.05,NO
214,2009,0.8,NO
539,707,0.28,NO
108,510,0.2,YES
225,1126,0.44,NO
334,54,0.02,NO
550,243,0.09,YES
476,842,0.31,NO
541,438,0.16,NO
4,358,0.13,NO
440,332,0.12,NO
554,778,0.28,NO
276,107,0.0375,NO
337,107,0.0375,NO
29,87,0.03,NO
259,109,0.0375,NO
166,326,0.11,NO
438,1038,0.35,NO
16,390,0.13,NO
21,188,0.06,YES
148,221,0.07,NO
10,981,0.31,YES
13,553,0.17,YES
488,491,0.15,NO
161,342,0.1,YES
186,551,0.16,NO
183,558,0.16,YES
2,460,0.13,YES
100,356,0.1,YES
18,577,0.16,YES
22,582,0.16,YES
139,585,0.16,NO
6,1248,0.34,YES
77,601,0.16,YES
159,340,0.09,NO
211,115,0.03,NO
387,422,0.11,NO
203,617,0.16,NO
283,116,0.03,NO
315,116,0.03,NO
245,117,0.03,NO
391,624,0.16,NO
121,666,0.17,NO
436,550,0.14,NO
40,648,0.16,YES
170,648,0.16,NO
363,165,0.04,NO
515,804,0.19,YES
512,86,0.02,NO
571,86,0.02,NO
99,304,0.07,YES
78,565,0.13,YES
285,46,0.01,NO
352,46,0.01,NO
39,326,0.07,YES
182,762,0.16,YES
82,337,0.07,NO
181,99,0.02,NO
491,99,0.02,NO
570,801,0.16,YES
546,1207,0.24,NO
494,846,0.16,YES
399,108,0.02,NO
525,108,0.02,NO
472,867,0.16,NO
33,109,0.02,NO
61,109,0.02,YES
76,109,0.02,YES
150,952,0.16,YES
52,979,0.16,YES
64,315,0.05,YES
190,1038,0.16,YES
531,343,0.05,NO
483,1263,0.16,NO
53,495,0.06,YES
563,263,0.03,NO
419,98,0.01,NO
534,98,0.01,NO
558,303,0.03,YES
42,319,0.03,YES
401,319,0.03,NO
400,111,0.01,NO
449,111,0.01,NO
34,147,0.012916666,NO
50,147,0.012916666,YES
330,119,0.01,NO
341,120,0.01,NO
430,254,0.02,NO
184,258,0.02,NO
566,258,0.02,NO
189,259,0.02,NO
104,4088,0.16,YES
431,16883,0.16,NO
7,51,0.0,NO
9,31,0.0,NO
11,180,0.0,NO
14,40,0.0,NO
17,51,0.0,NO
19,32,0.0,NO
20,66,0.0,NO
24,50,0.0,NO
25,27,0.0,NO
27,60,0.0,NO
28,62,0.0,NO
30,52,0.0,NO
31,268,0.0,YES
35,58,0.0,NO
36,44,0.0,NO
38,139,0.0,NO
43,55,0.0,NO
44,191,0.0,NO
46,273,0.0,YES
47,137,0.0,NO
54,189,0.0,YES
57,182,0.0,YES
59,126,0.0,YES
62,85,0.0,NO
66,27,0.0,NO
74,192,0.0,YES
80,77,0.0,NO
85,25,0.0,NO
86,84,0.0,NO
87,34,0.0,NO
88,33,0.0,NO
90,172,0.0,NO
91,70,0.0,NO
92,140,0.0,NO
102,53,0.0,NO
103,132,0.0,NO
110,273,0.0,YES
111,136,0.0,YES
112,56,0.0,NO
113,74,0.0,YES
115,174,0.0,NO
118,45,0.0,NO
119,168,0.0,NO
120,77,0.0,NO
124,54,0.0,NO
125,48,0.0,YES
126,140,0.0,YES
128,39,0.0,NO
129,131,0.0,NO
130,47,0.0,NO
131,129,0.0,YES
132,43,0.0,NO
134,62,0.0,NO
135,45,0.0,NO
137,35,0.0,NO
140,295,0.0,YES
147,268,0.0,NO
149,71,0.0,NO
152,36,0.0,NO
153,32,0.0,YES
155,64,0.0,NO
162,178,0.0,YES
167,65,0.0,NO
168,59,0.0,NO
169,131,0.0,NO
171,43,0.0,NO
172,114,0.0,YES
174,309,0.0,YES
180,59,0.0,NO
185,49,0.0,NO
193,185,0.0,NO
194,118,0.0,NO
196,74,0.0,NO
198,120,0.0,NO
199,64,0.0,NO
200,56,0.0,NO
201,55,0.0,NO
206,52,0.0,NO
228,51,0.0,NO
305,50,0.0,NO
310,47,0.0,NO
354,72,0.0,NO
355,42,0.0,NO
356,48,0.0,NO
361,191,0.0,NO
362,46,0.0,NO
364,171,0.0,NO
365,56,0.0,NO
366,179,0.0,NO
367,74,0.0,NO
368,36,0.0,NO
369,37,0.0,NO
370,34,0.0,NO
371,34,0.0,NO
373,39,0.0,NO
375,84,0.0,NO
376,117,0.0,NO
378,71,0.0,NO
379,183,0.0,NO
380,85,0.0,NO
381,183,0.0,NO
382,70,0.0,NO
383,54,0.0,NO
385,125,0.0,NO
389,50,0.0,NO
390,42,0.0,NO
394,72,0.0,NO
398,47,0.0,NO
402,129,0.0,NO
403,49,0.0,NO
405,277,0.0,YES
406,49,0.0,NO
408,41,0.0,NO
409,66,0.0,NO
410,63,0.0,NO
411,24,0.0,NO
412,50,0.0,NO
413,72,0.0,NO
414,47,0.0,NO
415,47,0.0,NO
416,183,0.0,NO
417,49,0.0,NO
418,50,0.0,NO
420,143,0.0,NO
421,43,0.0,NO
422,42,0.0,NO
423,56,0.0,NO
424,44,0.0,NO
425,26,0.0,NO
426,51,0.0,NO
427,41,0.0,NO
429,54,0.0,NO
432,74,0.0,NO
441,123,0.0,NO
448,32,0.0,NO
450,35,0.0,NO
452,27,0.0,NO
453,28,0.0,NO
457,29,0.0,NO
459,72,0.0,NO
460,37,0.0,NO
461,47,0.0,NO
462,31,0.0,NO
467,37,0.0,NO
468,27,0.0,NO
469,48,0.0,NO
479,63,0.0,NO
480,76,0.0,NO
484,74,0.0,NO
486,27,0.0,NO
487,22,0.0,NO
489,62,0.0,NO
490,59,0.0,NO
