ID,Size,Predicted,Actual
414,41,0.86,NO
167,43,0.87,NO
277,41,0.76,NO
437,47,0.76,NO
163,65,0.95,NO
279,54,0.76,NO
152,64,0.85,NO
433,62,0.82,NO
132,45,0.59,NO
434,60,0.72,NO
191,67,0.76,NO
197,65,0.71,NO
48,79,0.86,NO
131,62,0.65,NO
196,56,0.58,NO
195,64,0.66,NO
192,74,0.76,NO
79,69,0.7,NO
70,92,0.92,NO
72,93,0.92,NO
143,80,0.79,NO
410,84,0.8,NO
202,96,0.83416665,NO
139,102,0.8541667,NO
187,109,0.91,NO
188,100,0.76,NO
226,117,0.86,NO
278,104,0.76,NO
235,125,0.86,NO
59,126,0.85,NO
169,113,0.76,NO
397,139,0.93,NO
157,100,0.66,NO
402,116,0.76,NO
190,118,0.76,NO
47,137,0.87,NO
161,88,0.55,NO
193,153,0.94,NO
124,152,0.895,NO
160,148,0.87,NO
133,94,0.55,NO
257,89,0.52,NO
236,151,0.86,NO
69,153,0.87,NO
245,92,0.51916665,NO
224,156,0.88,NO
234,160,0.88,NO
227,94,0.51,NO
275,26,0.14,NO
335,101,0.53,NO
229,183,0.82,NO
429,214,0.94,NO
54,189,0.83,NO
145,221,0.97,NO
168,114,0.5,NO
5,163,0.71,NO
175,230,1.0,NO
159,178,0.76,NO
400,231,0.97,YES
189,185,0.76,NO
21,188,0.76,NO
403,178,0.71,NO
75,250,0.99,NO
63,236,0.92,NO
210,142,0.54,NO
148,230,0.86,NO
233,54,0.2,NO
153,208,0.76,NO
332,155,0.55,NO
55,153,0.54,NO
73,244,0.86,NO
432,206,0.71,NO
92,140,0.48,NO
144,268,0.91,NO
423,269,0.91,NO
417,280,0.94,NO
416,258,0.86,NO
413,263,0.87,NO
120,260,0.84,NO
412,306,0.96,NO
183,243,0.76,NO
408,300,0.93,YES
170,309,0.94,NO
239,50,0.15,NO
425,308,0.92,NO
162,325,0.96,NO
185,259,0.76,NO
430,247,0.71,NO
372,204,0.58,NO
435,321,0.9,NO
427,308,0.86,NO
180,258,0.72,NO
158,342,0.95,NO
422,359,0.99,NO
156,340,0.92,NO
138,355,0.95,NO
74,192,0.51,NO
411,365,0.96,NO
380,306,0.8,NO
39,326,0.85,NO
140,226,0.58,NO
142,378,0.96,NO
215,56,0.14,NO
401,399,0.99,NO
151,359,0.885,NO
171,389,0.93,NO
248,47,0.11,NO
137,295,0.68,NO
391,430,0.99,NO
154,408,0.93,NO
58,358,0.8,NO
68,301,0.67,NO
184,402,0.89,NO
155,462,1.0,NO
53,467,0.98,NO
436,329,0.64,NO
71,466,0.87,NO
338,489,0.87,NO
286,549,0.95,NO
247,371,0.64,NO
182,551,0.95,NO
86,84,0.14,NO
225,84,0.14,NO
363,355,0.57,NO
200,617,0.98,NO
231,183,0.29,NO
228,71,0.11,NO
166,648,1.0,NO
