ID,Size,Predicted,Actual
316,35,0.73,NO
217,33,0.65,NO
281,33,0.65,NO
344,29,0.35833332,NO
286,36,0.44,NO
434,68,0.64,NO
79,69,0.63,NO
177,69,0.63,YES
235,56,0.5,NO
311,56,0.5,NO
48,79,0.69,NO
84,79,0.69,NO
559,79,0.69,NO
458,105,0.87,NO
239,65,0.5066071,NO
372,38,0.2944365,NO
446,38,0.2944365,NO
343,82,0.56,NO
321,72,0.49,NO
209,69,0.46666667,NO
37,106,0.71,YES
60,106,0.71,NO
442,106,0.71,NO
443,106,0.71,NO
294,138,0.9,NO
101,84,0.54,YES
336,66,0.42333335,NO
224,135,0.86,NO
302,139,0.87,NO
319,71,0.44,NO
331,71,0.44,NO
466,107,0.66,NO
581,64,0.39,NO
293,129,0.77,NO
317,129,0.77,NO
290,145,0.8,NO
323,145,0.79,NO
173,102,0.52,NO
216,106,0.5316667,NO
246,84,0.42,NO
253,84,0.42,NO
231,64,0.31314287,NO
241,64,0.31314287,NO
264,148,0.71,NO
210,104,0.49816668,NO
238,73,0.349,NO
252,73,0.349,NO
322,73,0.349,NO
478,83,0.39261904,NO
342,86,0.39,NO
276,107,0.48166665,NO
337,107,0.48166665,NO
292,91,0.4,NO
261,75,0.329,NO
263,127,0.55,NO
297,127,0.55,NO
296,98,0.415,NO
384,160,0.67,NO
269,87,0.36,NO
346,87,0.36,NO
523,162,0.67,NO
248,76,0.31333333,NO
256,76,0.31333333,NO
485,101,0.41271427,NO
160,100,0.40771428,YES
192,100,0.40771428,NO
435,100,0.40771428,NO
474,100,0.40771428,NO
49,82,0.33261904,NO
282,95,0.38,NO
349,95,0.38,NO
301,88,0.35,NO
473,159,0.63,NO
208,77,0.3,NO
260,77,0.3,NO
347,77,0.3,NO
307,79,0.29,NO
116,148,0.54079366,NO
267,96,0.35,NO
107,101,0.36333334,NO
226,163,0.57,NO
70,92,0.3209762,YES
117,92,0.3209762,NO
395,92,0.3209762,NO
454,92,0.3209762,NO
340,161,0.56,NO
89,104,0.36,NO
428,104,0.36,NO
333,241,0.81,NO
97,194,0.65,NO
275,239,0.8,NO
313,237,0.79,NO
232,101,0.33333334,NO
278,101,0.33333334,NO
274,234,0.77,NO
45,90,0.28626192,YES
451,90,0.28626192,NO
463,90,0.28626192,NO
548,90,0.28626192,NO
251,250,0.79,NO
81,94,0.29354763,YES
377,94,0.29354763,NO
588,94,0.29354763,NO
72,93,0.28954762,YES
306,63,0.19485714,NO
250,153,0.46,NO
291,151,0.45,NO
151,230,0.68,YES
179,230,0.68,NO
527,88,0.26,NO
518,200,0.58,NO
481,202,0.58,NO
63,236,0.67,NO
244,74,0.209,NO
96,189,0.53,YES
329,256,0.71,NO
303,125,0.34,NO
156,208,0.56,YES
304,78,0.21,NO
133,243,0.64,YES
187,243,0.64,NO
284,28,0.07333333,NO
237,261,0.68,NO
318,261,0.68,NO
327,192,0.48,NO
289,193,0.48,NO
247,226,0.53,NO
242,164,0.38,NO
288,164,0.38,NO
280,212,0.49,NO
300,212,0.49,NO
257,165,0.38,NO
266,157,0.36,NO
338,157,0.36,NO
259,109,0.24166666,NO
326,214,0.47,NO
234,187,0.4,NO
55,167,0.35,NO
295,222,0.46,NO
529,58,0.12,NO
219,295,0.6,NO
229,25,0.05,NO
542,196,0.38,YES
268,26,0.05,NO
271,281,0.54,NO
397,371,0.71,NO
222,168,0.32,NO
392,377,0.71,NO
245,117,0.22,NO
262,204,0.38,NO
335,27,0.05,NO
330,119,0.22,NO
270,38,0.07,NO
312,38,0.07,NO
341,120,0.22,NO
211,115,0.21,NO
298,77,0.14,NO
358,380,0.69,NO
283,116,0.21,NO
315,116,0.21,NO
213,61,0.11,NO
254,61,0.11,NO
393,383,0.69,YES
345,267,0.48,NO
314,273,0.49,NO
227,184,0.33,NO
272,380,0.68,NO
351,376,0.67,NO
353,399,0.71,NO
265,169,0.3,NO
175,389,0.69,YES
324,413,0.72,NO
221,444,0.77,NO
98,346,0.6,NO
188,402,0.69,YES
157,408,0.69,YES
212,421,0.71,NO
339,300,0.5,NO
309,181,0.3,NO
522,266,0.44,NO
178,418,0.69,NO
136,97,0.16,YES
561,365,0.6,NO
207,476,0.78,NO
51,422,0.69,YES
215,179,0.29,NO
230,180,0.29,NO
437,437,0.69,NO
258,504,0.79,NO
233,512,0.8,NO
158,462,0.7,YES
56,86,0.13,NO
277,174,0.26,NO
202,223,0.33,NO
279,176,0.26,NO
273,339,0.5,NO
332,340,0.5,NO
299,171,0.25,NO
572,359,0.52,YES
404,358,0.51,NO
359,141,0.2,NO
141,355,0.5,NO
513,355,0.5,NO
350,337,0.47,NO
308,37,0.05,NO
320,62,0.08,NO
240,329,0.42,NO
67,89,0.1102619,NO
357,89,0.1102619,NO
407,89,0.1102619,NO
5,163,0.2,NO
32,163,0.2,NO
243,624,0.71,NO
328,628,0.71,NO
464,223,0.25,NO
549,298,0.33,NO
143,226,0.25,NO
585,357,0.39,NO
73,244,0.26,NO
218,657,0.7,NO
106,47,0.05,NO
23,160,0.17,YES
325,322,0.34,NO
249,323,0.34,NO
287,692,0.71,NO
204,148,0.15166667,YES
94,248,0.24,NO
223,752,0.72,NO
138,286,0.27,YES
195,67,0.06,YES
456,67,0.06,NO
471,213,0.19,NO
83,214,0.19,NO
465,214,0.19,NO
579,214,0.19,NO
0,215,0.19,NO
447,628,0.53,NO
374,156,0.131,NO
164,43,0.035,NO
508,86,0.07,NO
142,102,0.08166666,NO
477,525,0.42,NO
586,376,0.3,NO
455,956,0.76,YES
71,466,0.37,YES
228,51,0.04,NO
220,872,0.68,NO
236,39,0.03,NO
99,304,0.23,YES
146,80,0.06,NO
348,40,0.03,NO
444,94,0.07,NO
191,108,0.08,NO
334,54,0.04,NO
255,936,0.69,NO
58,361,0.26,YES
93,156,0.11,NO
386,151,0.105738096,NO
154,420,0.29,NO
176,321,0.22,NO
105,691,0.47,YES
532,103,0.07,NO
545,103,0.07,NO
225,1126,0.76,NO
186,551,0.37,NO
183,558,0.37,YES
18,577,0.38,YES
145,380,0.25,NO
127,152,0.09740476,NO
526,354,0.22,NO
22,582,0.36,YES
139,585,0.36,NO
77,601,0.35,YES
439,104,0.06,NO
8,157,0.09,NO
203,617,0.35,NO
445,101,0.055,NO
550,243,0.13,YES
