ID,Size,Predicted,Actual
87,34,0.95,NO
220,34,0.95,NO
221,34,0.95,NO
134,35,0.95,NO
394,35,0.95,NO
414,41,0.85,NO
240,42,0.87,NO
296,38,0.77,NO
129,43,0.86,NO
36,44,0.81,NO
274,44,0.81,NO
222,38,0.69,NO
167,43,0.75,NO
131,62,1.0,NO
433,62,1.0,NO
152,64,1.0,NO
195,64,1.0,NO
28,62,0.96,NO
163,65,1.0,NO
197,65,1.0,NO
345,64,0.97,NO
109,56,0.8466667,NO
196,56,0.8466667,NO
284,68,1.0,NO
191,67,0.98,YES
79,69,1.0,NO
173,69,1.0,NO
132,45,0.64,NO
91,70,0.99,NO
232,70,0.99,NO
352,70,0.99,NO
340,59,0.825,NO
115,45,0.62,NO
261,24,0.32,NO
215,56,0.745,NO
263,72,0.95,NO
117,77,1.0,NO
85,25,0.32,NO
409,79,1.0,NO
143,80,1.0,NO
275,26,0.32,NO
48,79,0.96,NO
428,55,0.665,NO
49,82,0.98,NO
86,84,1.0,NO
225,84,1.0,NO
410,84,1.0,NO
336,27,0.32,NO
358,83,0.98,NO
84,79,0.93,NO
230,85,1.0,NO
56,84,0.98,NO
421,86,1.0,NO
203,52,0.6,NO
62,85,0.98,NO
362,86,0.98,NO
29,87,0.99,NO
119,88,1.0,NO
161,88,1.0,NO
207,89,1.0,NO
257,89,1.0,NO
45,90,1.0,YES
301,90,1.0,NO
313,90,1.0,NO
434,60,0.6666667,NO
398,90,0.99,NO
70,92,1.0,YES
245,92,1.0,NO
72,93,1.0,YES
114,92,0.97,NO
304,92,0.97,NO
198,55,0.57916665,NO
81,94,0.97,NO
328,83,0.85,NO
202,96,0.98,NO
157,100,1.0,NO
188,100,1.0,NO
311,47,0.47,NO
289,101,1.0,NO
335,101,1.0,NO
341,99,0.98,NO
139,102,1.0,NO
133,94,0.91,YES
89,104,1.0,NO
308,105,1.0,NO
366,75,0.7086667,NO
37,106,1.0,NO
292,106,1.0,NO
293,106,1.0,NO
24,50,0.47,NO
375,108,1.0,NO
60,106,0.98,NO
33,109,1.0,NO
76,109,1.0,YES
187,109,1.0,NO
405,36,0.33,NO
406,36,0.33,NO
407,36,0.33,NO
316,107,0.98,NO
61,109,0.98,YES
110,74,0.66333336,YES
294,93,0.83,NO
250,111,0.98,NO
299,111,0.98,NO
324,100,0.86,NO
67,89,0.75,NO
168,114,0.96,NO
285,100,0.84,NO
219,37,0.31,NO
310,37,0.31,NO
317,37,0.31,NO
295,101,0.84,NO
149,36,0.29,NO
98,91,0.73,YES
227,94,0.75,NO
395,103,0.82,NO
385,117,0.92,NO
278,104,0.8,NO
228,71,0.54,NO
169,113,0.85,NO
249,108,0.81,NO
374,130,0.96,NO
108,136,1.0,YES
47,137,1.0,NO
418,137,1.0,NO
122,48,0.35,NO
209,138,1.0,NO
397,139,1.0,NO
92,140,1.0,NO
123,140,1.0,NO
226,117,0.83,NO
369,134,0.95,NO
325,96,0.66,NO
282,74,0.50588095,NO
113,148,1.0,NO
