ID,Size,Predicted,Actual
229,25,0.81,NO
268,26,0.82,NO
335,27,0.82,NO
284,28,0.82,NO
344,29,0.82,NO
217,33,0.82,NO
281,33,0.82,NO
316,35,0.79,NO
286,36,0.75,NO
308,37,0.7,NO
270,38,0.56,NO
312,38,0.56,NO
298,77,0.85,NO
487,22,0.2,NO
106,47,0.4,NO
411,24,0.2,NO
85,25,0.2,NO
101,84,0.66,YES
236,39,0.3,NO
425,26,0.2,NO
343,82,0.62,NO
48,79,0.59,NO
84,79,0.59,NO
307,79,0.59,NO
559,79,0.59,NO
25,27,0.2,NO
66,27,0.2,NO
452,27,0.2,NO
468,27,0.2,NO
486,27,0.2,NO
492,27,0.2,NO
301,88,0.65,NO
246,84,0.62,NO
253,84,0.62,NO
146,80,0.59,NO
173,102,0.75,NO
49,82,0.6,NO
238,73,0.53,NO
252,73,0.53,NO
322,73,0.53,NO
269,87,0.63,NO
346,87,0.63,NO
261,75,0.54,NO
304,78,0.56,NO
244,74,0.53,NO
292,91,0.65,NO
453,28,0.2,NO
528,28,0.2,NO
248,76,0.54,NO
256,76,0.54,NO
208,77,0.54,NO
260,77,0.54,NO
347,77,0.54,NO
348,40,0.28,NO
342,86,0.6,NO
457,29,0.2,NO
527,88,0.6,NO
164,43,0.29,NO
478,83,0.54,NO
9,31,0.2,NO
462,31,0.2,NO
86,84,0.54,NO
375,84,0.54,NO
560,84,0.54,NO
62,85,0.54,NO
380,85,0.54,NO
282,95,0.6,NO
349,95,0.6,NO
19,32,0.2,NO
153,32,0.2,YES
267,96,0.6,NO
448,32,0.2,NO
296,98,0.6,NO
323,145,0.88,NO
88,33,0.2,NO
87,34,0.2,NO
370,34,0.2,NO
371,34,0.2,NO
232,101,0.57,NO
278,101,0.57,NO
290,145,0.72,NO
264,148,0.72,NO
210,104,0.5,NO
508,86,0.41,NO
216,106,0.5,NO
291,151,0.71,NO
276,107,0.5,NO
337,107,0.5,NO
56,86,0.4,NO
266,157,0.72,NO
338,157,0.72,NO
250,153,0.7,NO
294,138,0.63,NO
302,139,0.63,NO
224,135,0.61,NO
55,167,0.73,NO
239,65,0.28,NO
336,66,0.28,NO
97,194,0.81,NO
331,71,0.29,NO
209,69,0.28,NO
439,104,0.42,NO
340,161,0.65,NO
96,189,0.76,YES
137,35,0.14,NO
450,35,0.14,NO
533,35,0.14,NO
544,35,0.14,NO
226,163,0.65,NO
242,164,0.65,NO
288,164,0.65,NO
257,165,0.65,NO
321,72,0.28,NO
227,184,0.71,NO
234,187,0.71,NO
289,193,0.73,NO
102,53,0.2,NO
107,101,0.38,NO
222,168,0.63,NO
265,169,0.63,NO
542,196,0.72,YES
319,71,0.26,NO
327,192,0.7,NO
231,64,0.23,NO
241,64,0.23,NO
299,171,0.6,NO
277,174,0.6,NO
279,176,0.6,NO
215,179,0.61,NO
230,180,0.61,NO
80,77,0.26,NO
120,77,0.26,NO
493,77,0.26,NO
309,181,0.61,NO
29,87,0.28,NO
122,88,0.28,NO
165,88,0.28,YES
313,237,0.75,NO
274,234,0.74,NO
333,241,0.76,NO
512,86,0.27,NO
571,86,0.27,NO
275,239,0.75,NO
259,109,0.34,NO
251,250,0.77,NO
202,223,0.68,NO
293,129,0.39,NO
317,129,0.39,NO
306,63,0.19,NO
329,256,0.77,NO
237,261,0.77,NO
318,261,0.77,NO
262,204,0.59,NO
136,97,0.28,YES
345,267,0.77,NO
247,226,0.65,NO
152,36,0.1,NO
368,36,0.1,NO
503,36,0.1,NO
555,36,0.1,NO
556,36,0.1,NO
557,36,0.1,NO
320,62,0.17,NO
303,125,0.34,NO
3,138,0.37,NO
263,127,0.34,NO
297,127,0.34,NO
444,94,0.25,NO
540,204,0.52,NO
211,115,0.29,NO
283,116,0.29,NO
315,116,0.29,NO
314,273,0.68,NO
245,117,0.29,NO
330,119,0.29,NO
360,148,0.36,NO
341,120,0.29,NO
271,281,0.67,NO
280,212,0.5,NO
300,212,0.5,NO
550,243,0.57,YES
326,214,0.5,NO
213,61,0.14,NO
254,61,0.14,NO
219,295,0.66,NO
339,300,0.66,NO
295,222,0.48,NO
359,141,0.29,NO
351,376,0.76,NO
272,380,0.76,NO
305,50,0.1,NO
