ID,Size,Predicted,Actual
222,22,0.97,NO
197,27,0.97,NO
227,27,0.97,NO
57,27,0.96,NO
211,27,0.96,NO
23,27,0.95,NO
198,28,0.97,NO
260,28,0.97,NO
202,29,0.97,NO
98,30,0.96,NO
253,31,0.97,NO
9,31,0.96,NO
206,31,0.96,NO
193,32,0.97,NO
256,32,0.97,NO
17,32,0.96,NO
195,35,0.97,NO
264,35,0.97,NO
199,36,0.97,NO
237,36,0.97,NO
144,36,0.96,NO
145,37,0.97,NO
204,37,0.97,NO
233,37,0.97,NO
210,37,0.96,NO
83,38,0.97,YES
146,38,0.97,NO
85,39,0.97,NO
147,39,0.97,NO
250,39,0.97,NO
13,40,0.94,NO
161,41,0.95,NO
174,41,0.95,NO
181,41,0.95,NO
131,42,0.95,NO
171,42,0.95,NO
106,43,0.95,NO
170,43,0.95,NO
180,43,0.95,NO
191,45,0.95,NO
231,45,0.94,NO
105,46,0.95,NO
138,46,0.95,NO
22,46,0.93,YES
102,47,0.95,NO
103,47,0.95,NO
104,47,0.95,NO
164,47,0.95,NO
299,47,0.95,NO
166,49,0.97,NO
132,48,0.95,NO
244,48,0.95,NO
285,48,0.95,NO
212,48,0.94,NO
167,50,0.97,NO
112,49,0.94,NO
173,51,0.97,NO
268,51,0.97,NO
7,51,0.96,NO
205,51,0.96,NO
293,52,0.97,NO
28,52,0.96,YES
248,53,0.97,NO
289,53,0.97,NO
82,54,0.97,NO
176,54,0.97,NO
291,54,0.97,NO
37,55,0.97,NO
80,55,0.96,NO
172,56,0.97,NO
254,57,0.92,NO
261,57,0.92,NO
269,57,0.92,NO
141,58,0.92,NO
154,58,0.92,NO
225,58,0.92,NO
238,58,0.92,NO
267,58,0.92,NO
71,58,0.91,YES
245,60,0.92,NO
224,62,0.92,NO
239,62,0.92,NO
25,60,0.89,NO
133,63,0.92,NO
163,63,0.92,NO
232,63,0.92,NO
273,63,0.92,YES
128,64,0.92,YES
234,64,0.92,NO
296,64,0.92,NO
26,62,0.89,YES
39,65,0.92,NO
215,63,0.89,NO
162,66,0.92,NO
230,64,0.89,NO
122,67,0.92,NO
201,67,0.92,NO
18,66,0.89,NO
86,69,0.92,YES
108,77,1.0,YES
214,77,1.0,YES
95,71,0.92,NO
150,71,0.92,NO
216,76,0.98,NO
286,76,0.98,NO
130,72,0.92,NO
203,72,0.92,NO
207,77,0.98,YES
228,77,0.98,NO
251,78,0.98,NO
143,74,0.92,NO
220,74,0.92,NO
241,74,0.92,NO
243,74,0.92,NO
275,74,0.92,NO
51,79,0.98,YES
266,79,0.98,YES
259,80,0.98,NO
41,81,0.98,NO
209,81,0.98,YES
124,74,0.89,NO
47,84,1.0,NO
242,83,0.98,YES
252,85,1.0,YES
42,84,0.98,NO
153,84,0.98,NO
246,86,1.0,NO
53,85,0.98,NO
196,85,0.98,NO
27,88,1.0,YES
58,88,1.0,YES
94,88,1.0,NO
149,88,0.98,NO
52,90,1.0,NO
70,90,1.0,YES
30,91,1.0,YES
185,92,1.0,YES
78,92,0.98,NO
118,92,0.98,YES
189,92,0.98,YES
300,92,0.98,NO
87,94,0.98,YES
221,94,0.98,NO
226,94,0.98,NO
148,96,0.98,NO
64,98,0.98,YES
84,98,0.98,NO
119,100,1.0,NO
168,98,0.98,NO
265,98,0.98,NO
100,101,1.0,NO
190,101,0.98,YES
160,103,0.98,NO
263,103,0.98,NO
175,104,0.98,NO
187,105,0.98,YES
188,105,0.98,YES
255,108,0.98,NO
194,111,0.98,NO
151,114,1.0,NO
54,113,0.98,YES
110,113,0.98,NO
276,116,0.98,NO
121,118,0.98,NO
127,120,0.98,NO
235,124,0.98,NO
284,124,0.98,NO
50,127,1.0,NO
97,127,1.0,NO
155,129,0.98,NO
65,132,1.0,NO
274,130,0.98,NO
72,132,0.98,NO
240,132,0.98,NO
107,134,0.98,YES
135,136,0.98,YES
3,137,0.98,NO
32,139,0.98,NO
287,139,0.98,NO
136,141,0.98,YES
169,143,0.98,NO
8,150,1.0,NO
31,147,0.98,NO
40,150,1.0,YES
63,147,0.98,NO
75,148,0.98,YES
77,148,0.98,NO
142,148,0.98,YES
126,152,1.0,YES
46,153,1.0,NO
271,154,1.0,NO
179,153,0.98,NO
125,154,0.98,NO
21,158,1.0,YES
140,162,1.0,NO
218,160,0.98,YES
129,163,0.99,YES
177,162,0.98,YES
29,163,0.98,NO
139,165,0.99,NO
123,166,0.99,NO
208,168,1.0,YES
101,167,0.99,YES
277,166,0.98,NO
68,172,1.0,YES
236,172,1.0,NO
48,169,0.98,NO
281,170,0.98,NO
45,171,0.98,NO
76,174,0.98,NO
60,175,0.98,YES
10,180,0.98,NO
91,183,0.99,NO
165,183,0.98,NO
38,184,0.98,NO
120,185,0.98,NO
19,187,0.99,YES
49,189,1.0,YES
137,190,1.0,YES
217,191,0.98,YES
11,196,0.98,NO
258,201,0.97,NO
297,206,0.97,YES
92,210,0.98,YES
295,208,0.97,NO
62,209,0.97,NO
36,216,0.97,YES
0,215,0.96,NO
5,216,0.96,NO
257,227,0.84,NO
67,227,0.83,NO
270,230,0.84,YES
66,236,0.83,YES
157,242,0.84,YES
114,243,0.84,NO
282,241,0.83,NO
283,241,0.83,YES
294,246,0.83,YES
272,251,0.83,NO
93,249,0.82,YES
111,258,0.84,NO
14,255,0.83,YES
81,256,0.83,YES
109,261,0.84,YES
280,261,0.84,NO
116,259,0.83,NO
292,268,0.84,NO
279,265,0.83,YES
1,271,0.82,NO
288,272,0.82,YES
55,276,0.83,YES
33,282,0.84,YES
59,283,0.83,YES
192,299,0.84,YES
290,306,0.84,NO
298,315,0.84,NO
44,312,0.83,YES
134,318,0.83,NO
89,319,0.82,NO
90,321,0.82,NO
152,342,0.85,NO
113,339,0.84,YES
247,355,0.85,NO
115,358,0.85,YES
156,363,0.86,YES
186,355,0.84,YES
159,366,0.86,NO
15,379,0.88,YES
4,368,0.84,YES
99,380,0.85,YES
182,400,0.88,YES
183,425,0.88,YES
2,451,0.88,NO
213,436,0.85,YES
262,446,0.86,NO
12,473,0.88,YES
223,481,0.85,NO
16,509,0.88,YES
61,507,0.86,YES
69,507,0.85,YES
73,529,0.86,YES
56,549,0.85,YES
20,576,0.88,YES
88,582,0.88,YES
200,574,0.86,YES
34,582,0.85,YES
249,612,0.85,YES
79,664,0.88,NO
158,682,0.85,YES
74,694,0.85,YES
278,726,0.85,YES
96,734,0.85,YES
6,764,0.88,YES
229,744,0.85,YES
24,788,0.88,YES
35,800,0.85,YES
43,905,0.85,YES
219,906,0.85,YES
184,1041,0.88,YES
117,1167,0.85,YES
178,6523,0.88,YES
