ID,Size,Predicted,Actual
87,34,0.64,NO
220,34,0.64,NO
221,34,0.64,NO
134,35,0.64,NO
394,35,0.64,NO
434,60,0.87,NO
131,62,0.885,NO
433,62,0.885,NO
233,54,0.72,NO
222,38,0.5,NO
109,56,0.72,NO
84,79,0.99,NO
284,68,0.85,NO
198,55,0.68,NO
86,84,0.97,NO
225,84,0.97,NO
164,59,0.68,NO
176,59,0.68,NO
117,77,0.88,NO
410,84,0.94,NO
203,52,0.57,NO
167,43,0.47,NO
80,77,0.84,NO
343,77,0.84,NO
345,64,0.675,NO
257,89,0.92,NO
245,92,0.92,NO
414,41,0.41,NO
228,71,0.67,NO
295,101,0.95,NO
48,79,0.74,NO
382,103,0.95,NO
188,100,0.92,NO
278,104,0.95,NO
187,109,0.99,NO
157,100,0.89,NO
133,94,0.82,NO
197,65,0.565,NO
335,101,0.84,NO
395,103,0.84,NO
377,80,0.65,NO
177,99,0.79,NO
89,104,0.81,NO
252,129,1.0,NO
409,79,0.61,NO
308,105,0.81,NO
76,109,0.84,NO
313,90,0.69,NO
316,107,0.82,NO
60,106,0.81,NO
143,80,0.61,NO
398,90,0.68,NO
61,109,0.82,NO
70,92,0.69,NO
161,88,0.65,NO
37,106,0.78,NO
108,136,1.0,NO
369,134,0.98,NO
230,85,0.62,NO
207,89,0.64,NO
45,90,0.64,NO
296,38,0.27,NO
72,93,0.66,NO
173,69,0.486,NO
285,100,0.704,NO
226,117,0.82,NO
91,70,0.48,NO
352,70,0.48,NO
304,92,0.63,NO
165,131,0.84,NO
428,55,0.35,NO
282,74,0.47,NO
418,137,0.86,NO
323,159,0.98,NO
358,83,0.51,NO
367,125,0.76,NO
32,163,0.99,NO
56,84,0.51,NO
92,140,0.85,NO
123,140,0.85,NO
62,85,0.51,NO
366,75,0.44828573,NO
362,86,0.51,NO
128,129,0.7643333,NO
292,106,0.61,NO
293,106,0.61,NO
234,160,0.92,NO
160,148,0.85,NO
373,162,0.92,NO
375,108,0.61,NO
397,139,0.78,NO
139,102,0.57,NO
374,130,0.72,NO
371,123,0.68,NO
163,65,0.3515,NO
152,64,0.342373,NO
195,64,0.342373,NO
269,98,0.52,NO
384,98,0.52,NO
227,94,0.49,NO
213,165,0.84,NO
236,151,0.76,NO
69,153,0.76,NO
249,108,0.53,NO
47,137,0.66,NO
201,147,0.7,NO
196,56,0.26,NO
320,166,0.77,NO
168,114,0.52,NO
50,147,0.67,NO
289,101,0.46,NO
116,168,0.76,NO
5,163,0.73,NO
238,219,0.96,NO
314,223,0.97,NO
216,179,0.77,NO
400,231,0.99,YES
175,230,0.98,NO
23,158,0.67,NO
33,109,0.46,NO
145,221,0.9,NO
429,214,0.87,NO
94,248,1.0,NO
140,226,0.91,NO
73,244,0.98,NO
209,138,0.55,NO
54,189,0.75,NO
63,236,0.93,NO
341,99,0.39,NO
59,126,0.49,NO
193,153,0.59,NO
224,156,0.59,NO
416,258,0.96,NO
0,215,0.79,NO
130,243,0.89,NO
110,74,0.27,NO
199,187,0.68,NO
280,254,0.92,NO
144,268,0.97,NO
235,125,0.45,NO
385,117,0.42,NO
75,250,0.88,NO
83,214,0.75,NO
368,200,0.69,NO
417,280,0.96,NO
432,206,0.7,NO
57,182,0.61,NO
12,260,0.87,NO
153,208,0.69,NO
393,287,0.95,NO
372,204,0.67,NO
159,178,0.58,NO
403,178,0.58,NO
148,230,0.72,NO
95,275,0.86,NO
74,192,0.6,NO
332,155,0.48,NO
291,123,0.37,NO
120,260,0.78,NO
390,197,0.58,NO
156,340,1.0,NO
158,342,1.0,NO
413,263,0.75,NO
331,202,0.57,NO
392,172,0.47,YES
151,359,0.95,NO
4,357,0.93,NO
93,154,0.4,NO
436,329,0.85,NO
16,388,1.0,NO
242,377,0.97,NO
171,389,1.0,NO
68,301,0.76,NO
137,295,0.74,NO
290,331,0.83,NO
401,399,1.0,NO
381,340,0.85,NO
405,36,0.09,NO
406,36,0.09,NO
407,36,0.09,NO
111,357,0.89,NO
254,358,0.89,NO
411,365,0.9,NO
256,49,0.12,NO
184,402,0.98,NO
408,300,0.73,YES
247,371,0.9,NO
423,269,0.65,NO
142,378,0.91,NO
214,171,0.41,NO
208,380,0.91,NO
154,408,0.97,NO
51,422,1.0,NO
376,353,0.83,NO
231,183,0.43,NO
250,111,0.26,NO
299,111,0.26,NO
237,421,0.98,NO
391,430,1.0,NO
125,39,0.09,NO
223,39,0.09,NO
287,437,1.0,NO
243,383,0.86,NO
427,308,0.69,NO
430,247,0.55,NO
90,172,0.38,NO
39,326,0.72,NO
64,314,0.69,NO
229,183,0.4,NO
155,462,1.0,NO
71,466,1.0,NO
53,467,1.0,NO
2,458,0.96,NO
174,418,0.87,NO
255,277,0.57,NO
183,243,0.5,NO
107,273,0.56,NO
425,308,0.63,NO
169,113,0.23,NO
338,489,0.99,NO
105,503,1.0,NO
21,188,0.37,NO
17,51,0.1,NO
321,213,0.41,NO
162,325,0.62,NO
240,42,0.08,NO
327,525,0.99,NO
202,96,0.18,NO
325,96,0.18,NO
363,355,0.66,NO
15,361,0.67,NO
286,549,1.0,NO
239,50,0.09,NO
13,551,0.99,NO
179,558,1.0,NO
42,314,0.56,NO
182,551,0.98,NO
28,62,0.11,NO
78,565,1.0,NO
18,577,1.0,NO
307,29,0.05,NO
102,558,0.95,NO
422,359,0.61,NO
136,585,0.99,NO
22,582,0.98,NO
211,191,0.32,NO
350,132,0.22,NO
55,153,0.25,NO
58,358,0.58,NO
294,93,0.15,NO
46,273,0.44,NO
200,617,0.99,NO
97,624,1.0,NO
324,100,0.16,NO
185,259,0.41,NO
138,355,0.56,NO
297,584,0.91,NO
115,45,0.07,NO
180,258,0.4,NO
44,191,0.29,NO
315,214,0.32,NO
311,47,0.07,NO
40,648,0.96,NO
389,688,1.0,NO
65,694,1.0,NO
119,88,0.124,NO
103,727,1.0,NO
340,59,0.08,NO
31,268,0.36,NO
404,740,0.99,NO
124,152,0.2,NO
178,762,1.0,NO
348,54,0.07,NO
41,778,1.0,NO
365,798,1.0,NO
420,801,1.0,NO
326,841,1.0,NO
344,846,1.0,NO
106,325,0.38,NO
300,35,0.04,NO
383,35,0.04,NO
67,89,0.1,NO
98,91,0.1,NO
82,337,0.37,NO
10,928,1.0,NO
26,928,1.0,NO
166,648,0.69,NO
305,885,0.93,NO
147,952,1.0,NO
29,87,0.09,NO
435,321,0.33,NO
52,978,1.0,NO
253,49,0.05,NO
322,866,0.84,NO
288,1033,1.0,NO
186,1038,1.0,NO
88,33,0.03,NO
337,22,0.02,NO
79,69,0.060285714,NO
49,82,0.07,NO
396,1198,1.0,NO
122,48,0.04,NO
219,37,0.03,NO
310,37,0.03,NO
317,37,0.03,NO
6,1242,1.0,NO
333,1262,1.0,NO
330,76,0.06,NO
77,601,0.46,NO
189,185,0.14,NO
438,94,0.07,NO
25,27,0.02,NO
66,27,0.02,NO
302,27,0.02,NO
318,27,0.02,NO
342,27,0.02,NO
215,56,0.04,NO
303,28,0.02,NO
378,28,0.02,NO
146,71,0.05,NO
402,116,0.08,NO
190,118,0.08,NO
301,90,0.06,NO
114,92,0.06,NO
118,664,0.43,NO
9,31,0.02,NO
312,31,0.02,NO
210,142,0.09,NO
19,32,0.02,NO
298,32,0.02,NO
412,306,0.19,NO
170,309,0.19,NO
135,283,0.17,NO
141,153,0.09,NO
421,86,0.05,NO
30,52,0.03,NO
232,70,0.04,NO
218,36,0.02,NO
279,54,0.03,NO
353,36,0.02,NO
35,58,0.03,NO
14,40,0.02,NO
258,41,0.02,NO
339,62,0.03,NO
355,62,0.03,NO
283,153,0.07,NO
8,154,0.07,NO
251,319,0.13,NO
104,150,0.06,NO
351,177,0.07,NO
100,132,0.05,NO
96,176,0.06,NO
399,297,0.1,NO
241,624,0.21,NO
27,60,0.02,NO
260,63,0.02,NO
329,63,0.02,NO
347,63,0.02,NO
349,64,0.02,NO
431,64,0.02,NO
191,67,0.02,NO
380,306,0.09,NO
246,284,0.08,NO
204,72,0.02,NO
244,72,0.02,NO
309,72,0.02,NO
217,74,0.02,NO
334,74,0.02,NO
357,74,0.02,NO
359,74,0.02,NO
101,4088,1.0,NO
277,41,0.01,NO
81,94,0.02,NO
437,47,0.01,NO
24,50,0.01,NO
364,53,0.01,NO
424,53,0.01,NO
121,54,0.01,NO
426,54,0.01,NO
43,55,0.01,NO
273,56,0.01,NO
1,271,0.04,NO
328,83,0.01,NO
172,273,0.02,NO
38,139,0.01,NO
34,147,0.01,NO
113,148,0.01,NO
281,16883,1.0,NO
415,170,0.01,NO
3,137,0.0,NO
7,51,0.0,NO
11,180,0.0,NO
20,66,0.0,NO
36,44,0.0,NO
85,25,0.0,NO
99,58,0.0,NO
112,174,0.0,NO
126,131,0.0,NO
127,47,0.0,NO
129,43,0.0,NO
132,45,0.0,NO
149,36,0.0,NO
150,32,0.0,NO
181,49,0.0,NO
192,74,0.0,NO
194,120,0.0,NO
205,42,0.0,NO
206,48,0.0,NO
212,46,0.0,NO
248,47,0.0,NO
259,66,0.0,NO
261,24,0.0,NO
262,50,0.0,NO
263,72,0.0,NO
264,47,0.0,NO
265,47,0.0,NO
266,183,0.0,NO
267,49,0.0,NO
268,50,0.0,NO
270,143,0.0,NO
271,43,0.0,NO
272,42,0.0,NO
274,44,0.0,NO
275,26,0.0,NO
276,51,0.0,NO
306,67,0.0,NO
319,48,0.0,NO
336,27,0.0,NO
346,45,0.0,NO
354,58,0.0,NO
356,132,0.0,NO
360,48,0.0,NO
361,74,0.0,NO
370,57,0.0,NO
379,57,0.0,NO
386,58,0.0,NO
387,51,0.0,NO
388,57,0.0,NO
419,48,0.0,NO
