ID,Size,Predicted,Actual
219,37,0.86,NO
310,37,0.86,NO
317,37,0.86,NO
222,38,0.86,NO
198,55,0.96,NO
196,56,0.9,NO
109,56,0.87,NO
233,54,0.82,NO
296,38,0.57,NO
191,67,1.0,NO
197,65,0.97,NO
340,59,0.83,NO
125,39,0.54,NO
223,39,0.54,NO
131,62,0.85,NO
433,62,0.85,NO
434,60,0.82,NO
163,65,0.88,NO
164,59,0.79,NO
79,69,0.9,NO
80,77,1.0,NO
343,77,1.0,NO
306,67,0.87,NO
9,31,0.4,NO
312,31,0.4,NO
117,77,0.99,NO
176,59,0.75,NO
228,71,0.9,NO
330,76,0.96,NO
48,79,0.99,NO
19,32,0.4,NO
298,32,0.4,NO
377,80,1.0,NO
84,79,0.98,NO
409,79,0.98,NO
20,66,0.81,NO
259,66,0.81,NO
232,70,0.85,NO
352,70,0.85,NO
358,83,1.0,NO
263,72,0.86,NO
143,80,0.95,NO
91,70,0.83,NO
56,84,0.99,NO
62,85,1.0,NO
362,86,1.0,NO
49,82,0.95,NO
349,64,0.74,NO
431,64,0.74,NO
86,84,0.97,NO
192,74,0.85,NO
225,84,0.96,NO
300,35,0.4,NO
383,35,0.4,NO
146,71,0.81,NO
195,64,0.73,NO
421,86,0.98,NO
284,68,0.77,NO
218,36,0.4,NO
353,36,0.4,NO
410,84,0.93,NO
260,63,0.69,NO
329,63,0.69,NO
347,63,0.69,NO
29,87,0.95,NO
70,92,1.0,NO
114,92,1.0,NO
204,72,0.78,NO
244,72,0.78,NO
309,72,0.78,NO
110,74,0.8,NO
161,88,0.95,NO
257,89,0.96,NO
152,64,0.69,NO
313,90,0.97,NO
245,92,0.99,NO
72,93,1.0,NO
14,40,0.43,NO
27,60,0.64,NO
133,94,1.0,NO
217,74,0.78,NO
282,74,0.78,NO
334,74,0.78,NO
357,74,0.78,NO
359,74,0.78,NO
294,93,0.98,NO
438,94,0.99,NO
230,85,0.89,NO
202,96,1.0,NO
339,62,0.64,NO
355,62,0.64,NO
366,75,0.77,NO
398,90,0.92,NO
45,90,0.91,NO
81,94,0.95,NO
227,94,0.95,NO
325,96,0.97,NO
177,99,1.0,NO
28,62,0.62,NO
157,100,1.0,NO
173,69,0.69,NO
188,100,1.0,NO
337,22,0.22,NO
207,89,0.88,NO
139,102,1.0,NO
324,100,0.98,NO
98,91,0.89,NO
341,99,0.96,NO
295,101,0.97,NO
89,104,0.99,NO
258,41,0.39,NO
278,104,0.98,NO
304,92,0.86,NO
37,106,0.99,NO
119,88,0.82,NO
205,42,0.39,NO
272,42,0.39,NO
335,101,0.92,NO
375,108,0.98,NO
308,105,0.95,NO
76,109,0.98,NO
33,109,0.95,NO
293,106,0.92,NO
292,106,0.91,NO
169,113,0.97,NO
402,116,0.98,NO
187,109,0.92,NO
67,89,0.73,NO
25,27,0.22,NO
66,27,0.22,NO
302,27,0.22,NO
318,27,0.22,NO
342,27,0.22,NO
285,100,0.8,NO
35,58,0.46,NO
307,29,0.23,NO
303,28,0.22,NO
378,28,0.22,NO
190,118,0.92,NO
395,103,0.8,NO
289,101,0.77,NO
108,136,0.95,NO
61,109,0.76,NO
369,134,0.93,NO
168,114,0.79,NO
345,64,0.44,NO
249,108,0.74,NO
252,129,0.88,NO
328,83,0.56,NO
59,126,0.85,NO
316,107,0.71,NO
397,139,0.91,NO
124,152,0.99,NO
193,153,0.99,NO
224,156,1.0,NO
350,132,0.84,NO
418,137,0.87,NO
371,123,0.77,NO
50,147,0.92,NO
332,155,0.97,NO
234,160,1.0,NO
361,74,0.46,NO
210,142,0.88,NO
87,34,0.21,NO
220,34,0.21,NO
221,34,0.21,NO
209,138,0.85,NO
93,154,0.92,NO
165,131,0.78,NO
373,162,0.95,NO
55,153,0.89,NO
301,90,0.52,NO
92,140,0.79,NO
47,137,0.77,NO
214,171,0.95,NO
160,148,0.82,NO
291,123,0.68,NO
374,130,0.71,NO
235,125,0.68,NO
261,24,0.13,NO
385,117,0.63,NO
403,178,0.95,NO
226,117,0.61,NO
159,178,0.92,NO
275,26,0.13,NO
351,177,0.88,NO
392,172,0.85,YES
320,166,0.81,NO
277,41,0.2,NO
189,185,0.9,NO
250,111,0.54,NO
299,111,0.54,NO
236,151,0.73,NO
8,154,0.74,NO
85,25,0.12,NO
331,202,0.96,NO
60,106,0.5,NO
153,208,0.98,NO
215,56,0.26,NO
372,204,0.94,NO
432,206,0.94,NO
211,191,0.87,NO
429,214,0.97,NO
238,219,0.99,NO
5,163,0.73,NO
321,213,0.95,NO
54,189,0.83,NO
175,230,1.0,NO
400,231,1.0,YES
269,98,0.42,NO
384,98,0.42,NO
145,221,0.94,NO
69,153,0.65,NO
203,52,0.22,NO
148,230,0.97,NO
21,188,0.79,NO
63,236,0.99,NO
74,192,0.79,NO
315,214,0.88,NO
194,120,0.49,NO
336,27,0.11,NO
57,182,0.74,NO
94,248,1.0,NO
44,191,0.77,NO
73,244,0.98,NO
229,183,0.73,NO
83,214,0.85,NO
323,159,0.63,NO
75,250,0.99,NO
130,243,0.96,NO
280,254,1.0,NO
367,125,0.49,NO
183,243,0.95,NO
149,36,0.14,NO
430,247,0.96,NO
12,260,1.0,NO
120,260,0.99,NO
180,258,0.96,NO
116,168,0.62,NO
185,259,0.95,NO
368,200,0.73,NO
95,275,0.96,NO
123,140,0.48,NO
135,283,0.97,NO
1,271,0.91,NO
390,197,0.66,NO
231,183,0.61,NO
348,54,0.18,NO
417,280,0.93,NO
246,284,0.94,NO
314,223,0.73,NO
46,273,0.89,NO
90,172,0.56,NO
382,103,0.33,NO
107,273,0.87,NO
172,273,0.87,NO
134,35,0.11,NO
255,277,0.87,NO
393,287,0.9,NO
122,48,0.15,NO
428,55,0.17,NO
137,295,0.91,NO
104,150,0.46,NO
413,263,0.8,NO
88,33,0.1,NO
425,308,0.93,NO
64,314,0.94,NO
427,308,0.92,NO
156,340,1.0,NO
408,300,0.88,YES
158,342,1.0,NO
68,301,0.88,NO
