Id,Size,Prob,NormProb,Actual
320,91,0.59,0.0064835167,false
61,189,0.96,0.005079365,true
2,273,0.91,0.0033333334,true
342,273,0.91,0.0033333334,false
601,276,0.89,0.0032246376,true
506,83,0.2646905,0.003189042,false
433,277,0.88,0.0031768952,false
262,187,0.52,0.0027807488,false
145,160,0.34,0.002125,true
206,230,0.46283334,0.002012319,false
125,101,0.19498016,0.0019304967,false
260,101,0.19498016,0.0019304967,false
306,101,0.19498016,0.0019304967,false
473,101,0.19498016,0.0019304967,false
513,101,0.19498016,0.0019304967,false
174,230,0.442,0.0019217391,false
240,421,0.77,0.0018289787,false
58,422,0.77,0.0018246445,true
415,422,0.77,0.0018246445,false
171,241,0.42,0.0017427385,false
425,371,0.64,0.0017250674,false
581,178,0.30641666,0.001721442,false
352,413,0.71,0.0017191283,false
471,106,0.18,0.0016981132,false
579,415,0.7,0.001686747,false
216,276,0.46,0.0016666667,false
225,120,0.2,0.0016666667,false
12,193,0.32,0.0016580311,false
176,197,0.32,0.0016243655,true
25,198,0.32,0.0016161617,false
188,272,0.43,0.0015808824,false
53,271,0.42,0.0015498155,true
568,206,0.31,0.0015048544,false
299,281,0.39,0.0013879003,false
424,282,0.39,0.0013829787,false
465,437,0.6,0.0013729978,false
166,153,0.21,0.001372549,false
569,438,0.6,0.001369863,false
307,176,0.2405,0.0013664772,false
231,158,0.21,0.001329114,false
42,151,0.2,0.0013245033,false
215,401,0.52,0.0012967581,false
50,191,0.23,0.0012041884,false
389,191,0.23,0.0012041884,false
355,192,0.23,0.0011979167,false
317,193,0.23,0.0011917099,false
72,345,0.41,0.0011884058,true
115,194,0.23,0.001185567,false
413,128,0.15,0.001171875,false
153,257,0.3,0.0011673152,false
141,263,0.3,0.0011406844,false
182,397,0.44,0.0011083124,false
577,298,0.33,0.0011073826,false
83,183,0.2,0.0010928962,false
78,166,0.18,0.0010843374,false
159,403,0.42,0.0010421836,false
23,260,0.27,0.0010384616,true
114,185,0.18,9.7297295E-4,false
41,192,0.18,9.375E-4,false
570,196,0.18,9.1836735E-4,false
118,363,0.33,9.090909E-4,false
571,287,0.26,9.0592337E-4,false
595,288,0.26,9.0277777E-4,false
302,234,0.211,9.017094E-4,false
501,159,0.13,8.1761007E-4,false
33,297,0.24,8.0808083E-4,false
578,373,0.29,7.774799E-4,false
71,237,0.18,7.594937E-4,false
179,111,0.08,7.2072074E-4,false
529,182,0.13,7.142857E-4,false
103,142,0.1,7.042253E-4,false
77,300,0.21,7.0E-4,false
185,279,0.19,6.8100356E-4,false
169,340,0.22,6.470588E-4,false
80,497,0.29,5.83501E-4,false
178,420,0.24,5.7142857E-4,false
167,456,0.26,5.701754E-4,false
126,517,0.29,5.609284E-4,false
74,781,0.42,5.377721E-4,true
154,356,0.19,5.3370785E-4,false
44,752,0.38,5.0531916E-4,true
46,319,0.16,5.015674E-4,true
381,399,0.2,5.012531E-4,false
290,204,0.1,4.901961E-4,false
318,145,0.07,4.8275862E-4,false
351,145,0.07,4.8275862E-4,false
191,89,0.04,4.494382E-4,false
9,157,0.07,4.4585989E-4,false
294,157,0.07,4.4585989E-4,false
366,157,0.07,4.4585989E-4,false
91,343,0.15,4.373178E-4,false
1,215,0.09,4.1860464E-4,false
87,565,0.22,3.8938053E-4,false
117,309,0.12,3.8834952E-4,false
510,155,0.06,3.8709678E-4,false
113,286,0.11,3.8461538E-4,true
265,261,0.1,3.8314177E-4,false
346,261,0.1,3.8314177E-4,false
14,262,0.1,3.816794E-4,false
591,263,0.1,3.8022813E-4,false
214,243,0.09,3.7037037E-4,false
66,573,0.2,3.4904014E-4,false
201,288,0.1,3.4722223E-4,false
199,289,0.1,3.4602077E-4,false
43,352,0.12,3.409091E-4,true
111,264,0.09,3.409091E-4,false
186,100,0.033857144,3.3857144E-4,true
219,100,0.033857144,3.3857144E-4,false
463,100,0.033857144,3.3857144E-4,false
502,100,0.033857144,3.3857144E-4,false
110,185,0.06,3.2432433E-4,false
203,341,0.11,3.2258066E-4,false
202,423,0.13,3.073286E-4,false
205,418,0.11,2.6315788E-4,false
102,156,0.04,2.5641025E-4,false
402,156,0.04,2.5641025E-4,false
56,82,0.020833334,2.5406503E-4,false
371,82,0.020833334,2.5406503E-4,false
261,512,0.13,2.5390624E-4,false
341,237,0.06,2.5316456E-4,false
303,239,0.06,2.5104603E-4,false
183,462,0.11,2.3809524E-4,false
60,530,0.12,2.264151E-4,false
213,532,0.12,2.2556391E-4,false
54,138,0.03,2.1739131E-4,false
65,374,0.08,2.1390374E-4,true
505,535,0.11,2.0560747E-4,false
249,444,0.09,2.0270271E-4,false
546,200,0.04,2.0E-4,false
209,762,0.14,1.8372704E-4,false
128,274,0.05,1.8248174E-4,false
148,677,0.12,1.7725259E-4,false
3,460,0.08,1.7391304E-4,true
522,863,0.15,1.7381228E-4,false
35,118,0.02,1.6949153E-4,false
235,476,0.08,1.6806723E-4,false
210,601,0.1,1.6638935E-4,false
86,607,0.1,1.6474465E-4,false
509,202,0.03,1.4851485E-4,false
181,208,0.03,1.4423077E-4,true
483,979,0.14,1.4300307E-4,false
567,707,0.1,1.4144271E-4,false
108,876,0.12,1.369863E-4,false
104,152,0.02,1.3157894E-4,false
7,1154,0.15,1.2998267E-4,true
28,926,0.12,1.2958964E-4,false
11,1009,0.13,1.2884043E-4,false
168,80,0.01,1.25E-4,false
232,80,0.01,1.25E-4,false
123,721,0.09,1.2482663E-4,true
516,491,0.06,1.2219959E-4,false
20,579,0.07,1.208981E-4,true
62,167,0.02,1.1976048E-4,true
59,1026,0.12,1.1695906E-4,true
45,877,0.1,1.1402508E-4,true
51,90,0.01,1.1111111E-4,false
479,90,0.01,1.1111111E-4,false
491,90,0.01,1.1111111E-4,false
576,90,0.01,1.1111111E-4,false
421,382,0.04,1.0471204E-4,false
233,96,0.01,1.0416667E-4,false
24,596,0.06,1.0067114E-4,false
286,504,0.05,9.920635E-5,false
610,210,0.02,9.5238094E-5,false
15,638,0.06,9.4043884E-5,true
132,361,0.03,8.3102495E-5,false
173,991,0.08,8.072654E-5,false
144,132,0.01,7.5757576E-5,false
162,297,0.02,6.7340065E-5,true
582,778,0.05,6.4267355E-5,false
412,160,0.01,6.25E-5,false
224,169,0.01,5.9171598E-5,false
217,1070,0.06,5.6074765E-5,false
17,374,0.02,5.3475935E-5,false
379,376,0.02,5.319149E-5,false
614,376,0.02,5.319149E-5,false
420,377,0.02,5.3050397E-5,false
300,380,0.02,5.2631578E-5,false
386,380,0.02,5.2631578E-5,false
18,390,0.02,5.128205E-5,false
164,102,0.004,3.9215687E-5,false
200,102,0.004,3.9215687E-5,false
598,801,0.03,3.7453185E-5,true
543,804,0.03,3.731343E-5,false
242,2009,0.06,2.9865605E-5,false
613,357,0.01,2.8011205E-5,false
5,358,0.01,2.7932962E-5,false
432,358,0.01,2.7932962E-5,false
600,359,0.01,2.7855152E-5,false
589,365,0.01,2.739726E-5,false
504,842,0.01,1.1876485E-5,false
500,867,0.01,1.1534025E-5,false
248,872,0.01,1.146789E-5,false
283,936,0.01,1.0683761E-5,false
466,1038,0.01,9.633912E-6,false
253,1126,0.01,8.880995E-6,false
574,1207,0.01,8.285004E-6,false
511,1263,0.01,7.917656E-6,false
4,138,0.0,0.0,false
6,163,0.0,0.0,false
8,51,0.0,0.0,false
10,31,0.0,0.0,false
13,83,0.0,0.0,false
16,40,0.0,0.0,false
19,51,0.0,0.0,false
21,32,0.0,0.0,false
22,66,0.0,0.0,false
26,50,0.0,0.0,false
27,27,0.0,0.0,false
29,60,0.0,0.0,false
30,62,0.0,0.0,false
31,87,0.0,0.0,false
32,52,0.0,0.0,false
34,163,0.0,0.0,false
36,83,0.0,0.0,false
37,147,0.0,0.0,false
38,58,0.0,0.0,false
39,44,0.0,0.0,false
40,106,0.0,0.0,false
47,27,0.0,0.0,false
48,55,0.0,0.0,false
49,94,0.0,0.0,false
52,90,0.0,0.0,false
55,79,0.0,0.0,false
57,147,0.0,0.0,false
63,86,0.0,0.0,false
64,195,0.0,0.0,true
67,126,0.0,0.0,true
68,106,0.0,0.0,false
69,109,0.0,0.0,false
70,85,0.0,0.0,false
73,47,0.0,0.0,false
75,27,0.0,0.0,false
76,89,0.0,0.0,false
79,92,0.0,0.0,false
81,93,0.0,0.0,false
82,244,0.0,0.0,false
84,252,0.0,0.0,false
85,109,0.0,0.0,false
88,69,0.0,0.0,false
89,77,0.0,0.0,false
90,97,0.0,0.0,false
92,214,0.0,0.0,false
93,79,0.0,0.0,false
94,25,0.0,0.0,false
95,84,0.0,0.0,false
96,34,0.0,0.0,false
97,33,0.0,0.0,false
98,104,0.0,0.0,false
99,172,0.0,0.0,false
100,70,0.0,0.0,false
101,140,0.0,0.0,false
105,31,0.0,0.0,false
106,60,0.0,0.0,false
107,60,0.0,0.0,false
109,61,0.0,0.0,false
112,248,0.0,0.0,false
116,346,0.0,0.0,false
119,84,0.0,0.0,false
120,53,0.0,0.0,false
121,132,0.0,0.0,false
122,4088,0.0,0.0,false
124,47,0.0,0.0,false
127,327,0.0,0.0,false
129,136,0.0,0.0,false
130,56,0.0,0.0,false
131,74,0.0,0.0,false
133,174,0.0,0.0,false
134,148,0.0,0.0,false
135,92,0.0,0.0,false
136,45,0.0,0.0,false
137,168,0.0,0.0,false
138,77,0.0,0.0,false
139,666,0.0,0.0,false
140,88,0.0,0.0,false
142,54,0.0,0.0,false
143,51,0.0,0.0,false
146,152,0.0,0.0,false
147,39,0.0,0.0,false
149,131,0.0,0.0,false
150,47,0.0,0.0,false
151,129,0.0,0.0,false
152,43,0.0,0.0,false
155,62,0.0,0.0,false
156,45,0.0,0.0,false
157,97,0.0,0.0,false
158,39,0.0,0.0,false
160,585,0.0,0.0,false
161,71,0.0,0.0,true
163,355,0.0,0.0,false
