ID,Size,Predicted,Actual
217,33,0.96,NO
281,33,0.96,NO
316,35,0.98,NO
344,29,0.7861429,NO
286,36,0.96,NO
372,38,0.81972617,NO
446,38,0.81972617,NO
235,56,0.95,NO
311,56,0.95,NO
284,28,0.45907143,NO
434,68,0.94,NO
79,69,0.94,NO
177,69,0.94,YES
239,65,0.828,NO
48,79,0.97,NO
84,79,0.97,NO
559,79,0.97,NO
343,82,0.94,NO
270,38,0.435,NO
312,38,0.435,NO
308,37,0.415,NO
581,64,0.7,NO
261,75,0.8066667,NO
321,72,0.765,NO
478,83,0.87764287,NO
49,82,0.8576428,NO
209,69,0.72,NO
319,71,0.735,NO
331,71,0.72433335,NO
307,79,0.8,NO
231,64,0.6455714,NO
241,64,0.6455714,NO
213,61,0.60333335,NO
254,61,0.60333335,NO
246,84,0.81,NO
253,84,0.81,NO
320,62,0.596,NO
336,66,0.6333333,NO
342,86,0.82,NO
458,105,1.0,NO
101,84,0.79,YES
45,90,0.8312143,YES
451,90,0.8312143,NO
463,90,0.8312143,NO
548,90,0.8312143,NO
72,93,0.8560873,YES
81,94,0.8485873,YES
377,94,0.8485873,NO
588,94,0.8485873,NO
70,92,0.8262143,YES
117,92,0.8262143,NO
395,92,0.8262143,NO
454,92,0.8262143,NO
160,100,0.8528929,YES
192,100,0.8528929,NO
435,100,0.8528929,NO
474,100,0.8528929,NO
244,74,0.62733334,NO
238,73,0.61733335,NO
252,73,0.61733335,NO
322,73,0.61733335,NO
485,101,0.8528929,NO
37,106,0.89,YES
60,106,0.89,NO
442,106,0.89,NO
443,106,0.89,NO
208,77,0.64,NO
260,77,0.64,NO
347,77,0.64,NO
269,87,0.72,NO
346,87,0.72,NO
210,104,0.8606667,NO
228,51,0.4212381,NO
304,78,0.64,NO
301,88,0.72,NO
334,54,0.44,NO
216,106,0.861,NO
248,76,0.61,NO
256,76,0.61,NO
466,107,0.85,NO
527,88,0.69,NO
292,91,0.71,NO
306,63,0.4817381,NO
276,107,0.811,NO
337,107,0.811,NO
224,135,1.0,NO
335,27,0.19857143,NO
293,129,0.94,NO
317,129,0.94,NO
232,101,0.73516667,NO
278,101,0.73516667,NO
268,26,0.18857142,NO
294,138,1.0,NO
89,104,0.75,NO
428,104,0.75,NO
302,139,0.98,NO
263,127,0.89,NO
297,127,0.89,NO
296,98,0.6846667,NO
290,145,0.98,NO
67,89,0.5995476,NO
357,89,0.5995476,NO
407,89,0.5995476,NO
323,145,0.97,NO
298,77,0.51,NO
229,25,0.165,NO
173,102,0.67,NO
264,148,0.97,NO
146,80,0.52,NO
282,95,0.61466664,NO
349,95,0.61466664,NO
236,39,0.24833333,NO
116,148,0.9163203,NO
267,96,0.58466667,NO
91,70,0.42,NO
382,70,0.42,NO
502,70,0.42,NO
195,67,0.39,YES
456,67,0.39,NO
384,160,0.91,NO
473,159,0.9,NO
523,162,0.91,NO
259,109,0.6116667,NO
107,101,0.566,NO
340,161,0.89,NO
142,102,0.5623095,NO
