ID,Size,Predicted,Actual
217,33,0.78,NO
281,33,0.78,NO
316,35,0.72,NO
286,36,0.58,NO
344,29,0.35283333,NO
235,56,0.54,NO
311,56,0.54,NO
434,68,0.64,NO
79,69,0.63,NO
177,69,0.63,YES
48,79,0.7,NO
84,79,0.7,NO
559,79,0.7,NO
239,65,0.54795235,NO
458,105,0.87,NO
343,82,0.67,NO
321,72,0.57783335,NO
372,38,0.2944365,NO
446,38,0.2944365,NO
319,71,0.5478333,NO
209,69,0.51,NO
101,84,0.61,YES
37,106,0.73,YES
60,106,0.73,NO
442,106,0.73,NO
443,106,0.73,NO
466,107,0.73,NO
224,135,0.9,NO
331,71,0.46883333,NO
294,138,0.9,NO
261,75,0.48166665,NO
302,139,0.89,NO
246,84,0.49,NO
253,84,0.49,NO
307,79,0.46,NO
293,129,0.75,NO
317,129,0.75,NO
581,64,0.36,NO
336,66,0.357,NO
323,145,0.77,NO
290,145,0.76,NO
342,86,0.45,NO
263,127,0.61,NO
297,127,0.61,NO
478,83,0.39261904,NO
292,91,0.43,NO
269,87,0.41,NO
346,87,0.41,NO
216,106,0.49933332,NO
301,88,0.41,NO
173,102,0.475,NO
210,104,0.47933334,NO
282,95,0.42,NO
349,95,0.42,NO
208,77,0.34,NO
260,77,0.34,NO
347,77,0.34,NO
264,148,0.65,NO
276,107,0.46933332,NO
337,107,0.46933332,NO
384,160,0.68,NO
523,162,0.67,NO
160,100,0.41271427,YES
192,100,0.41271427,NO
435,100,0.41271427,NO
474,100,0.41271427,NO
473,159,0.65,NO
485,101,0.41271427,NO
304,78,0.31,NO
267,96,0.37,NO
296,98,0.37,NO
231,64,0.23908442,NO
241,64,0.23908442,NO
340,161,0.6,NO
116,148,0.54079366,NO
226,163,0.59,NO
49,82,0.2942857,NO
527,88,0.31,NO
70,92,0.31764287,YES
117,92,0.31764287,NO
395,92,0.31764287,NO
454,92,0.31764287,NO
248,76,0.26,NO
256,76,0.26,NO
232,101,0.33483332,NO
278,101,0.33483332,NO
89,104,0.34,NO
428,104,0.34,NO
238,73,0.23783334,NO
252,73,0.23783334,NO
322,73,0.23783334,NO
45,90,0.29119048,YES
451,90,0.29119048,NO
463,90,0.29119048,NO
548,90,0.29119048,NO
81,94,0.29354763,YES
377,94,0.29354763,NO
588,94,0.29354763,NO
213,61,0.19,NO
254,61,0.19,NO
244,74,0.22783333,NO
72,93,0.2835476,YES
97,194,0.58,NO
107,101,0.29833335,NO
313,237,0.7,NO
274,234,0.69,NO
151,230,0.66,YES
179,230,0.66,NO
275,239,0.68,NO
333,241,0.68,NO
251,250,0.68,NO
63,236,0.64,NO
96,189,0.51,YES
55,167,0.45,NO
518,200,0.52,NO
481,202,0.52,NO
133,243,0.61,YES
187,243,0.61,NO
291,151,0.37,NO
303,125,0.3,NO
266,157,0.37,NO
338,157,0.37,NO
542,196,0.46,YES
320,62,0.14,NO
250,153,0.34,NO
156,208,0.46,YES
298,77,0.17,NO
289,193,0.42,NO
270,38,0.08166666,NO
312,38,0.08166666,NO
327,192,0.41,NO
271,281,0.59,NO
259,109,0.22833334,NO
306,63,0.12683442,NO
522,266,0.53,NO
280,212,0.42,NO
300,212,0.42,NO
326,214,0.42,NO
329,256,0.49,NO
284,28,0.053333335,NO
529,58,0.11,NO
219,295,0.55,NO
397,371,0.69,NO
247,226,0.42,NO
392,377,0.68,NO
237,261,0.46,NO
318,261,0.46,NO
234,187,0.32916668,NO
136,97,0.17,YES
358,380,0.65,NO
242,164,0.28,NO
288,164,0.28,NO
359,141,0.24,NO
393,383,0.65,YES
257,165,0.28,NO
175,389,0.65,YES
295,222,0.37,NO
308,37,0.06,NO
229,25,0.04,NO
188,402,0.64,YES
561,365,0.58,NO
227,184,0.28916666,NO
215,179,0.28,NO
277,174,0.27,NO
268,26,0.04,NO
279,176,0.27,NO
272,380,0.58,NO
351,376,0.57,NO
138,286,0.43,YES
98,346,0.52,NO
324,413,0.62,NO
157,408,0.61,YES
222,168,0.25,NO
309,181,0.26916668,NO
335,27,0.04,NO
202,223,0.33,NO
265,169,0.25,NO
353,399,0.59,NO
212,421,0.62,NO
299,171,0.25,NO
230,180,0.25916666,NO
211,115,0.16333333,NO
221,444,0.63,NO
178,418,0.59,NO
283,116,0.16333333,NO
