ID,Size,Predicted,Actual
201,71,0.8,YES
267,76,0.83,NO
164,73,0.79,NO
259,77,0.83,NO
256,78,0.83,YES
213,59,0.62,NO
193,64,0.67,NO
26,68,0.7,YES
260,72,0.74,NO
261,72,0.74,NO
149,77,0.77,NO
257,69,0.69,NO
258,69,0.69,NO
98,97,0.95,NO
169,97,0.95,NO
361,98,0.95,YES
484,98,0.95,YES
599,98,0.95,YES
332,96,0.93,YES
540,96,0.93,YES
255,81,0.78,NO
223,99,0.95,NO
238,99,0.95,NO
556,99,0.95,YES
500,100,0.94,YES
539,100,0.94,YES
135,101,0.94,NO
297,101,0.94,YES
343,101,0.94,YES
510,101,0.94,YES
550,101,0.94,YES
215,102,0.94,NO
597,103,0.94,YES
610,103,0.94,YES
63,90,0.82,YES
106,104,0.94,NO
275,104,0.94,YES
493,104,0.94,YES
504,104,0.94,YES
523,105,0.94,YES
18,83,0.72,NO
64,82,0.71,NO
262,63,0.54,NO
269,63,0.54,NO
181,80,0.67,YES
47,106,0.88,NO
281,106,0.88,YES
507,106,0.88,YES
508,106,0.88,YES
174,84,0.69,NO
15,103,0.84,NO
265,96,0.78,NO
126,90,0.68,NO
38,87,0.65,NO
71,86,0.64,NO
145,92,0.67,NO
199,101,0.72,YES
334,87,0.61,YES
411,87,0.61,YES
87,92,0.64,NO
460,92,0.64,YES
519,92,0.64,YES
151,88,0.61,YES
366,88,0.61,YES
592,88,0.61,YES
357,91,0.63,YES
234,100,0.69,NO
89,93,0.64,NO
84,89,0.61,NO
206,89,0.61,YES
422,89,0.61,YES
472,89,0.61,YES
57,94,0.64,NO
442,94,0.64,YES
509,94,0.64,YES
653,94,0.64,YES
59,90,0.61,NO
60,90,0.61,NO
516,90,0.61,YES
528,90,0.61,YES
613,90,0.61,YES
347,95,0.64,YES
414,95,0.64,YES
253,99,0.63,NO
341,107,0.66,YES
402,107,0.66,YES
531,107,0.66,YES
264,28,0.17,NO
154,76,0.43,NO
35,175,0.96,NO
32,31,0.17,NO
239,170,0.93,NO
143,174,0.94,NO
76,167,0.9,YES
148,182,0.94,NO
235,186,0.95,YES
48,189,0.95,NO
342,174,0.87,YES
344,176,0.87,YES
177,102,0.5,NO
618,178,0.87,YES
249,111,0.54,YES
280,179,0.87,YES
431,179,0.87,YES
124,194,0.94,NO
295,180,0.87,YES
374,181,0.87,YES
566,182,0.87,YES
107,172,0.82,NO
444,183,0.87,YES
446,183,0.87,YES
481,183,0.87,YES
292,184,0.87,YES
118,185,0.87,NO
299,187,0.87,YES
91,204,0.94,YES
69,205,0.94,YES
58,191,0.87,NO
426,191,0.87,YES
31,211,0.96,NO
392,192,0.87,YES
144,148,0.67,NO
287,168,0.76,YES
354,193,0.87,YES
364,171,0.77,YES
429,171,0.77,YES
330,169,0.76,YES
535,167,0.75,YES
630,170,0.76,YES
70,190,0.84,NO
53,41,0.18,NO
607,196,0.86,YES
14,55,0.24,NO
0,215,0.93,NO
583,200,0.86,YES
546,202,0.86,YES
266,40,0.17,NO
123,199,0.84,NO
327,204,0.86,YES
120,43,0.18,NO
187,230,0.95,NO
221,230,0.95,NO
322,165,0.68,YES
428,165,0.68,YES
13,204,0.84,NO
72,207,0.85,YES
86,166,0.68,NO
178,226,0.92,YES
339,234,0.94,YES
8,45,0.18,NO
79,237,0.94,NO
378,237,0.94,YES
184,241,0.95,NO
229,244,0.96,YES
194,211,0.83,YES
340,239,0.94,YES
179,153,0.6,NO
3,138,0.54,NO
398,241,0.94,YES
90,244,0.94,NO
131,148,0.57,YES
271,45,0.17,NO
139,136,0.5,YES
252,68,0.25,YES
192,111,0.4,NO
189,226,0.81,YES
226,258,0.9,NO
268,49,0.17,NO
183,264,0.91,YES
17,262,0.9,NO
231,273,0.93,NO
36,50,0.17,NO
263,50,0.17,NO
61,271,0.92,YES
1,274,0.93,YES
605,206,0.69,YES
41,224,0.75,NO
270,55,0.18,NO
647,210,0.68,YES
254,53,0.17,NO
345,212,0.68,YES
365,212,0.68,YES
536,213,0.68,YES
45,58,0.18,NO
62,152,0.47,NO
100,214,0.66,NO
391,214,0.66,YES
530,214,0.66,YES
644,214,0.66,YES
236,118,0.34,NO
138,275,0.79,YES
307,164,0.47,YES
353,164,0.47,YES
240,120,0.34,NO
155,132,0.36,NO
638,277,0.74,YES
200,343,0.9,YES
197,340,0.89,NO
207,326,0.83,NO
142,362,0.9,YES
203,272,0.66,YES
379,273,0.66,YES
182,352,0.84,YES
216,288,0.67,YES
214,289,0.67,NO
22,390,0.89,NO
470,277,0.63,YES
73,397,0.9,YES
195,397,0.89,NO
284,295,0.66,YES
21,387,0.85,YES
218,337,0.74,NO
12,55,0.12,NO
219,108,0.23,NO
233,108,0.23,YES
464,108,0.23,YES
590,108,0.23,YES
128,372,0.79,NO
230,401,0.85,NO
40,373,0.79,NO
127,335,0.68,NO
191,420,0.85,NO
66,422,0.85,YES
217,423,0.85,NO
198,279,0.56,NO
245,294,0.59,YES
614,298,0.59,YES
404,300,0.59,YES
623,303,0.59,YES
29,314,0.61,YES
627,306,0.59,YES
595,308,0.59,YES
640,308,0.59,YES
642,308,0.59,YES
2,461,0.88,YES
196,462,0.87,NO
631,266,0.49,YES
228,531,0.97,YES
390,322,0.58,YES
314,323,0.58,YES
85,474,0.85,YES
54,319,0.57,YES
466,319,0.57,YES
180,458,0.81,YES
175,560,0.99,YES
27,547,0.96,YES
28,566,0.96,NO
172,575,0.97,YES
16,83,0.14,NO
80,424,0.7,YES
122,310,0.49,YES
94,618,0.97,YES
246,618,0.97,YES
68,530,0.83,NO
542,535,0.83,YES
5,163,0.25,NO
291,163,0.25,YES
121,248,0.38,NO
323,504,0.77,YES
501,550,0.84,YES
298,512,0.77,YES
136,517,0.77,NO
95,565,0.84,NO
211,648,0.96,NO
316,250,0.37,YES
24,637,0.94,NO
92,252,0.37,NO
645,252,0.37,YES
74,573,0.84,NO
225,601,0.88,NO
495,254,0.37,YES
243,319,0.46,NO
88,476,0.68,YES
308,624,0.88,YES
456,624,0.88,YES
394,256,0.36,YES
393,628,0.88,YES
512,628,0.88,YES
165,257,0.36,NO
171,429,0.6,YES
283,657,0.89,YES
150,666,0.89,NO
159,677,0.89,NO
352,692,0.89,YES
147,39,0.05,NO
604,707,0.89,YES
202,32,0.04,NO
635,802,1.0,YES
272,476,0.58,YES
288,752,0.89,YES
51,849,0.99,YES
19,867,1.0,YES
619,778,0.89,YES
553,491,0.56,YES
30,839,0.95,NO
133,860,0.96,YES
580,804,0.89,YES
52,877,0.96,YES
541,842,0.89,YES
588,162,0.17,YES
224,763,0.8,NO
336,281,0.29,YES
559,863,0.89,YES
461,282,0.29,YES
537,867,0.89,YES
285,872,0.89,YES
116,876,0.89,NO
77,109,0.11,NO
93,109,0.11,NO
324,109,0.11,YES
302,261,0.26,YES
383,261,0.26,YES
465,111,0.11,YES
514,111,0.11,YES
152,263,0.26,YES
628,263,0.26,YES
173,142,0.14,NO
119,264,0.26,NO
11,1008,0.99,YES
587,266,0.26,YES
176,359,0.35,YES
410,267,0.26,YES
186,991,0.96,NO
320,936,0.89,YES
67,1059,0.97,YES
520,979,0.89,YES
608,287,0.26,YES
232,1074,0.97,NO
632,288,0.26,YES
82,1118,1.0,NO
276,115,0.1,YES
503,1038,0.89,YES
290,1126,0.89,YES
6,1248,0.97,YES
348,116,0.09,YES
380,116,0.09,YES
617,116,0.09,YES
286,444,0.33,YES
611,1207,0.89,YES
548,1263,0.89,YES
251,131,0.09,NO
502,437,0.3,YES
606,438,0.3,YES
626,365,0.25,YES
405,161,0.11,YES
389,413,0.28,YES
616,415,0.28,YES
462,371,0.25,YES
615,373,0.25,YES
220,418,0.28,NO
277,421,0.28,YES
416,376,0.25,YES
651,376,0.25,YES
452,422,0.28,YES
457,377,0.25,YES
337,380,0.25,YES
423,380,0.25,YES
458,382,0.25,YES
418,399,0.25,YES
355,145,0.09,YES
388,145,0.09,YES
44,147,0.09,NO
65,147,0.09,NO
204,148,0.09,NO
329,148,0.09,YES
425,148,0.09,YES
310,117,0.07,YES
441,117,0.07,YES
600,117,0.07,YES
49,151,0.09,NO
356,151,0.09,YES
451,151,0.09,YES
538,159,0.09,YES
156,160,0.09,YES
449,160,0.09,YES
505,332,0.18,YES
415,337,0.18,YES
338,339,0.18,YES
397,340,0.18,YES
112,152,0.08,NO
157,152,0.08,NO
315,153,0.08,YES
498,153,0.08,YES
9,157,0.08,NO
331,157,0.08,YES
403,157,0.08,YES
247,158,0.08,YES
453,221,0.11,YES
360,222,0.11,YES
529,223,0.11,YES
312,226,0.11,YES
137,327,0.15,NO
305,329,0.15,YES
547,155,0.07,YES
110,156,0.07,NO
439,156,0.07,YES
279,2009,0.89,YES
99,343,0.13,NO
596,343,0.13,YES
125,346,0.13,NO
4,358,0.09,NO
469,358,0.09,YES
637,359,0.09,YES
43,83,0.02,NO
543,83,0.02,YES
103,84,0.02,NO
129,84,0.02,NO
311,84,0.02,YES
318,84,0.02,YES
440,84,0.02,YES
625,84,0.02,YES
78,85,0.02,NO
445,85,0.02,YES
407,86,0.02,YES
573,86,0.02,YES
577,86,0.02,YES
636,86,0.02,YES
132,4088,0.89,NO
42,118,0.02,YES
395,119,0.02,YES
406,120,0.02,YES
50,352,0.05,YES
591,354,0.05,YES
578,355,0.05,YES
166,356,0.05,NO
650,357,0.05,YES
326,75,0.01,YES
581,75,0.01,YES
313,76,0.01,YES
321,76,0.01,YES
545,76,0.01,YES
97,77,0.01,NO
273,77,0.01,YES
325,77,0.01,YES
363,77,0.01,YES
412,77,0.01,YES
558,77,0.01,YES
369,78,0.01,YES
101,79,0.01,NO
372,79,0.01,YES
624,79,0.01,YES
248,80,0.01,NO
496,16883,0.89,YES
7,51,0.0,NO
10,31,0.0,NO
20,40,0.0,NO
23,51,0.0,NO
25,32,0.0,NO
33,50,0.0,NO
34,27,0.0,NO
37,62,0.0,NO
39,52,0.0,NO
46,44,0.0,NO
55,27,0.0,NO
56,55,0.0,NO
75,126,0.0,YES
81,47,0.0,NO
83,27,0.0,NO
96,69,0.0,NO
102,25,0.0,NO
104,34,0.0,NO
105,33,0.0,NO
108,70,0.0,NO
109,140,0.0,NO
111,142,0.0,NO
113,31,0.0,NO
114,60,0.0,NO
115,60,0.0,NO
117,61,0.0,NO
130,53,0.0,NO
134,47,0.0,NO
140,56,0.0,NO
141,74,0.0,NO
146,45,0.0,NO
153,54,0.0,NO
158,39,0.0,NO
160,131,0.0,NO
161,47,0.0,NO
162,129,0.0,NO
163,43,0.0,NO
167,62,0.0,NO
168,45,0.0,NO
170,39,0.0,NO
185,71,0.0,NO
188,36,0.0,NO
190,32,0.0,NO
205,43,0.0,NO
208,65,0.0,NO
209,59,0.0,NO
210,131,0.0,NO
212,43,0.0,NO
222,59,0.0,NO
227,49,0.0,NO
237,67,0.0,NO
241,64,0.0,NO
242,56,0.0,NO
244,55,0.0,NO
250,52,0.0,NO
274,69,0.0,YES
278,61,0.0,YES
282,33,0.0,YES
289,135,0.0,YES
293,51,0.0,YES
294,25,0.0,YES
296,64,0.0,YES
300,56,0.0,YES
301,39,0.0,YES
303,73,0.0,YES
304,65,0.0,YES
306,64,0.0,YES
309,74,0.0,YES
317,73,0.0,YES
319,61,0.0,YES
328,127,0.0,YES
333,26,0.0,YES
335,38,0.0,YES
346,33,0.0,YES
349,28,0.0,YES
350,46,0.0,YES
351,36,0.0,YES
358,129,0.0,YES
359,138,0.0,YES
362,127,0.0,YES
367,139,0.0,YES
368,125,0.0,YES
370,50,0.0,YES
371,63,0.0,YES
373,37,0.0,YES
375,47,0.0,YES
376,56,0.0,YES
377,38,0.0,YES
381,35,0.0,YES
382,129,0.0,YES
384,71,0.0,YES
385,62,0.0,YES
386,72,0.0,YES
387,73,0.0,YES
396,71,0.0,YES
399,54,0.0,YES
400,27,0.0,YES
401,66,0.0,YES
408,82,0.0,YES
409,29,0.0,YES
413,40,0.0,YES
417,46,0.0,YES
419,72,0.0,YES
420,42,0.0,YES
421,48,0.0,YES
424,141,0.0,YES
427,46,0.0,YES
430,56,0.0,YES
432,74,0.0,YES
433,36,0.0,YES
434,37,0.0,YES
435,34,0.0,YES
436,34,0.0,YES
437,38,0.0,YES
438,39,0.0,YES
443,71,0.0,YES
447,70,0.0,YES
448,54,0.0,YES
450,128,0.0,YES
454,50,0.0,YES
455,42,0.0,YES
459,72,0.0,YES
463,47,0.0,YES
467,129,0.0,YES
468,49,0.0,YES
471,49,0.0,YES
473,41,0.0,YES
474,66,0.0,YES
475,63,0.0,YES
476,24,0.0,YES
477,50,0.0,YES
478,72,0.0,YES
479,47,0.0,YES
480,47,0.0,YES
482,49,0.0,YES
483,50,0.0,YES
485,143,0.0,YES
486,43,0.0,YES
487,42,0.0,YES
488,56,0.0,YES
489,44,0.0,YES
490,26,0.0,YES
491,51,0.0,NO
492,41,0.0,YES
494,54,0.0,YES
497,74,0.0,YES
499,68,0.0,YES
506,123,0.0,YES
511,38,0.0,YES
513,32,0.0,YES
515,35,0.0,YES
517,27,0.0,YES
518,28,0.0,YES
521,67,0.0,YES
522,29,0.0,YES
524,72,0.0,YES
525,37,0.0,YES
526,47,0.0,YES
527,31,0.0,YES
532,37,0.0,YES
533,27,0.0,YES
534,48,0.0,YES
544,63,0.0,YES
549,74,0.0,YES
551,27,0.0,YES
552,22,0.0,YES
554,62,0.0,YES
555,59,0.0,YES
557,27,0.0,YES
560,64,0.0,YES
561,45,0.0,YES
562,63,0.0,YES
563,54,0.0,YES
564,64,0.0,YES
565,132,0.0,YES
567,70,0.0,YES
568,36,0.0,YES
569,58,0.0,YES
570,62,0.0,YES
571,132,0.0,YES
572,74,0.0,YES
574,74,0.0,YES
575,48,0.0,YES
576,74,0.0,YES
579,53,0.0,YES
582,125,0.0,YES
584,134,0.0,YES
585,57,0.0,YES
586,123,0.0,YES
589,130,0.0,YES
593,28,0.0,YES
594,58,0.0,YES
598,35,0.0,YES
601,58,0.0,YES
602,51,0.0,YES
603,57,0.0,YES
609,35,0.0,YES
612,139,0.0,YES
620,36,0.0,YES
621,36,0.0,YES
622,36,0.0,YES
629,41,0.0,YES
633,137,0.0,YES
634,48,0.0,YES
639,53,0.0,YES
641,54,0.0,YES
643,55,0.0,YES
646,64,0.0,YES
648,62,0.0,YES
649,60,0.0,YES
652,47,0.0,YES
