ID,Size,Predicted,Actual
222,22,0.35833332,NO
202,29,0.40033334,NO
197,27,0.35833332,NO
227,27,0.35833332,NO
198,28,0.36833334,NO
260,28,0.36833334,NO
253,31,0.348,NO
163,63,0.68,NO
224,62,0.64,NO
239,62,0.64,NO
133,63,0.64,NO
232,63,0.64,NO
57,27,0.26619047,NO
211,27,0.26619047,NO
234,64,0.63,NO
296,64,0.63,NO
273,63,0.62,YES
162,66,0.64,NO
58,88,0.85,YES
94,88,0.85,NO
80,55,0.53,NO
195,35,0.334,NO
245,60,0.56,NO
145,37,0.344,NO
204,37,0.344,NO
233,37,0.344,NO
83,38,0.35066667,YES
146,38,0.35066667,NO
193,32,0.288,NO
199,36,0.324,NO
256,32,0.288,NO
128,64,0.57,YES
86,69,0.61,YES
37,55,0.48,NO
122,67,0.58,NO
27,88,0.76,YES
98,30,0.25585714,NO
70,90,0.76,YES
201,67,0.56,NO
30,91,0.76,YES
39,65,0.54,NO
185,92,0.74,YES
26,62,0.49,YES
264,35,0.274,NO
85,39,0.30066666,NO
147,39,0.30066666,NO
250,39,0.30066666,NO
172,56,0.43,NO
237,36,0.274,NO
22,46,0.35,YES
141,58,0.44,NO
154,58,0.44,NO
225,58,0.44,NO
238,58,0.44,NO
267,58,0.44,NO
100,101,0.7575,NO
261,57,0.42,NO
254,57,0.41,NO
269,57,0.41,NO
18,66,0.47,NO
161,41,0.29066667,NO
174,41,0.29066667,NO
181,41,0.29066667,NO
95,71,0.5,NO
150,71,0.5,NO
112,49,0.34,NO
9,31,0.21185714,NO
17,32,0.21852382,NO
215,63,0.43,NO
131,42,0.284,NO
171,42,0.284,NO
28,52,0.35,YES
23,27,0.18,NO
130,72,0.48,NO
25,60,0.38,NO
143,74,0.46,NO
220,74,0.46,NO
241,74,0.46,NO
243,74,0.46,NO
149,88,0.53,NO
170,43,0.254,NO
52,90,0.53,NO
21,158,0.93,YES
47,84,0.49,NO
230,64,0.37,NO
203,72,0.41,NO
189,92,0.52,YES
300,92,0.52,NO
246,86,0.48,NO
216,76,0.42,NO
286,76,0.42,NO
129,163,0.88,YES
75,148,0.79,YES
77,148,0.79,NO
118,92,0.49,YES
119,100,0.5275,NO
179,153,0.8,NO
87,94,0.49,YES
221,94,0.49,NO
106,43,0.224,NO
228,77,0.4,NO
266,79,0.41,YES
41,81,0.42,NO
53,85,0.44,NO
196,85,0.44,NO
160,103,0.53,NO
210,37,0.19,NO
251,78,0.4,NO
259,80,0.41,NO
42,84,0.43,NO
153,84,0.43,NO
206,31,0.15852381,NO
78,92,0.47,NO
242,83,0.42,YES
252,85,0.43,YES
71,58,0.29,YES
144,36,0.18,NO
226,94,0.47,NO
173,51,0.254,NO
268,51,0.254,NO
46,153,0.76,NO
293,52,0.254,NO
125,154,0.75,NO
123,166,0.8,NO
248,53,0.254,NO
289,53,0.254,NO
101,167,0.8,YES
275,74,0.35,NO
175,104,0.49,NO
7,51,0.24,NO
82,54,0.254,NO
176,54,0.254,NO
291,54,0.254,NO
126,152,0.71,YES
187,105,0.49,YES
188,105,0.49,YES
76,174,0.8,NO
84,98,0.45,NO
168,98,0.45,NO
265,98,0.45,NO
148,96,0.44,NO
177,162,0.74,YES
263,103,0.47,NO
10,180,0.82,NO
217,191,0.87,YES
190,101,0.46,YES
165,183,0.83,NO
277,166,0.75,NO
0,215,0.97,NO
180,43,0.194,NO
271,154,0.69,NO
281,170,0.76,NO
51,79,0.35,YES
97,127,0.56,NO
120,185,0.81,NO
124,74,0.32,NO
191,45,0.194,NO
5,216,0.93,NO
68,172,0.74,YES
167,50,0.214,NO
218,160,0.68,YES
105,46,0.194,NO
138,46,0.194,NO
45,171,0.72,NO
151,114,0.48,NO
66,236,0.99,YES
92,210,0.88,YES
142,148,0.62,YES
64,98,0.41,YES
65,132,0.55,NO
255,108,0.45,NO
110,113,0.47,NO
108,77,0.32,YES
102,47,0.194,NO
103,47,0.194,NO
104,47,0.194,NO
164,47,0.194,NO
299,47,0.194,NO
283,241,0.99,YES
48,169,0.69,NO
297,206,0.84,YES
236,172,0.7,NO
40,150,0.61,YES
294,246,1.0,YES
194,111,0.45,NO
132,48,0.194,NO
244,48,0.194,NO
285,48,0.194,NO
207,77,0.31,YES
93,249,1.0,YES
295,208,0.83,NO
166,49,0.194,NO
60,175,0.68,YES
276,116,0.45,NO
258,201,0.77,NO
11,196,0.75,NO
91,183,0.69,NO
36,216,0.81,YES
38,184,0.69,NO
209,81,0.3,YES
62,209,0.77,NO
139,165,0.6,NO
257,227,0.82,NO
270,230,0.82,YES
49,189,0.67,YES
205,51,0.18,NO
208,168,0.59,YES
13,40,0.14,NO
140,162,0.56,NO
282,241,0.83,NO
19,187,0.64,YES
67,227,0.76,NO
137,190,0.63,YES
29,163,0.53,NO
1,271,0.86,NO
279,265,0.84,YES
59,283,0.89,YES
8,150,0.47,NO
288,272,0.85,YES
292,268,0.82,NO
14,255,0.78,YES
121,118,0.36,NO
116,259,0.79,NO
55,276,0.84,YES
54,113,0.34,YES
114,243,0.73,NO
111,258,0.77,NO
157,242,0.69,YES
109,261,0.74,YES
280,261,0.74,NO
272,251,0.71,NO
186,355,0.97,YES
247,355,0.97,NO
81,256,0.69,YES
33,282,0.75,YES
15,379,1.0,YES
159,366,0.95,NO
156,363,0.94,YES
127,120,0.31,NO
4,368,0.95,YES
135,136,0.35,YES
290,306,0.78,NO
192,299,0.75,YES
240,132,0.33,NO
115,358,0.89,YES
134,318,0.79,NO
99,380,0.94,YES
182,400,0.98,YES
63,147,0.36,NO
50,127,0.31,NO
44,312,0.76,YES
152,342,0.83,NO
235,124,0.3,NO
298,315,0.76,NO
136,141,0.34,YES
155,129,0.31,NO
107,134,0.32,YES
274,130,0.31,NO
169,143,0.34,NO
3,137,0.32,NO
183,425,0.98,YES
72,132,0.3,NO
2,451,1.0,NO
12,473,1.0,YES
31,147,0.31,NO
262,446,0.89,NO
213,436,0.86,YES
16,509,1.0,YES
61,507,0.98,YES
69,507,0.98,YES
212,48,0.09,NO
287,139,0.26,NO
223,481,0.89,NO
56,549,0.98,YES
20,576,1.0,YES
88,582,1.0,YES
73,529,0.9,YES
34,582,0.99,YES
214,77,0.13,YES
113,339,0.57,YES
249,612,0.96,YES
79,664,1.0,NO
200,574,0.85,YES
89,319,0.47,NO
32,139,0.2,NO
74,694,0.98,YES
90,321,0.45,NO
158,682,0.95,YES
284,124,0.17,NO
96,734,0.98,YES
6,764,1.0,YES
24,788,1.0,YES
278,726,0.92,YES
229,744,0.88,YES
35,800,0.94,YES
219,906,0.99,YES
43,905,0.98,YES
184,1041,1.0,YES
231,45,0.04,NO
117,1167,0.89,YES
178,6523,1.0,YES
