ID,Size,Predicted,Actual
372,38,0.821127,NO
446,38,0.821127,NO
434,68,0.99,NO
79,69,0.99,NO
177,69,0.99,YES
48,79,0.92,NO
84,79,0.92,NO
559,79,0.92,NO
49,82,0.8884524,NO
478,83,0.8884524,NO
458,105,1.0,NO
45,90,0.8251147,NO
451,90,0.8251147,NO
463,90,0.8251147,NO
548,90,0.8251147,NO
37,106,0.96,YES
60,106,0.96,NO
442,106,0.96,NO
443,106,0.96,NO
160,100,0.90168256,YES
192,100,0.90168256,NO
435,100,0.90168256,NO
474,100,0.90168256,NO
70,92,0.8251147,NO
117,92,0.8251147,NO
395,92,0.8251147,NO
454,92,0.8251147,NO
72,93,0.83286077,NO
485,101,0.90168256,NO
466,107,0.95,NO
81,94,0.8228608,YES
377,94,0.8228608,NO
588,94,0.8228608,NO
334,54,0.44,NO
235,56,0.41,NO
311,56,0.41,NO
344,29,0.20857143,NO
101,84,0.6,NO
268,26,0.18333334,NO
89,104,0.73,NO
428,104,0.73,NO
173,102,0.71,NO
229,25,0.17333333,NO
67,89,0.5891544,NO
357,89,0.5891544,NO
407,89,0.5891544,NO
581,64,0.42,NO
261,75,0.47,NO
107,101,0.6241111,NO
116,148,0.9107808,NO
527,88,0.54,NO
208,77,0.47,NO
260,77,0.47,NO
347,77,0.47,NO
335,27,0.16333333,NO
146,80,0.48,NO
473,159,0.95,NO
384,160,0.95,NO
523,162,0.95,NO
284,28,0.16,NO
248,76,0.43,NO
256,76,0.43,NO
323,145,0.81,NO
213,61,0.34,NO
254,61,0.34,NO
321,72,0.4,NO
319,71,0.38,NO
331,71,0.38,NO
238,73,0.38,NO
252,73,0.38,NO
322,73,0.38,NO
142,102,0.52794445,NO
91,70,0.36,NO
382,70,0.36,NO
502,70,0.36,NO
296,98,0.5,NO
209,69,0.35,NO
231,64,0.32421428,NO
241,64,0.32421428,NO
292,91,0.46,NO
239,65,0.328,NO
320,62,0.31,NO
282,95,0.47,NO
349,95,0.47,NO
306,63,0.3112143,NO
267,96,0.47,NO
244,74,0.36,NO
336,66,0.32,NO
518,200,0.93,NO
290,145,0.67,NO
481,202,0.93,NO
156,208,0.95,YES
232,101,0.4525,NO
278,101,0.4525,NO
226,163,0.73,NO
302,139,0.62,NO
298,77,0.34,NO
340,161,0.71,NO
264,148,0.65,NO
532,103,0.45,NO
545,103,0.45,NO
257,165,0.72,NO
151,230,1.0,YES
179,230,1.0,NO
294,138,0.6,NO
222,168,0.73,NO
265,169,0.72,NO
224,135,0.57,NO
242,164,0.69,NO
288,164,0.69,NO
63,236,0.99,NO
230,180,0.75,NO
210,104,0.4325,NO
309,181,0.75,NO
215,179,0.74,NO
327,192,0.79,NO
279,176,0.72,NO
277,174,0.71,NO
227,184,0.75,NO
133,243,0.99,NO
187,243,0.99,NO
234,187,0.76,NO
5,163,0.66,NO
32,163,0.66,NO
289,193,0.78,NO
216,106,0.4277381,NO
299,171,0.69,NO
56,86,0.34,NO
266,157,0.62,NO
338,157,0.62,NO
291,151,0.59,NO
276,107,0.4177381,NO
337,107,0.4177381,NO
301,88,0.34,NO
250,153,0.59,NO
304,78,0.3,NO
269,87,0.32,NO
346,87,0.32,NO
307,79,0.29,NO
128,39,0.14295238,NO
373,39,0.14295238,NO
343,82,0.3,NO
529,58,0.21,NO
191,108,0.39,NO
342,86,0.31,NO
246,84,0.3,NO
253,84,0.3,NO
274,234,0.83,NO
275,239,0.84,NO
136,97,0.34,NO
313,237,0.83,NO
333,241,0.84,NO
259,109,0.37940475,NO
359,141,0.49,NO
195,67,0.23,NO
456,67,0.23,NO
251,250,0.82,NO
247,226,0.74,NO
262,204,0.66,NO
444,94,0.3,NO
464,223,0.7,NO
143,226,0.7,NO
295,222,0.68,NO
280,212,0.64,NO
300,212,0.64,NO
96,189,0.57,NO
374,156,0.47,NO
326,214,0.64,NO
399,108,0.32,NO
525,108,0.32,NO
471,213,0.63,NO
83,214,0.63,NO
465,214,0.63,NO
579,214,0.63,NO
33,109,0.32,NO
61,109,0.32,NO
76,109,0.32,NO
55,167,0.49,NO
369,37,0.10847222,NO
460,37,0.10847222,NO
467,37,0.10847222,NO
0,215,0.63,NO
535,117,0.34,NO
329,256,0.73,NO
237,261,0.74,NO
318,261,0.74,NO
97,194,0.55,NO
211,115,0.32190475,NO
386,151,0.4219767,NO
219,295,0.82,NO
283,116,0.32190475,NO
315,116,0.32190475,NO
106,47,0.13,NO
122,88,0.24161905,NO
165,88,0.24161905,YES
293,129,0.35333332,NO
317,129,0.35333332,NO
127,152,0.4119767,NO
271,281,0.76,NO
69,153,0.4119767,YES
144,153,0.4119767,NO
197,153,0.4119767,NO
433,153,0.4119767,NO
245,117,0.31333333,NO
397,371,0.99,NO
73,244,0.65,NO
345,267,0.71,NO
141,355,0.94,NO
513,355,0.94,NO
572,359,0.95,NO
314,273,0.72,NO
561,365,0.96,NO
392,377,0.99,NO
404,358,0.94,NO
94,248,0.65,NO
358,380,0.99,NO
439,104,0.27,NO
393,383,0.99,YES
445,101,0.26,NO
330,119,0.30333334,NO
263,127,0.32333332,NO
297,127,0.32333332,NO
175,389,0.99,YES
339,300,0.74,NO
188,402,0.99,YES
303,125,0.30333334,NO
157,408,0.98,YES
34,147,0.34999943,NO
50,147,0.34999943,NO
204,148,0.35,YES
341,120,0.28333333,NO
178,418,0.98,NO
86,84,0.196,NO
375,84,0.196,NO
560,84,0.196,NO
51,422,0.98,YES
351,376,0.87,NO
272,380,0.87,NO
93,156,0.35,NO
273,339,0.76,NO
332,340,0.76,NO
437,437,0.97,NO
350,337,0.74,NO
353,399,0.87,NO
8,157,0.34,NO
324,413,0.89,NO
23,160,0.34,YES
212,421,0.89,NO
522,266,0.56,NO
508,86,0.18,NO
148,221,0.46,NO
158,462,0.96,NO
217,33,0.068333335,NO
281,33,0.068333335,NO
181,99,0.204,NO
491,99,0.204,NO
98,346,0.71,NO
221,444,0.9,NO
325,322,0.65,NO
249,323,0.65,NO
240,329,0.66,NO
542,196,0.39,YES
360,148,0.29,NO
207,476,0.93,NO
549,298,0.58,NO
400,111,0.21,NO
449,111,0.21,NO
138,286,0.54,YES
258,504,0.93,NO
270,38,0.07,NO
312,38,0.07,NO
149,71,0.13,NO
378,71,0.13,NO
233,512,0.93,NO
228,51,0.09,NO
363,165,0.29,NO
62,85,0.148,NO
380,85,0.148,NO
80,77,0.13,NO
120,77,0.13,NO
493,77,0.13,NO
482,155,0.26,NO
3,138,0.23,NO
526,354,0.59,NO
308,37,0.06,NO
159,340,0.55,NO
540,204,0.33,NO
29,87,0.138,NO
470,167,0.26,NO
236,39,0.06,NO
243,624,0.95,NO
420,143,0.21582626,NO
348,40,0.06,NO
512,86,0.128,NO
571,86,0.128,NO
419,98,0.14133333,NO
534,98,0.14133333,NO
316,35,0.05,NO
328,628,0.89,NO
286,36,0.05,NO
430,254,0.35,NO
184,258,0.35,NO
566,258,0.35,NO
218,657,0.89,NO
163,148,0.2,NO
189,259,0.35,NO
39,326,0.44,YES
202,223,0.3,NO
585,357,0.48,NO
145,380,0.51,NO
114,359,0.48,YES
82,337,0.45,NO
563,263,0.35,NO
186,551,0.73,NO
183,558,0.73,YES
58,361,0.47,YES
287,692,0.9,NO
71,466,0.6,YES
18,577,0.73,YES
22,582,0.73,YES
139,585,0.73,NO
396,282,0.35,NO
582,210,0.26,NO
550,243,0.3,YES
477,525,0.64,NO
77,601,0.73,YES
205,96,0.11575758,NO
475,96,0.11575758,NO
305,50,0.06,NO
223,752,0.9,NO
203,617,0.73,NO
391,624,0.73,NO
401,319,0.37,NO
44,191,0.22,NO
361,191,0.22,NO
99,304,0.35,NO
74,192,0.22,YES
586,376,0.43,NO
40,648,0.73,YES
170,648,0.73,NO
580,252,0.28,NO
285,46,0.05,NO
352,46,0.05,NO
310,47,0.05,NO
176,321,0.34,NO
567,288,0.3,NO
220,872,0.9,NO
573,276,0.28,YES
154,420,0.41,NO
255,936,0.91,NO
92,140,0.13417028,NO
126,140,0.13417028,YES
182,762,0.73,NO
455,956,0.89,YES
68,301,0.28,YES
12,262,0.24,NO
123,262,0.24,NO
570,801,0.73,YES
20,66,0.06,NO
409,66,0.06,NO
551,415,0.37,NO
1,273,0.24,YES
161,342,0.3,YES
494,846,0.73,YES
31,268,0.23,YES
147,268,0.23,NO
46,273,0.23,YES
110,273,0.23,YES
405,277,0.23,NO
166,326,0.27,NO
225,1126,0.93,NO
108,510,0.42,YES
109,328,0.27,YES
15,369,0.3,NO
75,252,0.2,NO
558,303,0.24,YES
100,356,0.28,YES
543,287,0.22,NO
387,422,0.32,NO
95,277,0.21,YES
150,952,0.72,YES
102,53,0.04,NO
16,390,0.29,NO
447,628,0.46,NO
388,221,0.16,NO
111,136,0.09833334,NO
42,319,0.23,YES
190,1038,0.72,NO
140,295,0.2,YES
562,306,0.2,NO
488,491,0.32,NO
575,308,0.2,NO
577,308,0.2,NO
174,309,0.2,YES
47,137,0.08833333,NO
568,137,0.08833333,NO
541,438,0.28,NO
21,188,0.12,YES
38,139,0.08833333,NO
547,139,0.08833333,NO
54,189,0.12,YES
78,565,0.35,NO
530,308,0.19,NO
121,666,0.4,NO
4,358,0.21,NO
