ID,Size,Predicted,Actual
222,38,1.0,NO
296,38,1.0,NO
414,41,1.0,NO
167,43,1.0,NO
311,47,1.0,NO
122,48,1.0,NO
30,52,1.0,NO
203,52,1.0,NO
233,54,1.0,NO
279,54,1.0,NO
198,55,1.0,NO
428,55,1.0,NO
109,56,1.0,NO
196,56,1.0,NO
215,56,1.0,NO
35,58,1.0,NO
164,59,1.0,NO
176,59,1.0,NO
340,59,1.0,NO
434,60,1.0,NO
28,62,1.0,NO
131,62,1.0,NO
433,62,1.0,NO
152,64,1.0,NO
195,64,1.0,NO
345,64,1.0,NO
163,65,1.0,NO
197,65,1.0,NO
191,67,1.0,NO
306,67,1.0,NO
284,68,1.0,NO
79,69,1.0,NO
173,69,1.0,NO
91,70,1.0,NO
232,70,1.0,NO
228,71,1.0,NO
263,72,1.0,NO
110,74,1.0,NO
192,74,1.0,NO
366,75,1.0,NO
117,77,1.0,NO
48,79,1.0,NO
84,79,1.0,NO
409,79,1.0,NO
143,80,1.0,NO
377,80,1.0,NO
49,82,1.0,NO
358,83,1.0,NO
86,84,1.0,NO
225,84,1.0,NO
410,84,1.0,NO
230,85,1.0,NO
421,86,1.0,NO
29,87,1.0,NO
119,88,1.0,NO
161,88,1.0,NO
207,89,1.0,NO
257,89,1.0,NO
45,90,1.0,NO
313,90,1.0,NO
398,90,1.0,NO
98,91,1.0,NO
70,92,1.0,NO
114,92,1.0,NO
245,92,1.0,NO
304,92,1.0,NO
72,93,1.0,NO
294,93,1.0,NO
81,94,1.0,NO
133,94,1.0,NO
227,94,1.0,NO
438,94,1.0,NO
202,96,1.0,NO
325,96,1.0,NO
177,99,1.0,NO
341,99,1.0,NO
157,100,1.0,NO
188,100,1.0,NO
285,100,1.0,NO
324,100,1.0,NO
289,101,1.0,NO
295,101,1.0,NO
335,101,1.0,NO
139,102,1.0,NO
382,103,1.0,NO
395,103,1.0,NO
89,104,1.0,NO
278,104,1.0,NO
308,105,1.0,NO
37,106,1.0,NO
60,106,1.0,NO
292,106,1.0,NO
293,106,1.0,NO
316,107,1.0,NO
249,108,1.0,NO
375,108,1.0,NO
33,109,1.0,NO
61,109,1.0,NO
76,109,1.0,NO
187,109,1.0,NO
250,111,1.0,NO
299,111,1.0,NO
169,113,1.0,NO
168,114,1.0,NO
402,116,1.0,NO
226,117,1.0,NO
385,117,1.0,NO
190,118,1.0,NO
291,123,1.0,NO
371,123,1.0,NO
235,125,1.0,NO
367,125,1.0,NO
59,126,1.0,NO
128,129,1.0,NO
252,129,1.0,NO
374,130,1.0,NO
165,131,1.0,NO
350,132,1.0,NO
369,134,1.0,NO
108,136,1.0,NO
47,137,1.0,NO
418,137,1.0,NO
209,138,1.0,NO
397,139,1.0,NO
92,140,1.0,NO
123,140,1.0,NO
210,142,1.0,NO
50,147,1.0,NO
201,147,1.0,NO
113,148,1.0,NO
160,148,1.0,NO
104,150,1.0,NO
236,151,1.0,NO
124,152,1.0,NO
55,153,1.0,NO
69,153,1.0,NO
141,153,1.0,NO
193,153,1.0,NO
283,153,1.0,NO
8,154,1.0,NO
93,154,1.0,NO
332,155,1.0,NO
224,156,1.0,NO
23,158,1.0,NO
323,159,1.0,NO
234,160,1.0,NO
373,162,1.0,NO
5,163,1.0,NO
32,163,1.0,NO
213,165,1.0,NO
320,166,1.0,NO
116,168,1.0,NO
214,171,1.0,NO
90,172,1.0,NO
392,172,1.0,YES
96,176,1.0,NO
351,177,1.0,NO
159,178,1.0,NO
403,178,1.0,NO
216,179,1.0,NO
57,182,1.0,NO
229,183,1.0,NO
231,183,1.0,NO
189,185,1.0,NO
199,187,1.0,NO
21,188,1.0,NO
54,189,1.0,NO
44,191,1.0,NO
211,191,1.0,NO
74,192,1.0,NO
390,197,1.0,NO
368,200,1.0,NO
331,202,1.0,NO
372,204,1.0,NO
432,206,1.0,NO
153,208,1.0,NO
321,213,1.0,NO
83,214,1.0,NO
315,214,1.0,NO
429,214,1.0,NO
0,215,1.0,NO
238,219,1.0,NO
145,221,1.0,NO
314,223,1.0,NO
140,226,1.0,NO
148,230,1.0,NO
175,230,1.0,NO
400,231,1.0,YES
63,236,1.0,NO
130,243,1.0,NO
183,243,1.0,NO
73,244,1.0,NO
430,247,1.0,NO
94,248,1.0,NO
75,250,1.0,NO
280,254,1.0,NO
180,258,1.0,NO
416,258,1.0,NO
185,259,1.0,NO
12,260,1.0,NO
120,260,1.0,NO
413,263,1.0,NO
31,268,1.0,NO
144,268,1.0,NO
423,269,1.0,NO
46,273,1.0,NO
107,273,1.0,NO
172,273,1.0,NO
95,275,1.0,NO
255,277,1.0,NO
417,280,1.0,NO
135,283,1.0,NO
246,284,1.0,NO
393,287,1.0,NO
137,295,1.0,NO
399,297,1.0,NO
408,300,1.0,YES
68,301,1.0,NO
380,306,1.0,NO
412,306,1.0,NO
425,308,1.0,NO
427,308,1.0,NO
170,309,1.0,NO
42,314,1.0,NO
64,314,1.0,NO
251,319,1.0,NO
435,321,1.0,NO
106,325,1.0,NO
162,325,1.0,NO
39,326,1.0,NO
436,329,1.0,NO
290,331,1.0,NO
156,340,1.0,NO
381,340,1.0,NO
158,342,1.0,NO
376,353,1.0,NO
138,355,1.0,NO
363,355,1.0,NO
4,357,1.0,NO
111,357,1.0,NO
58,358,1.0,NO
254,358,1.0,NO
151,359,1.0,NO
422,359,1.0,NO
15,361,1.0,NO
411,365,1.0,NO
247,371,1.0,NO
242,377,1.0,NO
142,378,1.0,NO
208,380,1.0,NO
243,383,1.0,NO
16,388,1.0,NO
171,389,1.0,NO
401,399,1.0,NO
184,402,1.0,NO
154,408,1.0,NO
174,418,1.0,NO
237,421,1.0,NO
51,422,1.0,NO
391,430,1.0,NO
287,437,1.0,NO
2,458,1.0,NO
155,462,1.0,NO
71,466,1.0,NO
53,467,1.0,NO
338,489,1.0,NO
105,503,1.0,NO
327,525,1.0,NO
286,549,1.0,NO
13,551,1.0,NO
182,551,1.0,NO
102,558,1.0,NO
179,558,1.0,NO
78,565,1.0,NO
18,577,1.0,NO
22,582,1.0,NO
297,584,1.0,NO
136,585,1.0,NO
77,601,1.0,NO
200,617,1.0,NO
97,624,1.0,NO
241,624,1.0,NO
40,648,1.0,NO
166,648,1.0,NO
118,664,1.0,NO
389,688,1.0,NO
65,694,1.0,NO
103,727,1.0,NO
404,740,1.0,NO
178,762,1.0,NO
41,778,1.0,NO
365,798,1.0,NO
420,801,1.0,NO
326,841,1.0,NO
344,846,1.0,NO
322,866,1.0,NO
305,885,1.0,NO
10,928,1.0,NO
26,928,1.0,NO
147,952,1.0,NO
52,978,1.0,NO
288,1033,1.0,NO
186,1038,1.0,NO
396,1198,1.0,NO
6,1242,1.0,NO
333,1262,1.0,NO
101,4088,1.0,NO
281,16883,1.0,NO
1,271,0.0,NO
3,137,0.0,NO
7,51,0.0,NO
9,31,0.0,NO
11,180,0.0,NO
14,40,0.0,NO
17,51,0.0,NO
19,32,0.0,NO
20,66,0.0,NO
24,50,0.0,NO
25,27,0.0,NO
27,60,0.0,NO
34,147,0.0,NO
36,44,0.0,NO
38,139,0.0,NO
43,55,0.0,NO
56,84,0.0,NO
62,85,0.0,NO
66,27,0.0,NO
67,89,0.0,NO
80,77,0.0,NO
82,337,0.0,NO
85,25,0.0,NO
87,34,0.0,NO
88,33,0.0,NO
99,58,0.0,NO
100,132,0.0,NO
112,174,0.0,NO
115,45,0.0,NO
121,54,0.0,NO
125,39,0.0,NO
126,131,0.0,NO
127,47,0.0,NO
129,43,0.0,NO
132,45,0.0,NO
134,35,0.0,NO
146,71,0.0,NO
149,36,0.0,NO
150,32,0.0,NO
181,49,0.0,NO
194,120,0.0,NO
204,72,0.0,NO
205,42,0.0,NO
206,48,0.0,NO
212,46,0.0,NO
217,74,0.0,NO
218,36,0.0,NO
219,37,0.0,NO
220,34,0.0,NO
221,34,0.0,NO
223,39,0.0,NO
239,50,0.0,NO
240,42,0.0,NO
244,72,0.0,NO
248,47,0.0,NO
253,49,0.0,NO
256,49,0.0,NO
258,41,0.0,NO
259,66,0.0,NO
260,63,0.0,NO
261,24,0.0,NO
262,50,0.0,NO
264,47,0.0,NO
265,47,0.0,NO
266,183,0.0,NO
267,49,0.0,NO
268,50,0.0,NO
269,98,0.0,NO
270,143,0.0,NO
271,43,0.0,NO
272,42,0.0,NO
273,56,0.0,NO
274,44,0.0,NO
275,26,0.0,NO
276,51,0.0,NO
277,41,0.0,NO
282,74,0.0,NO
298,32,0.0,NO
300,35,0.0,NO
301,90,0.0,NO
302,27,0.0,NO
303,28,0.0,NO
307,29,0.0,NO
309,72,0.0,NO
310,37,0.0,NO
312,31,0.0,NO
317,37,0.0,NO
318,27,0.0,NO
319,48,0.0,NO
328,83,0.0,NO
329,63,0.0,NO
330,76,0.0,NO
334,74,0.0,NO
336,27,0.0,NO
337,22,0.0,NO
339,62,0.0,NO
342,27,0.0,NO
343,77,0.0,NO
346,45,0.0,NO
347,63,0.0,NO
348,54,0.0,NO
349,64,0.0,NO
352,70,0.0,NO
353,36,0.0,NO
354,58,0.0,NO
355,62,0.0,NO
356,132,0.0,NO
357,74,0.0,NO
359,74,0.0,NO
360,48,0.0,NO
361,74,0.0,NO
362,86,0.0,NO
364,53,0.0,NO
370,57,0.0,NO
